IT8.7/1
ORIGINATOR          "Monaco Acquisition Company"
DESCRIPTOR          "IT8.7/1 Reference Data File, 4x5 Ektachrome"
CREATED             "Tuesday, February 6, 2007"
MANUFACTURER        "Monaco Acquisition Company"
PROD_DATE           "2007:01"
SERIAL              "Batch Average Data"
MATERIAL            "Kodak Ektachrome Product Family"
NUMBER_OF_FIELDS          11
BEGIN_DATA_FORMAT
SAMPLE_ID           XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   STDEV_X STDEV_Y STDEV_Z STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                      X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z   SD_dE
A01                     2.10    1.75    1.20   14.12    9.83    3.11    0.08    0.07    0.06    0.31
A02                     2.66    1.75    0.95   14.11   21.35    6.76    0.12    0.08    0.05    0.39
A03                     3.14    1.70    0.77   13.81   31.15    9.31    0.13    0.08    0.05    0.43
A04                     3.64    1.84    0.74   14.61   35.84   11.29    0.13    0.08    0.05    0.37
A05                     9.61    8.10    5.75   34.17   15.54    4.26    0.34    0.28    0.35    0.53
A06                    11.28    7.94    4.83   33.86   29.63    8.33    0.36    0.25    0.29    0.43
A07                    14.14    8.38    4.15   34.76   44.88   13.74    0.44    0.27    0.26    0.44
A08                    16.42    8.62    3.49   35.23   56.33   18.68    0.25    0.16    0.23    0.56
A09                    26.82   25.47   19.33   57.52    9.47    3.53    1.05    0.96    1.30    0.76
A10                    29.53   26.01   18.45   58.03   17.89    6.30    1.01    0.89    1.20    0.65
A11                    31.89   26.32   17.48   58.34   25.34    9.00    0.96    0.83    1.14    0.76
A12                    33.01   25.98   16.38   58.01   30.73   10.99    0.86    0.79    1.09    0.74
A13                    58.30   62.47   48.42   83.15   -4.62    3.55    1.74    1.93    1.71    0.38
A14                    60.41   59.75   46.87   81.69    6.73    2.83    1.74    1.91    1.67    0.50
A15                    61.86   63.90   44.66   83.91    0.57    9.30    1.81    1.98    1.86    0.44
A16                    57.50   59.44   46.26   81.52    0.46    3.25    1.96    2.15    1.80    0.54
A17                    60.48   60.27   44.68   81.97    5.67    5.95    1.86    2.05    1.82    0.57
A18                    58.22   62.79   46.00   83.32   -5.53    6.67    2.00    2.20    1.90    0.54
A19                    58.46   60.37   49.07   82.02    0.60    0.86    2.29    2.50    1.93    0.68
A20                    16.66   24.01   38.15   56.08  -32.26  -30.34    0.82    1.18    1.70    0.59
A21                    16.06    8.00   10.71   33.97   59.70  -15.05    0.54    0.29    0.67    0.65
A22                    43.87   39.64    2.69   69.21   17.26   83.03    0.91    1.15    0.12    0.67
B01                     3.17    2.78    1.54   19.12    8.86    7.51    0.11    0.10    0.07    0.29
B02                     3.98    2.91    0.98   19.67   19.08   15.95    0.17    0.12    0.04    0.39
B03                     4.51    2.88    0.56   19.57   26.83   23.15    0.18    0.11    0.02    0.49
B04                     5.20    2.97    0.29   19.93   33.96   28.93    0.19    0.11    0.02    0.50
B05                    12.47   10.95    6.16   39.50   13.64   11.49    0.43    0.38    0.34    0.38
B06                    14.33   10.83    4.03   39.29   26.50   22.27    0.49    0.37    0.22    0.33
