IT8.7/1
ORIGINATOR          "Monaco Acquisition Company"
DESCRIPTOR          "IT8.7/1 Reference Data File, 4x5 Ektachrome"
CREATED             "Friday, April 20, 2007"
MANUFACTURER        "Monaco Acquisition Company"
PROD_DATE           "2007:02"
SERIAL              "Batch Average Data"
MATERIAL            "Kodak Ektachrome Product Family"
NUMBER_OF_FIELDS          11
BEGIN_DATA_FORMAT
SAMPLE_ID           XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   STDEV_X STDEV_Y STDEV_Z STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                      X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z   SD_dE
A01                     2.15    1.78    1.21   14.28   10.22    3.26    0.18    0.17    0.14    0.85
A02                     2.69    1.76    0.96   14.17   21.51    6.83    0.20    0.16    0.12    0.98
A03                     3.18    1.73    0.77   13.96   31.17    9.52    0.21    0.14    0.10    0.99
A04                     3.69    1.87    0.74   14.79   35.70   11.51    0.21    0.13    0.09    0.87
A05                     9.70    8.18    5.82   34.35   15.48    4.20    0.51    0.42    0.30    0.41
A06                    11.36    8.00    4.88   33.97   29.68    8.28    0.55    0.38    0.25    0.40
A07                    14.26    8.46    4.18   34.90   44.92   13.81    0.67    0.39    0.22    0.48
A08                    16.62    8.74    3.55   35.47   56.41   18.72    0.32    0.20    0.18    0.37
A09                    27.50   26.27   20.30   58.28    8.88    2.78    1.20    1.10    0.96    0.50
A10                    30.15   26.73   19.31   58.71   17.27    5.61    1.24    1.07    0.89    0.51
A11                    32.48   27.01   18.16   58.97   24.69    8.55    1.23    1.04    0.83    0.47
A12                    33.69   26.75   17.05   58.73   30.02   10.64    1.02    0.90    0.83    0.49
A13                    58.66   62.85   49.34   83.35   -4.62    2.84    1.95    2.06    1.60    0.60
A14                    60.95   60.53   47.86   82.11    6.16    2.40    1.90    1.98    1.60    0.61
A15                    61.95   64.00   45.68   83.95    0.55    8.14    2.09    2.19    1.71    0.60
A16                    57.59   59.69   46.86   81.65    0.09    2.77    2.16    2.28    1.72    0.68
A17                    60.56   60.49   45.44   82.09    5.34    5.22    2.00    2.12    1.71    0.62
A18                    57.88   62.36   46.55   83.09   -5.40    5.63    2.22    2.40    1.81    0.66
A19                    57.97   60.02   49.09   81.83    0.24    0.50    2.45    2.62    1.94    0.77
A20                    16.50   23.81   37.90   55.87  -32.31  -30.35    0.93    1.39    1.78    0.86
A21                    16.00    7.99   10.51   33.95   59.42  -14.48    0.69    0.35    0.65    0.75
A22                    44.04   39.87    2.73   69.36   17.09   82.98    1.18    1.42    0.12    0.93
B01                     3.22    2.80    1.53   19.20    9.28    7.73    0.19    0.15    0.08    0.32
B02                     4.02    2.92    0.97   19.70   19.40   16.02    0.23    0.17    0.05    0.40
B03                     4.51    2.87    0.56   19.50   27.05   23.08    0.27    0.17    0.03    0.53
B04                     5.21    2.98    0.30   19.93   34.05   28.75    0.28    0.16    0.02    0.56
B05                    12.62   11.11    6.26   39.76   13.49   11.48    0.62    0.53    0.32    0.42
B06                    14.51   10.98    4.06   39.53   26.52   22.49    0.69    0.52    0.21    0.49
B07                    17.63   11.37    2.38   40.18   41.60   35.56    0.78    0.51    0.12    0.52
B08                    19.19   11.21    1.53   39.92   50.85   43.49    0.44    0.31    0.07    0.28
B09                    33.48   32.73   23.71   63.93    6.83    5.88    1.53    1.46    1.29    0.50
B10                    35.01   32.57   20.74   63.80   12.67   11.41    1.53    1.42    1.09    0.57
B11                    37.12   32.94   18.47   64.10   18.41   16.72    1.41    1.33    0.99    0.59
B12                    39.13   33.38   16.59   64.46   23.36   21.60    1.00    1.06    0.87    0.68
B13                    54.56   58.58   47.85   81.05   -4.79    0.57    1.97    2.09    1.66    0.59
B14                    55.78   55.26   45.72   79.18    6.31   -0.13    2.09    2.14    1.65    0.66
B15                    57.29   59.55   44.09   81.58   -0.33    5.98    2.17    2.25    1.76    0.67
B16                    51.54   53.19   43.03   77.97    0.67    1.08    2.18    2.27    1.80    0.73
B17                    54.89   54.73   42.71   78.87    5.40    3.03    2.17    2.24    1.79    0.68
B18                    53.78   58.00   44.39   80.72   -5.40    4.14    2.26    2.45    1.89    0.70
B19                    52.10   53.69   46.28   78.26    0.87   -2.37    2.52    2.68    2.07    0.81
B20                    10.43   15.06   25.12   45.69  -27.78  -28.10    0.70    0.97    1.63    0.77
B21                    10.32    5.21    7.41   27.30   50.69  -14.85    0.63    0.32    0.51    0.77
B22                    30.52   27.33    2.21   59.26   16.27   69.97    1.60    1.48    0.11    1.05
C01                     6.39    6.04    3.20   29.51    6.16   10.76    0.35    0.32    0.16    0.39
C02                     6.85    6.08    1.98   29.60   10.48   20.93    0.36    0.31    0.09    0.39
C03                     7.27    6.08    1.09   29.60   14.63   31.33    0.38    0.32    0.05    0.49
C04                     7.90    6.27    0.73   30.07   18.52   38.01    0.40    0.31    0.03    0.54
C05                    23.50   22.31   11.04   54.34    9.08   19.02    1.15    1.05    0.60    0.53
C06                    25.31   22.17    6.14   54.19   17.54   36.94    1.09    0.93    0.30    0.58
C07                    28.40   22.87    3.03   54.93   26.89   55.84    1.03    0.85    0.12    0.56
C08                    30.68   23.53    1.68   55.61   32.65   68.90    0.68    0.63    0.06    0.42
C09                    39.31   39.42   26.33   69.04    4.12   10.00    1.78    1.77    1.46    0.58
C10                    40.11   39.07   22.00   68.79    7.71   17.51    1.78    1.78    1.21    0.57
C11                    42.64   40.14   18.15   69.56   12.11   26.83    1.53    1.56    0.95    0.58
C12                    43.94   40.44   15.55   69.77   15.04   33.25    1.23    1.40    0.78    0.66
C13                    49.58   56.35   49.43   79.80  -12.41   -3.39    1.64    1.82    1.45    0.50
C14                    51.78   47.69   43.26   74.61   15.80   -5.01    1.82    1.83    1.51    0.67
C15                    56.92   59.66   35.79   81.64   -1.48   17.01    2.17    2.28    1.77    0.77
C16                    40.06   41.32   32.73   70.38    0.69    2.03    1.98    2.04    1.79    0.79
C17                    47.85   44.66   31.80   72.65   13.68    7.36    1.86    1.86    1.69    0.79
C18                    46.70   53.87   36.79   78.37  -14.19    9.98    2.00    2.25    1.90    0.75
C19                    43.19   43.95   43.50   72.16    2.45   -9.51    2.30    2.43    2.03    0.86
C20                     6.27    9.45   15.38   36.82  -26.73  -23.11    0.43    0.60    1.03    0.66
C21                     6.40    3.35    5.19   21.37   41.30  -15.07    0.40    0.21    0.37    0.60
C22                    17.51   16.27    1.60   47.30   10.22   55.46    0.92    0.85    0.09    0.84
D01                     4.20    4.29    2.25   24.59    0.93    9.84    0.23    0.23    0.11    0.32
