IT8.7/1
ORIGINATOR          "X-Rite, Inc."
DESCRIPTOR          "IT8.7/1 Reference Data File, 4x5 Ektachrome"
CREATED             "Thursday, September 6, 2007"
MANUFACTURER        "X-Rite, Inc."
PROD_DATE           "2007:05"
SERIAL              "Batch Average Data"
MATERIAL            "Kodak Ektachrome Product Family"
NUMBER_OF_FIELDS          11
BEGIN_DATA_FORMAT
SAMPLE_ID           XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   STDEV_X STDEV_Y STDEV_Z STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                      X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z   SD_dE
A01                     2.10    1.80    1.34   14.36    8.75    1.77    0.12    0.10    0.08    0.47
A02                     2.72    1.84    1.11   14.58   20.39    5.23    0.18    0.12    0.07    0.73
A03                     3.29    1.84    0.94   14.62   30.09    7.87    0.23    0.12    0.06    0.96
A04                     3.76    1.93    0.87   15.11   35.34    9.82    0.27    0.13    0.06    1.12
A05                     9.68    8.19    6.36   34.35   15.21    1.75    0.70    0.57    0.42    0.93
A06                    11.34    7.99    5.27   33.94   29.58    6.18    0.87    0.58    0.33    1.27
A07                    14.08    8.40    4.65   34.78   44.31   10.94    0.95    0.54    0.30    1.18
A08                    16.70    8.83    4.06   35.64   56.11   15.80    0.44    0.27    0.27    0.62
A09                    27.99   26.71   22.36   58.66    9.06   -0.61    1.99    1.97    1.67    1.12
A10                    30.30   26.79   21.25   58.73   17.64    1.70    2.12    1.98    1.66    1.11
A11                    32.43   26.91   20.36   58.85   24.93    3.69    2.06    1.84    1.51    1.05
A12                    33.62   26.57   18.89   58.55   30.47    6.26    1.76    1.55    1.36    0.90
A13                    59.04   62.80   51.23   83.32   -3.58    0.66    2.33    2.36    2.05    0.68
A14                    60.92   60.15   48.72   81.90    6.98    1.06    2.30    2.44    2.08    0.82
A15                    61.49   63.34   46.94   83.61    0.98    6.07    2.18    2.25    2.10    0.69
A16                    56.87   58.68   48.10   81.09    0.72    0.37    2.39    2.53    2.03    0.78
A17                    60.74   60.21   47.16   81.94    6.42    2.92    2.09    2.26    1.82    0.76
A18                    58.76   62.60   49.43   83.22   -3.80    2.50    2.10    2.17    1.78    0.61
A19                    57.42   59.08   50.10   81.32    1.12   -1.53    2.40    2.61    1.86    0.87
A20                    16.79   23.93   39.96   55.99  -31.18  -32.90    0.91    1.44    1.73    1.05
A21                    16.56    8.24   11.94   34.47   60.32  -17.94    0.70    0.35    0.71    0.88
A22                    43.75   39.61    2.71   69.18   17.04   82.82    1.31    1.57    0.11    1.20
B01                     3.27    2.89    1.75   19.59    8.43    6.04    0.21    0.18    0.11    0.57
B02                     3.91    2.90    1.04   19.63   18.06   14.94    0.27    0.20    0.06    0.75
B03                     4.56    2.94    0.60   19.79   26.42   22.87    0.31    0.19    0.03    1.09
B04                     5.17    2.99    0.31   19.96   33.39   28.64    0.40    0.23    0.02    1.33
B05                    12.41   11.02    6.64   39.58   12.69    9.53    0.92    0.82    0.45    0.97
B06                    14.42   10.95    4.33   39.47   26.11   20.78    1.07    0.78    0.28    1.27
B07                    17.00   11.12    2.64   39.76   39.91   32.69    1.09    0.71    0.16    1.25
B08                    19.66   11.51    1.64   40.41   51.09   43.15    0.52    0.39    0.09    0.54
B09                    33.19   32.26   25.78   63.51    7.51    1.47    2.27    2.32    1.98    1.09
B10                    34.95   32.38   22.80   63.61   13.19    7.09    2.38    2.36    1.80    1.12
B11                    37.37   33.09   20.37   64.19   18.71   12.89    2.35    2.28    1.48    1.17
B12                    39.32   33.52   18.35   64.55   23.51   17.79    1.69    1.80    1.27    1.07
B13                    53.74   57.23   48.71   80.29   -3.63   -1.72    2.48    2.59    2.15    0.86
B14                    54.72   53.83   46.50   78.34    7.25   -2.50    2.41    2.56    2.12    0.92
B15                    56.55   58.48   45.27   80.99    0.41    3.55    2.27    2.38    2.12    0.76
B16                    50.68   51.60   44.11   77.01    2.47   -1.91    2.59    2.70    2.13    0.94
B17                    54.03   53.40   43.74   78.09    6.59    0.40    2.40    2.56    1.99    0.87
B18                    53.28   56.95   45.66   80.13   -4.16    1.59    2.39    2.53    2.02    0.84
B19                    51.79   52.89   47.38   77.78    2.10   -4.50    2.55    2.75    1.95    1.04
B20                    11.17   15.90   28.19   46.81  -27.06  -31.46    0.72    1.11    1.66    1.09
B21                    10.99    5.57    8.92   28.29   51.47  -18.87    0.64    0.31    0.50    0.95
B22                    30.66   27.43    2.19   59.34   16.41   70.26    1.67    1.62    0.10    1.56
C01                     6.47    6.21    3.57   29.91    5.17    8.95    0.47    0.44    0.25    0.76
C02                     6.84    6.10    2.12   29.64   10.12   19.69    0.48    0.42    0.14    0.83
C03                     7.24    6.06    1.10   29.55   14.49   31.20    0.49    0.40    0.06    0.98
C04                     7.75    6.20    0.73   29.88   17.88   37.71    0.54    0.42    0.04    1.09
C05                    23.31   22.16   11.76   54.14    8.90   16.55    1.83    1.76    0.90    1.18
C06                    24.92   21.94    6.38   53.93   16.88   35.39    1.74    1.56    0.41    1.34
C07                    28.22   22.96    3.10   55.00   25.81   55.48    1.66    1.44    0.18    1.37
C08                    30.89   23.90    1.69   55.97   31.85   69.38    1.34    1.29    0.08    1.36
C09                    39.08   38.55   28.17   68.38    6.14    5.80    2.54    2.64    2.16    1.12
C10                    40.07   38.77   24.06   68.54    8.54   13.23    2.59    2.67    1.89    1.05
C11                    42.13   39.46   19.59   69.04   12.71   22.86    2.43    2.49    1.39    1.18
C12                    43.61   39.96   16.62   69.41   15.57   30.08    1.85    2.07    1.08    1.09
C13                    48.66   54.91   49.47   78.97  -11.36   -4.86    2.07    2.23    2.02    0.71
C14                    51.18   46.75   44.03   74.00   16.81   -7.00    2.35    2.43    2.02    1.00
C15                    56.78   59.15   37.75   81.35   -0.61   13.80    2.24    2.36    2.12    0.74
C16                    39.99   40.63   34.85   69.87    2.58   -1.93    2.49    2.64    2.16    1.05
C17                    47.56   43.91   33.68   72.14   15.04    3.67    2.37    2.45    2.02    0.91
C18                    46.61   53.30   38.44   78.03  -12.99    7.14    2.20    2.42    2.22    0.87
C19                    43.23   43.40   44.93   71.79    4.18  -11.92    2.46    2.70    2.04    1.23
C20                     6.65    9.73   17.59   37.34  -24.94  -27.46    0.39    0.59    1.11    0.88
C21                     6.59    3.39    6.18   21.54   42.51  -19.52    0.36    0.17    0.35    0.77
C22                    18.18   16.80    1.63   47.99   10.77   56.27    1.07    0.98    0.07    1.37
D01                     4.13    4.30    2.50   24.63   -0.25    7.70    0.26    0.28    0.16    0.64
D02                     4.03    4.24    1.51   24.43   -0.79   16.99    0.25    0.27    0.08    0.63
D03                     4.18    4.36    0.87   24.82   -0.31   26.47    0.24    0.27    0.04    0.68
D04                     4.36    4.57    0.77   25.46   -0.61   29.41    0.28    0.30    0.04    0.79
D05                    17.09   17.73    9.44   49.13   -0.08   15.27    1.26    1.30    0.68    1.00
D06                    17.12   17.88    5.10   49.32   -0.64   33.55    1.19    1.25    0.32    1.23
D07                    17.33   18.31    2.41   49.83   -1.71   51.94    1.18    1.26    0.12    1.47
D08                    17.92   18.74    1.87   50.34   -0.76   57.76    1.27    1.33    0.10    1.46
D09                    45.11   46.44   24.47   73.79    0.96   21.54    2.62    2.80    1.96    0.95
D10                    44.40   45.86   13.63   73.42    0.54   44.51    2.38    2.57    0.93    0.97
D11                    44.38   46.43    6.74   73.80   -1.11   68.09    2.11    2.29    0.38    1.14
D12                    43.98   45.46    3.71   73.18    0.43   82.63    1.86    1.92    0.16    1.09
D13                    44.27   52.59   50.02   77.62  -17.86   -7.82    1.79    1.94    1.90    0.64
D14                    45.54   38.62   40.31   68.45   25.29  -11.87    2.24    2.26    1.98    1.13
D15                    57.20   59.91   30.81   81.77   -1.37   24.64    2.24    2.36    2.08    0.78
D16                    31.00   31.62   27.43   62.98    1.88   -2.27    2.32    2.47    2.13    1.20
D17                    42.08   36.51   25.96   66.88   21.92    6.95    2.07    2.11    1.86    1.00
D18                    41.83   50.78   32.11   76.53  -20.40   13.59    1.91    2.10    2.10    0.83
D19                    35.35   35.11   43.27   65.78    5.17  -20.23    2.35    2.61    1.98    1.57
D20                     3.84    5.68   10.18   28.58  -21.49  -22.64    0.23    0.34    0.67    0.78
D21                     3.74    2.05    3.87   15.75   32.35  -17.34    0.19    0.10    0.23    0.64
D22                     9.85    9.52    1.18   36.94    5.47   42.69    0.52    0.50    0.05    0.99
E01                     5.69    6.39    3.67   30.36   -5.24    9.11    0.38    0.44    0.25    0.72
E02                     5.13    6.39    2.30   30.34  -11.74   19.31    0.35    0.46    0.15    0.81
E03                     4.59    6.23    1.36   29.97  -16.98   28.39    0.30    0.42    0.07    0.90
E04                     4.76    6.57    1.14   30.78  -18.36   32.70    0.33    0.46    0.06    0.98
E05                    24.22   27.41   15.28   59.29   -9.27   15.90    1.95    2.24    1.22    1.31
E06                    21.99   27.12    9.32   59.04  -18.14   32.75    1.55    1.96    0.59    1.44
E07                    20.36   27.77    5.10   59.65  -28.45   51.37    1.22    1.66    0.27    1.27
E08                    17.96   26.05    3.50   58.07  -33.78   57.94    0.91    1.28    0.17    0.99
E09                    42.97   45.87   31.57   73.42   -3.69    9.10    2.66    2.88    2.56    1.00
E10                    41.20   46.43   24.89   73.79  -10.60   20.79    2.40    2.67    1.98    0.86
E11                    39.01   46.74   19.23   74.00  -18.24   32.16    2.06    2.35    1.24    0.82
E12                    36.90   46.57   15.01   73.90  -24.55   41.72    1.69    1.88    0.85    0.70
E13                    39.96   49.68   50.34   75.86  -23.23  -11.22    1.52    1.68    1.71    0.59
E14                    40.39   31.71   36.74   63.07   33.18  -16.33    1.98    1.84    1.87    0.95
E15                    57.14   60.08   24.05   81.87   -1.93   36.20    1.99    2.17    1.54    0.63
E16                    22.11   22.59   19.21   54.60    1.56   -1.24    1.66    1.74    1.40    1.09
E17                    36.21   29.39   18.88   61.10   28.33   10.66    1.68    1.67    1.30    1.06
E18                    36.97   47.41   25.70   74.43  -26.63   20.42    1.75    1.98    1.65    0.88
E19                    26.48   25.77   38.66   57.77    6.87  -28.10    1.83    1.97    1.92    1.35
E20                     1.74    2.55    4.54   18.13  -15.96  -17.20    0.09    0.13    0.31    0.66
E21                     1.66    0.98    1.98    8.85   21.91  -14.79    0.05    0.03    0.12    0.53
E22                     4.14    4.08    0.81   23.94    2.84   26.06    0.14    0.15    0.04    0.51
F01                     3.58    4.37    3.32   24.85   -9.32    1.93    0.22    0.28    0.23    0.55
F02                     3.08    4.68    2.92   25.79  -21.54    6.45    0.20    0.32    0.20    0.67
F03                     2.77    4.96    2.56   26.60  -30.50   10.64    0.19    0.33    0.15    0.78
F04                     2.04    4.21    2.09   24.33  -35.51   10.80    0.16    0.31    0.13    0.76
F05                    12.04   14.96   10.92   45.54  -15.54    4.26    0.90    1.12    0.83    0.85
F06                     9.65   15.02    8.97   45.63  -33.60   10.85    0.68    1.09    0.58    1.20
F07                     7.49   14.21    7.53   44.51  -47.56   14.33    0.42    0.80    0.45    0.76
F08                     7.51   14.20    7.50   44.50  -47.30   14.44    0.44    0.84    0.48    0.89
F09                    29.28   33.19   26.08   64.26  -10.09    2.25    2.27    2.56    2.20    1.14
F10                    26.61   33.97   23.59   64.90  -23.34    7.82    1.76    2.23    1.84    0.97
F11                    23.75   33.66   21.64   64.67  -34.42   11.13    1.37    1.86    1.52    0.81
F12                    19.63   31.57   19.10   62.98  -46.36   13.41    0.86    1.22    1.16    0.56
F13                    36.89   47.27   49.91   74.35  -26.52  -13.33    1.37    1.54    1.69    0.56
F14                    36.58   26.89   33.78   58.85   39.25  -19.41    1.72    1.48    1.72    0.78
F15                    55.88   58.62   18.96   81.07   -1.58   44.92    1.95    2.17    1.14    0.66
F16                    16.27   16.64   14.18   47.77    1.33   -1.18    1.12    1.16    0.98    0.97
F17                    31.13   23.42   13.11   55.49   34.81   14.99    1.18    1.14    0.83    0.89
F18                    32.22   43.50   20.00   71.88  -31.87   26.86    1.45    1.76    1.18    0.80
F19                    19.99   18.94   34.11   50.58    8.80  -34.14    1.26    1.30    1.76    0.95
F20                     0.54    0.85    1.41    7.71  -11.30  -10.66    0.03    0.04    0.11    0.55
F21                     0.62    0.46    0.80    4.15    7.01   -7.82    0.02    0.02    0.05    0.41
F22                     1.38    1.43    0.47   12.15    0.20   12.07    0.04    0.04    0.03    0.34
G01                     2.51    3.00    2.88   20.02   -7.15   -3.19    0.14    0.18    0.19    0.48
G02                     2.20    3.05    3.12   20.24  -14.47   -4.65    0.14    0.20    0.22    0.47
G03                     2.07    3.34    3.39   21.34  -22.02   -4.59    0.13    0.20    0.22    0.47
G04                     1.93    3.50    3.65   21.92  -27.76   -5.32    0.14    0.25    0.25    0.59
G05                    12.26   14.73   13.63   45.22  -12.58   -4.12    0.89    1.06    0.98    0.80
G06                    10.26   14.93   14.56   45.49  -28.24   -6.09    0.75    1.12    0.99    1.08
G07                     7.67   13.40   14.68   43.34  -40.85  -10.13    0.49    0.85    0.95    0.87
G08                     7.67   13.44   14.58   43.39  -41.03   -9.77    0.52    0.90    1.02    0.94
G09                    29.44   33.18   29.86   64.26   -9.44   -4.05    2.18    2.46    2.30    1.11
G10                    27.45   34.52   32.08   65.33  -21.81   -5.64    1.84    2.27    2.37    0.92
G11                    24.37   34.01   33.03   64.94  -32.87   -7.77    1.44    1.91    2.25    0.72
G12                    20.50   31.99   32.74   63.33  -43.56  -10.12    0.91    1.17    1.99    0.79
G13                    33.54   44.26   49.62   72.39  -29.41  -16.38    1.22    1.44    1.60    0.53
G14                    32.81   22.49   30.70   54.52   44.99  -22.21    1.56    1.26    1.63    0.76
G15                    54.60   57.07   14.56   80.20   -1.07   53.73    1.96    2.24    0.80    0.80
G16                    11.36   11.58    9.82   40.51    1.41   -0.88    0.78    0.82    0.66    0.85
G17                    26.69   18.53    8.77   50.12   40.82   19.31    0.92    0.84    0.54    0.75
G18                    27.97   39.53   15.57   69.12  -35.98   32.10    1.27    1.64    0.90    0.76
G19                    15.05   13.87   30.45   44.02   10.39  -39.92    0.95    0.95    1.60    0.88
G20                    11.87    5.62    0.32   28.42   57.20   42.95    0.36    0.17    0.02    0.80
G21                    11.00   17.46    2.43   48.81  -36.90   49.98    0.51    0.87    0.10    1.09
G22                     2.70    1.79   12.56   14.33   21.11  -54.47    0.11    0.07    0.53    0.63
H01                     2.72    3.06    3.52   20.29   -4.30   -7.30    0.16    0.19    0.23    0.44
H02                     2.47    3.12    4.58   20.52  -10.13  -13.27    0.16    0.21    0.30    0.52
H03                     2.25    3.12    5.67   20.51  -14.48  -18.94    0.13    0.18    0.35    0.52
H04                     2.05    3.12    6.69   20.52  -19.04  -23.57    0.13    0.19    0.42    0.61
H05                    10.20   11.64   13.42   40.60   -7.60  -11.53    0.75    0.86    0.95    0.81
H06                     8.93   11.38   16.75   40.19  -16.10  -20.60    0.64    0.82    1.20    0.79
H07                     8.20   11.64   21.69   40.60  -24.21  -30.45    0.56    0.79    1.47    0.78
H08                     7.22   10.40   21.78   38.53  -24.38  -34.21    0.51    0.73    1.44    0.88
H09                    31.43   33.20   32.16   64.28   -2.09   -7.59    2.13    2.32    2.18    1.06
H10                    29.87   33.23   36.19   64.30   -7.99  -13.43    2.11    2.41    2.28    1.19
H11                    28.61   33.33   39.79   64.38  -13.13  -18.18    1.86    2.28    2.19    1.25
H12                    27.47   33.18   42.70   64.27  -17.12  -22.12    1.63    2.05    2.06    1.15
H13                    30.58   41.75   49.39   70.69  -32.73  -19.06    1.00    1.19    1.50    0.47
H14                    29.44   18.74   27.08   50.37   50.56  -23.48    1.13    0.84    1.35    0.66
H15                    54.45   56.53   11.67   79.90   -0.14   61.18    1.76    2.02    0.59    0.79
H16                     7.61    7.74    6.39   33.41    1.37   -0.01    0.45    0.47    0.40    0.67
H17                    23.15   14.83    5.73   45.40   46.09   23.67    0.62    0.50    0.33    0.64
H18                    24.94   36.60   12.44   66.96  -39.06   36.63    1.08    1.45    0.66    0.74
H19                    11.33   10.14   27.41   38.06   11.78  -45.24    0.69    0.67    1.47    0.77
H20                    10.61    4.96    0.35   26.61   55.91   39.26    0.44    0.20    0.02    1.01
H21                     7.76   12.72    1.97   42.32  -35.55   42.99    0.39    0.68    0.08    1.06
H22                     1.95    1.24    9.55   10.82   20.57  -51.21    0.08    0.05    0.42    0.69
I01                     4.48    4.51    6.81   25.28    1.77  -15.87    0.26    0.27    0.40    0.44
I02                     4.64    4.58   10.62   25.47    3.00  -29.42    0.29    0.30    0.65    0.46
I03                     4.60    4.45   15.39   25.10    4.19  -43.37    0.27    0.26    0.91    0.57
I04                     4.65    4.43   19.35   25.03    5.16  -52.55    0.26    0.26    1.02    0.66
I05                    14.68   14.91   16.64   45.47    1.89  -11.22    1.14    1.16    1.22    0.89
I06                    14.59   14.69   21.83   45.17    2.64  -22.84    1.09    1.09    1.61    0.76
I07                    14.60   14.54   27.07   44.96    3.60  -32.77    0.96    0.98    1.61    0.72
I08                    14.68   14.43   32.47   44.82    4.73  -41.66    0.94    0.98    1.63    0.82
I09                    33.22   33.46   33.14   64.49    3.41   -8.71    2.13    2.25    2.04    1.09
I10                    33.04   33.24   36.61   64.31    3.57  -14.01    2.21    2.34    2.05    1.24
I11                    33.39   33.44   40.38   64.48    4.08  -18.80    2.20    2.35    2.00    1.37
