IT8.7/1
ORIGINATOR          "X-Rite, Inc."
DESCRIPTOR          "IT8.7/1 Reference Data File, 4x5 Ektachrome"
CREATED             "Wednesday, September 19, 2007"
MANUFACTURER        "Monaco Acquisition Company"
PROD_DATE           "2007:08"
SERIAL              "Batch Average Data"
MATERIAL            "Kodak Ektachrome Product Family"
NUMBER_OF_FIELDS          11
BEGIN_DATA_FORMAT
SAMPLE_ID           XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   STDEV_X STDEV_Y STDEV_Z STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                      X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z   SD_dE
A01                     1.89    1.59    1.18   13.15    9.14    1.70    0.11    0.09    0.08    0.49
A02                     2.30    1.51    0.93   12.68   20.29    4.61    0.13    0.09    0.07    0.51
A03                     2.80    1.52    0.73   12.74   29.73    8.13    0.14    0.08    0.05    0.50
A04                     3.13    1.58    0.64   13.12   34.01   10.51    0.15    0.08    0.04    0.58
A05                     8.86    7.45    5.62   32.79   15.27    2.47    0.46    0.41    0.34    0.56
A06                    10.82    7.66    4.85   33.25   28.82    7.19    0.53    0.40    0.30    0.57
A07                    12.83    7.69    4.22   33.32   42.62   10.86    0.64    0.40    0.28    0.64
A08                    16.21    8.42    3.50   34.84   56.78   17.93    0.33    0.21    0.23    0.57
A09                    25.00   24.04   19.41   56.10    7.92    0.93    1.33    1.31    1.23    0.73
A10                    27.58   24.63   18.52   56.69   16.04    3.84    1.30    1.21    1.14    0.74
A11                    30.98   25.58   17.82   57.62   25.07    6.99    1.34    1.22    1.13    0.69
A12                    33.20   26.13   16.97   58.15   30.81    9.84    1.12    1.09    1.09    0.74
A13                    59.49   64.33   50.54   84.13   -5.99    2.82    1.46    1.51    1.53    0.51
A14                    62.85   62.68   50.30   83.27    5.61    1.60    1.38    1.50    1.41    0.41
A15                    63.28   66.01   46.04   84.99   -0.82    9.52    1.38    1.43    1.71    0.58
A16                    59.09   61.97   49.29   82.89   -1.58    2.09    1.54    1.61    1.53    0.37
A17                    62.54   62.53   47.87   83.19    5.26    4.24    1.46    1.54    1.61    0.48
A18                    59.20   64.21   47.52   84.07   -6.40    6.17    1.43    1.48    1.45    0.37
