IT8.7/1                                                                                      
ORIGINATOR           "X-Rite, Inc."                                                          
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Ektacolor, ver2"                      
CREATED              "Thursday, December 20, 2007"                                           
MANUFACTURER         "X-Rite, Inc."                                                          
PROD_DATE            "2007:12"                                                               
SERIAL               "Batch Average Data"                                                    
MATERIAL             "Kodak Ektacolor Product Family"                                        
NUMBER_OF_FIELDS           11                                                                
BEGIN_DATA_FORMAT                                                                            
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_ZSTDEV_DE
END_DATA_FORMAT                                                                              
NUMBER_OF_SETS 288                                                                           
#                                                                                            
BEGIN_DATA                                                                                   
#ID                        X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z   SD_dE
A01                      2.02    1.72    1.25   13.95    8.72    2.13    0.10    0.08    0.07    0.36
A02                      2.55    1.72    1.02   13.91   19.92    5.29    0.12    0.08    0.06    0.37
A03                      3.11    1.73    0.87   14.01   29.70    7.91    0.15    0.09    0.05    0.42
A04                      3.57    1.84    0.82   14.62   34.59    9.75    0.16    0.08    0.05    0.44
A05                      9.05    7.70    5.81   33.33   14.57    2.51    0.39    0.32    0.34    0.47
A06                     10.49    7.44    4.78   32.77   28.41    6.74    0.44    0.29    0.27    0.52
A07                     13.26    7.95    4.21   33.86   43.09   11.83    0.54    0.31    0.24    0.56
A08                     16.36    8.59    3.56   35.18   56.19   18.10    0.25    0.15    0.20    0.56
A09                     25.93   24.72   20.30   56.79    8.93    0.24    1.14    1.02    1.20    0.67
A10                     28.33   25.02   19.19   57.09   17.31    3.07    1.23    1.03    1.16    0.71
A11                     31.01   25.49   18.23   57.54   25.53    5.93    1.11    0.88    1.03    0.61
A12                     32.28   25.33   16.83   57.39   30.84    8.85    1.00    0.87    0.98    0.65
A13                     59.90   64.35   51.51   84.14   -5.04    1.77    1.67    1.61    1.74    0.44
A14                     62.23   61.79   48.89   82.79    6.24    2.39    1.53    1.62    1.77    0.53
A15                     62.64   65.06   46.48   84.51   -0.21    8.16    1.59    1.60    1.87    0.59
A16                     58.07   60.53   48.06   82.12   -0.72    2.18    1.75    1.80    1.77    0.51
A17                     62.37   62.32   47.00   83.07    5.34    5.07    1.69    1.85    1.87    0.65
A18                     59.83   64.45   49.17   84.19   -5.42    4.49    1.68    1.71    1.91    0.69
A19                     58.76   61.04   50.69   82.39   -0.22   -0.35    1.87    2.02    1.81    0.68
A20                     16.45   23.51   39.29   55.58  -31.27  -32.73    0.79    1.11    1.71    0.62
A21                     16.35    8.16   11.35   34.31   59.87  -16.44    0.52    0.27    0.62    0.77
A22                     44.00   40.01    2.79   69.47   16.52   82.74    0.81    1.02    0.11    0.70
B01                      3.11    2.78    1.66   19.14    7.64    6.18    0.15    0.13    0.08    0.35
B02                      3.67    2.74    1.00   18.95   17.48   14.33    0.19    0.13    0.05    0.41
B03                      4.30    2.79    0.59   19.16   25.78   21.95    0.21    0.13    0.03    0.50
B04                      4.88    2.83    0.32   19.34   32.59   27.34    0.22    0.13    0.02    0.59
B05                     11.67   10.36    6.12   38.47   12.49    9.93    0.51    0.44    0.35    0.36
B06                     13.24   10.08    3.99   37.97   25.28   20.23    0.53    0.38    0.21    0.53
B07                     16.00   10.44    2.46   38.62   39.28   32.19    0.61    0.38    0.11    0.60
B08                     19.27   11.17    1.57   39.87   51.49   42.96    0.29    0.21    0.07    0.29
B09                     31.36   30.69   23.92   62.23    6.58    2.58    1.39    1.30    1.45    0.70
B10                     33.26   30.70   20.77   62.24   13.35    8.67    1.37    1.25    1.24    0.68
B11                     35.63   31.12   18.43   62.60   19.95   14.22    1.19    1.04    0.99    0.61
B12                     37.55   31.43   16.52   62.86   25.19   19.01    0.84    0.89    0.89    0.74
B13                     53.98   58.43   48.78   80.97   -5.91   -0.64    1.73    1.76    1.77    0.49
B14                     55.20   54.26   46.29   78.60    7.36   -1.80    1.70    1.76    1.74    0.58
B15                     57.59   60.20   44.64   81.94   -1.10    5.94    1.67    1.70    1.91    0.61
B16                     50.60   51.95   43.56   77.24    1.36   -0.84    1.70    1.79    1.76    0.59
B17                     54.68   54.10   43.16   78.51    6.46    1.83    1.75    1.90    1.73    0.64
B18                     53.74   58.43   45.32   80.97   -6.53    3.43    1.71    1.81    1.81    0.58
B19                     51.95   53.48   47.46   78.14    1.01   -3.98    1.80    1.97    1.82    0.64
B20                     10.43   15.03   25.82   45.65  -27.59  -29.43    0.58    0.77    1.49    0.66
B21                     10.21    5.23    8.13   27.36   49.59  -17.56    0.44    0.23    0.45    0.60
B22                     29.28   26.49    2.21   58.48   14.99   68.58    1.12    1.03    0.10    0.72
C01                      6.13    5.90    3.36   29.14    4.91    9.03    0.26    0.24    0.17    0.38
C02                      6.43    5.77    2.03   28.81    9.57   19.06    0.29    0.25    0.10    0.39
C03                      6.86    5.77    1.09   28.82   13.93   29.97    0.31    0.25    0.05    0.49
C04                      7.28    5.85    0.75   29.02   17.20   35.90    0.32    0.25    0.04    0.55
C05                     21.82   20.87   10.99   52.79    8.10   16.51    0.96    0.87    0.62    0.43
C06                     23.42   20.68    6.05   52.59   16.27   34.56    0.95    0.78    0.31    0.59
C07                     26.90   21.84    3.01   53.85   25.62   54.13    0.94    0.74    0.12    0.66
C08                     30.06   23.05    1.71   55.12   32.47   67.73    0.63    0.59    0.07    0.50
C09                     37.84   37.46   26.30   67.60    5.63    7.59    1.65    1.58    1.53    0.68
C10                     39.20   37.81   22.29   67.87    8.83   15.36    1.53    1.49    1.30    0.70
C11                     41.14   38.37   18.30   68.28   13.09   24.31    1.32    1.31    0.95    0.64
C12                     42.69   38.79   15.39   68.59   16.45   31.60    1.04    1.19    0.79    0.65
C13                     48.70   56.02   50.09   79.62  -13.99   -4.46    1.43    1.44    1.52    0.45
C14                     51.13   46.28   43.87   73.71   17.98   -7.31    1.49    1.52    1.47    0.65
C15                     57.92   61.02   36.15   82.38   -2.22   17.78    1.62    1.64    1.81    0.75
C16                     38.45   39.46   32.86   69.07    1.28   -0.43    1.72    1.78    1.75    0.70
C17                     47.23   43.42   31.75   71.83   15.51    6.02    1.60    1.66    1.66    0.78
C18                     46.36   54.25   37.00   78.60  -16.10   10.07    1.54    1.65    1.87    0.74
C19                     42.30   42.73   44.75   71.35    3.35  -12.45    1.79    1.92    1.90    0.67
C20                      6.41    9.52   16.46   36.95  -25.78  -25.51    0.39    0.53    1.06    0.66
C21                      6.27    3.28    5.67   21.12   40.98  -17.88    0.31    0.18    0.37    0.53
C22                     17.10   16.02    1.67   46.99    9.38   54.15    0.68    0.65    0.09    0.58
D01                      4.02    4.20    2.43   24.32   -0.48    7.78    0.18    0.17    0.12    0.36
D02                      3.92    4.14    1.53   24.13   -1.10   16.30    0.18    0.18    0.07    0.32
D03                      4.02    4.20    0.88   24.33   -0.56   25.45    0.19    0.18    0.04    0.44
D04                      4.14    4.35    0.79   24.80   -0.76   27.81    0.19    0.19    0.04    0.40
D05                     16.33   17.03    8.90   48.29   -0.54   15.66    0.71    0.70    0.49    0.41
D06                     16.23   17.01    4.95   48.26   -0.95   32.53    0.67    0.67    0.25    0.51
D07                     16.25   17.20    2.38   48.50   -1.91   49.93    0.61    0.62    0.09    0.61
D08                     16.75   17.61    1.90   49.01   -1.29   55.25    0.66    0.68    0.08    0.61
D09                     45.36   47.07   23.39   74.22   -0.08   24.23    1.74    1.78    1.37    0.59
D10                     44.85   46.71   13.29   73.99   -0.55   46.37    1.50    1.59    0.65    0.49
D11                     44.39   47.01    6.74   74.18   -2.68   68.75    1.37    1.42    0.27    0.57
D12                     43.55   45.84    3.88   73.44   -1.92   82.03    1.38    1.36    0.16    0.74
D13                     44.21   53.38   50.65   78.09  -20.04   -7.71    1.24    1.28    1.47    0.47
D14                     45.41   38.16   40.12   68.13   26.35  -12.18    1.26    1.20    1.38    0.60
D15                     58.33   61.65   29.15   82.72   -2.67   28.87    1.44    1.49    1.51    0.77
D16                     29.33   30.32   25.29   61.91    0.39   -0.46    1.41    1.46    1.47    0.62
D17                     41.25   35.60   23.85   66.21   22.38    9.55    1.16    1.19    1.27    0.76
D18                     41.32   51.28   30.37   76.84  -23.24   16.79    1.32    1.43    1.62    0.79
D19                     34.59   34.71   43.57   65.50    3.91  -21.10    1.53    1.67    1.71    0.71
D20                      3.74    5.62    9.51   28.41  -22.34  -20.69    0.26    0.36    0.67    0.60
D21                      3.54    1.98    3.50   15.38   30.91  -15.61    0.20    0.13    0.26    0.46
D22                      9.34    9.11    1.24   36.19    4.64   40.71    0.38    0.39    0.08    0.54
E01                      5.41    6.08    3.54   29.60   -5.20    8.63    0.25    0.26    0.17    0.41
E02                      4.89    6.05    2.23   29.54  -11.24   18.49    0.24    0.27    0.10    0.42
E03                      4.40    6.04    1.39   29.51  -17.45   27.21    0.21    0.27    0.06    0.49
E04                      4.57    6.39    1.19   30.35  -18.88   31.21    0.21    0.28    0.06    0.47
E05                     22.99   26.14   14.60   58.16   -9.66   15.62    1.05    1.15    0.85    0.50
E06                     21.21   26.39    9.02   58.39  -18.85   32.66    0.94    1.15    0.46    0.52
E07                     19.92   27.56    5.11   59.47  -29.79   51.02    0.78    1.05    0.22    0.55
E08                     18.14   26.60    3.67   58.59  -35.04   57.80    0.65    0.92    0.14    0.53
