IT8.7/1                                                                                      
ORIGINATOR           "X-Rite, Inc."                                                          
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Ektachrome"                           
CREATED              "Friday, December 21, 2007"                                             
MANUFACTURER         "X-Rite, Inc."                                                          
PROD_DATE            "2007:12"                                                               
SERIAL               "Batch Average Data"                                                    
MATERIAL             "Kodak Ektachrome Product Family"                                       
NUMBER_OF_FIELDS           11                                                                
BEGIN_DATA_FORMAT                                                                            
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_ZSTDEV_DE
END_DATA_FORMAT                                                                              
NUMBER_OF_SETS 288                                                                           
#                                                                                            
BEGIN_DATA                                                                                   
#ID                        X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z   SD_dE
A01                      2.02    1.72    1.25   13.93    8.72    2.14    0.10    0.08    0.07    0.36
A02                      2.54    1.71    1.02   13.88   19.90    5.29    0.12    0.08    0.06    0.36
A03                      3.10    1.73    0.87   13.98   29.66    7.90    0.16    0.09    0.05    0.42
A04                      3.56    1.84    0.82   14.59   34.56    9.77    0.16    0.09    0.05    0.43
A05                      9.02    7.66    5.78   33.26   14.57    2.53    0.41    0.35    0.35    0.46
A06                     10.47    7.42    4.76   32.74   28.40    6.78    0.44    0.29    0.28    0.50
A07                     13.22    7.92    4.18   33.81   43.06   11.89    0.55    0.32    0.25    0.53
A08                     16.35    8.58    3.55   35.16   56.20   18.19    0.25    0.15    0.21    0.55
A09                     25.84   24.63   20.19   56.70    8.95    0.32    1.17    1.07    1.27    0.67
A10                     28.22   24.92   19.08   56.98   17.32    3.14    1.29    1.10    1.23    0.70
A11                     30.90   25.39   18.12   57.44   25.56    6.01    1.18    0.97    1.11    0.61
A12                     32.19   25.24   16.72   57.30   30.88    8.95    1.05    0.93    1.07    0.65
A13                     59.74   64.16   51.31   84.04   -4.99    1.81    1.78    1.79    1.90    0.47
A14                     62.00   61.52   48.63   82.64    6.34    2.43    1.80    1.99    2.06    0.70
A15                     62.42   64.81   46.19   84.37   -0.16    8.28    1.85    1.94    2.23    0.72
A16                     57.83   60.26   47.80   81.97   -0.66    2.23    2.00    2.13    2.08    0.62
A17                     62.10   62.02   46.70   82.91    5.43    5.15    2.02    2.26    2.26    0.82
A18                     59.55   64.15   48.84   84.03   -5.41    4.60    2.07    2.15    2.37    0.83
A19                     58.42   60.66   50.35   82.17   -0.16   -0.32    2.38    2.60    2.34    0.92
A20                     16.29   23.29   38.97   55.34  -31.19  -32.69    1.05    1.46    2.20    0.97
A21                     16.26    8.11   11.25   34.21   59.77  -16.33    0.66    0.34    0.73    0.91
A22                     43.83   39.79    2.77   69.31   16.70   82.63    1.10    1.38    0.15    1.11
B01                      3.10    2.78    1.66   19.12    7.64    6.19    0.15    0.13    0.08    0.34
B02                      3.66    2.73    1.00   18.92   17.47   14.33    0.19    0.14    0.05    0.40
B03                      4.29    2.78    0.58   19.12   25.77   21.94    0.21    0.14    0.03    0.49
B04                      4.87    2.82    0.32   19.31   32.58   27.31    0.22    0.13    0.02    0.58
B05                     11.64   10.33    6.09   38.41   12.51    9.95    0.52    0.45    0.36    0.35
B06                     13.22   10.05    3.97   37.93   25.29   20.26    0.53    0.38    0.22    0.52
B07                     15.96   10.42    2.45   38.57   39.28   32.22    0.61    0.38    0.12    0.58
B08                     19.25   11.16    1.56   39.85   51.51   43.00    0.29    0.21    0.08    0.29
B09                     31.27   30.59   23.80   62.15    6.60    2.67    1.41    1.34    1.52    0.69
B10                     33.16   30.59   20.65   62.15   13.38    8.78    1.42    1.32    1.34    0.69
B11                     35.52   31.01   18.32   62.51   20.00   14.30    1.25    1.14    1.08    0.62
B12                     37.46   31.32   16.42   62.77   25.27   19.11    0.91    0.98    0.99    0.78
B13                     53.81   58.22   48.59   80.85   -5.84   -0.62    1.84    1.95    1.92    0.54
B14                     54.98   54.00   46.06   78.45    7.46   -1.78    1.91    2.05    1.98    0.71
B15                     57.35   59.93   44.37   81.79   -1.04    6.01    1.94    2.05    2.21    0.71
B16                     50.35   51.67   43.30   77.06    1.43   -0.81    2.00    2.15    2.07    0.72
