IT8.7/1                                                                                      
ORIGINATOR           "X-Rite, Inc."                                                          
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Ektachrome"                           
CREATED              "Wednesday, February 27, 2008"                                          
MANUFACTURER         "X-Rite, Inc."                                                          
PROD_DATE            "2008:02"                                                               
SERIAL               "Batch Average Data"                                                    
MATERIAL             "Kodak Ektachrome Product Family"                                       
NUMBER_OF_FIELDS           11                                                                
BEGIN_DATA_FORMAT                                                                            
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT                                                                              
NUMBER_OF_SETS 288                                                                           
#                                                                                            
BEGIN_DATA                                                                                   
#ID                        X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z     SD_dE
A01                      2.16    1.87    1.36   14.77    8.34    2.15    0.11    0.09    0.08      0.32
A02                      2.66    1.81    1.10   14.46   19.81    5.13    0.13    0.09    0.06      0.37
A03                      3.15    1.78    0.92   14.26   29.38    7.45    0.13    0.07    0.06      0.38
A04                      3.51    1.82    0.85   14.49   34.20    9.04    0.14    0.08    0.05      0.37
A05                      9.30    8.11    6.18   34.20   12.84    2.28    0.40    0.34    0.32      0.45
A06                     10.73    7.84    5.15   33.63   26.56    6.27    0.47    0.34    0.30      0.46
A07                     13.26    8.12    4.50   34.23   41.51   10.78    0.55    0.33    0.26      0.51
A08                     16.77    8.92    3.91   35.82   55.70   16.98    0.25    0.17    0.22      0.43
A09                     26.55   26.09   20.70   58.10    5.79    1.68    1.29    1.22    1.25      0.61
A10                     29.12   26.47   19.69   58.46   14.41    4.40    1.36    1.21    1.15      0.57
A11                     31.26   26.56   18.81   58.55   22.09    6.42    1.36    1.18    1.13      0.56
A12                     33.02   26.61   17.48   58.60   28.21    9.44    1.11    1.00    0.97      0.52
A13                     58.49   63.64   49.63   83.77   -6.82    3.23    1.65    1.66    1.60      0.50
A14                     60.65   60.78   47.00   82.25    4.88    3.64    1.64    1.70    1.70      0.55
A15                     61.17   64.52   44.93   84.23   -2.43    9.53    1.62    1.63    1.77      0.50
A16                     56.34   59.31   46.05   81.45   -2.09    3.39    1.77    1.84    1.68      0.57
A17                     60.72   61.23   45.04   82.49    4.00    6.40    1.63    1.71    1.71      0.55
A18                     58.31   63.61   47.46   83.76   -7.20    5.70    1.65    1.69    1.67      0.46
A19                     57.01   59.71   48.63   81.67   -1.39    0.74    1.80    1.89    1.56      0.59
A20                     16.68   24.24   38.40   56.31  -33.17  -30.27    0.72    1.05    1.34      0.64
A21                     16.15    8.16   11.42   34.31   58.73  -16.69    0.52    0.27    0.56      0.61
A22                     44.34   40.61    2.83   69.90   15.68   83.10    0.84    1.02    0.09      0.58
B01                      3.27    2.94    1.76   19.81    7.44    6.28    0.16    0.14    0.10      0.33
B02                      3.83    2.89    1.06   19.61   17.12   14.57    0.16    0.12    0.06      0.35
B03                      4.40    2.89    0.62   19.58   25.28   22.02    0.17    0.11    0.03      0.37
B04                      4.87    2.86    0.32   19.46   32.00   27.60    0.19    0.11    0.01      0.46
B05                     11.94   10.80    6.44   39.23   11.13    9.80    0.51    0.46    0.35      0.42
B06                     13.63   10.62    4.34   38.92   23.67   19.81    0.61    0.48    0.27      0.42
B07                     16.11   10.80    2.66   39.23   37.29   31.62    0.65    0.43    0.16      0.46
B08                     19.75   11.64    1.66   40.63   50.65   43.27    0.27    0.22    0.08      0.21
B09                     31.69   31.48   23.71   62.90    4.91    4.12    1.55    1.50    1.48      0.69
B10                     33.38   31.54   21.02   62.95   10.71    9.39    1.59    1.50    1.32      0.61
B11                     35.81   32.16   18.82   63.46   16.85   14.86    1.46    1.39    1.18      0.56
