IT8.7/1                                                                                      
ORIGINATOR           "X-Rite, Inc."                                                          
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Ektachrome"                           
CREATED              "Sunday, June 22, 2008"                                                 
MANUFACTURER         "X-Rite, Inc."                                                          
PROD_DATE            "2008:06"                                                               
SERIAL               "Batch Average Data"                                                    
MATERIAL             "Kodak Ektachrome Product Family"                                       
NUMBER_OF_FIELDS           11                                                                
BEGIN_DATA_FORMAT                                                                            
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT                                                                              
NUMBER_OF_SETS 288                                                                           
#                                                                                            
BEGIN_DATA                                                                                   
#ID                        X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z     SD_dE
A01                      2.28    1.98    1.48   15.35    8.28    1.68    0.14    0.11    0.09      0.56
A02                      2.79    1.91    1.20   14.98   19.97    4.57    0.18    0.12    0.08      0.60
A03                      3.25    1.84    1.01   14.60   29.63    6.72    0.18    0.10    0.06      0.54
A04                      3.58    1.85    0.92   14.68   34.46    8.23    0.19    0.10    0.06      0.51
A05                      9.31    8.08    6.45   34.14   13.22    0.96    0.44    0.35    0.39      0.57
A06                     10.60    7.73    5.33   33.40   26.49    4.99    0.48    0.32    0.30      0.55
A07                     13.37    8.19    4.73   34.37   41.62    9.76    0.63    0.34    0.26      0.68
A08                     16.65    8.88    4.06   35.75   55.38   15.98    0.22    0.15    0.21      0.58
A09                     25.82   24.62   21.79   56.69    8.89   -2.94    1.24    1.10    1.30      0.90
A10                     28.56   25.13   20.56   57.18   17.77    0.37    1.33    1.11    1.15      0.80
A11                     31.02   25.55   19.60   57.59   25.35    3.06    1.29    1.05    1.18      0.74
A12                     32.59   25.59   18.12   57.64   30.86    6.37    0.98    0.85    1.16      0.78
A13                     59.46   63.72   51.15   83.81   -4.68    1.59    1.47    1.44    1.59      0.31
A14                     60.54   58.92   47.96   81.24    8.97    0.78    1.52    1.68    1.74      0.48
A15                     62.08   64.23   45.92   84.08    0.34    8.09    1.50    1.54    1.97      0.64
A16                     56.77   58.33   47.41   80.92    1.30    0.86    1.66    1.72    1.81      0.51
A17                     60.60   59.50   45.82   81.55    7.76    3.85    1.51    1.67    1.80      0.56
A18                     59.15   63.64   48.61   83.77   -5.22    4.39    1.62    1.63    1.79      0.51
A19                     56.97   58.20   49.67   80.83    2.12   -1.88    1.99    2.14    1.84      0.65
A20                     16.81   23.81   40.10   55.88  -30.59  -33.28    0.86    1.27    1.62      0.99
A21                     16.47    8.28   12.51   34.55   59.47  -19.45    0.49    0.25    0.61      0.60
A22                     43.58   39.54    2.79   69.14   16.73   82.15    0.88    1.09    0.11      0.82
B01                      3.43    3.09    1.89   20.39    7.53    5.92    0.20    0.15    0.10      0.60
B02                      4.00    3.03    1.15   20.15   17.13   14.24    0.22    0.15    0.06      0.64
B03                      4.52    2.99    0.68   19.99   25.09   21.64    0.23    0.13    0.04      0.67
B04                      4.95    2.92    0.33   19.72   31.76   27.72    0.23    0.13    0.02      0.67
B05                     11.83   10.64    6.66   38.95   11.55    8.35    0.57    0.47    0.40      0.52
B06                     13.54   10.52    4.45   38.75   23.86   18.83    0.63    0.44    0.22      0.61
B07                     16.42   10.98    2.78   39.54   37.69   31.18    0.76    0.45    0.13      0.76
B08                     19.51   11.51    1.70   40.42   50.34   42.42    0.25    0.20    0.09      0.34
B09                     31.17   29.99   24.99   61.63    8.46   -0.41    1.49    1.38    1.46      0.85
B10                     32.99   30.17   21.95   61.79   14.36    5.54    1.48    1.34    1.26      0.85
B11                     35.51   30.92   19.46   62.43   20.29   11.71    1.36    1.25    1.09      0.70
B12                     37.50   31.40   17.44   62.83   25.15   16.83    0.89    0.95    1.02      0.75
B13                     53.19   56.81   48.67   80.07   -4.03   -2.07    1.45    1.45    1.58      0.38
B14                     54.15   52.61   46.18   77.63    8.90   -3.36    1.64    1.70    1.63      0.54
B15                     56.57   58.26   44.54   80.88    0.97    4.22    1.49    1.52    1.73      0.47
B16                     49.90   50.75   43.93   76.51    2.62   -2.55    1.58    1.61    1.63      0.52
B17                     53.72   52.58   43.30   77.62    7.86    0.13    1.63    1.70    1.76      0.61
B18                     52.79   56.71   45.31   80.01   -4.82    1.79    1.67    1.75    1.88      0.57
B19                     50.74   51.73   47.27   77.10    2.31   -5.54    1.93    2.07    1.90      0.76
B20                     10.76   15.16   27.47   45.84  -25.91  -31.94    0.65    0.89    1.62      0.90
B21                     10.17    5.25    9.06   27.42   49.01  -20.88    0.48    0.24    0.50      0.67
B22                     29.19   26.20    2.21   58.21   15.77   68.16    1.46    1.30    0.10      1.08
C01                      6.56    6.40    3.79   30.39    4.12    8.37    0.36    0.31    0.19      0.59
C02                      6.82    6.22    2.26   29.96    8.64   19.00    0.34    0.29    0.12      0.58
C03                      7.20    6.19    1.21   29.88   12.75   30.09    0.35    0.28    0.06      0.68
C04                      7.56    6.21    0.79   29.92   16.06   36.64    0.37    0.28    0.04      0.70
C05                     21.72   20.85   11.75   52.77    7.73   14.17    1.11    0.99    0.65      0.68
C06                     23.65   21.02    6.54   52.96   15.65   33.00    1.19    0.99    0.30      0.80
C07                     27.38   22.35    3.21   54.38   25.22   53.59    1.16    0.93    0.13      0.84
C08                     30.09   23.25    1.72   55.32   31.70   67.96    0.71    0.70    0.08      0.59
C09                     37.62   36.95   27.48   67.22    6.56    4.91    1.72    1.67    1.54      0.86
C10                     38.79   37.29   23.34   67.48    9.23   12.69    1.64    1.61    1.37      0.84
C11                     41.10   38.13   19.10   68.10   13.75   22.24    1.40    1.44    1.06      0.72
C12                     42.37   38.36   16.08   68.28   16.82   29.39    1.08    1.26    0.93      0.79
C13                     47.95   54.82   49.95   78.93  -13.06   -5.49    1.28    1.32    1.50      0.42
C14                     50.08   44.77   43.85   72.73   19.42   -8.99    1.45    1.51    1.55      0.69
C15                     57.21   59.54   36.88   81.58   -0.48   15.38    1.51    1.56    1.86      0.64
C16                     38.17   38.75   34.38   68.56    2.60   -3.54    1.59    1.58    1.77      0.66
C17                     46.56   42.30   32.91   71.07   16.94    2.95    1.49    1.49    1.69      0.76
C18                     45.75   53.10   37.87   77.92  -14.91    7.71    1.53    1.60    1.88      0.68
C19                     41.27   41.22   44.84   70.31    4.70  -14.36    1.74    1.81    1.71      0.83
C20                      6.57    9.66   17.50   37.21  -25.18  -27.48    0.42    0.54    1.19      0.83
C21                      6.22    3.25    6.15   21.01   41.01  -20.33    0.29    0.16    0.36      0.50
C22                     16.97   16.00    1.67   46.96    8.77   54.11    0.80    0.72    0.09      0.74
D01                      4.37    4.58    2.72   25.50   -0.65    7.47    0.25    0.22    0.15      0.57
D02                      4.29    4.54    1.67   25.38   -1.25   16.85    0.23    0.22    0.08      0.57
D03                      4.44    4.67    0.98   25.75   -0.74   26.43    0.24    0.22    0.04      0.66
D04                      4.57    4.80    0.84   26.15   -0.81   29.33    0.26    0.24    0.05      0.67
D05                     16.36   17.11    9.59   48.39   -0.78   13.46    0.77    0.77    0.52      0.60
D06                     16.33   17.21    5.21   48.51   -1.46   31.59    0.74    0.75    0.25      0.67
D07                     16.56   17.66    2.54   49.07   -2.61   49.48    0.81    0.83    0.11      0.91
D08                     16.90   17.84    1.90   49.29   -1.68   55.65    0.82    0.84    0.10      0.87
D09                     44.89   46.28   24.24   73.71    0.77   21.78    1.72    1.78    1.32      0.75
D10                     44.60   46.31   13.51   73.74   -0.16   45.35    1.54    1.65    0.65      0.61
D11                     44.67   47.13    6.88   74.27   -2.22   68.28    1.54    1.58    0.30      0.68
D12                     44.76   46.90    3.84   74.12   -1.34   83.43    1.47    1.40    0.20      0.65
D13                     43.30   52.35   50.59   77.48  -20.09   -8.71    1.17    1.22    1.43      0.33
D14                     44.02   36.30   40.03   66.74   28.31  -14.46    1.19    1.16    1.40      0.64
D15                     57.81   60.58   29.42   82.15   -1.45   27.45    1.40    1.49    1.66      0.69
D16                     28.39   29.01   26.40   60.78    1.64   -4.36    1.21    1.19    1.51      0.69
D17                     40.34   34.34   24.66   65.22   23.83    6.38    1.10    1.08    1.37      0.78
D18                     40.53   50.42   30.84   76.32  -23.42   15.16    1.39    1.49    1.83      0.76
D19                     32.58   32.06   43.11   63.37    6.06  -24.21    1.49    1.56    1.59      0.87
D20                      3.77    5.70   10.22   28.64  -22.71  -22.68    0.26    0.33    0.75      0.69
D21                      3.65    2.03    3.90   15.61   31.58  -17.76    0.18    0.10    0.26      0.50
D22                      9.54    9.34    1.22   36.61    4.45   41.65    0.40    0.38    0.07      0.46
E01                      5.90    6.63    3.87   30.93   -5.36    8.79    0.32    0.32    0.21      0.52
E02                      5.30    6.52    2.43   30.69  -11.20   18.75    0.29    0.32    0.12      0.50
E03                      4.74    6.41    1.48   30.42  -16.96   27.70    0.28    0.34    0.07      0.67
E04                      4.91    6.75    1.22   31.21  -18.20   32.36    0.30    0.37    0.07      0.72
E05                     22.60   25.62   15.31   57.66   -9.27   12.97    1.17    1.33    0.83      0.91
E06                     21.03   26.15    9.48   58.16  -18.79   30.67    1.00    1.26    0.42      0.95
E07                     20.45   28.23    5.32   60.08  -29.80   51.00    0.92    1.24    0.23      0.85
E08                     18.65   27.16    3.71   59.11  -34.64   58.41    0.71    0.94    0.14      0.71
E09                     42.23   45.38   31.27   73.13   -4.52    8.99    1.77    1.83    1.65      0.78
E10                     40.85   46.48   24.78   73.84  -11.79   21.01    1.59    1.69    1.24      0.68
E11                     38.14   46.66   19.42   73.96  -20.80   31.66    1.44    1.61    1.01      0.56
E12                     36.47   46.89   14.89   74.11  -26.85   42.39    1.15    1.25    0.73      0.46
E13                     39.35   49.66   50.99   75.86  -25.08  -11.96    0.94    1.00    1.21      0.28
E14                     39.41   30.40   36.86   61.99   34.87  -18.40    0.98    0.89    1.23      0.51
E15                     57.91   60.86   23.38   82.30   -1.87   38.18    1.23    1.38    1.27      0.66
E16                     20.44   21.06   18.91   53.00    0.63   -3.37    0.82    0.79    1.10      0.64
E17                     35.04   28.16   18.22   60.02   29.10   10.23    0.77    0.74    1.05      0.73
E18                     35.93   47.19   25.14   74.30  -29.46   21.17    1.11    1.24    1.43      0.69
E19                     24.62   23.82   38.79   55.90    7.24  -31.52    1.06    1.06    1.48      0.61
E20                      1.76    2.70    4.78   18.80  -18.39  -17.31    0.15    0.19    0.41      0.61
E21                      1.71    1.01    2.01    9.11   22.13  -14.70    0.10    0.06    0.14      0.47
E22                      4.29    4.25    0.85   24.47    2.75   26.24    0.21    0.19    0.06      0.37
F01                      3.80    4.70    3.58   25.84  -10.18    1.92    0.22    0.23    0.20      0.45
F02                      3.18    4.86    3.15   26.32  -22.12    5.65    0.17    0.24    0.16      0.35
F03                      2.83    5.13    2.75   27.10  -31.55    9.98    0.16    0.26    0.15      0.49
F04                      2.07    4.37    2.30   24.85  -37.08    9.85    0.14    0.25    0.13      0.57
F05                     11.87   14.66   11.04   45.16  -14.92    3.18    0.59    0.68    0.59      0.60
F06                      9.56   14.66    9.03   45.14  -32.23    9.79    0.50    0.73    0.43      0.78
F07                      7.96   15.08    8.05   45.72  -48.37   14.37    0.39    0.70    0.36      0.85
F08                      7.91   14.95    7.92   45.55  -48.09   14.57    0.41    0.72    0.39      0.86
F09                     27.68   31.59   25.91   62.99  -10.70    0.30    1.20    1.34    1.32      0.89
F10                     25.81   33.29   23.70   64.38  -24.29    6.67    1.04    1.30    1.18      0.79
F11                     23.87   34.15   21.97   65.07  -35.53   11.15    0.91    1.20    1.14      0.62
F12                     20.47   32.89   19.38   64.07  -46.90   14.70    0.58    0.75    0.93      0.59
F13                     36.40   47.30   50.53   74.38  -28.23  -14.00    0.81    0.89    1.14      0.28
F14                     35.97   26.18   34.26   58.20   40.11  -21.24    0.86    0.73    1.24      0.48
F15                     56.74   59.59   18.70   81.61   -1.75   46.40    1.10    1.28    1.00      0.62
F16                     15.44   15.92   14.16   46.87    0.49   -2.71    0.54    0.52    0.76      0.58
F17                     30.38   22.80   12.84   54.87   34.77   14.65    0.50    0.46    0.72      0.67
F18                     31.67   43.59   19.79   71.95  -34.15   27.42    0.85    1.02    1.14      0.61
F19                     19.10   18.02   34.50   49.51    9.05  -36.57    0.72    0.66    1.40      0.54
F20                      0.53    0.89    1.53    8.03  -13.36  -11.44    0.06    0.08    0.16      0.63
F21                      0.60    0.45    0.85    4.06    6.57   -8.89    0.04    0.04    0.06      0.41
F22                      1.39    1.48    0.49   12.48   -1.00   12.28    0.07    0.07    0.05      0.29
G01                      2.69    3.26    3.10   21.04   -8.04   -3.12    0.15    0.16    0.18      0.43
G02                      2.31    3.27    3.37   21.10  -15.89   -4.88    0.13    0.17    0.19      0.38
G03                      2.18    3.58    3.66   22.23  -23.53   -4.85    0.12    0.18    0.20      0.37
