IT8.7/1                                                                                          
ORIGINATOR           "X-Rite,     Inc."                                                          
DESCRIPTOR           "IT8.7/1     Reference Data File, 4x5 Ektachrome"                           
CREATED              "Monday,     August 04, 2008"                                               
MANUFACTURER         "X-Rite,     Inc."                                                          
PROD_DATE            "2008:08    "                                                               
SERIAL               "Batch A    verage Data"                                                    
MATERIAL             "Kodak E    ktachrome Product Family"                                       
NUMBER_OF_FIELDS               11                                                                
BEGIN_DATA_FORMAT                                                                                
SAMPLE_ID                   XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT                                                                                  
NUMBER_OF_SETS 288                                                                               
#                                                                                                
BEGIN_DATA                                                                                       
#ID                            X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z     SD_dE
A01                          2.02    1.73    1.19   13.97    8.58    3.07    0.09    0.07    0.06      0.25
A02                          2.47    1.67    0.96   13.66   19.49    5.84    0.11    0.08    0.06      0.33
A03                          2.91    1.64    0.81   13.48   28.52    7.99    0.11    0.08    0.05      0.35
A04                          3.27    1.71    0.76   13.87   33.14    9.54    0.11    0.08    0.05      0.40
A05                          8.54    7.48    5.79   32.88   12.18    1.81    0.28    0.25    0.26      0.41
A06                          9.74    7.16    4.83   32.17   25.23    5.42    0.31    0.24    0.22      0.43
A07                         11.81    7.29    4.21   32.46   39.44    9.39    0.36    0.23    0.19      0.41
A08                         16.01    8.45    3.64   34.90   55.42   17.10    0.26    0.17    0.17      0.48
A09                         23.04   22.52   18.65   54.57    6.09   -0.13    0.75    0.76    0.73      0.50
A10                         25.32   22.89   17.79   54.95   14.35    2.42    0.81    0.76    0.69      0.50
A11                         27.53   23.22   17.02   55.29   21.90    4.77    0.83    0.72    0.66      0.51
A12                         29.56   23.49   15.79   55.56   28.65    8.16    0.83    0.71    0.63      0.48
A13                         54.98   60.72   47.87   82.22   -8.78    2.58    1.51    1.66    1.65      0.50
A14                         57.25   57.28   45.17   80.33    4.99    2.52    1.53    1.54    1.65      0.54
A15                         57.85   61.67   42.64   82.73   -3.88    9.76    1.51    1.61    1.58      0.53
A16                         52.43   55.63   44.10   79.39   -3.11    2.19    1.51    1.60    1.63      0.55
A17                         57.15   57.64   42.73   80.53    3.88    5.86    1.54    1.58    1.52      0.53
A18                         54.70   60.66   45.30   82.19   -9.36    5.56    1.55    1.71    1.49      0.46
A19                         52.89   55.78   46.79   79.48   -2.28   -0.89    1.78    1.89    1.86      0.64
A20                         15.89   22.68   36.89   54.73  -30.75  -30.95    0.64    0.90    1.41      0.56
A21                         14.69    7.44   10.88   32.79   56.71  -17.64    0.49    0.25    0.50      0.57
A22                         42.63   38.55    2.50   68.42   17.02   83.17    0.89    1.01    0.09      0.51
B01                          3.02    2.70    1.54   18.80    7.55    7.01    0.11    0.09    0.06      0.23
B02                          3.53    2.65    0.90   18.59   16.90   15.30    0.13    0.09    0.04      0.27
B03                          4.03    2.64    0.54   18.54   24.67   21.85    0.14    0.09    0.02      0.36
B04                          4.47    2.62    0.29   18.47   31.05   26.43    0.15    0.10    0.01      0.46
B05                         10.90    9.91    5.98   37.68   10.36    9.18    0.36    0.34    0.28      0.43
B06                         12.37    9.75    3.99   37.38   22.09   19.21    0.41    0.34    0.20      0.44
B07                         14.52    9.86    2.39   37.58   35.01   30.97    0.44    0.32    0.11      0.36
B08                         19.04   11.15    1.45   39.82   50.54   44.27    0.32    0.24    0.06      0.29
B09                         27.53   27.23   21.21   59.18    5.15    2.47    0.90    0.93    0.81      0.49
B10                         29.19   27.43   18.89   59.36   10.86    7.63    0.94    0.92    0.75      0.49
B11                         31.70   28.19   16.95   60.05   17.28   13.14    0.93    0.86    0.66      0.47
B12                         35.33   29.54   15.37   61.25   24.78   19.00    0.79    0.76    0.60      0.49
B13                         48.58   53.59   44.90   78.22   -8.28   -0.80    1.45    1.56    1.65      0.51
B14                         49.95   50.04   42.90   76.09    4.60   -2.02    1.51    1.53    1.64      0.59
B15                         51.93   55.27   40.86   79.19   -3.51    5.92    1.48    1.55    1.64      0.56
B16                         45.32   47.64   40.12   74.59   -1.74   -1.04    1.38    1.44    1.58      0.60
B17                         49.32   49.81   39.80   75.95    3.52    1.71    1.44    1.46    1.46      0.49
B18                         48.11   53.46   41.41   78.13   -9.22    3.41    1.52    1.66    1.63      0.48
B19                         46.41   48.86   43.80   75.35   -1.97   -4.39    1.66    1.75    1.78      0.55
B20                          9.97   14.29   24.00   44.64  -26.75  -27.92    0.44    0.59    1.10      0.54
B21                          9.10    4.72    7.95   25.92   46.92  -19.38    0.36    0.19    0.40      0.51
B22                         26.28   24.01    1.92   56.09   13.41   67.23    0.86    0.80    0.07      0.55
C01                          5.81    5.71    3.22   28.66    3.46    9.14    0.19    0.18    0.14      0.31
C02                          6.13    5.62    1.86   28.43    8.09   20.07    0.19    0.18    0.08      0.29
C03                          6.56    5.66    0.99   28.53   12.20   31.04    0.20    0.18    0.03      0.35
C04                          6.97    5.76    0.68   28.79   15.20   36.74    0.22    0.19    0.02      0.42
C05                         19.45   18.97   10.30   50.64    5.95   14.99    0.65    0.64    0.46      0.49
