IT8.7/1                                                                                      
ORIGINATOR           "X-Rite, Inc."                                                          
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Ektachrome"                           
CREATED              "Sunday, October 26, 2008"                                              
MANUFACTURER         "X-Rite, Inc."                                                          
PROD_DATE            "2008:10"                                                               
SERIAL               "Batch Average Data"                                                    
MATERIAL             "Kodak Ektachrome Product Family"                                       
NUMBER_OF_FIELDS           11                                                                
BEGIN_DATA_FORMAT                                                                            
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT                                                                              
NUMBER_OF_SETS 288                                                                           
#                                                                                            
BEGIN_DATA                                                                                   
#ID                        X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z     SD_dE
A01                      2.17    1.85    1.27   14.66    9.01    3.16    0.12    0.10    0.10      0.49
A02                      2.57    1.72    0.97   13.94   20.34    6.11    0.13    0.09    0.08      0.62
A03                      3.08    1.70    0.81   13.84   30.03    8.62    0.17    0.11    0.08      0.68
A04                      3.57    1.80    0.74   14.39   35.67   10.96    0.17    0.10    0.07      0.67
A05                      9.01    7.65    5.83   33.24   14.62    2.21    0.39    0.33    0.28      0.46
A06                     10.49    7.27    4.55   32.42   29.98    7.40    0.43    0.29    0.24      0.57
A07                     13.68    7.88    3.98   33.71   46.47   12.93    0.56    0.31    0.22      0.71
A08                     15.84    8.16    3.48   34.31   56.98   17.13    0.23    0.13    0.18      0.47
A09                     27.19   26.06   21.65   58.08    8.48   -0.26    1.27    1.26    1.23      0.63
A10                     29.38   26.12   20.45   58.13   16.86    2.22    1.22    1.13    1.01      0.71
A11                     32.26   26.69   19.48   58.67   25.18    5.18    1.15    1.02    0.93      0.63
A12                     33.42   26.46   17.87   58.46   30.25    8.32    0.97    0.91    0.82      0.54
A13                     61.15   66.10   52.71   85.04   -5.97    1.98    1.35    1.45    1.25      0.37
A14                     63.48   64.31   50.68   84.12    3.40    2.64    1.31    1.63    1.25      0.59
A15                     64.08   67.28   48.83   85.64   -1.78    7.35    1.15    1.39    1.31      0.51
A16                     59.46   62.73   49.57   83.29   -2.43    2.46    1.31    1.63    1.19      0.59
A17                     63.53   64.75   49.17   84.35    2.52    4.74    1.30    1.62    1.29      0.67
A18                     60.79   65.90   50.62   84.94   -6.36    4.11    1.10    1.29    1.26      0.51
A19                     59.49   62.46   51.53   83.15   -1.73    0.02    1.34    1.63    1.30      0.70
A20                     18.48   27.83   46.21   59.73  -38.15  -34.26    0.43    0.78    0.83      0.90
A21                     16.24    7.75   12.27   33.44   62.98  -20.69    0.27    0.15    0.46      0.56
