IT8.7/1                                                                                       
ORIGINATOR           "X-Rite,  Inc."                                                          
DESCRIPTOR           "IT8.7/1  Reference Data File, 4x5 Ektachrome"                           
CREATED              "Wednesd ay, November 26, 2008"                                          
MANUFACTURER         "X-Rite,  Inc."                                                          
PROD_DATE            "2008:11 "                                                               
SERIAL               "Batch A verage Data"                                                    
MATERIAL             "Kodak E ktachrome Product Family"                                       
NUMBER_OF_FIELDS            11                                                                
BEGIN_DATA_FORMAT                                                                             
SAMPLE_ID                XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT                                                                               
NUMBER_OF_SETS 288                                                                            
#                                                                                             
BEGIN_DATA                                                                                    
#ID                         X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z     SD_dE
A01                       2.08    1.73    1.08   13.97   10.05    4.55    0.12    0.09    0.06      0.38
A02                       2.59    1.67    0.83   13.65   21.81    8.03    0.15    0.09    0.05      0.43
A03                       3.21    1.74    0.70   14.05   31.23   10.99    0.20    0.10    0.05      0.51
A04                       3.80    1.90    0.65   14.97   36.54   13.48    0.22    0.11    0.05      0.51
A05                       9.32    7.67    5.41   33.27   16.97    4.33    0.51    0.38    0.32      0.43
A06                      10.88    7.24    4.14   32.33   33.21    9.61    0.62    0.38    0.25      0.56
A07                      14.29    8.00    3.63   33.97   49.11   15.61    0.79    0.41    0.22      0.57
A08                      15.74    7.99    3.13   33.97   57.88   19.01    0.26    0.16    0.19      0.51
A09                      28.62   27.15   22.19   59.08    9.76    0.43    1.77    1.59    1.48      0.71
A10                      31.44   27.35   20.85   59.27   19.57    3.40    1.80    1.49    1.33      0.73
A11                      34.00   27.75   19.82   59.65   27.10    6.16    1.55    1.27    1.26      0.62
A12                      34.75   27.31   18.28   59.25   31.45    8.78    1.10    1.00    1.08      0.65
A13                      63.41   67.97   53.85   85.99   -4.82    2.38    1.67    1.63    1.33      0.47
A14                      65.90   66.38   52.10   85.18    4.27    2.90    1.51    1.67    1.43      0.52
A15                      66.32   69.35   50.48   86.67   -1.22    7.27    1.48    1.51    1.58      0.56
A16                      61.81   64.80   51.21   84.37   -1.55    2.48    1.59    1.62    1.39      0.55
A17                      65.90   66.70   50.70   85.35    3.57    4.74    1.36    1.46    1.41      0.54
A18                      63.01   67.74   52.18   85.87   -5.24    4.00    1.46    1.42    1.36      0.56
A19                      62.16   64.92   52.80   84.43   -1.01    0.84    1.68    1.72    1.46      0.54
A20                      19.05   28.73   46.92   60.54  -38.74  -33.72    0.49    0.79    0.89      0.52
A21                      16.92    8.08   12.33   34.15   63.79  -19.63    0.33    0.19    0.52      0.63
A22                      50.59   48.46    3.01   75.11   10.56   90.74    0.83    1.04    0.09      0.60
B01                       3.16    2.68    1.34   18.71   10.32    9.23    0.17    0.13    0.07      0.38
B02                       3.60    2.57    0.78   18.23   19.59   16.70    0.19    0.12    0.04      0.45
B03                       4.08    2.52    0.45   18.00   27.57   22.47    0.23    0.13    0.02      0.58
B04                       4.53    2.51    0.24   17.95   34.06   26.39    0.25    0.13    0.02      0.65
B05                      12.31   10.78    5.60   39.19   13.78   13.59    0.63    0.50    0.33      0.48
B06                      14.32   10.54    3.26   38.77   28.61   26.34    0.81    0.55    0.20      0.66
B07                      17.46   10.90    1.85   39.40   44.02   39.14    0.88    0.52    0.10      0.67
B08                      18.75   10.52    1.13   38.76   53.62   46.52    0.29    0.22    0.06      0.23
B09                      35.51   34.62   26.31   65.43    7.30    3.82    2.12    2.00    1.74      0.81
B10                      37.17   34.33   22.41   65.20   13.78   10.55    2.01    1.85    1.42      0.72
B11                      39.65   34.95   19.69   65.69   19.62   16.85    1.65    1.56    1.23      0.63
B12                      40.60   34.86   17.39   65.63   22.90   21.76    1.09    1.18    0.99      0.63
B13                      57.86   62.70   51.65   83.28   -6.23    0.11    1.80    1.80    1.38      0.60
B14                      59.89   59.83   49.97   81.73    5.30   -0.67    1.81    1.92    1.44      0.64
B15                      61.54   64.72   48.44   84.33   -2.01    5.56    1.66    1.66    1.62      0.64
B16                      55.31   57.40   47.17   80.40   -0.08    0.23    1.74    1.76    1.43      0.59
B17                      59.27   59.64   47.19   81.64    4.25    2.36    1.51    1.56    1.42      0.53
B18                      57.38   62.50   48.60   83.17   -6.94    3.36    1.55    1.53    1.41      0.61
B19                      56.40   58.62   50.49   81.07   -0.29   -2.41    1.72    1.75    1.37      0.56
B20                      15.44   22.93   40.35   54.98  -34.52  -35.16    0.61    1.01    1.30      0.72
B21                      12.02    5.82    9.67   28.96   55.98  -20.35    0.53    0.24    0.44      0.74
B22                      34.64   31.67    2.21   63.06   14.61   76.47    1.55    1.38    0.07      1.06
C01                       6.39    6.06    2.97   29.56    5.92   12.54    0.33    0.29    0.16      0.44
C02                       6.63    5.79    1.64   28.87   11.35   23.16    0.35    0.28    0.08      0.41
C03                       6.85    5.67    0.92   28.56   14.98   32.22    0.36    0.27    0.04      0.52
C04                       7.07    5.63    0.64   28.45   17.66   36.90    0.37    0.26    0.03      0.65
C05                      24.29   23.16   10.88   55.22    8.69   21.04    1.35    1.20    0.60      0.65
C06                      27.02   23.64    5.26   55.70   18.01   43.74    1.56    1.29    0.31      0.77
C07                      30.91   25.03    2.62   57.09   27.10   62.68    1.26    1.09    0.13      0.62
C08                      32.81   25.69    1.63   57.74   31.23   73.07    0.72    0.74    0.07      0.60
C09                      43.15   43.22   29.05   71.68    4.40   10.02    2.20    2.16    1.73      0.78
C10                      44.49   43.66   24.10   71.98    7.04   19.05    2.04    2.02    1.39      0.67
C11                      46.68   44.54   19.25   72.57   10.77   29.63    1.65    1.73    1.10      0.61
C12                      47.46   44.72   15.80   72.70   12.44   37.70    1.33    1.58    0.87      0.66
C13                      51.04   59.03   52.11   81.30  -14.96   -3.81    1.57    1.55    1.24      0.52
C14                      55.00   50.44   46.96   76.33   16.66   -6.53    1.68    1.79    1.35      0.64
C15                      62.30   66.24   40.12   85.11   -3.59   17.11    1.63    1.62    1.82      0.69
C16                      43.03   44.41   36.53   72.49    0.59    0.17    2.01    1.98    1.65      0.74
C17                      51.97   48.58   35.74   75.18   13.86    5.93    1.58    1.63    1.63      0.77
C18                      49.24   58.05   39.95   80.76  -17.45    9.82    1.50    1.44    1.57      0.80
C19                      46.07   46.58   47.43   73.91    3.29  -11.25    1.89    1.92    1.42      0.70
C20                       9.37   13.71   26.92   43.80  -27.97  -34.54    0.53    0.78    1.48      0.79
C21                       7.22    3.56    7.12   22.15   46.22  -22.56    0.32    0.15    0.33      0.69
C22                      18.89   17.79    1.58   49.23    9.14   58.94    0.87    0.73    0.06      0.89
D01                       4.26    4.42    2.14   25.00    0.04   11.54    0.23    0.21    0.11      0.41
D02                       4.23    4.46    1.34   25.12   -1.04   20.23    0.22    0.21    0.07      0.40
D03                       4.31    4.61    0.86   25.58   -1.85   28.08    0.22    0.21    0.04      0.44
D04                       4.47    4.84    0.77   26.28   -2.60   30.74    0.21    0.21    0.04      0.48
D05                      17.90   18.80    8.54   50.44   -1.22   20.66    0.93    0.90    0.47      0.53
D06                      18.18   19.21    4.29   50.91   -1.79   40.75    0.97    0.96    0.24      0.64
D07                      18.69   20.25    2.30   52.10   -4.25   56.82    0.99    1.04    0.10      0.73
D08                      19.17   20.78    1.88   52.69   -4.32   61.73    0.99    1.02    0.08      0.82
D09                      51.36   54.15   25.21   78.54   -2.25   28.35    2.05    2.11    1.45      0.71
D10                      51.20   54.47   12.85   78.72   -3.44   55.73    1.77    1.88    0.58      0.53
D11                      50.10   54.05    6.22   78.48   -5.33   78.43    1.66    1.65    0.24      0.57
D12                      48.15   52.96    4.15   77.85   -7.86   88.01    1.54    1.37    0.15      0.86
D13                      44.90   55.12   52.26   79.10  -22.40   -7.76    1.31    1.29    1.20      0.50
D14                      47.92   40.23   42.72   69.62   26.96  -12.95    1.38    1.40    1.26      0.58
D15                      62.70   67.27   31.95   85.64   -4.92   29.51    1.39    1.39    1.59      0.73
D16                      32.19   33.48   27.89   64.52   -0.34   -0.43    1.69    1.67    1.51      0.80
D17                      44.70   39.11   26.34   68.82   21.34    9.61    1.27    1.30    1.46      0.85
D18                      42.55   53.78   32.38   78.33  -25.95   16.25    1.24    1.18    1.42      0.80
D19                      36.25   36.14   45.14   66.61    4.72  -21.12    1.70    1.74    1.41      0.71
D20                       4.57    6.94   13.03   31.65  -24.56  -25.89    0.26    0.36    0.76      0.70
D21                       3.88    2.03    4.29   15.66   34.86  -20.05    0.19    0.09    0.21      0.66
D22                       9.80    9.73    1.14   37.34    3.40   44.06    0.40    0.35    0.05      0.70
E01                       6.15    6.99    3.39   31.78   -6.24   13.40    0.32    0.32    0.18      0.44
E02                       5.84    7.49    2.23   32.89  -14.38   24.30    0.30    0.34    0.11      0.43
E03                       5.47    7.85    1.49   33.65  -21.89   33.17    0.30    0.38    0.07      0.49
E04                       5.64    8.30    1.31   34.58  -23.98   36.98    0.31    0.41    0.06      0.50
E05                      26.35   30.77   15.13   62.29  -13.11   21.40    1.49    1.68    0.90      0.71
E06                      25.36   32.86    8.81   64.03  -24.68   43.12    1.25    1.57    0.46      0.64
E07                      24.56   35.25    5.36   65.94  -36.28   60.88    0.83    1.05    0.22      0.44
E08                      20.57   31.81    4.17   63.18  -42.55   62.62    0.56    0.69    0.15      0.33
E09                      48.02   52.68   33.38   77.66   -7.50   13.64    2.24    2.27    1.89      0.77
E10                      45.81   53.55   25.74   78.19  -15.88   26.80    1.89    1.94    1.43      0.66
E11                      41.61   52.04   19.23   77.30  -24.35   37.83    1.47    1.49    0.95      0.55
E12                      37.90   49.64   14.32   75.84  -29.66   46.81    1.15    1.13    0.57      0.48
E13                      40.04   51.42   52.51   76.93  -27.53  -11.79    0.96    0.96    0.97      0.42
E14                      41.57   31.96   38.75   63.30   35.87  -18.70    1.07    0.98    1.10      0.52
E15                      62.55   67.47   24.76   85.73   -5.70   41.55    1.25    1.31    1.19      0.60
E16                      22.57   23.19   19.40   55.25    0.98   -0.56    1.14    1.11    1.06      0.72
E17                      37.45   30.44   18.68   62.03   28.47   12.67    0.86    0.85    0.96      0.69
E18                      37.32   49.80   25.94   75.94  -31.95   22.57    1.00    0.99    1.20      0.73
E19                      26.70   25.58   40.60   57.62    8.52  -30.94    1.20    1.18    1.23      0.64
E20                       1.72    2.69    4.74   18.75  -19.20  -17.25    0.12    0.16    0.30      0.53
E21                       1.67    0.95    1.99    8.55   23.44  -15.47    0.08    0.05    0.10      0.52
E22                       4.04    4.03    0.75   23.77    2.20   26.79    0.16    0.14    0.04      0.53
F01                       3.95    4.95    3.25   26.58  -11.20    5.36    0.22    0.25    0.19      0.42
F02                       3.56    5.72    3.01   28.67  -26.19   10.73    0.22    0.31    0.19      0.43
F03                       3.04    5.90    2.71   29.13  -36.65   13.80    0.22    0.36    0.17      0.47
F04                       2.29    5.01    2.22   26.74  -40.61   13.82    0.15    0.29    0.13      0.43
F05                      14.21   18.36   11.66   49.92  -20.08    9.51    0.72    0.87    0.63      0.52
F06                      13.96   23.55   11.27   55.61  -46.21   20.52    0.79    1.26    0.62      0.61
F07                       9.04   18.23    9.28   49.76  -56.41   16.89    0.40    0.76    0.48      0.49
F08                       9.08   18.28    9.19   49.82  -56.27   17.30    0.41    0.78    0.50      0.48
F09                      32.16   37.90   27.66   67.92  -15.08    5.82    1.77    1.97    1.69      0.80
F10                      29.86   40.14   25.62   69.55  -30.55   12.13    1.24    1.51    1.38      0.72
F11                      27.75   40.90   25.74   70.10  -41.07   12.85    0.78    0.88    1.17      0.70
F12                      20.18   33.33   27.21   64.43  -49.81    0.54    0.57    0.64    1.38      0.92
F13                      37.03   48.89   52.57   75.38  -30.46  -14.52    0.77    0.80    0.87      0.39
F14                      37.45   26.89   35.84   58.86   42.12  -22.37    0.89    0.76    1.08      0.45
F15                      61.68   66.47   19.05   85.23   -5.55   51.87    1.09    1.19    0.81      0.48
F16                      16.76   17.29   14.33   48.62    0.49   -0.13    0.73    0.69    0.68      0.56
F17                      31.91   24.12   12.64   56.20   34.64   17.51    0.58    0.56    0.58      0.58
F18                      32.77   45.94   20.26   73.50  -36.88   29.11    0.75    0.76    0.81      0.59
F19                      20.59   19.13   37.05   50.83   10.75  -37.91    0.79    0.74    1.06      0.54
F20                       0.48    0.80    1.22    7.26  -11.96   -8.94    0.05    0.06    0.08      0.42
F21                       0.60    0.44    0.68    4.00    7.04   -5.98    0.04    0.04    0.04      0.31
