IT8.7/1                                                                                       
ORIGINATOR           "X-Rite,  Inc."                                                          
DESCRIPTOR           "IT8.7/1  Reference Data File, 4x5 Ektachrome"                           
CREATED              "Friday,  December 26, 2008"                                             
MANUFACTURER         "X-Rite,  Inc."                                                          
PROD_DATE            "2008:12 "                                                               
SERIAL               "Batch A verage Data"                                                    
MATERIAL             "Kodak E ktachrome Product Family"                                       
NUMBER_OF_FIELDS            11                                                                
BEGIN_DATA_FORMAT                                                                             
SAMPLE_ID                XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT                                                                               
NUMBER_OF_SETS 288                                                                            
#                                                                                             
BEGIN_DATA                                                                                    
#ID                         X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z     SD_dE
A01                       1.91    1.64    1.05   13.47    8.24    4.20    0.08    0.06    0.05      0.22
A02                       2.26    1.53    0.80   12.79   19.00    6.92    0.09    0.06    0.04      0.28
A03                       2.76    1.53    0.65   12.77   28.84    9.73    0.12    0.07    0.04      0.36
A04                       3.23    1.64    0.60   13.47   34.17   11.95    0.15    0.08    0.04      0.40
A05                       8.15    6.92    4.72   31.61   14.22    5.03    0.32    0.27    0.24      0.32
A06                       9.46    6.51    3.60   30.65   29.51   10.02    0.35    0.24    0.20      0.37
A07                      12.47    7.15    3.14   32.13   45.31   15.75    0.44    0.25    0.18      0.49
A08                      15.50    7.88    2.73   33.72   57.56   21.59    0.22    0.15    0.18      0.49
A09                      25.26   24.60   19.26   56.67    6.65    2.21    1.06    0.98    1.16      0.73
A10                      27.29   24.48   17.94   56.55   15.49    4.89    1.13    0.96    1.04      0.63
A11                      30.26   25.14   17.08   57.21   24.21    7.95    1.10    0.88    0.93      0.64
A12                      31.95   25.08   15.66   57.14   30.71   11.22    0.84    0.71    0.78      0.59
A13                      60.43   66.83   52.02   85.42   -9.27    3.38    1.24    1.20    1.23      0.37
A14                      63.41   64.97   49.82   84.47    1.76    4.20    1.35    1.42    1.32      0.40
A15                      63.68   68.23   47.92   86.12   -4.75    9.23    1.32    1.34    1.35      0.50
A16                      58.60   62.91   48.57   83.39   -4.91    3.77    1.47    1.53    1.35      0.48
A17                      63.38   65.36   48.13   84.66    0.83    6.48    1.54    1.62    1.55      0.51
A18                      59.94   66.50   49.82   85.25   -9.71    5.55    1.44    1.46    1.48      0.45
A19                      59.15   63.18   50.91   83.53   -4.20    1.37    1.68    1.79    1.49      0.44
A20                      18.68   28.65   45.83   60.46  -40.29  -32.55    0.49    0.78    1.00      0.54
A21                      15.74    7.48   11.38   32.88   62.58  -19.03    0.34    0.17    0.44      0.56
A22                      49.89   47.65    2.77   74.59   10.89   91.66    1.05    1.33    0.09      0.82
B01                       2.92    2.62    1.34   18.47    7.34    8.75    0.10    0.08    0.05      0.27
B02                       3.25    2.45    0.77   17.67   16.29   15.89    0.11    0.08    0.03      0.30
B03                       3.65    2.36    0.43   17.25   24.52   21.58    0.13    0.08    0.02      0.36
B04                       4.02    2.30    0.23   16.99   31.10   24.93    0.16    0.09    0.01      0.49
B05                      10.84    9.72    4.91   37.32   11.47   13.86    0.40    0.36    0.25      0.32
B06                      12.32    9.32    2.90   36.59   25.12   25.16    0.44    0.34    0.14      0.37
B07                      15.25    9.72    1.73   37.32   40.51   36.84    0.52    0.34    0.08      0.45
B08                      18.44   10.31    1.06   38.39   53.58   46.90    0.26    0.20    0.05      0.24
B09                      31.05   31.22   23.11   62.68    3.50    4.87    1.33    1.28    1.38      0.79
B10                      32.92   31.17   19.37   62.64   10.46   12.25    1.27    1.16    1.07      0.64
B11                      36.12   32.27   16.94   63.55   17.50   19.21    1.10    0.99    0.78      0.59
B12                      38.53   32.91   14.87   64.08   23.08   25.15    0.73    0.76    0.65      0.54
B13                      54.67   60.93   49.19   82.33  -10.05    1.24    1.26    1.30    1.21      0.39
B14                      56.67   57.67   47.27   80.55    2.65    0.37    1.40    1.45    1.16      0.41
B15                      58.65   63.20   45.85   83.54   -5.44    7.23    1.32    1.38    1.20      0.41
B16                      51.59   54.87   44.36   78.96   -3.43    1.12    1.42    1.48    1.19      0.46
B17                      56.14   57.55   44.55   80.48    1.61    3.51    1.42    1.47    1.22      0.41
B18                      54.06   60.60   45.81   82.16  -10.83    4.88    1.36    1.45    1.33      0.39
B19                      52.62   56.07   47.67   79.64   -3.71   -1.64    1.63    1.75    1.46      0.42
B20                      14.29   21.53   37.81   53.51  -35.07  -34.32    0.53    0.84    1.24      0.66
B21                      10.13    4.94    8.96   26.55   52.50  -22.04    0.40    0.19    0.36      0.63
B22                      30.65   28.78    1.99   60.57   11.14   74.20    1.34    1.28    0.08      1.05
C01                       5.76    5.65    2.70   28.51    3.59   12.81    0.21    0.20    0.11      0.30
C02                       5.96    5.40    1.58   27.85    8.63   22.09    0.21    0.19    0.06      0.35
C03                       6.16    5.26    0.84   27.47   12.53   31.61    0.22    0.18    0.03      0.35
C04                       6.36    5.20    0.59   27.30   15.34   35.85    0.23    0.19    0.02      0.44
C05                      21.41   21.02    9.70   52.97    5.45   20.96    0.74    0.70    0.51      0.39
C06                      23.86   21.40    4.74   53.38   14.83   42.47    0.78    0.68    0.20      0.43
C07                      27.84   22.97    2.43   55.04   24.26   60.69    0.83    0.69    0.08      0.44
C08                      31.80   24.87    1.50   56.94   31.03   73.13    0.56    0.56    0.05      0.40
C09                      38.58   39.71   25.91   69.24    0.92   11.10    1.65    1.63    1.60      0.86
