IT8.7/1                                                                                       
ORIGINATOR           "X-Rite,  Inc."                                                          
DESCRIPTOR           "IT8.7/1  Reference Data File, 4x5 Ektachrome"                           
CREATED              "Sunday,  January 25, 2009"                                              
MANUFACTURER         "X-Rite,  Inc."                                                          
PROD_DATE            "2009:01 "                                                               
SERIAL               "Batch A verage Data"                                                    
MATERIAL             "Kodak E ktachrome Product Family"                                       
NUMBER_OF_FIELDS            11                                                                
BEGIN_DATA_FORMAT                                                                             
SAMPLE_ID                XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT                                                                               
NUMBER_OF_SETS 288                                                                            
#                                                                                             
BEGIN_DATA                                                                                    
#ID                         X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z     SD_dE
A01                       2.32    2.01    1.50   15.54    8.34    1.85    0.07    0.06    0.12      0.44
A02                       2.75    1.88    1.16   14.82   19.93    4.96    0.09    0.06    0.09      0.43
A03                       3.22    1.80    0.98   14.42   29.91    6.83    0.12    0.06    0.08      0.47
A04                       3.68    1.86    0.88   14.73   35.80    8.94    0.13    0.06    0.08      0.49
A05                       9.63    8.32    6.60   34.64   13.74    1.19    0.32    0.22    0.43      0.66
A06                      11.21    7.95    5.35   33.88   29.03    5.67    0.46    0.26    0.39      0.78
A07                      14.96    8.74    4.76   35.47   46.77   11.51    0.70    0.33    0.32      1.06
A08                      16.58    8.67    4.30   35.35   56.71   13.89    0.18    0.12    0.31      0.66
A09                      30.55   29.77   27.54   61.43    7.00   -5.15    1.67    1.62    1.95      1.57
A10                      32.52   29.55   26.41   61.24   14.97   -3.54    1.80    1.59    1.96      1.55
A11                      35.32   29.91   25.12   61.56   23.38   -0.75    1.53    1.29    1.63      1.43
A12                      36.20   29.31   23.07   61.04   28.58    2.12    1.21    1.08    1.57      1.42
A13                      62.47   68.67   56.75   86.34   -8.46   -0.06    1.25    1.20    1.86      0.83
A14                      65.79   67.31   55.09   85.65    2.02    0.49    1.41    1.66    1.96      1.00
A15                      66.47   71.04   54.68   87.50   -4.45    4.13    1.11    1.12    2.21      0.89
A16                      61.59   65.69   54.83   84.83   -4.04   -0.65    1.57    1.73    2.01      1.10
A17                      66.32   68.21   54.67   86.11    1.22    1.74    1.35    1.57    2.30      1.05
A18                      62.68   68.96   56.13   86.48   -8.61    0.83    1.28    1.23    2.07      0.76
A19                      62.07   65.93   56.24   84.95   -3.45   -1.92    1.65    1.81    2.09      1.04
A20                      19.78   30.16   48.03   61.79  -40.38  -32.86    0.40    0.66    1.12      0.85
A21                      17.67    8.42   15.76   34.83   64.92  -27.40    0.49    0.22    1.65      1.10
A22                      52.14   51.06    3.19   76.71    7.73   92.26    0.96    1.25    0.09      0.91
B01                       3.50    3.18    1.92   20.75    7.07    6.29    0.12    0.08    0.14      0.54
B02                       3.85    2.92    1.05   19.71   16.90   14.96    0.13    0.08    0.08      0.50
B03                       4.24    2.80    0.59   19.21   24.65   22.08    0.16    0.08    0.04      0.58
B04                       4.66    2.72    0.31   18.89   31.72   26.68    0.19    0.10    0.02      0.61
B05                      12.51   11.45    6.75   40.33   10.30   10.34    0.48    0.36    0.39      0.59
B06                      14.49   11.26    4.20   40.00   24.37   22.47    0.71    0.44    0.26      0.92
B07                      17.89   11.76    2.48   40.82   40.18   35.81    0.90    0.49    0.15      1.24
B08                      19.78   11.63    1.47   40.62   50.84   45.38    0.15    0.12    0.08      0.43
B09                      37.09   37.71   32.85   67.78    2.40   -2.60    1.94    2.04    2.31      1.57
B10                      38.69   37.46   28.18   67.59    8.38    4.41    2.17    2.17    2.06      1.41
B11                      41.12   38.01   24.63   68.01   14.18   11.27    1.90    1.89    1.86      1.24
B12                      43.08   38.31   21.68   68.24   19.11   17.21    1.24    1.42    1.50      1.17
B13                      56.83   62.63   54.51   83.24   -8.58   -3.04    1.56    1.66    1.96      1.02
B14                      59.10   60.29   52.86   81.98    2.34   -3.43    1.61    1.84    2.15      1.19
B15                      61.10   65.35   52.64   84.66   -4.43    1.42    1.43    1.54    2.39      1.07
B16                      55.24   58.44   51.72   80.97   -2.75   -3.94    1.76    2.00    2.11      1.38
B17                      59.30   60.83   51.66   82.28    1.55   -1.61    1.65    1.90    2.21      1.29
B18                      57.24   63.24   53.21   83.56   -8.96   -1.09    1.56    1.67    2.13      0.96
