IT8.7/1                                                                                      
ORIGINATOR           "X-Rite, Inc."                                                          
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Ektachrome"                           
CREATED              "Saturday, June 06, 2009"                                               
MANUFACTURER         "X-Rite, Inc."                                                          
PROD_DATE            "2009:06"                                                               
SERIAL               "Batch Average Data"                                                    
MATERIAL             "Kodak Ektachrome Product Family"                                       
NUMBER_OF_FIELDS           11                                                                
BEGIN_DATA_FORMAT                                                                            
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT                                                                              
NUMBER_OF_SETS 288                                                                           
#                                                                                            
BEGIN_DATA                                                                                   
#ID                        X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z     SD_dE
A01                      2.41    2.10    1.24   16.02    8.23    5.86    0.12    0.09    0.06      0.39
A02                      3.08    2.12    0.95   16.10   20.27   10.16    0.15    0.10    0.05      0.41
A03                      3.84    2.13    0.69   16.17   32.06   14.78    0.17    0.10    0.04      0.44
A04                      4.53    2.29    0.57   16.95   38.32   18.43    0.17    0.09    0.04      0.48
A05                     10.92    9.45    6.28   36.83   14.12    6.37    0.43    0.40    0.32      0.47
A06                     12.96    9.21    5.16   36.37   30.32   10.96    0.53    0.42    0.30      0.59
A07                     16.84    9.91    4.24   37.67   48.12   18.22    0.54    0.37    0.24      0.57
A08                     17.23    9.17    3.35   36.30   56.19   21.47    0.36    0.25    0.17      0.48
A09                     29.96   28.45   21.35   60.29    9.79    4.13    1.00    0.93    0.94      0.69
A10                     32.90   28.76   19.91   60.56   19.37    7.53    1.05    0.93    0.91      0.68
A11                     35.26   28.63   18.57   60.44   28.05   10.18    0.83    0.79    0.82      0.68
A12                     35.12   27.66   17.15   59.58   31.31   11.87    0.63    0.65    0.76      0.74
A13                     64.08   69.65   52.77   86.82   -6.89    4.99    1.25    1.11    1.18      0.58
A14                     66.41   67.99   51.09   86.00    1.90    5.42    1.14    1.17    1.22      0.54
A15                     67.59   71.50   50.68   87.72   -2.95    8.85    1.19    1.15    1.28      0.60
A16                     64.53   68.35   51.83   86.18   -3.09    4.91    1.29    1.22    1.16      0.56
A17                     66.75   68.48   50.77   86.24    1.60    6.20    1.08    1.13    1.15      0.54
A18                     64.87   70.48   52.56   87.23   -6.85    5.92    1.23    1.10    1.10      0.55
A19                     65.40   69.14   54.04   86.57   -2.82    3.17    1.30    1.26    1.00      0.49
A20                     20.16   28.41   44.92   60.25  -31.91  -31.83    0.55    0.88    0.89      0.68
A21                     18.23    9.32   10.32   36.59   60.30   -9.31    0.28    0.19    0.49      0.79
A22                     49.44   47.64    4.46   74.59    9.71   80.60    0.67    0.97    0.12      0.66
B01                      3.68    3.30    1.69   21.19    8.02    9.41    0.19    0.16    0.09      0.45
B02                      4.48    3.36    1.07   21.43   18.37   17.60    0.22    0.16    0.05      0.47
B03                      5.30    3.42    0.65   21.65   27.79   25.09    0.23    0.16    0.03      0.54
B04                      6.12    3.52    0.38   22.03   35.50   30.72    0.24    0.16    0.02      0.58
B05                     13.97   12.42    6.79   41.87   13.10   12.83    0.53    0.51    0.34      0.53
B06                     16.68   12.70    4.48   42.30   27.29   24.83    0.60    0.50    0.21      0.60
B07                     20.45   13.23    2.73   43.09   43.43   37.69    0.57    0.46    0.14      0.59
B08                     20.08   11.75    1.57   40.81   51.47   44.58    0.42    0.34    0.08      0.48
B09                     36.76   35.90   25.73   66.44    7.19    6.55    1.11    1.09    1.16      0.68
B10                     39.15   35.91   21.97   66.44   14.88   13.50    1.03    0.99    0.96      0.66
B11                     40.30   35.17   19.49   65.88   20.90   17.56    0.84    0.90    0.87      0.71
B12                     39.85   33.98   17.32   64.94   23.55   20.74    0.70    0.84    0.81      0.67
B13                     60.98   66.65   52.04   85.32   -7.57    3.20    1.30    1.24    1.20      0.52
B14                     62.74   64.06   50.39   83.99    2.24    2.74    1.35    1.42    1.24      0.50
B15                     64.34   68.22   50.19   86.11   -3.23    6.62    1.32    1.28    1.26      0.49
B16                     60.20   63.96   50.34   83.94   -3.45    2.70    1.31    1.31    1.20      0.49
B17                     63.25   64.78   49.64   84.37    1.81    4.23    1.25    1.32    1.17      0.50
B18                     61.36   67.15   51.63   85.58   -7.78    4.08    1.35    1.29    1.12      0.47
B19                     61.81   65.70   53.09   84.84   -3.56    1.22    1.53    1.53    1.16      0.50
B20                     12.64   16.90   32.70   48.12  -22.40  -36.32    0.52    0.73    1.29      0.67
B21                     13.55    6.97    7.41   31.72   54.25   -7.24    0.40    0.22    0.39      0.60
B22                     35.88   31.62    3.27   63.02   19.03   68.05    0.87    0.91    0.10      0.71
C01                      7.31    7.25    3.72   32.35    3.18   12.18    0.30    0.30    0.18      0.47
C02                      7.89    7.28    2.38   32.42    8.36   22.16    0.33    0.31    0.12      0.48
C03                      8.44    7.20    1.37   32.25   13.95   32.22    0.34    0.31    0.06      0.55
C04                      8.77    7.19    1.00   32.23   16.93   37.26    0.34    0.31    0.05      0.58
C05                     25.55   24.10   12.10   56.18    9.99   19.02    0.86    0.83    0.57      0.51
C06                     28.94   24.84    7.29   56.91   20.46   36.65    0.85    0.78    0.32      0.53
C07                     30.90   24.60    3.69   56.68   28.85   54.37    0.63    0.64    0.16      0.55
