IT8.7/1                                                                                      
ORIGINATOR           "X-Rite, Inc."                                                          
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Ektachrome"                           
CREATED              "Tuesday, September 08, 2009"                                           
MANUFACTURER         "X-Rite, Inc."                                                          
PROD_DATE            "2009:09"                                                               
SERIAL               "Batch Average Data"                                                    
MATERIAL             "Kodak Ektachrome Product Family"                                       
NUMBER_OF_FIELDS           11                                                                
BEGIN_DATA_FORMAT                                                                            
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT                                                                              
NUMBER_OF_SETS 288                                                                           
#                                                                                            
BEGIN_DATA                                                                                   
#ID                        X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z     SD_dE
A01                      2.57    2.25    1.28   16.76    8.10    6.65    0.13    0.12    0.08      0.26
A02                      3.28    2.27    0.97   16.85   20.38   11.20    0.17    0.13    0.07      0.31
A03                      4.09    2.29    0.71   16.94   32.39   15.81    0.22    0.13    0.05      0.36
A04                      4.82    2.46    0.58   17.71   38.82   19.49    0.25    0.13    0.04      0.43
A05                     11.53   10.04    6.59   37.90   13.97    6.84    0.54    0.48    0.44      0.54
A06                     13.78    9.86    5.45   37.58   30.38   11.58    0.62    0.45    0.38      0.58
A07                     17.74   10.50    4.46   38.72   48.44   18.78    0.64    0.40    0.30      0.48
A08                     17.81    9.53    3.53   36.99   56.32   21.45    0.28    0.20    0.26      0.65
A09                     31.45   29.46   22.61   61.16   11.48    3.22    1.66    1.57    1.69      0.63
A10                     34.54   29.92   21.21   61.56   20.70    6.64    1.67    1.49    1.54      0.70
A11                     36.38   29.47   19.78   61.18   28.60    8.90    1.25    1.18    1.48      0.87
A12                     36.00   28.38   18.36   60.22   31.49   10.31    0.97    0.99    1.41      1.04
A13                     65.15   69.61   53.79   86.80   -4.39    3.86    2.18    2.29    2.16      0.48
A14                     66.57   67.34   52.23   85.66    3.67    3.60    1.98    2.28    2.10      0.55
A15                     68.02   70.96   51.97   87.45   -0.86    6.97    2.03    2.20    2.20      0.45
A16                     65.07   67.86   52.59   85.92   -0.80    3.65    2.28    2.47    2.12      0.58
A17                     66.74   67.66   51.59   85.82    3.35    4.58    2.06    2.35    2.19      0.62
A18                     65.75   70.38   53.43   87.17   -4.65    4.90    2.33    2.37    2.26      0.55
A19                     65.77   68.58   54.41   86.28   -0.79    2.30    2.45    2.57    2.20      0.67
A20                     20.05   27.81   44.78   59.69  -30.12  -32.60    1.04    1.66    1.60      1.19
A21                     18.62    9.54   10.48   37.00   60.53   -9.08    0.43    0.26    0.73      0.96
A22                     49.07   46.93    4.35   74.13   10.66   80.41    1.35    1.85    0.22      1.13
