IT8.7/1                                                                                      
ORIGINATOR           "X-Rite, Inc."                                                          
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Ektachrome"                           
CREATED              "Friday, July 17, 2009"                                                 
MANUFACTURER         "X-Rite, Inc."                                                          
PROD_DATE            "2009:07"                                                               
SERIAL               "Batch Average Data"                                                    
MATERIAL             "Kodak Ektachrome Product Family"                                       
NUMBER_OF_FIELDS           11                                                                
BEGIN_DATA_FORMAT                                                                            
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT                                                                              
NUMBER_OF_SETS 288                                                                           
#                                                                                            
BEGIN_DATA                                                                                   
#ID                        X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z     SD_dE
A01                      2.45    2.17    1.24   16.37    7.40    6.45    0.08    0.08    0.05      0.25
A02                      3.16    2.21    0.94   16.56   19.72   11.11    0.10    0.07    0.03      0.26
A03                      3.96    2.22    0.69   16.61   31.87   15.60    0.13    0.07    0.03      0.24
A04                      4.67    2.38    0.56   17.36   38.49   19.35    0.13    0.07    0.02      0.24
A05                     11.29    9.86    6.45   37.58   13.62    6.89    0.35    0.34    0.32      0.30
A06                     13.42    9.61    5.30   37.13   30.09   11.54    0.36    0.29    0.27      0.32
A07                     17.52   10.36    4.41   38.49   48.32   18.65    0.37    0.23    0.19      0.34
A08                     17.70    9.46    3.48   36.85   56.36   21.50    0.20    0.13    0.20      0.50
A09                     31.44   29.67   22.32   61.36   10.66    4.14    1.00    0.96    1.88      1.04
A10                     34.44   29.93   20.87   61.59   20.29    7.39    1.06    1.00    1.80      1.06
A11                     36.41   29.53   19.42   61.24   28.45    9.78    0.95    0.92    1.64      1.18
A12                     36.04   28.44   18.10   60.28   31.37   10.96    0.76    0.75    1.36      1.31
A13                     65.45   70.40   53.95   87.19   -5.36    4.35    1.46    1.55    1.70      0.54
A14                     67.12   68.30   52.33   86.15    2.81    4.32    1.53    1.75    1.81      0.68
A15                     68.35   71.72   51.94   87.83   -1.73    7.64    1.71    1.83    1.95      0.66
A16                     65.58   68.88   52.85   86.44   -1.86    4.25    1.61    1.77    1.79      0.61
A17                     67.49   68.87   51.98   86.43    2.41    5.19    1.55    1.76    1.72      0.70
A18                     66.18   71.24   53.70   87.60   -5.51    5.32    1.52    1.58    1.57      0.49
A19                     66.49   69.80   54.74   86.89   -1.79    2.99    1.64    1.80    1.54      0.55
A20                     20.36   28.62   45.22   60.44  -31.76  -31.85    0.64    0.96    1.14      0.70
A21                     18.59    9.51   10.45   36.94   60.64   -9.13    0.33    0.20    0.58      0.62
A22                     50.04   48.29    4.38   75.00    9.56   81.75    1.01    1.39    0.19      0.90
B01                      3.76    3.43    1.69   21.68    7.06   10.25    0.15    0.14    0.07      0.31
B02                      4.57    3.48    1.05   21.85   17.72   18.61    0.17    0.13    0.04      0.32
B03                      5.42    3.54    0.63   22.07   27.41   26.12    0.18    0.13    0.03      0.29
B04                      6.33    3.68    0.38   22.59   35.36   31.86    0.18    0.11    0.01      0.30
B05                     14.38   12.86    7.00   42.54   12.81   13.06    0.45    0.42    0.35      0.26
B06                     17.30   13.24    4.60   43.12   27.18   25.57    0.50    0.40    0.23      0.31
B07                     21.14   13.76    2.76   43.88   43.38   38.84    0.42    0.32    0.12      0.27
B08                     20.71   12.23    1.57   41.57   51.25   45.84    0.20    0.17    0.06      0.19
B09                     38.66   37.46   27.66   67.61    8.26    5.25    1.13    1.13    1.27      0.54
B10                     40.85   37.32   23.72   67.51   15.54   12.03    1.04    1.01    1.05      0.54
B11                     41.39   36.09   20.87   66.58   21.21   15.95    1.02    1.06    1.05      0.69
B12                     40.73   34.77   18.44   65.57   23.57   19.30    0.76    0.83    0.91      0.68
B13                     62.14   67.29   53.09   85.64   -6.25    2.62    1.78    1.90    1.73      0.54
B14                     63.70   64.81   51.38   84.38    2.77    2.31    1.69    1.85    1.73      0.73
B15                     65.47   68.95   51.43   86.47   -2.25    5.86    1.68    1.82    1.73      0.54
B16                     61.36   64.83   51.26   84.39   -2.66    2.46    1.68    1.88    1.71      0.67
B17                     64.31   65.69   50.73   84.83    2.21    3.81    1.71    1.95    1.74      0.77
B18                     62.77   68.13   52.72   86.06   -6.61    3.74    1.58    1.69    1.58      0.50
B19                     63.15   66.74   53.82   85.36   -2.74    1.34    1.71    1.92    1.58      0.63
B20                     13.02   17.45   33.66   48.82  -22.86  -36.54    0.48    0.64    1.26      0.57
B21                     13.86    7.12    7.55   32.07   54.74   -7.24    0.36    0.19    0.38      0.42
B22                     36.85   32.42    3.22   63.68   19.39   69.55    0.93    1.04    0.13      0.70
C01                      7.41    7.44    3.73   32.79    2.24   12.90    0.25    0.25    0.16      0.35
C02                      8.00    7.46    2.34   32.83    7.60   23.22    0.27    0.26    0.09      0.35
C03                      8.65    7.47    1.34   32.85   13.26   33.56    0.24    0.23    0.05      0.36
C04                      9.05    7.50    0.98   32.92   16.30   38.76    0.21    0.18    0.03      0.23
C05                     26.41   24.78   12.40   56.85   10.69   19.30    0.67    0.65    0.58      0.28
C06                     29.90   25.55    7.41   57.60   21.16   37.36    0.71    0.68    0.35      0.33
C07                     31.57   25.11    3.64   57.18   29.18   55.53    0.49    0.48    0.14      0.28
C08                     31.53   24.17    1.98   56.25   33.03   66.92    0.31    0.31    0.05      0.21
C09                     48.35   48.86   31.89   75.35    3.44   11.88    1.52    1.67    1.62      0.66
C10                     49.56   48.80   26.78   75.32    6.89   20.05    1.50    1.68    1.51      0.78
C11                     49.23   47.36   21.37   74.41    9.92   28.43    1.27    1.48    1.17      0.82
C12                     47.94   45.29   17.16   73.07   12.16   35.13    0.94    1.17    0.81      0.73
C13                     54.90   63.16   53.69   83.52  -14.58   -1.69    1.29    1.42    1.50      0.33
C14                     58.42   55.01   48.18   79.04   13.41   -3.27    1.56    1.78    1.70      0.81
C15                     65.96   70.32   45.67   87.15   -4.08   13.67    1.75    1.90    1.79      0.53
C16                     50.07   52.54   42.34   77.59   -1.56    1.28    1.63    1.89    1.79      0.84
C17                     56.89   54.35   40.67   78.65   11.34    5.25    1.52    1.75    1.75      0.89
C18                     55.65   64.31   47.27   84.12  -15.27    6.54    1.30    1.37    1.66      0.52
C19                     54.71   57.25   51.62   80.31   -1.21   -4.97    1.77    2.08    1.74      0.77
C20                      7.63   10.41   20.02   38.56  -20.59  -30.62    0.33    0.42    1.03      0.57
C21                      7.93    4.22    5.14   24.39   43.29   -9.60    0.23    0.13    0.29      0.43
C22                     21.23   19.60    2.41   51.37   11.51   54.56    0.65    0.69    0.09      0.50
D01                      4.80    5.17    2.71   27.21   -2.38   10.46    0.15    0.17    0.12      0.36
D02                      4.85    5.27    1.73   27.47   -2.78   19.79    0.16    0.19    0.07      0.36
D03                      4.87    5.36    1.14   27.72   -3.59   27.34    0.16    0.18    0.04      0.33
D04                      4.99    5.48    1.03   28.07   -3.60   29.58    0.16    0.17    0.03      0.30
D05                     19.55   20.22   10.53   52.08    0.30   16.71    0.59    0.62    0.56      0.37
D06                     19.66   20.32    5.85   52.19    0.33   34.84    0.48    0.51    0.25      0.30
D07                     19.44   20.20    3.08   52.06   -0.20   50.51    0.44    0.48    0.12      0.30
D08                     19.33   20.18    2.32   52.03   -0.64   56.47    0.43    0.46    0.08      0.28
D09                     56.43   59.72   27.92   81.67   -2.83   29.10    1.69    2.00    1.72      0.80
