IT8.7/1                                                                                      
ORIGINATOR           "X-Rite, Inc."                                                          
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Ektachrome"                           
CREATED              "Thursday, December 24, 2009"                                           
MANUFACTURER         "X-Rite, Inc."                                                          
PROD_DATE            "2009:12"                                                               
SERIAL               "Batch Average Data"                                                    
MATERIAL             "Kodak Ektachrome Product Family"                                       
NUMBER_OF_FIELDS           11                                                                
BEGIN_DATA_FORMAT                                                                            
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT                                                                              
NUMBER_OF_SETS 288                                                                           
#                                                                                            
BEGIN_DATA                                                                                   
#ID                        X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z     SD_dE
A01                      2.33    2.03    1.47   15.62    8.08    2.39    0.23    0.22    0.18      0.50
A02                      2.93    2.03    1.18   15.58   19.71    6.04    0.28    0.21    0.15      0.48
A03                      3.50    1.96    0.98   15.26   30.65    8.38    0.32    0.20    0.14      0.48
A04                      3.87    1.98    0.89   15.35   35.93   10.03    0.35    0.20    0.14      0.52
A05                     10.44    9.22    6.77   36.36   12.46    3.47    0.87    0.84    0.74      0.70
A06                     12.24    8.90    5.79   35.75   28.08    6.86    1.02    0.84    0.67      0.68
A07                     14.87    9.08    4.95   36.10   43.37   11.64    1.15    0.80    0.61      0.65
A08                     16.90    9.05    4.34   36.06   55.40   14.94    0.66    0.48    0.54      0.92
A09                     28.96   27.98   22.74   59.81    7.84    0.69    2.42    2.39    2.20      1.05
A10                     31.35   28.29   21.49   60.10   15.60    3.62    2.49    2.36    2.15      1.08
A11                     34.38   28.92   20.73   60.67   23.93    6.12    2.22    2.13    2.08      1.07
A12                     36.47   29.44   19.89   61.14   29.04    8.66    1.60    1.75    2.00      1.34
A13                     63.58   68.13   55.14   86.06   -4.76    1.14    1.83    1.89    1.23      0.61
A14                     62.72   62.59   52.29   83.21    5.55   -0.71    1.89    2.31    1.42      0.95
A15                     65.68   68.56   52.28   86.28   -0.95    4.59    1.77    1.96    1.60      0.60
A16                     61.54   63.72   52.67   83.81    0.25   -0.10    2.15    2.42    1.49      0.88
A17                     62.97   63.00   51.19   83.43    5.18    0.89    1.96    2.38    1.57      0.93
A18                     64.44   69.01   54.14   86.50   -4.68    2.95    1.74    1.83    1.28      0.54
A19                     61.81   63.94   53.85   83.92    0.38   -1.18    2.09    2.36    1.31      0.84
A20                     19.36   28.08   44.34   59.94  -34.63  -31.64    0.89    1.39    1.18      0.93
A21                     17.75    8.78   14.19   35.54   62.20  -22.28    0.69    0.42    0.96      0.74
A22                     46.93   43.90    3.27   72.14   13.34   83.83    1.58    2.22    0.27      1.31
B01                      3.69    3.35    1.90   21.36    7.28    7.63    0.35    0.35    0.22      0.58
B02                      4.20    3.21    1.13   20.83   17.04   15.74    0.38    0.32    0.13      0.50
B03                      4.82    3.18    0.67   20.72   25.70   23.02    0.42    0.31    0.08      0.57
B04                      5.40    3.18    0.35   20.71   32.90   29.12    0.47    0.31    0.05      0.79
B05                     13.43   12.24    7.20   41.55   10.93   10.64    1.05    1.02    0.75      0.71
B06                     15.61   12.35    4.51   41.72   23.52   23.74    1.23    1.07    0.52      0.71
B07                     18.79   12.79    2.92   42.40   38.03   35.12    1.31    1.04    0.36      0.70
B08                     20.33   12.28    1.80   41.64   49.12   43.63    0.74    0.69    0.23      0.79
B09                     34.95   34.54   26.55   65.33    5.71    3.30    2.59    2.64    2.36      1.02
B10                     36.24   34.13   23.25   65.01   11.44    8.70    2.57    2.59    2.20      1.10
B11                     39.38   35.35   20.85   65.98   17.46   15.05    2.27    2.40    2.04      1.14
B12                     40.65   35.31   18.80   65.95   21.60   19.30    1.78    2.10    1.93      1.32
B13                     58.87   63.06   53.47   83.46   -4.59   -1.56    2.25    2.42    1.43      0.84
B14                     58.39   57.82   50.84   80.62    6.50   -3.58    2.26    2.64    1.51      1.10
B15                     62.19   64.87   51.09   84.40   -0.83    2.68    2.09    2.32    1.65      0.68
B16                     56.54   57.99   50.35   80.71    1.58   -2.87    2.36    2.65    1.58      1.03
B17                     58.64   58.37   49.49   80.93    5.77   -1.52    2.21    2.57    1.60      1.02
B18                     59.81   64.36   52.27   84.14   -5.26    0.92    2.06    2.21    1.42      0.69
B19                     57.08   58.62   52.24   81.06    1.38   -4.36    2.34    2.65    1.38      1.00
B20                     12.86   18.64   32.01   50.23  -30.15  -31.62    0.89    1.34    1.71      0.99
B21                     11.84    6.02   10.07   29.45   52.52  -20.76    0.86    0.46    0.82      0.84
B22                     33.28   30.72    2.60   62.22   13.41   71.75    2.26    2.33    0.24      1.37
C01                      7.01    7.02    3.79   31.82    2.47   10.93    0.56    0.61    0.39      0.65
C02                      7.45    6.98    2.39   31.72    7.12   20.95    0.59    0.62    0.26      0.68
C03                      8.02    7.11    1.30   32.00   11.22   32.69    0.65    0.64    0.14      0.78
C04                      8.36    7.10    0.88   31.99   14.26   38.73    0.72    0.68    0.10      0.82
C05                     24.46   23.60   12.57   55.63    7.54   16.81    1.91    1.90    1.22      0.91
C06                     27.07   24.25    6.73   56.30   15.59   38.03    1.89    1.84    0.68      0.90
C07                     29.34   24.47    3.36   56.52   23.58   56.32    1.68    1.65    0.34      0.95
C08                     31.78   24.97    1.72   57.02   30.58   70.88    1.26    1.42    0.16      1.15
C09                     41.79   42.53   29.99   71.19    2.40    7.71    2.71    2.84    2.47      1.05
C10                     43.59   43.04   24.90   71.55    6.24   16.91    2.58    2.76    2.21      1.07
C11                     45.59   43.47   20.45   71.84   10.80   25.95    2.30    2.63    1.97      1.23
C12                     46.17   43.28   17.82   71.71   13.01   31.36    1.91    2.41    1.73      1.27
