IT8.7/1                                                                                      
ORIGINATOR           "X-Rite, Inc."                                                          
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Ektachrome"                           
CREATED              "Monday, July 19, 2010"                                                 
MANUFACTURER         "X-Rite, Inc."                                                          
PROD_DATE            "2010:07"                                                               
SERIAL               "Batch Average Data"                                                    
MATERIAL             "Kodak Ektachrome Product Family"                                       
NUMBER_OF_FIELDS           11                                                                
BEGIN_DATA_FORMAT                                                                            
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT                                                                              
NUMBER_OF_SETS 288                                                                           
#                                                                                            
BEGIN_DATA                                                                                   
#ID                        X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z     SD_dE
A01                      2.18    1.89    1.33   14.90    8.14    2.82    0.12    0.10    0.06      0.39
A02                      2.47    1.79    1.14   14.34   16.63    4.38    0.13    0.09    0.05      0.44
A03                      2.81    1.69    0.95   13.75   25.62    6.18    0.14    0.08    0.04      0.50
A04                      3.47    1.91    0.88   15.01   31.35    9.41    0.17    0.10    0.04      0.53
A05                     12.49   10.91    7.67   39.40   14.09    4.97    0.62    0.55    0.31      0.65
A06                     14.96   10.94    6.75   39.47   29.55    8.84    0.64    0.50    0.28      0.55
A07                     17.30   10.64    5.79   38.97   45.06   12.29    0.63    0.42    0.24      0.50
A08                     19.23    9.92    4.71   37.70   60.64   15.62    0.63    0.33    0.18      0.52
A09                     42.22   39.68   30.09   69.24   12.27    4.08    1.07    1.10    0.67      0.56
A10                     47.17   40.02   28.04   69.48   25.52    7.83    0.93    0.99    0.67      0.51
A11                     51.82   39.60   25.31   69.18   39.37   12.00    0.63    0.78    0.61      0.57
A12                     49.12   35.31   21.55   65.99   45.94   13.53    0.52    0.66    0.53      0.58
A13                     67.73   75.82   69.15   89.77  -11.46   -6.18    0.71    0.57    0.25      0.39
A14                     75.98   73.54   67.45   88.70   10.51   -6.47    0.44    0.60    0.30      0.33
A15                     79.74   83.97   52.74   93.44   -2.40   16.42    0.34    0.32    0.53      0.22
A16                     80.16   83.24   69.01   93.12   -0.19   -0.28    0.42    0.42    0.28      0.12
A17                     72.69   70.91   50.14   87.44    9.20    8.96    0.51    0.66    0.58      0.26
A18                     63.87   72.61   51.06   88.26  -13.55    9.35    0.81    0.66    0.54      0.38
A19                     61.59   64.09   66.54   84.01   -0.49  -13.72    0.90    0.92    0.34      0.48
A20                     10.02   16.78   34.64   47.97  -40.70  -39.45    0.20    0.38    0.43      0.54
A21                     20.84    9.34   24.83   36.63   73.19  -43.28    0.69    0.35    0.33      0.60
A22                     46.68   45.28    1.85   73.07    8.66   97.20    0.76    0.76    0.03      0.50
B01                      3.29    2.93    1.63   19.75    8.03    7.63    0.18    0.16    0.08      0.50
B02                      3.77    2.85    0.99   19.43   16.90   15.38    0.20    0.15    0.05      0.57
B03                      4.27    2.72    0.44   18.89   26.49   24.24    0.23    0.14    0.02      0.81
B04                      4.88    2.69    0.24   18.74   35.10   27.83    0.24    0.13    0.01      0.85
B05                     12.69   10.85    5.33   39.31   15.90   15.11    0.63    0.55    0.24      0.66
B06                     15.66   10.97    3.00   39.52   33.45   29.48    0.65    0.49    0.14      0.58
B07                     18.46   10.66    1.30   39.00   51.05   44.77    0.58    0.36    0.06      0.52
B08                     21.46   10.49    0.35   38.71   67.19   60.14    0.53    0.27    0.01      0.51
B09                     41.35   39.71   26.91   69.25    9.57    9.34    1.05    1.07    0.62      0.51
B10                     45.05   39.88   22.08   69.38   19.96   18.34    0.96    1.00    0.58      0.47
B11                     48.68   39.75   17.84   69.29   30.49   27.04    0.78    0.89    0.54      0.52
B12                     50.15   38.09   13.30   68.08   39.66   36.16    0.51    0.69    0.42      0.62
B13                     60.67   70.23   68.20   87.11  -15.98   -9.91    0.79    0.65    0.24      0.47
B14                     72.76   67.81   66.45   85.91   15.93  -10.35    0.54    0.75    0.32      0.49
B15                     78.48   83.13   45.54   93.07   -3.29   24.02    0.37    0.36    0.59      0.28
B16                     71.20   74.05   61.54   88.94   -0.41   -0.42    0.69    0.69    0.46      0.22
B17                     67.25   63.33   41.99   83.62   14.03   12.09    0.61    0.81    0.64      0.40
B18                     56.22   66.90   43.91   85.45  -19.59   12.86    0.89    0.72    0.56      0.50
B19                     52.68   54.54   64.23   78.77    0.23  -20.56    1.04    1.09    0.39      0.66
B20                      7.32   11.89   23.13   41.03  -34.14  -32.55    0.23    0.41    0.52      0.59
B21                     14.17    6.58   16.39   30.83   61.97  -35.95    0.54    0.27    0.39      0.55
B22                     30.78   29.72    1.43   61.41    8.05   81.71    0.95    0.94    0.04      0.84
C01                      4.44    4.36    2.23   24.81    3.29   10.32    0.26    0.25    0.11      0.59
C02                      4.79    4.37    1.20   24.83    7.76   21.53    0.27    0.24    0.05      0.69
C03                      5.21    4.39    0.52   24.90   12.63   33.06    0.30    0.25    0.02      0.90
C04                      6.33    5.04    0.49   26.84   16.93   37.08    0.35    0.28    0.02      0.92
C05                     22.95   22.24   10.66   54.27    6.93   20.08    0.93    0.91    0.42      0.66
C06                     24.73   22.20    5.78   54.23   14.92   38.69    0.93    0.88    0.26      0.66
C07                     26.97   22.40    2.59   54.44   23.33   58.42    0.87    0.81    0.11      0.64
C08                     29.78   22.93    1.00   54.99   31.96   76.42    0.80    0.72    0.03      0.72
C09                     47.77   47.07   26.45   74.23    6.70   18.72    1.03    1.08    0.62      0.43
C10                     50.93   47.31   17.54   74.39   14.57   36.51    0.90    0.99    0.54      0.41
C11                     53.96   47.48   10.54   74.49   21.97   55.33    0.67    0.85    0.36      0.50
C12                     54.95   46.09    5.28   73.60   28.32   74.49    0.47    0.72    0.20      0.65
C13                     54.83   65.85   67.38   84.92  -20.76  -12.93    0.86    0.71    0.24      0.59
C14                     70.05   62.75   64.92   83.31   21.44  -13.40    0.57    0.81    0.36      0.60
C15                     76.95   81.70   38.24   92.44   -3.65   32.21    0.34    0.33    0.57      0.36
C16                     67.75   70.51   58.44   87.25   -0.51   -0.25    0.79    0.79    0.49      0.27
C17                     62.31   56.35   33.89   79.81   19.30   16.55    0.67    0.87    0.68      0.48
C18                     49.13   61.40   36.84   82.59  -25.61   17.14    0.91    0.76    0.59      0.57
C19                     44.12   45.33   62.09   73.10    1.19  -28.28    1.05    1.12    0.43      0.79
C20                      4.81    7.56   14.04   33.05  -27.39  -26.23    0.18    0.31    0.42      0.53
C21                      8.82    4.27   10.08   24.55   50.51  -29.31    0.36    0.18    0.29      0.57
C22                     18.76   18.18    1.08   49.69    6.48   66.08    0.81    0.79    0.03      1.06
D01                      4.09    4.34    2.50   24.74   -1.25    7.91    0.23    0.24    0.12      0.59
D02                      4.13    4.40    1.61   24.93   -1.59   16.70    0.23    0.24    0.07      0.63
D03                      4.10    4.38    0.90   24.87   -1.73   26.07    0.22    0.23    0.04      0.70
D04                      4.35    4.63    0.57   25.63   -1.46   33.39    0.25    0.26    0.02      0.82
D05                     25.70   27.13   14.98   59.08   -1.92   16.23    0.95    0.97    0.50      0.65
D06                     25.90   27.54    9.72   59.46   -2.67   32.09    0.97    1.00    0.40      0.63
D07                     26.01   27.69    5.75   59.60   -2.85   48.07    0.94    0.96    0.25      0.65
D08                     25.63   27.41    2.91   59.34   -3.33   64.32    0.88    0.89    0.10      0.74
D09                     52.67   55.35   28.09   79.24   -1.81   24.58    0.98    0.99    0.58      0.35
D10                     52.24   55.23   15.78   79.17   -2.63   48.88    0.88    0.89    0.45      0.33
D11                     51.80   54.94    7.78   79.00   -3.04   72.80    0.80    0.80    0.25      0.30
D12                     50.73   53.84    2.65   78.37   -3.12   99.10    0.74    0.66    0.04      0.39
D13                     49.62   61.83   66.54   82.82  -25.27  -15.77    0.83    0.70    0.24      0.59
D14                     66.70   57.08   63.65   80.22   27.46  -17.51    0.55    0.80    0.34      0.65
D15                     75.49   80.24   31.51   91.79   -3.79   40.77    0.33    0.32    0.56      0.42
D16                     63.67   66.34   54.84   85.17   -0.68   -0.09    0.83    0.83    0.49      0.33
D17                     57.92   49.87   26.90   75.99   25.38   20.97    0.62    0.82    0.60      0.53
D18                     41.92   55.33   29.89   79.23  -31.70   21.64    0.89    0.77    0.55      0.64
D19                     36.62   37.12   59.31   67.36    2.77  -35.42    1.00    1.09    0.46      0.90
D20                      3.00    4.52    7.67   25.30  -20.75  -19.36    0.14    0.21    0.30      0.49
D21                      5.10    2.65    5.61   18.57   38.61  -22.01    0.23    0.12    0.21      0.59
D22                     10.14    9.86    0.79   37.58    5.01   49.89    0.52    0.49    0.03      0.99
E01                      3.82    4.40    2.27   24.94   -6.06   10.20    0.22    0.24    0.11      0.59
E02                      3.44    4.36    1.27   24.80  -11.30   20.66    0.19    0.24    0.05      0.65
E03                      3.26    4.45    0.65   25.08  -15.42   31.06    0.19    0.25    0.02      0.78
E04                      3.53    5.28    0.71   27.51  -21.54   33.96    0.19    0.27    0.02      0.75
E05                     11.90   14.16    6.50   44.44  -11.62   18.48    0.59    0.66    0.27      0.75
E06                     10.61   14.23    3.17   44.54  -21.43   36.91    0.52    0.63    0.13      0.79
E07                      9.98   14.78    1.24   45.32  -29.62   56.38    0.48    0.61    0.03      0.88
E08                      9.77   16.29    1.37   47.35  -40.01   58.15    0.41    0.55    0.03      0.74
E09                     35.63   39.79   23.94   69.31   -8.97   14.70    1.08    1.11    0.62      0.55
E10                     33.10   39.43   17.38   69.05  -16.54   27.68    1.06    1.10    0.56      0.57
E11                     30.99   39.43   11.80   69.05  -24.15   42.07    0.94    0.97    0.40      0.54
E12                     28.89   39.39    7.85   69.03  -31.94   55.31    0.85    0.86    0.25      0.56
E13                     44.46   57.51   65.56   80.47  -29.54  -18.91    0.85    0.76    0.34      0.62
E14                     62.94   51.43   61.76   76.94   33.14  -21.34    0.67    0.89    0.45      0.73
E15                     73.83   78.60   26.00   91.05   -3.99   48.48    0.44    0.44    0.57      0.42
E16                     60.10   62.57   51.40   83.21   -0.54    0.26    0.98    1.00    0.64      0.38
E17                     53.50   43.84   20.64   72.12   31.03   25.94    0.67    0.83    0.58      0.53
E18                     35.97   50.27   24.15   76.23  -37.64   26.26    0.91    0.83    0.53      0.71
E19                     30.38   30.13   56.56   61.75    5.04  -42.27    0.96    1.06    0.56      1.01
E20                      1.72    2.40    3.74   17.47  -13.55  -13.58    0.08    0.12    0.17      0.41
E21                      2.74    1.56    2.90   12.97   27.63  -15.56    0.13    0.07    0.12      0.47
E22                      4.95    4.80    0.56   26.14    4.18   34.49    0.28    0.27    0.02      0.87
F01                      1.36    1.87    1.21   14.77  -11.98    4.15    0.07    0.10    0.05      0.40
F02                      1.01    1.88    0.96   14.84  -23.48    7.90    0.05    0.09    0.04      0.47
F03                      1.05    2.23    0.76   16.64  -29.73   14.42    0.05    0.10    0.03      0.56
F04                      1.20    2.64    0.79   18.54  -32.96   17.03    0.05    0.12    0.03      0.55
F05                      6.16    8.35    5.50   34.69  -18.71    6.32    0.33    0.41    0.24      0.58
F06                      4.76    8.46    4.34   34.92  -36.16   12.89    0.24    0.38    0.20      0.57
F07                      3.23    8.05    3.37   34.08  -54.71   17.51    0.12    0.27    0.14      0.46
F08                      3.80   10.07    3.03   37.96  -62.48   26.58    0.11    0.26    0.10      0.35
F09                     33.65   39.79   29.42   69.31  -15.74    5.30    1.04    1.09    0.63      0.63
F10                     29.97   39.81   26.97   69.33  -29.16    9.38    0.96    1.00    0.62      0.63
F11                     26.16   39.27   23.94   68.95  -42.51   14.07    0.79    0.84    0.56      0.62
F12                     22.41   37.68   20.18   67.78  -53.73   19.39    0.63    0.67    0.47      0.61
F13                     39.58   53.41   64.07   78.11  -34.07  -21.54    0.81    0.75    0.32      0.65
F14                     59.94   46.30   60.29   73.74   39.92  -25.40    0.61    0.83    0.40      0.80
F15                     73.01   77.38   20.67   90.50   -3.30   57.56    0.37    0.38    0.52      0.49
F16                     41.21   42.91   35.26   71.49   -0.49    0.21    1.09    1.14    0.71      0.58
F17                     50.12   39.04   15.92   68.77   36.61   30.61    0.60    0.74    0.50      0.56
F18                     30.64   45.41   18.91   73.16  -43.15   31.35    0.83    0.79    0.48      0.71
F19                     24.69   23.68   53.49   55.76    8.17  -49.37    0.85    0.95    0.57      1.06
F20                      0.80    1.03    1.34    9.27   -7.82   -7.06    0.04    0.05    0.06      0.33
F21                      1.21    0.78    1.12    7.05   16.70   -7.99    0.06    0.04    0.05      0.45
F22                      2.03    1.93    0.37   15.10    3.94   18.98    0.12    0.11    0.01      0.64
G01                      2.44    2.98    2.59   19.95   -8.25   -1.09    0.14    0.16    0.13      0.46
G02                      2.02    2.94    2.73   19.81  -16.64   -2.47    0.11    0.15    0.13      0.45
G03                      1.66    2.93    2.97   19.75  -24.92   -4.37    0.08    0.14    0.15      0.46
G04                      1.57    3.13    3.18   20.53  -30.83   -4.54    0.07    0.15    0.16      0.50
G05                      8.60   10.94    9.63   39.47  -15.78   -2.07    0.44    0.52    0.40      0.60
G06                      7.08   11.00   10.43   39.57  -30.25   -4.55    0.33    0.47    0.41      0.55
G07                      5.63   11.00   11.38   39.57  -45.54   -7.50    0.23    0.39    0.41      0.47
G08                      5.29   11.87   12.33   41.00  -55.75   -7.84    0.17    0.32    0.41      0.43
G09                     33.68   39.57   34.48   69.16  -14.95   -2.69    1.05    1.09    0.70      0.64
G10                     29.88   39.43   36.05   69.06  -28.31   -5.09    0.94    1.00    0.65      0.65
G11                     26.41   39.36   37.69   69.01  -41.72   -7.44    0.73    0.79    0.57      0.59
G12                     22.35   37.40   37.41   67.58  -53.13   -9.53    0.55    0.62    0.57      0.50
G13                     35.22   49.36   63.31   75.67  -37.73  -25.03    0.73    0.72    0.31      0.61
G14                     56.24   40.95   57.46   70.14   46.49  -28.75    0.62    0.78    0.46      0.78
G15                     72.02   76.16   15.75   89.93   -2.95   67.51    0.35    0.37    0.45      0.49
G16                     31.27   32.78   26.78   63.97   -1.23    0.46    1.02    1.06    0.67      0.63
G17                     45.43   33.05   10.82   64.20   43.40   36.68    0.57    0.66    0.41      0.57
G18                     25.27   39.87   14.08   69.37  -48.06   36.29    0.75    0.77    0.39      0.70
G19                     20.14   18.47   50.90   50.05   11.96  -56.37    0.69    0.78    0.61      1.05
G20                     16.70    8.28    0.27   34.56   60.80   54.58    0.45    0.22    0.01      0.49
G21                      3.77    9.07    1.15   36.11  -54.89   41.79    0.13    0.27    0.03      0.52
G22                      3.80    1.32   18.14   11.40   52.07  -73.46    0.07    0.03    0.27      0.23
H01                      2.58    2.99    3.22   20.00   -5.60   -5.73    0.14    0.16    0.16      0.43
H02                      2.26    2.91    4.06   19.65  -10.66  -11.79    0.12    0.15    0.18      0.41
H03                      1.97    2.87    5.00   19.50  -16.32  -17.33    0.09    0.13    0.21      0.45
H04                      1.94    3.07    6.12   20.30  -20.41  -21.43    0.08    0.13    0.26      0.51
H05                      9.31   10.82   11.71   39.26   -8.86   -9.01    0.48    0.53    0.46      0.62
H06                      8.49   10.90   15.22   39.40  -16.44  -18.30    0.40    0.50    0.52      0.56
H07                      7.68   10.93   18.93   39.45  -23.95  -26.82    0.32    0.45    0.58      0.58
H08                      7.00   11.11   23.85   39.76  -31.80  -36.10    0.21    0.35    0.56      0.52
H09                     35.69   39.73   38.59   69.27   -8.59   -8.20    1.10    1.14    0.73      0.66
H10                     33.58   39.58   45.24   69.16  -15.35  -16.84    1.07    1.13    0.75      0.67
H11                     31.49   39.44   52.30   69.06  -22.34  -25.13    0.92    1.01    0.58      0.70
H12                     29.63   39.41   60.34   69.04  -29.16  -33.55    0.77    0.89    0.44      0.67
H13                     31.02   45.38   61.17   73.14  -41.64  -27.31    0.65    0.69    0.34      0.56
H14                     52.02   35.33   55.32   66.00   53.61  -33.65    0.62    0.72    0.47      0.73
H15                     70.79   74.31   11.48   89.07   -1.80   77.55    0.36    0.38    0.36      0.46
H16                     22.58   23.61   19.31   55.68   -0.86    0.35    0.91    0.93    0.60      0.68
H17                     41.85   28.40    7.25   60.25   49.92   42.59    0.52    0.57    0.31      0.55
H18                     20.81   35.19   10.41   65.89  -53.11   40.91    0.64    0.71    0.32      0.62
H19                     15.76   13.34   47.16   43.26   17.92  -63.79    0.52    0.58    0.57      1.02
H20                     11.29    5.78    0.26   28.84   51.27   44.83    0.39    0.20    0.01      0.78
H21                      2.81    6.40    0.93   30.40  -46.17   35.24    0.12    0.25    0.03      0.65
H22                      2.98    1.18   12.72   10.40   43.04  -61.70    0.07    0.03    0.26      0.31
I01                      4.28    4.43    6.18   25.02    0.24  -13.56    0.23    0.24    0.27      0.51
I02                      4.39    4.50    9.82   25.23    0.79  -27.25    0.21    0.23    0.37      0.46
I03                      4.34    4.37   14.47   24.86    1.70  -41.50    0.17    0.20    0.42      0.48
I04                      4.49    4.40   20.46   24.94    3.43  -55.04    0.11    0.15    0.40      0.57
I05                     13.65   14.19   17.71   44.49   -0.19  -15.42    0.65    0.66    0.55      0.68
I06                     13.90   14.27   25.49   44.61    0.88  -30.68    0.60    0.63    0.64      0.69
I07                     14.31   14.48   35.42   44.90    2.19  -45.85    0.57    0.63    0.71      0.75
I08                     14.29   14.22   46.75   44.54    3.64  -61.11    0.42    0.55    0.54      0.89
I09                     38.25   39.86   39.98   69.36   -0.58   -9.90    1.14    1.16    0.75      0.65
I10                     38.63   39.93   48.23   69.41    0.40  -19.95    1.12    1.15    0.70      0.71
I11                     38.54   39.58   57.15   69.16    1.20  -30.12    1.08    1.13    0.58      0.80
I12                     36.91   37.65   61.20   67.75    2.00  -36.62    1.04    1.11    0.48      0.88
I13                     26.98   41.11   59.97   70.25  -44.76  -31.09    0.55    0.63    0.33      0.49
I14                     48.51   30.13   52.75   61.76   62.49  -38.20    0.56    0.60    0.49      0.65
I15                     69.18   71.98    7.94   87.96   -0.48   87.60    0.37    0.40    0.28      0.45
I16                     13.08   13.73   11.08   43.83   -1.03    0.76    0.67    0.67    0.47      0.70
I17                     38.04   24.09    4.48   56.17   55.63   48.74    0.47    0.46    0.22      0.46
I18                     16.45   30.07    7.21   61.71  -57.64   45.26    0.53    0.65    0.25      0.55
I19                     12.32    9.24   43.64   36.43   25.82  -71.33    0.36    0.40    0.53      0.92
I20                      7.60    4.08    0.26   23.93   42.23   36.31    0.37    0.20    0.01      1.01
I21                      2.11    4.42    0.75   24.99  -36.80   28.98    0.11    0.23    0.03      0.79
I22                      2.25    1.02    8.32    9.14   34.45  -49.73    0.08    0.04    0.26      0.49
J01                      2.17    1.88    3.26   14.82    8.22  -15.00    0.11    0.10    0.15      0.35
J02                      2.52    1.81    5.86   14.47   16.96  -30.28    0.12    0.09    0.24      0.33
J03                      2.96    1.76    9.69   14.18   26.52  -45.90    0.11    0.07    0.28      0.32
J04                      3.39    1.71   14.92   13.87   35.09  -61.59    0.09    0.06    0.31      0.25
J05                     11.61   10.90   14.86   39.39    8.07  -17.44    0.55    0.52    0.47      0.59
J06                     13.09   10.96   23.05   39.50   17.71  -35.03    0.58    0.52    0.59      0.67
J07                     14.69   10.97   33.60   39.52   27.72  -52.50    0.58    0.51    0.63      0.73
J08                     15.90   10.56   45.14   38.82   37.87  -69.04    0.52    0.45    0.53      0.81
J09                     40.25   40.08   41.13   69.52    5.06  -11.12    1.16    1.16    0.79      0.64
J10                     42.43   40.05   51.00   69.49   11.79  -22.95    1.13    1.15    0.67      0.77
J11                     43.97   39.36   61.01   69.00   18.43  -34.28    1.04    1.09    0.48      0.89
J12                     41.67   35.89   59.56   66.43   22.70  -37.27    1.08    1.09    0.51      0.90
J13                     22.89   36.43   57.90   66.84  -47.48  -34.88    0.43    0.55    0.34      0.39
J14                     44.01   24.66   49.43   56.74   71.44  -43.18    0.47    0.43    0.45      0.42
