IT8.7/1                                                                                      
ORIGINATOR           "X-Rite, Inc."                                                          
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Ektachrome"                           
CREATED              "Monday, October 11, 2010"                                              
MANUFACTURER         "X-Rite, Inc."                                                          
PROD_DATE            "2010:10"                                                               
SERIAL               "Batch Average Data"                                                    
MATERIAL             "Kodak Ektachrome Product Family"                                       
NUMBER_OF_FIELDS           11                                                                
BEGIN_DATA_FORMAT                                                                            
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT                                                                              
NUMBER_OF_SETS 288                                                                           
#                                                                                            
BEGIN_DATA                                                                                   
#ID                        X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z     SD_dE
A01                      2.17    1.88    1.30   14.80    8.26    2.94    0.15    0.12    0.08      0.58
A02                      2.47    1.76    1.11   14.15   17.28    4.46    0.16    0.11    0.07      0.63
A03                      2.74    1.60    0.90   13.22   26.66    6.00    0.17    0.09    0.05      0.69
A04                      3.50    1.92    0.85   15.04   31.73    9.99    0.23    0.12    0.05      0.74
A05                     12.47   10.88    7.51   39.36   14.14    5.53    0.74    0.64    0.42      0.75
A06                     14.87   10.85    6.62   39.31   29.63    9.15    0.75    0.55    0.35      0.67
A07                     17.18   10.56    5.67   38.81   45.05   12.60    0.71    0.45    0.31      0.50
A08                     18.56    9.48    4.54   36.88   60.70   15.12    0.80    0.41    0.23      0.85
A09                     41.90   39.51   29.50   69.11   11.84    4.82    1.33    1.33    0.94      0.57
A10                     46.29   39.53   27.46   69.12   24.57    8.19    1.29    1.20    0.88      0.56
A11                     50.09   38.57   24.71   68.43   38.00   11.79    0.74    0.81    0.83      0.72
A12                     48.82   35.08   21.14   65.80   45.92   14.04    0.61    0.74    0.79      0.68
A13                     66.07   73.96   67.07   88.90  -11.38   -5.77    1.11    0.95    0.35      0.40
A14                     73.98   72.08   65.57   88.01    9.43   -5.92    0.65    0.78    0.38      0.43
A15                     77.26   81.45   51.38   92.33   -2.54   16.01    0.76    0.70    0.75      0.31
A16                     78.61   81.75   67.59   92.46   -0.41   -0.11    0.72    0.66    0.42      0.20
A17                     70.73   69.48   49.18   86.74    8.08    8.84    0.77    0.89    0.77      0.42
A18                     62.19   70.68   49.87   87.33  -13.40    9.07    1.24    1.07    0.77      0.44
A19                     60.22   63.03   64.45   83.45   -1.29  -12.70    1.25    1.24    0.41      0.44
A20                      9.76   16.48   34.19   47.59  -41.06  -39.45    0.21    0.37    0.60      0.34
A21                     20.30    9.04   24.75   36.05   73.05  -44.12    0.86    0.40    0.51      0.68
A22                     46.04   44.87    1.80   72.80    8.03   97.27    1.16    1.09    0.04      0.42
B01                      3.31    2.95    1.61   19.82    7.95    7.94    0.23    0.20    0.10      0.67
B02                      3.79    2.86    0.94   19.45   17.15   16.08    0.26    0.19    0.06      0.77
B03                      4.30    2.70    0.39   18.80   27.23   24.99    0.28    0.16    0.02      1.07
B04                      4.85    2.62    0.22   18.44   36.08   27.74    0.28    0.15    0.01      1.04
B05                     12.65   10.80    5.20   39.21   15.96   15.66    0.72    0.61    0.29      0.79
B06                     15.56   10.88    2.92   39.36   33.52   29.83    0.71    0.52    0.17      0.66
B07                     18.59   10.71    1.26   39.08   51.40   45.39    0.62    0.38    0.07      0.46
B08                     21.52   10.49    0.31   38.71   67.43   60.98    0.45    0.21    0.02      0.45
