IT8.7/1                                                                                      
ORIGINATOR           "X-Rite, Inc."                                                          
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Ektachrome"                           
CREATED              "Wednesday, November 10, 2010"                                          
MANUFACTURER         "X-Rite, Inc."                                                          
PROD_DATE            "2010:11"                                                               
SERIAL               "Batch Average Data"                                                    
MATERIAL             "Kodak Ektachrome Product Family"                                       
NUMBER_OF_FIELDS           11                                                                
BEGIN_DATA_FORMAT                                                                            
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT                                                                              
NUMBER_OF_SETS 288                                                                           
#                                                                                            
BEGIN_DATA                                                                                   
#ID                        X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z     SD_dE
A01                      2.12    1.83    1.31   14.54    8.46    2.34    0.06    0.05    0.04      0.27
A02                      2.44    1.73    1.12   13.98   17.60    3.96    0.06    0.04    0.03      0.25
A03                      2.73    1.58    0.92   13.12   26.91    5.51    0.07    0.04    0.03      0.26
A04                      3.53    1.93    0.87   15.11   31.89    9.73    0.08    0.04    0.02      0.25
A05                     12.43   10.80    7.49   39.24   14.46    5.36    0.25    0.23    0.18      0.29
A06                     14.84   10.79    6.58   39.22   29.93    9.13    0.28    0.21    0.16      0.26
A07                     17.26   10.52    5.64   38.76   45.74   12.63    0.29    0.19    0.14      0.21
A08                     19.29    9.80    4.56   37.48   61.89   16.03    0.24    0.12    0.12      0.30
A09                     41.77   39.30   29.44   68.97   12.07    4.66    0.60    0.56    0.49      0.20
A10                     46.77   39.73   27.50   69.28   25.29    8.38    0.49    0.48    0.45      0.23
A11                     50.32   38.68   24.79   68.52   38.25   11.78    0.34    0.39    0.40      0.26
A12                     48.76   34.99   21.10   65.74   46.03   13.99    0.28    0.34    0.38      0.28
A13                     66.82   74.61   67.89   89.21  -11.02   -6.01    0.47    0.40    0.17      0.18
A14                     74.64   72.58   66.33   88.25    9.76   -6.22    0.33    0.36    0.19      0.09
