IT8.7/1                                                                                      
ORIGINATOR           "X-Rite, Inc."                                                          
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Ektachrome"                           
CREATED              "Friday, December 10, 2010"                                             
MANUFACTURER         "X-Rite, Inc."                                                          
PROD_DATE            "2010:12"                                                               
SERIAL               "Batch Average Data"                                                    
MATERIAL             "Kodak Ektachrome Product Family"                                       
NUMBER_OF_FIELDS           11                                                                
BEGIN_DATA_FORMAT                                                                            
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT                                                                              
NUMBER_OF_SETS 288                                                                           
#                                                                                            
BEGIN_DATA                                                                                   
#ID                        X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z     SD_dE
A01                      2.07    1.76    1.29   14.17    8.85    2.07    0.09    0.08    0.08      0.25
A02                      2.40    1.67    1.10   13.67   18.02    3.71    0.10    0.07    0.07      0.28
A03                      2.71    1.58    0.92   13.09   26.63    5.55    0.13    0.07    0.06      0.35
A04                      3.58    1.98    0.88   15.36   31.59   10.14    0.18    0.11    0.06      0.38
A05                     12.41   10.76    7.49   39.17   14.61    5.25    0.37    0.31    0.24      0.31
A06                     14.95   10.81    6.59   39.25   30.48    9.15    0.48    0.34    0.22      0.37
A07                     17.36   10.44    5.64   38.62   46.86   12.43    0.49    0.29    0.19      0.37
A08                     19.28    9.72    4.54   37.32   62.53   15.87    0.49    0.24    0.16      0.29
A09                     41.90   39.41   29.54   69.04   12.13    4.62    0.66    0.61    0.49      0.26
A10                     46.49   39.41   27.49   69.04   25.50    8.00    0.66    0.60    0.51      0.22
A11                     50.82   38.73   24.81   68.56   39.41   11.81    0.42    0.42    0.48      0.20
A12                     48.22   34.42   21.11   65.29   46.47   13.20    0.33    0.41    0.43      0.28
A13                     65.89   73.63   66.09   88.75  -11.08   -5.12    0.55    0.42    0.20      0.17
A14                     74.18   71.92   64.72   87.93   10.18   -5.24    0.38    0.42    0.21      0.12
A15                     77.70   81.64   50.98   92.41   -2.01   16.59    0.36    0.32    0.48      0.14
A16                     78.46   81.39   66.28   92.30   -0.02    0.83    0.57    0.46    0.26      0.15
A17                     71.20   69.59   48.80   86.80    8.84    9.36    0.36    0.42    0.48      0.11
A18                     62.50   70.84   49.51   87.41  -13.02    9.62    0.58    0.45    0.48      0.15
