IT8.7/1                                                                                      
ORIGINATOR           "X-Rite, Inc."                                                          
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Ektachrome"                           
CREATED              "Thursday, March 24, 2011"                                              
MANUFACTURER         "X-Rite, Inc."                                                          
PROD_DATE            "2011:03"                                                               
SERIAL               "Batch Average Data"                                                    
MATERIAL             "Kodak Ektachrome Product Family"                                       
NUMBER_OF_FIELDS           11                                                                
BEGIN_DATA_FORMAT                                                                            
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT                                                                              
NUMBER_OF_SETS 288                                                                           
#                                                                                            
BEGIN_DATA                                                                                   
#ID                        X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z     SD_dE
A01                      2.03    1.73    1.26   13.98    8.84    2.11    0.07    0.06    0.03      0.24
A02                      2.35    1.63    1.07   13.42   18.05    3.77    0.08    0.06    0.03      0.24
A03                      2.66    1.54    0.88   12.83   26.78    5.67    0.09    0.05    0.03      0.21
A04                      3.50    1.92    0.84   15.08   31.53   10.22    0.12    0.07    0.02      0.25
A05                     12.40   10.80    7.52   39.24   14.28    5.27    0.36    0.31    0.24      0.26
A06                     14.85   10.81    6.66   39.25   29.83    8.84    0.44    0.33    0.24      0.27
A07                     16.89   10.22    5.69   38.23   46.00   11.53    0.49    0.31    0.23      0.33
A08                     18.31    9.21    4.54   36.38   61.58   14.25    0.54    0.27    0.17      0.36
A09                     41.86   39.54   29.89   69.14   11.61    4.24    1.02    0.98    0.97      0.45
A10                     46.70   39.80   27.94   69.32   24.88    7.72    1.02    0.92    0.94      0.42
A11                     49.82   38.40   25.18   68.31   37.80   10.74    0.99    0.85    0.92      0.52
A12                     48.12   34.61   21.48   65.44   45.56   12.74    0.91    0.74    0.78      0.48
A13                     66.07   73.82   66.32   88.83  -11.09   -5.18    1.41    1.52    2.02      0.60
A14                     73.57   71.75   64.85   87.84    9.28   -5.50    1.45    1.44    2.03      0.65
A15                     77.14   81.37   51.68   92.29   -2.62   15.61    1.49    1.61    1.67      0.60
A16                     78.23   81.44   66.77   92.32   -0.59    0.42    1.57    1.66    2.10      0.65
A17                     70.60   69.41   49.49   86.70    7.96    8.43    1.40    1.42    1.59      0.58
A18                     62.70   71.05   50.23   87.51  -12.99    8.99    1.40    1.55    1.64      0.56
A19                     60.50   63.23   63.95   83.56   -1.10  -12.02    1.47    1.50    2.12      0.66
A20                      9.66   16.41   34.37   47.50  -41.51  -39.86    0.31    0.50    1.18      0.59
A21                     20.82    9.29   25.14   36.54   73.47  -43.97    0.70    0.32    0.96      0.77
A22                     46.77   45.49    1.79   73.21    8.31   98.05    1.03    1.06    0.05      0.58
B01                      3.17    2.79    1.56   19.18    8.47    7.40    0.11    0.09    0.04      0.31
B02                      3.62    2.67    0.90   18.68   17.87   15.50    0.11    0.08    0.02      0.25
B03                      4.12    2.54    0.35   18.08   27.87   24.54    0.12    0.08    0.01      0.28
B04                      4.71    2.53    0.20   18.04   36.06   27.25    0.15    0.08    0.01      0.31
B05                     12.54   10.69    5.16   39.05   16.06   15.55    0.29    0.25    0.11      0.19
B06                     15.54   10.85    2.91   39.32   33.64   29.83    0.35    0.25    0.06      0.25
