IT8.7/1                                                                                      
ORIGINATOR           "X-Rite, Inc."                                                          
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Ektachrome"                           
CREATED              "Thursday, November 08, 2012"                                           
MANUFACTURER         "X-Rite, Inc."                                                          
PROD_DATE            "2012:11"                                                               
SERIAL               "Batch Average Data"                                                    
MATERIAL             "Kodak Ektachrome Product Family"                                       
NUMBER_OF_FIELDS           11                                                                
BEGIN_DATA_FORMAT                                                                            
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT                                                                              
NUMBER_OF_SETS 288                                                                           
#                                                                                            
BEGIN_DATA                                                                                   
#ID                        X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z     SD_dE
A01                      2.08    1.77    1.31   14.21    9.01    1.86    0.12    0.09    0.04      0.49
A02                      2.39    1.65    1.11   13.51   18.46    3.35    0.14    0.09    0.04      0.54
A03                      2.69    1.53    0.91   12.79   27.58    5.15    0.16    0.09    0.03      0.61
A04                      3.42    1.81    0.84   14.45   32.99    9.13    0.20    0.10    0.03      0.67
A05                     12.29   10.59    7.56   38.87   15.09    4.44    0.47    0.34    0.20      0.47
A06                     14.84   10.61    6.66   38.91   31.25    8.26    0.49    0.33    0.19      0.45
A07                     17.30   10.32    5.75   38.41   47.48   11.52    0.45    0.28    0.17      0.32
A08                     19.36    9.58    4.59   37.08   63.99   15.21    0.31    0.17    0.16      0.34
A09                     41.23   38.62   29.41   68.47   12.59    3.86    0.58    0.51    0.52      0.27
A10                     45.75   38.59   27.50   68.45   25.95    6.96    0.42    0.40    0.49      0.32
A11                     49.40   37.57   24.92   67.70   39.28   10.15    0.32    0.34    0.48      0.33
A12                     46.45   33.12   21.18   64.26   46.02   11.29    0.33    0.34    0.44      0.35
A13                     65.88   73.57   66.66   88.72  -10.99   -5.71    0.41    0.32    0.27      0.16
A14                     73.58   71.32   65.15   87.64   10.18   -6.14    0.22    0.26    0.25      0.10
A15                     77.40   81.54   50.99   92.37   -2.42   16.50    0.20    0.20    0.43      0.23
A16                     77.80   80.83   66.70   92.05   -0.27    0.01    0.20    0.22    0.23      0.07
A17                     70.67   69.18   48.95   86.59    8.60    8.85    0.25    0.30    0.41      0.15
A18                     62.26   70.63   49.42   87.30  -13.11    9.53    0.50    0.40    0.42      0.20
A19                     60.17   62.63   64.35   83.24   -0.50  -12.97    0.47    0.42    0.28      0.19
A20                      9.78   16.30   34.70   47.37  -39.95  -40.57    0.17    0.25    0.41      0.23
A21                     21.69    9.30   25.99   36.55   77.58  -45.47    0.33    0.16    0.24      0.23
A22                     47.65   46.90    1.90   74.13    6.83   98.47    0.40    0.30    0.01      0.26
B01                      3.24    2.86    1.62   19.49    8.36    7.25    0.16    0.10    0.04      0.54
B02                      3.70    2.75    0.92   19.02   17.69   15.70    0.20    0.13    0.03      0.63
B03                      4.14    2.56    0.41   18.19   27.70   23.58    0.23    0.13    0.01      0.74
B04                      4.79    2.54    0.22   18.11   36.72   27.03    0.23    0.12    0.00      0.76
B05                     12.49   10.57    5.14   38.84   16.58   15.29    0.47    0.34    0.15      0.53
B06                     15.64   10.81    2.91   39.25   34.56   29.69    0.45    0.29    0.09      0.41
B07                     18.56   10.49    1.24   38.70   52.92   44.97    0.35    0.21    0.04      0.25
B08                     21.43   10.24    0.32   38.27   68.94   59.95    0.10    0.05    0.01      0.07
B09                     40.27   38.61   26.12   68.47    9.65    9.34    0.59    0.51    0.54      0.31
B10                     43.71   38.62   21.37   68.48   19.98   18.17    0.38    0.34    0.36      0.30
