IT8.7/1                                                                                      
ORIGINATOR           "X-Rite, Inc."                                                          
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Ektachrome"                           
CREATED              "Tuesday, February 26, 2013"                                            
MANUFACTURER         "X-Rite, Inc."                                                          
PROD_DATE            "2013:02"                                                               
SERIAL               "Batch Average Data"                                                    
MATERIAL             "Kodak Ektachrome Product Family"                                       
NUMBER_OF_FIELDS           11                                                                
BEGIN_DATA_FORMAT                                                                            
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT                                                                              
NUMBER_OF_SETS 288                                                                           
#                                                                                            
BEGIN_DATA                                                                                   
#ID                        X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z     SD_dE
A01                      2.01    1.68    1.25   13.68    9.67    1.67    0.09    0.07    0.05      0.47
A02                      2.31    1.57    1.06   13.03   19.03    3.22    0.11    0.07    0.04      0.48
A03                      2.62    1.47    0.87   12.42   27.74    5.18    0.12    0.06    0.03      0.49
A04                      3.36    1.78    0.81   14.30   32.71    9.43    0.13    0.07    0.03      0.44
A05                     12.18   10.47    7.36   38.67   15.22    4.92    0.41    0.30    0.29      0.53
A06                     14.70   10.45    6.46   38.63   31.62    8.64    0.41    0.28    0.23      0.43
A07                     17.16   10.17    5.54   38.14   47.87   12.07    0.38    0.23    0.21      0.36
A08                     19.07    9.37    4.40   36.68   64.26   15.58    0.27    0.14    0.15      0.33
A09                     41.38   38.79   29.52   68.60   12.50    3.90    0.73    0.65    0.60      0.27
A10                     45.83   38.68   27.45   68.51   25.91    7.15    0.54    0.53    0.58      0.29
A11                     49.57   37.70   24.82   67.80   39.36   10.49    0.39    0.42    0.56      0.32
A12                     46.59   33.21   21.09   64.33   46.11   11.59    0.33    0.33    0.51      0.35
A13                     66.10   73.66   67.34   88.76  -10.67   -6.27    0.61    0.52    0.29      0.21
A14                     73.99   71.71   65.87   87.83   10.22   -6.50    0.38    0.43    0.30      0.14
A15                     77.53   81.64   50.79   92.41   -2.36   16.81    0.37    0.36    0.64      0.32
A16                     78.31   81.30   67.52   92.26   -0.16   -0.39    0.41    0.41    0.35      0.09
A17                     70.82   69.35   48.73   86.67    8.57    9.24    0.41    0.44    0.60      0.22
A18                     62.31   70.59   49.18   87.28  -12.91    9.78    0.65    0.56    0.63      0.27
A19                     60.40   62.81   64.91   83.34   -0.38  -13.34    0.63    0.57    0.30      0.22
A20                      9.51   15.77   34.13   46.66  -39.13  -40.97    0.17    0.29    0.42      0.36
A21                     21.73    9.33   25.87   36.60   77.52  -45.16    0.24    0.11    0.29      0.28
A22                     47.60   46.83    1.92   74.08    6.87   98.20    0.55    0.48    0.02      0.26
B01                      3.18    2.79    1.57   19.17    8.72    7.30    0.14    0.10    0.05      0.54
B02                      3.59    2.64    0.87   18.53   18.02   15.69    0.16    0.10    0.03      0.56
B03                      4.03    2.46    0.38   17.73   28.06   23.35    0.17    0.10    0.01      0.59
B04                      4.63    2.44    0.23   17.66   36.62   26.15    0.18    0.09    0.01      0.59
B05                     12.38   10.45    5.02   38.63   16.78   15.53    0.38    0.28    0.17      0.46
B06                     15.53   10.67    2.84   39.01   34.90   29.82    0.38    0.24    0.09      0.36
B07                     18.44   10.35    1.17   38.46   53.30   45.48    0.34    0.19    0.04      0.23
B08                     21.57   10.31    0.31   38.38   69.09   60.30    0.18    0.10    0.01      0.16
B09                     40.47   38.84   26.22   68.63    9.55    9.46    0.70    0.63    0.57      0.27
B10                     43.91   38.82   21.36   68.62   19.97   18.43    0.52    0.51    0.50      0.28
B11                     47.21   38.48   17.13   68.37   30.41   27.05    0.45    0.46    0.43      0.29
B12                     47.84   36.39   12.69   66.81   38.88   35.65    0.32    0.36    0.36      0.40
B13                     58.82   67.85   66.18   85.93  -15.31  -10.06    0.67    0.58    0.27      0.29
B14                     70.43   65.64   64.43   84.81   15.78  -10.35    0.40    0.47    0.30      0.17
B15                     76.05   80.50   43.41   91.91   -3.16   24.60    0.38    0.37    0.60      0.31
B16                     69.10   71.91   59.40   87.92   -0.50   -0.05    0.51    0.48    0.42      0.11
B17                     65.34   61.76   40.62   82.78   13.38   12.41    0.41    0.48    0.57      0.25
B18                     54.43   64.54   41.87   84.25  -18.86   13.33    0.72    0.62    0.58      0.33
B19                     51.24   52.99   62.40   77.87    0.39  -20.37    0.81    0.77    0.36      0.33
B20                      6.99   11.29   22.94   40.07  -33.24  -33.85    0.14    0.21    0.39      0.33
B21                     14.65    6.46   17.08   30.54   66.19  -38.04    0.29    0.13    0.28      0.37
B22                     31.61   31.34    1.51   62.79    5.10   83.10    0.64    0.54    0.02      0.47
C01                      4.31    4.21    2.14   24.34    3.50   10.38    0.17    0.13    0.07      0.56
C02                      4.68    4.29    1.09   24.60    7.29   22.68    0.20    0.14    0.03      0.57
C03                      5.15    4.42    0.51   25.02   11.40   33.46    0.21    0.15    0.01      0.64
C04                      6.18    5.03    0.50   26.82   15.52   36.85    0.24    0.17    0.01      0.59
C05                     22.54   21.89   10.19   53.91    6.67   20.95    0.58    0.52    0.38      0.45
C06                     24.54   22.16    5.51   54.20   14.27   39.92    0.54    0.47    0.16      0.34
C07                     27.24   22.93    2.52   55.00   22.02   59.87    0.54    0.45    0.07      0.24
C08                     30.40   23.94    1.06   56.03   29.84   77.41    0.54    0.44    0.02      0.33
C09                     46.90   46.33   25.57   73.76    6.32   19.43    0.66    0.62    0.57      0.30
C10                     49.87   46.61   16.70   73.94   13.69   37.66    0.51    0.53    0.46      0.32
C11                     52.95   46.99    9.94   74.18   20.72   56.73    0.37    0.43    0.29      0.34
C12                     53.75   45.81    5.03   73.42   26.08   75.46    0.28    0.35    0.13      0.21
C13                     52.92   63.35   65.36   83.62  -20.05  -13.27    0.70    0.62    0.27      0.34
C14                     67.53   60.35   62.93   82.03   21.51  -13.70    0.37    0.45    0.28      0.21
C15                     74.60   79.17   36.34   91.31   -3.52   32.86    0.36    0.36    0.64      0.42
C16                     65.91   68.66   56.68   86.33   -0.65   -0.01    0.51    0.48    0.46      0.13
C17                     60.45   54.82   32.80   78.94   18.71   16.65    0.41    0.47    0.57      0.26
C18                     47.35   59.00   35.03   81.29  -24.88   17.44    0.71    0.62    0.58      0.39
C19                     42.64   43.70   60.19   72.03    1.49  -28.25    0.69    0.65    0.31      0.38
C20                      4.54    7.14   13.80   32.13  -26.90  -27.19    0.12    0.16    0.33      0.24
C21                      8.98    4.11   10.31   24.02   54.12  -30.98    0.25    0.12    0.23      0.44
C22                     19.38   19.43    1.16   51.19    3.28   67.61    0.55    0.45    0.02      0.56
D01                      3.96    4.18    2.38   24.26   -1.07    8.08    0.16    0.13    0.08      0.54
D02                      4.06    4.36    1.54   24.81   -2.07   17.33    0.17    0.14    0.05      0.59
