IT8.7/1                                                                                      
ORIGINATOR           "X-Rite, Inc."                                                          
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Ektachrome"                           
CREATED              "Monday, August 04, 2014"                                               
MANUFACTURER         "X-Rite, Inc."                                                          
PROD_DATE            "2014:08"                                                               
SERIAL               "Batch Average Data"                                                    
MATERIAL             "Kodak Ektachrome Product Family"                                       
NUMBER_OF_FIELDS           11                                                                
BEGIN_DATA_FORMAT                                                                            
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT                                                                              
NUMBER_OF_SETS 288                                                                           
#                                                                                            
BEGIN_DATA                                                                                   
#ID                        X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z     SD_dE
A01                      2.15    1.87    1.42   14.79    7.94    1.39    0.08    0.05    0.03      0.39
A02                      2.40    1.72    1.21   13.91   17.07    2.62    0.10    0.06    0.03      0.41
A03                      2.63    1.55    0.99   12.90   25.98    4.12    0.10    0.05    0.02      0.41
A04                      3.25    1.78    0.91   14.26   31.12    7.71    0.12    0.06    0.02      0.42
A05                     12.36   10.76    7.72   39.17   14.25    4.35    0.35    0.26    0.19      0.50
A06                     14.66   10.68    6.78   39.04   29.64    7.98    0.36    0.25    0.19      0.44
A07                     16.64   10.15    5.81   38.11   45.14   10.72    0.31    0.18    0.14      0.38
A08                     17.59    8.85    4.53   35.70   60.70   13.14    0.26    0.14    0.13      0.32
A09                     41.40   38.93   30.12   68.70   12.12    3.10    0.50    0.44    0.43      0.36
A10                     45.74   38.89   28.15   68.67   25.00    6.25    0.42    0.41    0.47      0.30
A11                     49.61   38.00   25.47   68.02   38.49    9.72    0.30    0.38    0.44      0.37
A12                     46.57   33.41   21.67   64.49   45.33   10.73    0.28    0.33    0.38      0.31
A13                     67.58   75.65   68.31   89.70  -11.45   -5.54    0.51    0.39    0.17      0.21
A14                     74.17   71.64   66.04   87.79   10.74   -6.72    0.20    0.21    0.18      0.08
A15                     78.19   82.38   51.22   92.74   -2.45   16.89    0.16    0.16    0.35      0.21
A16                     78.85   81.84   67.79   92.50   -0.11   -0.24    0.27    0.23    0.19      0.11
A17                     70.72   68.98   48.78   86.49    9.14    8.86    0.23    0.28    0.32      0.19
A18                     63.43   72.33   49.83   88.13  -13.97   10.48    0.53    0.42    0.32      0.29
A19                     60.93   63.38   65.52   83.64   -0.44  -13.39    0.54    0.45    0.22      0.20
A20                     10.96   18.46   37.27   50.04  -42.44  -39.57    0.13    0.22    0.36      0.24
A21                     19.90    8.59   25.67   35.19   74.85  -47.26    0.20    0.10    0.17      0.20
A22                     45.63   45.46    1.94   73.20    5.17   96.50    0.50    0.43    0.03      0.25
B01                      3.33    3.01    1.75   20.07    7.32    6.84    0.13    0.09    0.03      0.42
B02                      3.72    2.85    1.01   19.42   16.28   14.95    0.14    0.08    0.02      0.41
B03                      4.05    2.59    0.46   18.33   25.78   22.94    0.16    0.09    0.01      0.42
B04                      4.44    2.45    0.25   17.67   34.13   25.76    0.16    0.08    0.01      0.42
B05                     12.50   10.70    5.40   39.07   15.68   14.38    0.35    0.26    0.13      0.43
B06                     15.30   10.78    3.06   39.20   32.75   28.46    0.35    0.22    0.06      0.37
B07                     17.27    9.99    1.32   37.82   49.86   42.36    0.27    0.15    0.02      0.30
B08                     19.52    9.47    0.34   36.87   65.71   57.06    0.14    0.08    0.01      0.15
B09                     40.57   39.00   26.92   68.75    9.37    8.45    0.54    0.47    0.43      0.34
B10                     43.50   38.68   22.03   68.52   19.18   16.96    0.46    0.41    0.41      0.35
B11                     46.75   38.36   17.75   68.28   29.50   25.49    0.29    0.31    0.31      0.30
B12                     47.68   36.41   13.11   66.83   38.36   34.50    0.20    0.26    0.25      0.27
B13                     61.30   70.88   67.55   87.43  -15.89   -8.76    0.55    0.42    0.10      0.23
B14                     70.52   65.48   64.61   84.73   16.31  -10.66    0.16    0.21    0.10      0.12
B15                     76.76   81.29   44.38   92.26   -3.22   24.02    0.10    0.08    0.38      0.28
B16                     69.73   72.51   59.82   88.21   -0.39    0.02    0.29    0.24    0.19      0.16
B17                     65.25   61.37   41.11   82.57   14.08   11.42    0.19    0.25    0.39      0.23
B18                     56.42   67.22   43.03   85.61  -19.79   14.23    0.51    0.37    0.36      0.35
B19                     52.34   53.91   63.34   78.41    0.93  -20.34    0.55    0.46    0.10      0.26
B20                      7.91   12.84   24.63   42.53  -34.98  -32.74    0.13    0.21    0.31      0.27
B21                     13.64    6.09   17.20   29.63   63.86  -39.90    0.23    0.11    0.19      0.31
B22                     30.44   30.45    1.52   62.04    4.08   81.70    0.57    0.49    0.02      0.35
C01                      4.53    4.52    2.36   25.30    2.40   10.06    0.16    0.12    0.05      0.43
C02                      4.87    4.56    1.25   25.44    6.12   21.93    0.19    0.13    0.02      0.49
C03                      5.27    4.66    0.57   25.75    9.73   33.66    0.20    0.13    0.01      0.42
C04                      6.29    5.28    0.53   27.51   13.73   37.38    0.21    0.14    0.01      0.42
C05                     22.85   22.29   10.64   54.33    6.26   20.24    0.48    0.39    0.26      0.50
C06                     24.49   22.29    5.89   54.33   13.48   38.29    0.47    0.36    0.12      0.41
C07                     26.48   22.56    2.75   54.61   20.64   57.40    0.46    0.36    0.05      0.31
C08                     28.69   23.04    1.08   55.11   27.30   75.53    0.41    0.32    0.01      0.29
C09                     46.53   45.99   26.24   73.54    6.23   17.87    0.54    0.47    0.46      0.32
C10                     49.31   46.01   17.29   73.55   13.82   35.62    0.40    0.40    0.37      0.34
C11                     52.32   46.21   10.37   73.68   21.24   54.45    0.26    0.28    0.20      0.31
C12                     52.82   44.71    5.28   72.70   26.79   72.96    0.18    0.24    0.09      0.20
C13                     55.98   67.07   67.12   85.54  -20.56  -11.62    0.59    0.45    0.09      0.31
C14                     67.59   60.30   63.12   82.00   21.75  -13.94    0.14    0.21    0.12      0.14
C15                     75.32   79.98   37.44   91.67   -3.62   31.98    0.12    0.10    0.44      0.34
C16                     66.46   69.24   56.97   86.62   -0.65    0.18    0.36    0.30    0.23      0.20
C17                     60.34   54.51   33.48   78.76   19.25   15.33    0.25    0.30    0.43      0.27
C18                     49.77   62.28   36.31   83.06  -25.91   18.69    0.61    0.47    0.39      0.44
C19                     44.03   44.85   61.39   72.79    2.29  -28.12    0.62    0.52    0.12      0.32
C20                      5.09    8.06   14.69   34.11  -28.39  -26.11    0.09    0.14    0.21      0.27
C21                      8.49    3.95   10.46   23.50   52.15  -32.37    0.22    0.10    0.17      0.43
C22                     18.88   19.18    1.18   50.89    1.99   66.80    0.52    0.44    0.02      0.44
D01                      4.19    4.51    2.60   25.28   -2.13    7.98    0.15    0.12    0.05      0.41
D02                      4.28    4.68    1.74   25.80   -3.17   16.80    0.15    0.12    0.03      0.40
D03                      4.30    4.78    0.96   26.10   -4.22   27.27    0.14    0.11    0.02      0.31
D04                      4.58    5.16    0.63   27.17   -5.03   34.89    0.17    0.14    0.01      0.38
D05                     25.59   27.07   14.88   59.04   -2.13   16.41    0.53    0.45    0.32      0.49
D06                     25.85   27.64    9.64   59.56   -3.30   32.51    0.54    0.46    0.21      0.50
D07                     25.98   27.96    5.79   59.85   -4.04   48.28    0.56    0.47    0.11      0.47
D08                     25.72   28.05    3.03   59.93   -5.44   64.46    0.57    0.48    0.05      0.40
D09                     51.60   54.45   27.73   78.72   -2.35   24.28    0.47    0.41    0.46      0.33
D10                     51.12   54.44   15.48   78.72   -3.58   48.83    0.46    0.41    0.32      0.35
D11                     50.82   54.42    7.83   78.71   -4.35   72.08    0.45    0.38    0.13      0.28
D12                     50.30   54.30    2.76   78.64   -5.43   98.75    0.42    0.32    0.03      0.22
D13                     51.05   63.46   66.66   83.68  -25.19  -14.39    0.61    0.48    0.09      0.33
D14                     64.12   54.61   61.70   78.81   27.75  -18.04    0.16    0.23    0.10      0.19
D15                     73.91   78.58   30.86   91.04   -3.79   40.48    0.11    0.11    0.41      0.35
D16                     62.47   65.20   53.52   84.59   -0.93    0.31    0.41    0.35    0.30      0.25
D17                     55.83   48.08   26.70   74.87   25.06   19.39    0.24    0.30    0.41      0.31
D18                     42.84   56.65   29.55   79.98  -32.20   23.48    0.65    0.52    0.44      0.47
D19                     36.62   36.69   59.04   67.04    4.15  -35.70    0.60    0.53    0.15      0.35
D20                      3.04    4.60    7.82   25.58  -21.19  -19.48    0.06    0.09    0.16      0.29
D21                      4.80    2.40    5.64   17.45   39.71  -24.08    0.17    0.08    0.10      0.46
D22                     10.38   10.68    0.87   39.04    0.62   51.03    0.33    0.27    0.01      0.43
E01                      3.95    4.64    2.40   25.68   -7.28   10.33    0.13    0.11    0.05      0.39
E02                      3.61    4.73    1.32   25.96  -13.55   21.97    0.11    0.10    0.02      0.38
E03                      3.56    5.14    0.73   27.13  -19.35   33.06    0.12    0.13    0.01      0.35
E04                      3.98    6.31    0.82   30.17  -26.26   36.67    0.12    0.15    0.01      0.34
E05                     12.11   14.61    6.61   45.09  -12.96   19.13    0.37    0.33    0.15      0.51
E06                     11.09   15.20    3.38   45.91  -23.70   37.83    0.31    0.30    0.05      0.41
E07                     10.91   16.69    1.38   47.87  -33.45   58.94    0.30    0.32    0.02      0.35
E08                     10.94   18.71    1.55   50.34  -43.94   61.28    0.29    0.34    0.02      0.34
E09                     35.62   39.76   23.82   69.29   -8.88   14.89    0.62    0.53    0.41      0.39
E10                     33.32   39.76   17.22   69.30  -16.82   28.44    0.62    0.53    0.35      0.51
E11                     31.52   40.30   11.70   69.68  -24.88   43.44    0.57    0.49    0.24      0.48
E12                     29.61   40.60    7.95   69.89  -32.91   56.42    0.53    0.44    0.14      0.45
E13                     45.95   59.37   66.06   81.49  -29.69  -17.61    0.58    0.47    0.11      0.34
E14                     60.51   49.18   59.92   75.56   33.41  -21.89    0.20    0.28    0.11      0.23
E15                     72.38   77.05   25.43   90.35   -3.98   48.28    0.13    0.12    0.41      0.40
E16                     58.87   61.40   50.14   82.59   -0.81    0.60    0.45    0.38    0.32      0.23
E17                     51.37   42.15   20.46   70.97   30.46   24.32    0.23    0.29    0.33      0.27
E18                     37.00   51.93   23.81   77.24  -38.56   28.61    0.62    0.51    0.35      0.49
E19                     30.38   29.75   56.68   61.43    6.45  -42.96    0.57    0.51    0.16      0.35
E20                      1.72    2.44    3.86   17.66  -14.44  -14.05    0.04    0.05    0.08      0.29
E21                      2.57    1.41    2.94   12.04   28.54  -17.50    0.10    0.05    0.05      0.36
E22                      5.14    5.28    0.62   27.52    0.53   35.77    0.21    0.17    0.01      0.51
F01                      1.36    1.97    1.28   15.35  -14.40    4.19    0.04    0.04    0.02      0.30
F02                      1.01    2.06    1.00   15.77  -27.56    8.84    0.02    0.04    0.02      0.17
F03                      1.06    2.47    0.82   17.78  -34.50   15.22    0.02    0.04    0.01      0.19
F04                      1.23    2.97    0.87   19.91  -37.92   18.15    0.03    0.06    0.02      0.20
F05                      6.46    8.89    5.69   35.76  -19.99    7.24    0.17    0.18    0.13      0.37
F06                      5.19    9.40    4.56   36.74  -38.55   14.75    0.13    0.18    0.10      0.31
F07                      3.58    9.20    3.60   36.36  -58.88   19.87    0.06    0.14    0.06      0.24
F08                      4.24   11.60    3.32   40.58  -67.40   29.04    0.06    0.14    0.05      0.17
F09                     33.93   40.05   29.46   69.50  -15.56    5.55    0.60    0.52    0.49      0.41
F10                     30.63   40.80   27.10   70.03  -29.66   10.36    0.58    0.52    0.47      0.45
F11                     27.15   40.83   24.10   70.06  -43.25   15.70    0.50    0.46    0.41      0.52
F12                     23.89   40.34   20.39   69.71  -55.39   22.28    0.42    0.41    0.37      0.47
F13                     41.25   55.66   65.19   79.42  -34.55  -20.36    0.57    0.48    0.11      0.31
F14                     57.41   44.14   58.44   72.32   39.96  -25.98    0.24    0.35    0.14      0.31
F15                     71.48   75.81   20.13   89.77   -3.39   57.41    0.11    0.12    0.33      0.36
F16                     40.84   42.45   35.06   71.18   -0.26   -0.03    0.48    0.41    0.39      0.38
F17                     47.87   37.40   15.75   67.58   35.68   28.96    0.23    0.29    0.31      0.33
F18                     31.70   47.27   18.62   74.36  -44.38   34.04    0.57    0.49    0.32      0.52
F19                     24.83   23.47   54.17   55.55    9.69  -50.45    0.50    0.45    0.18      0.40
F20                      0.74    1.02    1.43    9.14   -9.51   -8.41    0.02    0.02    0.03      0.17
F21                      1.13    0.72    1.19    6.54   16.36   -9.86    0.04    0.02    0.03      0.33
F22                      2.07    2.12    0.41   16.09    0.69   19.93    0.08    0.06    0.01      0.40
G01                      2.50    3.11    2.70   20.46   -9.22   -1.10    0.08    0.07    0.06      0.34
G02                      2.05    3.09    2.85   20.40  -18.36   -2.40    0.06    0.06    0.06      0.28
G03                      1.68    3.06    3.08   20.29  -26.69   -4.25    0.03    0.05    0.06      0.21
G04                      1.53    3.19    3.26   20.79  -32.92   -4.64    0.03    0.05    0.07      0.21
G05                      8.86   11.37    9.80   40.20  -16.60   -1.40    0.24    0.24    0.22      0.45
G06                      7.49   11.72   10.72   40.77  -31.40   -3.40    0.17    0.21    0.25      0.37
G07                      6.08   12.04   11.78   41.28  -47.85   -5.77    0.10    0.17    0.24      0.38
G08                      5.60   12.90   12.67   42.62  -59.06   -6.04    0.07    0.15    0.26      0.34
G09                     33.96   39.78   34.50   69.31  -14.63   -2.45    0.57    0.50    0.47      0.42
G10                     30.59   40.37   36.28   69.73  -28.52   -4.26    0.55    0.51    0.50      0.40
G11                     27.54   41.07   38.28   70.22  -42.38   -6.15    0.49    0.47    0.45      0.41
G12                     24.21   40.62   38.64   69.91  -54.85   -7.17    0.38    0.40    0.42      0.37
G13                     36.97   51.87   64.85   77.20  -38.50  -23.86    0.51    0.46    0.10      0.31
G14                     53.67   38.78   55.82   68.59   46.69  -29.72    0.25    0.35    0.16      0.35
G15                     70.45   74.51   15.31   89.16   -2.95   67.27    0.10    0.10    0.25      0.33
G16                     31.14   32.58   26.93   63.81   -0.99   -0.07    0.55    0.45    0.33      0.40
G17                     43.10   31.41   10.65   62.85   42.43   34.88    0.23    0.27    0.23      0.30
G18                     26.42   41.97   13.91   70.85  -49.63   39.27    0.52    0.48    0.22      0.51
G19                     20.34   18.26   51.98   49.81   13.97  -57.98    0.40    0.37    0.19      0.36
G20                     14.81    7.32    0.27   32.52   58.64   50.96    0.19    0.09    0.01      0.21
G21                      4.53   11.26    1.34   40.01  -60.96   45.92    0.10    0.19    0.02      0.22
G22                      4.15    1.25   20.36   10.90   59.26  -79.05    0.03    0.01    0.16      0.18
H01                      2.63    3.06    3.35   20.28   -5.96   -6.19    0.08    0.07    0.08      0.32
H02                      2.27    2.95    4.23   19.85  -11.16  -12.48    0.05    0.05    0.09      0.31
H03                      1.99    2.91    5.17   19.69  -16.65  -17.90    0.04    0.05    0.11      0.26
H04                      1.88    2.98    6.21   19.97  -20.43  -22.43    0.03    0.05    0.16      0.27
H05                      9.50   11.05   11.99   39.67   -9.01   -9.16    0.25    0.23    0.27      0.46
H06                      8.88   11.37   15.84   40.19  -16.43  -18.48    0.21    0.22    0.31      0.40
H07                      8.17   11.55   20.00   40.48  -23.81  -27.31    0.16    0.20    0.36      0.35
H08                      7.55   11.86   25.63   40.99  -31.71  -37.18    0.10    0.14    0.41      0.31
H09                     35.86   39.74   38.45   69.28   -8.02   -8.01    0.62    0.53    0.46      0.37
H10                     33.92   39.79   45.13   69.32  -14.81  -16.44    0.58    0.51    0.44      0.34
H11                     32.17   40.09   52.70   69.53  -21.89  -24.76    0.53    0.49    0.28      0.35
H12                     30.83   40.80   61.83   70.04  -28.95  -33.31    0.47    0.45    0.13      0.31
H13                     32.89   48.19   63.40   74.95  -42.65  -26.37    0.47    0.45    0.13      0.35
H14                     49.28   32.92   53.49   64.10   54.52  -34.98    0.23    0.30    0.15      0.34
H15                     69.33   72.81   11.23   88.36   -1.88   77.06    0.10    0.12    0.19      0.27
H16                     22.51   23.58   19.49   55.66   -1.01   -0.08    0.45    0.37    0.27      0.44
H17                     39.11   26.47    7.10   58.48   49.09   40.11    0.15    0.17    0.13      0.27
