IT8.7/1                                                                                      
ORIGINATOR           "X-Rite, Inc."                                                          
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Ektachrome"                           
CREATED              "Friday, January 23, 2015"                                              
MANUFACTURER         "X-Rite, Inc."                                                          
PROD_DATE            "2015:01"                                                               
SERIAL               "Batch Average Data"                                                    
MATERIAL             "Kodak Ektachrome Product Family"                                       
NUMBER_OF_FIELDS           11                                                                
BEGIN_DATA_FORMAT                                                                            
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT                                                                              
NUMBER_OF_SETS 288                                                                           
#                                                                                            
BEGIN_DATA                                                                                   
#ID                        X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z     SD_dE
A01                      2.42    2.16    1.76   16.30    7.11    0.28    0.12    0.11    0.07      0.37
A02                      2.74    2.06    1.55   15.77   15.54    1.60    0.15    0.11    0.06      0.44
A03                      3.02    1.91    1.33   14.99   23.97    2.86    0.14    0.09    0.06      0.37
A04                      3.26    1.80    1.19   14.37   30.75    3.66    0.14    0.07    0.06      0.37
A05                     11.86   10.52    7.89   38.75   12.66    2.97    0.40    0.39    0.27      0.56
A06                     14.16   10.42    6.96   38.57   28.57    6.41    0.45    0.38    0.26      0.48
A07                     16.49   10.15    6.05   38.10   44.31    9.58    0.47    0.32    0.22      0.45
A08                     19.01    9.88    5.09   37.62   59.87   13.42    0.34    0.20    0.20      0.36
A09                     40.22   37.66   28.70   67.77   12.52    3.80    0.75    0.78    0.75      0.49
A10                     44.03   36.90   26.36   67.19   26.43    6.73    0.69    0.77    0.79      0.50
A11                     47.87   35.87   23.65   66.42   40.66   10.26    0.49    0.60    0.77      0.56
A12                     45.00   31.81   20.24   63.18   46.54   11.34    0.42    0.51    0.66      0.61
A13                     66.59   74.73   66.43   89.26  -11.77   -4.56    0.62    0.50    0.41      0.25
A14                     72.77   70.05   64.02   87.02   11.18   -6.14    0.48    0.59    0.41      0.24
A15                     77.23   81.20   50.02   92.22   -2.12   17.34    0.34    0.31    0.58      0.31
A16                     77.39   80.28   65.43   91.81   -0.04    0.77    0.48    0.46    0.41      0.12
A17                     69.83   67.85   47.70   85.93    9.67    9.14    0.48    0.60    0.56      0.24
A18                     62.76   71.54   48.93   87.75  -13.87   10.86    0.64    0.52    0.59      0.21
A19                     59.53   61.81   63.82   82.81   -0.16  -13.22    0.73    0.75    0.44      0.28
A20                     11.77   19.68   37.55   51.47  -42.78  -37.50    0.17    0.31    0.50      0.33
A21                     20.83    9.23   26.07   36.42   74.04  -45.83    0.29    0.14    0.34      0.23
A22                     46.29   46.34    2.06   73.76    4.58   96.31    0.71    0.73    0.04      0.29
B01                      3.60    3.28    2.07   21.14    6.95    5.48    0.18    0.16    0.08      0.41
B02                      3.95    3.12    1.34   20.51   14.94   12.30    0.21    0.16    0.06      0.51
B03                      4.24    2.87    0.73   19.51   23.35   19.86    0.18    0.12    0.03      0.42
B04                      4.70    2.75    0.34   19.01   31.65   26.27    0.20    0.12    0.02      0.47
B05                     12.13   10.59    5.78   38.87   14.01   12.17    0.39    0.39    0.21      0.54
B06                     14.93   10.64    3.37   38.96   31.58   25.88    0.43    0.36    0.13      0.47
B07                     17.67   10.37    1.63   38.49   49.12   39.89    0.45    0.30    0.07      0.41
