IT8.7/1                                                                                      
ORIGINATOR           "X-Rite, Inc."                                                          
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Ektachrome"                           
CREATED              "Wednesday, June 24, 2015"                                              
MANUFACTURER         "X-Rite, Inc."                                                          
PROD_DATE            "2015:06"                                                               
SERIAL               "Batch Average Data"                                                    
MATERIAL             "Kodak Ektachrome Product Family"                                       
NUMBER_OF_FIELDS           11                                                                
BEGIN_DATA_FORMAT                                                                            
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT                                                                              
NUMBER_OF_SETS 288                                                                           
#                                                                                            
BEGIN_DATA                                                                                   
#ID                        X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z     SD_dE
A01                      2.49    2.20    1.81   16.49    7.78    0.08    0.14    0.11    0.11      0.53
A02                      2.83    2.10    1.61   15.97   16.36    1.30    0.14    0.10    0.10      0.53
A03                      3.13    1.94    1.39   15.14   25.14    2.40    0.16    0.10    0.10      0.52
A04                      3.42    1.85    1.26   14.65   32.09    3.29    0.18    0.10    0.10      0.44
A05                     12.29   10.73    7.89   39.12   14.01    3.60    0.47    0.40    0.22      0.51
A06                     14.72   10.66    6.95   38.99   30.17    7.14    0.47    0.35    0.19      0.48
A07                     16.99   10.33    6.05   38.42   45.71   10.12    0.43    0.28    0.17      0.33
A08                     19.26    9.94    5.07   37.73   60.71   13.72    0.29    0.16    0.14      0.25
A09                     41.25   38.53   29.41   68.41   12.92    3.74    0.71    0.73    0.45      0.39
A10                     44.85   37.55   27.01   67.69   26.68    6.47    0.57    0.64    0.45      0.40
A11                     48.01   35.96   24.22   66.49   40.74    9.31    0.53    0.64    0.43      0.45
A12                     45.03   31.69   20.67   63.08   47.05   10.29    0.45    0.57    0.40      0.42
A13                     67.93   76.03   68.01   89.87  -11.46   -4.97    0.46    0.39    0.32      0.19
A14                     73.45   70.85   65.50   87.41   10.91   -6.87    0.35    0.48    0.31      0.26
A15                     77.99   82.20   50.95   92.66   -2.51   17.06    0.30    0.31    0.39      0.16
A16                     78.53   81.55   66.95   92.38   -0.20    0.33    0.30    0.33    0.34      0.12
A17                     70.35   68.63   48.61   86.32    9.10    8.77    0.37    0.50    0.37      0.23
A18                     63.94   72.80   49.89   88.35  -13.78   10.81    0.49    0.42    0.37      0.20
A19                     60.82   63.07   65.30   83.48    0.03  -13.47    0.56    0.60    0.30      0.29
A20                     12.36   20.71   38.91   52.63  -43.73  -37.34    0.25    0.47    0.45      0.28
A21                     20.76    9.06   26.26   36.09   75.13  -46.73    0.33    0.17    0.24      0.23
A22                     48.40   48.92    2.13   75.40    3.41   98.52    0.78    0.90    0.11      0.41
B01                      3.70    3.34    2.12   21.36    7.52    5.45    0.18    0.15    0.11      0.54
B02                      4.12    3.21    1.40   20.87   15.89   12.17    0.21    0.15    0.10      0.60
B03                      4.49    3.00    0.78   20.04   24.46   19.93    0.22    0.14    0.08      0.69
B04                      5.00    2.89    0.38   19.58   33.03   26.63    0.27    0.16    0.06      0.50
B05                     12.62   10.86    5.79   39.33   15.33   12.91    0.47    0.39    0.16      0.51
B06                     15.62   11.00    3.41   39.58   32.97   26.69    0.43    0.32    0.13      0.51
B07                     18.26   10.64    1.69   38.96   50.21   40.09    0.43    0.27    0.10      0.47
B08                     19.66    9.51    0.60   36.95   66.04   52.39    0.36    0.21    0.08      0.67
B09                     40.56   38.84   26.31   68.63    9.85    9.29    0.68    0.71    0.41      0.37
B10                     43.25   38.10   20.98   68.09   20.26   18.31    0.55    0.61    0.39      0.36
B11                     45.98   37.23   16.65   67.45   30.94   26.58    0.45    0.56    0.35      0.41
B12                     46.55   35.08   12.43   65.81   39.62   34.63    0.38    0.50    0.30      0.44
B13                     61.12   70.87   67.37   87.42  -16.28   -8.60    0.52    0.42    0.27      0.27
B14                     69.71   64.55   64.33   84.25   16.65  -11.22    0.38    0.54    0.32      0.36
B15                     76.59   81.23   43.53   92.23   -3.46   25.01    0.26    0.27    0.39      0.16
B16                     69.87   72.71   59.58   88.31   -0.50    0.43    0.37    0.39    0.25      0.20
B17                     64.70   60.92   40.55   82.34   13.88   11.73    0.38    0.53    0.39      0.33
B18                     56.48   67.47   42.67   85.74  -20.21   14.90    0.59    0.48    0.40      0.29
B19                     51.68   53.13   63.10   77.95    1.17  -20.90    0.59    0.63    0.26      0.33
B20                      8.59   13.85   24.71   44.02  -35.44  -30.32    0.25    0.45    0.45      0.34
B21                     14.43    6.59   17.43   30.86   63.46  -38.31    0.36    0.18    0.30      0.28
B22                     32.26   33.07    1.71   64.21    1.35   83.36    0.87    0.97    0.10      0.43
C01                      4.89    4.85    2.75   26.29    2.72    8.60    0.23    0.21    0.12      0.56
C02                      5.26    4.96    1.65   26.62    5.87   19.27    0.25    0.22    0.11      0.60
C03                      5.61    5.06    0.85   26.90    8.84   30.47    0.26    0.23    0.09      0.81
C04                      6.66    5.68    0.64   28.58   12.92   37.18    0.30    0.26    0.07      0.58
C05                     22.61   21.94   10.51   53.96    6.75   20.00    0.63    0.60    0.27      0.54
C06                     24.44   22.13    6.09   54.16   14.03   37.07    0.59    0.56    0.16      0.45
C07                     26.92   22.89    3.05   54.95   20.93   55.70    0.65    0.61    0.14      0.46
C08                     29.83   23.98    1.16   56.06   27.56   75.98    0.62    0.58    0.07      0.39
C09                     47.02   46.42   25.68   73.81    6.40   19.32    0.67    0.72    0.44      0.30
C10                     49.46   46.15   16.36   73.64   13.86   37.94    0.53    0.65    0.38      0.31
C11                     52.27   46.42   10.35   73.81   20.56   54.76    0.44    0.59    0.24      0.29
C12                     53.48   45.72    5.67   73.36   25.63   72.15    0.41    0.59    0.19      0.34
C13                     55.50   66.90   66.95   85.45  -21.38  -11.61    0.55    0.45    0.26      0.31
C14                     66.50   58.86   62.74   81.21   22.73  -14.92    0.40    0.59    0.28      0.43
C15                     75.07   79.85   36.11   91.62   -3.88   33.71    0.25    0.25    0.40      0.21
C16                     66.50   69.25   56.72   86.63   -0.60    0.45    0.43    0.44    0.27      0.21
C17                     59.45   53.66   32.35   78.26   19.26   16.16    0.41    0.56    0.40      0.35
C18                     49.48   62.31   35.51   83.08  -26.76   19.84    0.57    0.48    0.37      0.33
C19                     42.87   43.47   61.22   71.87    2.85  -29.54    0.62    0.66    0.26      0.42
C20                      5.42    8.39   14.36   34.77  -27.33  -24.11    0.20    0.31    0.35      0.44
