IT8.7/1                                                                                      
ORIGINATOR           "X-Rite, Inc."                                                          
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Ektachrome"                           
CREATED              "Saturday, July 02, 2016"                                               
MANUFACTURER         "X-Rite, Inc."                                                          
PROD_DATE            "2016:01"                                                               
SERIAL               "Batch Average Data"                                                    
MATERIAL             "Kodak Ektachrome Product Family"                                       
NUMBER_OF_FIELDS           11                                                                
BEGIN_DATA_FORMAT                                                                            
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT                                                                              
NUMBER_OF_SETS 288                                                                           
#                                                                                            
BEGIN_DATA                                                                                   
#ID                        X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z     SD_dE
A01                      2.44    2.18    1.70   16.40    7.19    1.02    0.09    0.08    0.06      0.31
A02                      2.77    2.09    1.50   15.96   15.41    2.53    0.10    0.07    0.05      0.32
A03                      3.07    1.94    1.28   15.17   24.03    3.86    0.12    0.07    0.04      0.35
A04                      3.31    1.83    1.14   14.55   30.85    4.76    0.14    0.07    0.04      0.43
A05                     12.32   10.91    8.06   39.42   12.91    3.44    0.42    0.37    0.23      0.48
A06                     14.71   10.88    7.10   39.37   28.45    7.19    0.42    0.32    0.19      0.38
A07                     16.99   10.56    6.15   38.83   43.95   10.39    0.41    0.27    0.18      0.30
A08                     19.37   10.13    5.09   38.06   59.77   14.20    0.33    0.18    0.15      0.25
A09                     41.48   39.00   29.60   68.75   12.14    4.02    0.75    0.74    0.62      0.32
A10                     45.37   38.39   27.23   68.30   25.50    7.17    0.62    0.63    0.54      0.33
A11                     48.78   37.05   24.43   67.31   39.30   10.36    0.49    0.55    0.53      0.43
A12                     45.79   32.80   20.92   63.99   45.30   11.35    0.45    0.52    0.55      0.45
A13                     67.52   75.58   67.27   89.66  -11.44   -4.64    0.64    0.57    0.40      0.25
A14                     73.39   70.74   64.77   87.36   11.02   -6.28    0.49    0.55    0.39      0.20
A15                     77.71   81.78   50.64   92.48   -2.27   17.08    0.47    0.47    0.56      0.24
A16                     78.10   81.00   66.16   92.13    0.01    0.64    0.54    0.53    0.41      0.14
A17                     70.39   68.56   48.28   86.29    9.32    9.09    0.51    0.59    0.58      0.24
A18                     63.70   72.45   49.64   88.18  -13.60   10.81    0.69    0.62    0.56      0.27
A19                     60.54   62.78   64.56   83.33    0.01  -13.03    0.65    0.64    0.37      0.28
A20                     12.18   20.22   38.26   52.09  -42.61  -37.40    0.21    0.34    0.50      0.27
A21                     21.15    9.42   26.24   36.78   74.04  -45.50    0.36    0.17    0.32      0.22
A22                     46.40   46.14    1.95   73.63    5.47   97.19    0.73    0.71    0.04      0.39
B01                      3.65    3.34    2.04   21.37    6.84    6.18    0.13    0.11    0.07      0.29
B02                      4.02    3.16    1.29   20.69   15.15   13.20    0.14    0.11    0.04      0.42
B03                      4.33    2.93    0.72   19.77   23.47   20.53    0.17    0.11    0.03      0.39
B04                      4.76    2.79    0.29   19.17   31.82   27.54    0.17    0.10    0.01      0.54
B05                     12.52   10.90    5.80   39.40   14.38   13.00    0.41    0.35    0.19      0.45
B06                     15.39   11.02    3.42   39.60   31.52   26.68    0.39    0.29    0.10      0.35
B07                     17.95   10.58    1.61   38.85   49.05   40.71    0.37    0.23    0.05      0.30
B08                     19.88    9.68    0.52   37.26   65.82   54.38    0.29    0.14    0.02      0.24
B09                     40.60   39.04   26.50   68.78    9.33    9.22    0.71    0.71    0.57      0.31
B10                     43.43   38.49   21.24   68.37   19.60   18.26    0.60    0.62    0.52      0.37
B11                     46.50   37.86   16.94   67.91   30.40   26.69    0.51    0.54    0.39      0.40
B12                     46.93   35.66   12.89   66.25   38.77   34.13    0.40    0.49    0.32      0.43
B13                     60.75   70.42   66.59   87.20  -16.20   -8.25    0.67    0.60    0.37      0.34
B14                     69.89   64.78   63.68   84.37   16.50  -10.39    0.52    0.58    0.39      0.25
B15                     76.36   80.84   43.46   92.06   -3.18   24.81    0.45    0.45    0.55      0.30
B16                     69.57   72.34   58.95   88.13   -0.40    0.76    0.51    0.52    0.39      0.13
B17                     64.90   61.14   40.43   82.45   13.82   12.09    0.52    0.58    0.56      0.30
B18                     56.36   67.23   42.64   85.62  -19.96   14.72    0.69    0.62    0.54      0.36
B19                     51.54   53.11   62.41   77.94    0.87  -20.25    0.67    0.68    0.40      0.34
B20                      8.57   13.68   24.46   43.77  -34.50  -30.29    0.19    0.30    0.39      0.32
B21                     14.48    6.76   17.29   31.26   62.04  -37.31    0.32    0.16    0.30      0.28
B22                     30.45   30.66    1.53   62.21    3.36   81.87    0.67    0.65    0.03      0.43
C01                      4.82    4.80    2.66   26.16    2.41    9.06    0.16    0.14    0.08      0.36
C02                      5.13    4.86    1.53   26.33    5.61   20.02    0.18    0.16    0.04      0.39
C03                      5.42    4.88    0.73   26.38    8.84   31.73    0.20    0.16    0.02      0.48
C04                      6.38    5.44    0.54   27.94   12.82   37.95    0.24    0.20    0.02      0.55
C05                     22.43   21.83   10.78   53.85    6.44   18.95    0.57    0.55    0.30      0.43
C06                     24.00   21.75    6.10   53.76   13.82   36.36    0.57    0.53    0.18      0.39
C07                     26.12   22.14    2.98   54.17   21.06   54.89    0.55    0.50    0.09      0.32
C08                     28.64   22.75    1.04   54.82   28.37   75.60    0.56    0.50    0.02      0.39
C09                     46.92   46.32   25.88   73.75    6.41   18.87    0.68    0.69    0.57      0.30
C10                     49.26   45.87   16.74   73.46   14.11   36.74    0.57    0.62    0.38      0.36
C11                     52.06   45.99   10.61   73.54   21.21   53.45    0.51    0.57    0.25      0.35
C12                     52.77   44.77    5.71   72.74   26.50   70.92    0.37    0.48    0.17      0.43
C13                     55.27   66.58   66.18   85.29  -21.25  -11.17    0.68    0.60    0.36      0.40
C14                     66.86   59.39   62.13   81.50   22.28  -13.83    0.49    0.56    0.40      0.30
C15                     74.86   79.47   36.28   91.45   -3.58   33.19    0.43    0.44    0.55      0.37
C16                     66.19   68.89   56.15   86.45   -0.53    0.73    0.53    0.54    0.42      0.16
C17                     59.84   54.10   32.51   78.52   19.06   16.37    0.51    0.57    0.50      0.31
C18                     49.45   62.11   35.72   82.97  -26.39   19.37    0.72    0.64    0.51      0.43
C19                     42.87   43.67   60.52   72.00    2.30  -28.63    0.67    0.67    0.42      0.42
C20                      5.44    8.36   14.30   34.71  -26.76  -24.07    0.15    0.22    0.31      0.29
C21                      8.87    4.36   10.32   24.82   49.76  -29.63    0.27    0.13    0.25      0.36
C22                     18.61   19.08    1.22   50.77    1.14   66.10    0.53    0.52    0.03      0.51
D01                      4.49    4.80    2.91   26.14   -1.83    7.09    0.14    0.13    0.09      0.33
D02                      4.56    4.97    1.99   26.63   -2.94   15.73    0.15    0.14    0.06      0.36
D03                      4.56    5.06    1.24   26.91   -4.18   24.66    0.15    0.16    0.04      0.37
