IT8.7/1                                                                                      
ORIGINATOR           "X-Rite, Inc."                                                          
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Ektachrome"                           
CREATED              "Saturday, August 20, 2016"                                             
MANUFACTURER         "X-Rite, Inc."                                                          
PROD_DATE            "2016:05.16"                                                               
SERIAL               "Batch Average Data"                                                    
MATERIAL             "Kodak Ektachrome Product Family"                                       
NUMBER_OF_FIELDS           11                                                                
BEGIN_DATA_FORMAT                                                                            
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT                                                                              
NUMBER_OF_SETS 288                                                                           
#                                                                                            
BEGIN_DATA                                                                                   
#ID                        X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z     SD_dE
A01                      2.51    2.19    1.78   16.44    8.32    0.29    0.05    0.05    0.02      0.35
A02                      2.85    2.11    1.57   16.05   16.39    1.91    0.04    0.04    0.02      0.47
A03                      3.19    1.97    1.34   15.35   25.42    3.44    0.06    0.04    0.03      0.41
A04                      3.64    2.01    1.21   15.53   31.80    5.37    0.06    0.03    0.01      0.38
A05                     12.62   11.01    8.57   39.60   14.22    1.85    0.18    0.16    0.20      0.49
A06                     14.98   10.80    7.44   39.24   30.70    5.58    0.07    0.12    0.13      0.51
A07                     17.25   10.44    6.42   38.62   46.28    8.84    0.14    0.12    0.11      0.54
A08                     19.17    9.86    5.33   37.58   60.83   12.17    0.10    0.08    0.12      0.50
A09                     41.88   39.19   30.19   68.89   12.77    3.32    0.50    0.54    0.57      0.30
A10                     45.17   38.03   27.87   68.04   26.07    5.62    0.35    0.42    0.45      0.35
A11                     47.64   36.06   25.07   66.57   39.38    7.93    0.39    0.48    0.48      0.38
A12                     44.46   31.65   21.48   63.05   45.53    8.61    0.27    0.30    0.37      0.39
A13                     66.12   73.74   64.67   88.80  -10.79   -3.70    0.39    0.39    0.22      0.24
A14                     71.52   69.25   62.37   86.62   10.27   -5.23    0.36    0.48    0.20      0.22
A15                     75.63   79.55   49.83   91.48   -2.18   16.28    0.36    0.37    0.54      0.33
A16                     75.99   78.96   63.76   91.21   -0.27    1.34    0.35    0.37    0.24      0.14
A17                     68.79   67.29   47.51   85.65    8.64    8.89    0.40    0.49    0.53      0.28
A18                     62.56   70.80   48.76   87.39  -12.80   10.44    0.52    0.50    0.54      0.29
A19                     59.57   61.85   62.12   82.83   -0.16  -11.52    0.46    0.55    0.27      0.30
A20                     12.09   20.29   38.34   52.16  -43.57  -37.37    0.11    0.21    0.45      0.43
A21                     20.63    9.01   25.67   36.01   74.84  -45.83    0.10    0.04    0.18      0.21
A22                     47.61   47.57    2.04   74.55    4.89   97.85    0.37    0.39    0.02      0.39
B01                      3.74    3.35    2.12   21.37    8.07    5.42    0.06    0.07    0.02      0.46
B02                      4.18    3.21    1.35   20.88   16.70   12.82    0.08    0.07    0.02      0.44
B03                      4.63    3.07    0.73   20.33   25.10   21.32    0.10    0.07    0.01      0.52
