IT8.7/1                                                                                      
ORIGINATOR           "X-Rite, Inc."                                                          
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Ektachrome"                           
CREATED              "Tuesday, November 01, 2016"                                            
MANUFACTURER         "X-Rite, Inc."                                                          
PROD_DATE            "2016:11"                                                               
SERIAL               "Batch Average Data"                                                    
MATERIAL             "Kodak Ektachrome Product Family"                                       
NUMBER_OF_FIELDS           11                                                                
BEGIN_DATA_FORMAT                                                                            
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT                                                                              
NUMBER_OF_SETS 288                                                                           
#                                                                                            
BEGIN_DATA                                                                                   
#ID                        X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z     SD_dE
A01                      2.31    2.07    1.65   15.87    6.80    0.64    0.12    0.09    0.04      0.43
A02                      2.61    1.97    1.44   15.31   15.06    2.12    0.14    0.09    0.04      0.47
A03                      2.84    1.79    1.23   14.35   23.49    3.17    0.13    0.08    0.04      0.42
A04                      2.99    1.63    1.08   13.43   30.29    3.68    0.10    0.05    0.03      0.35
A05                     11.63   10.34    7.88   38.44   12.35    2.47    0.47    0.39    0.16      0.50
A06                     13.99   10.36    6.93   38.47   27.90    6.33    0.53    0.38    0.16      0.46
A07                     16.25   10.12    6.03   38.05   43.19    9.59    0.49    0.31    0.13      0.40
A08                     18.44    9.61    4.93   37.13   59.06   13.41    0.31    0.16    0.11      0.30
A09                     40.21   37.88   28.79   67.92   11.80    3.92    0.84    0.79    0.55      0.41
A10                     44.17   37.41   26.46   67.58   25.18    7.23    0.76    0.74    0.52      0.42
A11                     47.81   36.31   23.80   66.75   39.06   10.54    0.48    0.54    0.50      0.46
A12                     45.17   32.29   20.39   63.57   45.33   11.72    0.44    0.53    0.50      0.54
A13                     66.64   74.99   66.97   89.39  -12.18   -4.84    0.81    0.73    0.43      0.30
A14                     72.57   70.02   64.48   87.00   10.83   -6.61    0.50    0.61    0.42      0.28
A15                     77.05   81.33   50.01   92.28   -2.74   17.45    0.43    0.47    0.50      0.22
A16                     77.46   80.61   65.92   91.96   -0.53    0.57    0.43    0.46    0.39      0.16
A17                     69.46   67.72   47.64   85.86    9.15    9.10    0.48    0.60    0.47      0.26
A18                     62.65   71.71   48.96   87.83  -14.47   10.96    0.79    0.73    0.46      0.30
A19                     59.48   61.88   64.27   82.85   -0.46  -13.57    0.77    0.77    0.44      0.32
A20                     11.76   19.53   37.45   51.30  -42.16  -37.65    0.21    0.36    0.47      0.29
A21                     20.04    8.82   25.66   35.64   73.61  -46.46    0.28    0.13    0.20      0.27
A22                     45.18   45.16    1.92   73.00    4.76   96.31    0.65    0.61    0.02      0.42
B01                      3.46    3.18    1.97   20.76    6.45    5.78    0.18    0.14    0.05      0.53
B02                      3.76    2.98    1.26   19.96   14.52   12.43    0.16    0.12    0.05      0.40
B03                      3.99    2.72    0.67   18.88   22.64   19.96    0.15    0.10    0.01      0.48
B04                      4.38    2.56    0.28   18.19   31.02   26.10    0.17    0.09    0.00      0.65
B05                     11.84   10.35    5.57   38.46   13.70   12.47    0.47    0.38    0.14      0.53
B06                     14.66   10.52    3.31   38.76   30.84   25.96    0.50    0.35    0.09      0.47
B07                     17.21   10.14    1.54   38.09   48.34   40.20    0.41    0.24    0.04      0.31
B08                     18.61    9.01    0.49   36.01   64.81   52.91    0.09    0.04    0.01      0.14
B09                     39.47   38.03   25.76   68.04    8.99    9.24    0.84    0.81    0.51      0.38
B10                     42.27   37.49   20.61   67.64   19.32   18.28    0.78    0.74    0.49      0.39
B11                     45.37   36.97   16.26   67.25   30.04   27.17    0.60    0.64    0.45      0.42
B12                     46.35   35.13   12.47   65.85   38.89   34.61    0.38    0.49    0.31      0.47
B13                     59.96   69.91   66.37   86.95  -17.00   -8.48    0.91    0.81    0.43      0.38
B14                     69.12   64.14   63.47   84.04   16.30  -10.76    0.53    0.65    0.44      0.37
B15                     75.83   80.52   43.05   91.92   -3.64   25.07    0.42    0.47    0.53      0.31
B16                     68.77   71.72   58.68   87.83   -0.84    0.52    0.66    0.69    0.41      0.20
B17                     64.00   60.31   39.92   82.00   13.73   11.97    0.52    0.65    0.48      0.30
B18                     55.38   66.53   42.08   85.26  -20.87   14.82    0.89    0.82    0.50      0.35
B19                     50.59   52.31   62.19   77.46    0.41  -20.85    0.90    0.87    0.47      0.43
B20                      8.15   13.04   23.73   42.82  -34.07  -30.59    0.20    0.34    0.42      0.41
B21                     13.65    6.30   16.79   30.16   61.65  -38.04    0.37    0.17    0.31      0.42
B22                     29.33   29.72    1.51   61.41    2.59   80.77    0.74    0.66    0.02      0.57
C01                      4.55    4.57    2.57   25.46    1.90    8.55    0.21    0.18    0.06      0.48
C02                      4.81    4.60    1.49   25.55    4.97   19.20    0.21    0.18    0.06      0.45
C03                      5.06    4.60    0.72   25.56    7.96   30.52    0.23    0.19    0.02      0.52
C04                      5.92    5.10    0.53   27.01   11.78   36.60    0.23    0.18    0.01      0.60
C05                     21.55   21.08   10.51   53.03    5.82   18.40    0.73    0.66    0.26      0.55
C06                     23.04   20.98    5.80   52.93   13.15   36.33    0.68    0.60    0.14      0.50
C07                     25.22   21.44    2.87   53.42   20.52   54.42    0.69    0.59    0.07      0.49
C08                     27.61   22.00    1.02   54.03   27.72   74.55    0.60    0.51    0.01      0.59
C09                     45.76   45.31   25.22   73.09    5.96   18.91    0.80    0.80    0.53      0.36
C10                     48.15   44.86   16.03   72.80   13.93   37.29    0.66    0.69    0.35      0.37
C11                     51.11   45.18   10.44   73.01   21.01   53.08    0.47    0.54    0.18      0.38
C12                     52.24   44.20    5.55   72.36   26.74   71.04    0.31    0.43    0.12      0.39
C13                     54.42   65.99   65.97   84.99  -22.10  -11.49    0.89    0.80    0.42      0.41
C14                     66.15   58.83   62.00   81.20   22.02  -14.22    0.49    0.62    0.44      0.44
C15                     74.34   79.15   35.79   91.30   -4.03   33.62    0.42    0.48    0.54      0.34
C16                     65.37   68.23   55.86   86.12   -0.93    0.47    0.65    0.68    0.39      0.24
C17                     58.89   53.26   31.92   78.03   18.94   16.41    0.55    0.65    0.53      0.35
C18                     48.35   61.29   35.01   82.53  -27.49   19.61    0.94    0.87    0.54      0.45
C19                     41.94   42.91   60.36   71.49    1.71  -29.34    0.85    0.84    0.46      0.54
C20                      5.17    7.98   13.77   33.94  -26.68  -24.00    0.17    0.27    0.33      0.47
C21                      8.34    4.05    9.95   23.82   49.44  -30.15    0.27    0.13    0.22      0.48
C22                     17.72   18.33    1.19   49.89    0.24   64.86    0.59    0.53    0.02      0.70
D01                      4.27    4.59    2.85   25.52   -2.15    6.48    0.22    0.19    0.07      0.49
D02                      4.32    4.74    1.92   25.96   -3.25   15.28    0.22    0.20    0.06      0.51
D03                      4.32    4.84    1.20   26.25   -4.60   24.08    0.20    0.18    0.03      0.55
D04                      4.57    5.15    0.64   27.15   -5.08   34.67    0.23    0.21    0.01      0.68
D05                     24.13   25.76   13.95   57.80   -3.04   16.67    0.79    0.73    0.33      0.48
D06                     24.56   26.49    9.62   58.49   -4.16   30.75    0.82    0.77    0.21      0.52
D07                     24.69   26.85    5.74   58.82   -5.03   46.79    0.77    0.73    0.13      0.53
D08                     24.69   27.31    3.20   59.25   -6.91   62.05    0.85    0.80    0.09      0.56
D09                     50.83   53.71   26.59   78.29   -2.53   25.48    0.83    0.83    0.55      0.29
D10                     50.45   53.72   14.87   78.30   -3.57   49.64    0.82    0.82    0.30      0.27
D11                     50.49   54.20    7.83   78.58   -4.67   71.86    0.73    0.74    0.14      0.31
D12                     50.16   54.55    3.10   78.78   -6.40   96.45    0.65    0.59    0.03      0.32
D13                     49.59   62.45   65.57   83.15  -26.80  -14.28    0.96    0.89    0.45      0.47
D14                     62.60   53.05   60.74   77.90   28.21  -18.67    0.51    0.62    0.45      0.47
D15                     72.96   77.77   29.31   90.67   -4.16   42.28    0.44    0.51    0.51      0.39
D16                     61.36   64.10   52.50   84.01   -1.04    0.43    0.77    0.76    0.47      0.26
D17                     54.41   46.81   25.22   74.06   24.96   20.58    0.50    0.60    0.47      0.42
D18                     41.53   55.70   28.37   79.44  -33.79   24.46    0.98    0.93    0.50      0.46
D19                     34.59   34.72   57.95   65.52    3.87  -37.20    0.84    0.83    0.49      0.61
D20                      3.32    4.82    7.96   26.21  -19.23  -18.94    0.12    0.18    0.16      0.49
D21                      4.78    2.52    5.85   18.02   37.05  -24.12    0.16    0.09    0.09      0.40
D22                      9.51   10.00    0.92   37.83   -1.01   48.08    0.36    0.35    0.02      0.69
E01                      4.03    4.71    2.62   25.87   -7.03    8.88    0.21    0.19    0.06      0.51
E02                      3.69    4.83    1.57   26.22  -13.52   19.39    0.16    0.18    0.05      0.42
E03                      3.56    5.12    0.82   27.06  -19.12   31.20    0.17    0.20    0.01      0.55
E04                      3.95    6.11    0.78   29.69  -24.57   36.46    0.19    0.23    0.01      0.63
E05                     11.34   13.79    6.73   43.92  -13.34   16.57    0.37    0.39    0.13      0.51
E06                     10.75   14.86    3.58   45.43  -24.20   35.66    0.34    0.38    0.07      0.50
