IT8.7/1                                                                                      
ORIGINATOR           "X-Rite, Inc."                                                          
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Ektachrome"                           
CREATED              "Friday, September 15, 2017"                                            
MANUFACTURER         "X-Rite, Inc."                                                          
PROD_DATE            "2017:09"                                                               
SERIAL               "Batch Average Data"                                                    
MATERIAL             "Kodak Ektachrome Product Family"                                       
NUMBER_OF_FIELDS           11                                                                
BEGIN_DATA_FORMAT                                                                            
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT                                                                              
NUMBER_OF_SETS 288                                                                           
#                                                                                            
BEGIN_DATA                                                                                   
#ID                        X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z     SD_dE
A01                      2.38    2.15    1.68   16.23    6.67    1.02    0.14    0.11    0.06      0.51
A02                      2.68    2.03    1.46   15.66   14.92    2.44    0.15    0.11    0.05      0.63
A03                      2.98    1.90    1.26   14.93   23.54    3.75    0.17    0.10    0.04      0.59
A04                      3.23    1.79    1.11   14.34   30.43    4.72    0.18    0.09    0.04      0.60
A05                     11.97   10.67    8.03   39.01   12.29    2.89    0.52    0.44    0.27      0.63
A06                     14.21   10.53    7.03   38.78   27.94    6.46    0.56    0.41    0.24      0.64
A07                     16.57   10.36    6.11   38.47   43.18    9.95    0.52    0.34    0.21      0.59
A08                     18.89    9.92    5.04   37.70   58.93   13.85    0.40    0.23    0.17      0.46
A09                     40.73   38.42   28.88   68.32   11.69    4.45    0.86    0.81    0.68      0.49
A10                     44.75   38.01   26.66   68.03   24.91    7.66    0.71    0.69    0.66      0.45
A11                     48.41   36.90   23.93   67.20   38.76   11.08    0.52    0.56    0.62      0.49
A12                     45.72   32.85   20.49   64.04   44.89   12.31    0.38    0.43    0.57      0.53
A13                     67.28   75.58   67.28   89.66  -11.97   -4.65    0.77    0.66    0.64      0.32
A14                     73.25   70.83   64.85   87.40   10.53   -6.28    0.53    0.60    0.67      0.18
A15                     77.51   81.81   50.17   92.49   -2.72   17.63    0.51    0.54    0.78      0.33
A16                     77.95   81.06   66.15   92.16   -0.42    0.70    0.51    0.53    0.67      0.16
A17                     70.03   68.38   47.84   86.20    8.94    9.44    0.52    0.59    0.71      0.27
A18                     63.19   72.23   49.13   88.08  -14.29   11.20    0.80    0.70    0.73      0.31
A19                     60.22   62.68   64.62   83.27   -0.52  -13.18    0.79    0.73    0.64      0.31
A20                     11.85   19.68   37.44   51.47  -42.25  -37.34    0.21    0.33    0.56      0.39
A21                     20.61    9.19   25.97   36.35   73.32  -45.77    0.33    0.18    0.41      0.32
A22                     45.19   45.00    1.93   72.89    5.23   96.04    0.82    0.79    0.03      0.41
B01                      3.53    3.24    2.00   20.99    6.56    5.95    0.19    0.16    0.07      0.64
B02                      3.92    3.11    1.30   20.48   14.61   12.76    0.22    0.16    0.05      0.72
B03                      4.22    2.87    0.68   19.52   23.01   20.75    0.25    0.16    0.03      0.58
B04                      4.60    2.71    0.29   18.82   31.21   26.95    0.24    0.13    0.01      0.67
B05                     12.13   10.63    5.66   38.93   13.69   12.87    0.52    0.43    0.20      0.73
B06                     14.85   10.66    3.36   38.99   30.96   26.00    0.56    0.41    0.14      0.60
B07                     17.54   10.41    1.60   38.56   48.12   40.31    0.50    0.32    0.06      0.57
B08                     19.32    9.43    0.51   36.80   65.00   53.83    0.27    0.14    0.02      0.23
B09                     39.94   38.52   25.82   68.40    8.92    9.75    0.80    0.76    0.62      0.48
B10                     42.69   37.90   20.61   67.94   19.24   18.80    0.72    0.70    0.55      0.49
B11                     45.81   37.41   16.37   67.58   29.90   27.47    0.60    0.64    0.51      0.47
B12                     46.78   35.53   12.64   66.16   38.75   34.65    0.39    0.48    0.38      0.49
B13                     60.49   70.40   66.61   87.19  -16.78   -8.29    0.90    0.78    0.65      0.40
B14                     69.76   64.91   63.80   84.43   15.95  -10.39    0.58    0.65    0.67      0.21
B15                     76.22   80.94   43.08   92.10   -3.66   25.36    0.53    0.56    0.79      0.43
B16                     69.22   72.20   58.72   88.07   -0.87    0.88    0.68    0.66    0.67      0.22
B17                     64.47   60.83   40.00   82.29   13.56   12.36    0.60    0.68    0.75      0.35
B18                     55.80   66.93   42.09   85.46  -20.69   15.15    0.95    0.82    0.79      0.47
B19                     51.25   53.05   62.50   77.90    0.25  -20.40    0.92    0.85    0.65      0.40
B20                      8.24   13.16   23.69   43.00  -34.07  -30.20    0.23    0.34    0.50      0.53
B21                     14.07    6.58   16.94   30.83   61.32  -37.23    0.38    0.20    0.38      0.46
B22                     29.34   29.58    1.52   61.29    3.13   80.46    0.87    0.81    0.03      0.62
C01                      4.66    4.65    2.60   25.69    2.36    8.74    0.26    0.23    0.10      0.64
C02                      4.95    4.69    1.53   25.82    5.53   19.21    0.27    0.23    0.05      0.73
C03                      5.24    4.73    0.74   25.93    8.60   30.81    0.30    0.24    0.03      0.65
C04                      6.14    5.24    0.54   27.40   12.50   37.06    0.33    0.26    0.02      0.60
C05                     21.84   21.34   10.66   53.31    5.99   18.42    0.69    0.63    0.31      0.60
C06                     23.29   21.16    5.89   53.12   13.45   36.22    0.75    0.66    0.21      0.63
C07                     25.47   21.60    2.93   53.60   20.82   54.26    0.75    0.64    0.10      0.59
C08                     27.76   22.06    1.03   54.09   28.03   74.39    0.73    0.62    0.03      0.48
C09                     46.14   45.64   25.21   73.31    6.11   19.30    0.82    0.80    0.63      0.46
C10                     48.56   45.25   16.22   73.05   13.95   37.27    0.66    0.69    0.45      0.46
C11                     51.45   45.47   10.56   73.20   21.07   53.02    0.53    0.62    0.32      0.46
C12                     52.50   44.43    5.65   72.52   26.76   70.82    0.38    0.52    0.18      0.39
C13                     54.92   66.44   66.14   85.22  -21.84  -11.26    0.91    0.78    0.65      0.44
C14                     66.84   59.69   62.29   81.67   21.52  -13.70    0.47    0.54    0.61      0.27
C15                     74.69   79.52   35.79   91.47   -4.04   33.91    0.51    0.55    0.76      0.48
C16                     65.79   68.66   55.92   86.33   -0.91    0.78    0.69    0.66    0.73      0.26
C17                     59.30   53.70   31.88   78.29   18.80   16.92    0.55    0.62    0.70      0.44
C18                     48.77   61.65   35.00   82.72  -27.16   19.95    0.92    0.80    0.78      0.52
C19                     42.62   43.69   60.60   72.01    1.48  -28.69    0.87    0.79    0.60      0.46
