IT8.7/1                                                                                      
ORIGINATOR           "X-Rite, Inc."                                                          
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Ektachrome"                           
CREATED              "Friday, April 20, 2018"                                                
MANUFACTURER         "X-Rite, Inc."                                                          
PROD_DATE            "2018:04"                                                               
SERIAL               "Batch Average Data"                                                    
MATERIAL             "Kodak Ektachrome Product Family"                                       
NUMBER_OF_FIELDS           11                                                                
BEGIN_DATA_FORMAT                                                                            
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT                                                                              
NUMBER_OF_SETS 288                                                                           
#                                                                                            
BEGIN_DATA                                                                                   
#ID                        X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z     SD_dE
A01                      2.39    2.16    1.72   16.28    6.66    0.59    0.12    0.11    0.10      0.39
A02                      2.68    2.06    1.51   15.77   14.56    2.07    0.12    0.10    0.08      0.37
A03                      3.02    1.94    1.31   15.15   23.22    3.49    0.14    0.09    0.08      0.34
A04                      3.37    1.89    1.16   14.88   30.40    4.96    0.17    0.10    0.07      0.38
A05                     11.65   10.35    8.04   38.45   12.43    1.86    0.40    0.38    0.34      0.55
A06                     13.94   10.23    6.99   38.25   28.57    5.70    0.39    0.31    0.28      0.46
A07                     16.46   10.17    6.06   38.14   44.03    9.61    0.43    0.31    0.23      0.44
A08                     19.12    9.96    5.02   37.77   59.80   14.07    0.34    0.20    0.21      0.32
A09                     39.96   37.34   28.87   67.53   12.74    3.11    0.69    0.72    0.65      0.40
A10                     44.04   36.76   26.54   67.09   26.89    6.25    0.62    0.70    0.60      0.48
A11                     47.78   35.58   23.68   66.20   41.35    9.82    0.56    0.71    0.60      0.58
A12                     45.03   31.61   20.17   63.01   47.34   11.20    0.57    0.72    0.55      0.70
A13                     66.68   75.09   67.85   89.43  -12.30   -5.58    0.46    0.38    0.28      0.22
A14                     72.90   69.98   65.21   86.98   11.60   -7.34    0.35    0.51    0.30      0.30
A15                     77.52   81.70   50.53   92.44   -2.50   17.15    0.24    0.25    0.56      0.28
A16                     77.92   80.91   66.90   92.09   -0.19   -0.12    0.26    0.28    0.32      0.11
A17                     69.93   67.93   48.23   85.97    9.70    8.60    0.37    0.48    0.58      0.27
A18                     62.73   71.83   49.49   87.89  -14.54   10.47    0.46    0.39    0.61      0.28
