IT8.7/1                                                                                      
ORIGINATOR           "X-Rite, Inc."                                                          
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Ektachrome"                           
CREATED              "Wednesday, March 13, 2019"                                             
MANUFACTURER         "X-Rite, Inc."                                                          
PROD_DATE            "2019:03"                                                               
SERIAL               "Batch Average Data"                                                    
MATERIAL             "Kodak Ektachrome Product Family"                                       
NUMBER_OF_FIELDS           11                                                                
BEGIN_DATA_FORMAT                                                                            
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT                                                                              
NUMBER_OF_SETS 288                                                                           
#                                                                                            
BEGIN_DATA                                                                                   
#ID                        X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z     SD_dE
A01                      2.43    2.20    1.73   16.50    6.46    0.91    0.11    0.09    0.10      0.39
A02                      2.68    2.05    1.52   15.75   14.63    1.96    0.12    0.08    0.09      0.36
A03                      2.96    1.91    1.31   15.00   22.97    3.19    0.13    0.08    0.08      0.39
A04                      3.19    1.77    1.15   14.22   30.25    4.01    0.13    0.07    0.08      0.43
A05                     11.94   10.70    8.23   39.06   11.88    2.22    0.37    0.30    0.42      0.62
A06                     14.17   10.62    7.20   38.92   27.12    6.04    0.42    0.30    0.37      0.66
A07                     16.39   10.33    6.25   38.42   42.38    9.25    0.41    0.27    0.33      0.61
A08                     18.66    9.83    5.15   37.54   58.46   13.02    0.28    0.16    0.29      0.65
A09                     40.35   38.06   29.14   68.06   11.65    3.59    0.69    0.66    0.87      0.50
A10                     44.49   37.78   26.92   67.86   24.90    6.93    0.60    0.59    0.86      0.57
A11                     48.01   36.47   24.15   66.88   39.06   10.14    0.49    0.49    0.79      0.61
A12                     45.07   32.29   20.65   63.58   45.02   11.20    0.45    0.45    0.77      0.69
A13                     66.87   75.04   67.11   89.41  -11.77   -4.94    0.56    0.50    0.33      0.19
A14                     72.86   70.13   64.57   87.06   11.19   -6.60    0.47    0.55    0.35      0.25
A15                     77.49   81.54   50.40   92.37   -2.24   17.17    0.41    0.42    0.74      0.36
A16                     77.78   80.68   66.17   91.99   -0.02    0.39    0.41    0.43    0.34      0.12
A17                     69.87   67.98   48.06   85.99    9.47    8.85    0.50    0.59    0.74      0.30
A18                     63.04   71.89   49.34   87.91  -13.96   10.68    0.63    0.56    0.75      0.32
A19                     59.71   62.01   64.34   82.92   -0.19  -13.52    0.60    0.61    0.34      0.25
A20                     12.01   19.78   37.81   51.58  -41.65  -37.65    0.27    0.38    0.71      0.32
A21                     20.14    8.94   25.89   35.86   73.13  -46.48    0.33    0.16    0.45      0.28
A22                     45.24   45.04    1.89   72.91    5.28   96.55    0.85    1.02    0.08      0.51
B01                      3.56    3.30    2.06   21.21    6.10    5.73    0.15    0.13    0.11      0.40
B02                      3.92    3.15    1.34   20.63   14.00   12.59    0.17    0.13    0.08      0.39
B03                      4.22    2.89    0.70   19.58   22.80   20.55    0.18    0.12    0.05      0.34
B04                      4.60    2.73    0.29   18.93   30.81   27.18    0.18    0.11    0.03      0.42
B05                     12.10   10.69    5.82   39.04   13.07   12.31    0.39    0.32    0.29      0.53
B06                     14.80   10.73    3.46   39.12   30.10   25.54    0.41    0.29    0.18      0.51
B07                     17.36   10.38    1.64   38.52   47.33   39.86    0.35    0.23    0.09      0.34
B08                     19.05    9.31    0.52   36.58   64.58   53.30    0.25    0.15    0.04      0.22
B09                     39.69   38.31   26.21   68.25    8.80    8.82    0.72    0.69    0.84      0.50
B10                     42.51   37.75   20.89   67.83   19.22   18.03    0.58    0.58    0.79      0.65
B11                     45.78   37.47   16.67   67.63   29.57   26.87    0.48    0.52    0.65      0.62
B12                     46.39   35.27   12.96   65.96   38.53   33.41    0.37    0.44    0.52      0.59
B13                     60.20   69.97   66.52   86.98  -16.55   -8.58    0.60    0.51    0.28      0.24
B14                     69.33   64.14   63.50   84.04   16.74  -10.79    0.38    0.49    0.28      0.27
B15                     76.27   80.74   43.22   92.02   -3.16   25.03    0.31    0.32    0.83      0.50
B16                     69.14   71.90   59.01   87.92   -0.42    0.33    0.45    0.45    0.41      0.14
B17                     64.30   60.43   40.07   82.07   14.10   11.91    0.46    0.56    0.82      0.42
B18                     55.77   66.75   42.32   85.37  -20.38   14.70    0.69    0.58    0.85      0.41
B19                     50.68   52.27   62.23   77.44    0.74  -20.93    0.63    0.62    0.28      0.33
B20                      8.42   13.35   24.18   43.28  -33.67  -30.62    0.26    0.33    0.75      0.52
