IT8.7/1                                                                                      
ORIGINATOR           "X-Rite, Inc."                                                          
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Ektachrome"                           
CREATED              "Monday, February 24, 2020"                                             
MANUFACTURER         "X-Rite, Inc."                                                          
PROD_DATE            "2020:02"                                                               
SERIAL               "Batch Average Data"                                                    
MATERIAL             "Kodak Ektachrome Product Family"                                       
NUMBER_OF_FIELDS           11                                                                
BEGIN_DATA_FORMAT                                                                            
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT                                                                              
NUMBER_OF_SETS 288                                                                           
#                                                                                            
BEGIN_DATA                                                                                   
#ID                        X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z     SD_dE
A01                      2.43    2.22    1.68   16.58    6.25    1.60    0.09    0.08    0.06      0.29
A02                      2.68    2.06    1.47   15.78   14.40    2.59    0.10    0.07    0.06      0.40
A03                      2.99    1.93    1.25   15.11   22.92    4.11    0.10    0.07    0.04      0.34
A04                      3.30    1.84    1.11   14.62   30.27    5.19    0.14    0.07    0.04      0.34
A05                     11.92   10.68    8.00   39.03   11.89    3.02    0.31    0.27    0.23      0.44
A06                     14.40   10.80    7.12   39.24   27.13    6.86    0.36    0.28    0.21      0.43
A07                     16.61   10.46    6.14   38.65   42.64   10.12    0.35    0.23    0.19      0.35
A08                     19.01   10.01    5.02   37.85   58.87   14.19    0.29    0.15    0.15      0.32
A09                     40.47   38.22   28.63   68.18   11.49    4.62    0.63    0.62    0.55      0.33
A10                     44.59   37.84   26.37   67.90   25.01    7.94    0.56    0.56    0.53      0.32
A11                     48.77   37.19   23.77   67.42   38.80   11.75    0.54    0.52    0.52      0.37
A12                     45.84   32.83   20.45   64.02   45.32   12.36    0.56    0.49    0.50      0.40
A13                     66.93   75.36   66.59   89.56  -12.28   -4.19    0.55    0.48    0.39      0.20
A14                     72.95   70.46   64.10   87.22   10.70   -5.88    0.50    0.58    0.42      0.20
A15                     77.42   81.70   50.05   92.44   -2.69   17.68    0.39    0.39    0.66      0.27
A16                     77.79   80.92   65.67   92.10   -0.46    1.04    0.41    0.43    0.43      0.11
A17                     69.87   68.15   47.58   86.08    9.10    9.54    0.52    0.61    0.65      0.24
A18                     62.93   72.00   48.84   87.97  -14.44   11.35    0.60    0.52    0.64      0.25
A19                     59.57   62.09   63.70   82.96   -0.71  -12.84    0.61    0.64    0.43      0.21
