IT8.7/1                                                                                      
ORIGINATOR           "X-Rite, Inc."                                                          
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Ektachrome"                           
CREATED              "Tuesday, May 30, 2020"                                                
MANUFACTURER         "X-Rite, Inc."                                                          
PROD_DATE            "2020:05"                                                               
SERIAL               "Batch Average Data"                                                    
MATERIAL             "Kodak Ektachrome Product Family"                                       
NUMBER_OF_FIELDS           11                                                                
BEGIN_DATA_FORMAT                                                                            
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT                                                                              
NUMBER_OF_SETS 288                                                                           
#                                                                                            
BEGIN_DATA                                                                                   
#ID                        X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z     SD_dE
A01                      2.41    2.17    1.57   16.37    6.64    2.37    0.03    0.02    0.01      0.27
A02                      2.63    2.00    1.38   15.49   14.76    3.11    0.03    0.02    0.02      0.23
A03                      2.92    1.88    1.18   14.83   22.99    4.67    0.04    0.03    0.02      0.19
A04                      3.22    1.77    1.03   14.25   30.60    5.74    0.09    0.05    0.02      0.32
A05                     12.05   10.78    7.85   39.20   12.00    3.88    0.12    0.13    0.13      0.34
A06                     14.27   10.72    6.81   39.10   27.01    7.92    0.10    0.08    0.10      0.36
A07                     16.41   10.29    5.81   38.36   42.79   11.14    0.21    0.12    0.06      0.27
A08                     18.73    9.82    4.75   37.51   58.94   15.06    0.33    0.18    0.02      0.31
A09                     40.72   38.53   28.48   68.41   11.31    5.25    0.19    0.18    0.24      0.30
A10                     44.94   38.39   26.23   68.31   24.28    8.87    0.40    0.41    0.25      0.39
A11                     48.97   37.55   23.62   67.68   38.20   12.49    0.21    0.23    0.13      0.42
A12                     46.19   33.35   20.22   64.44   44.51   13.55    0.15    0.15    0.06      0.46
A13                     67.61   75.84   67.55   89.78  -11.76   -4.70    0.17    0.18    0.04      0.07
A14                     73.80   71.56   65.17   87.76   10.13   -5.97    0.08    0.10    0.06      0.12
A15                     77.59   81.87   50.27   92.52   -2.67   17.56    0.10    0.15    0.23      0.23
A16                     78.32   81.51   66.64   92.36   -0.55    0.59    0.18    0.17    0.08      0.07
A17                     70.23   68.66   47.78   86.33    8.78    9.75    0.24    0.36    0.02      0.17
A18                     63.15   72.12   49.12   88.02  -14.17   11.12    0.43    0.40    0.06      0.25
A19                     60.51   63.20   64.89   83.55   -1.00  -12.96    0.11    0.14    0.06      0.11
A20                     11.82   19.75   36.56   51.55  -42.82  -35.99    0.05    0.12    0.40      0.32
A21                     20.34    9.06   24.79   36.11   73.03  -44.10    0.23    0.10    0.26      0.15
A22                     43.84   43.19    1.79   71.68    6.54   95.42    1.02    1.27    0.19      0.87
B01                      3.51    3.27    1.89   21.09    5.80    7.20    0.09    0.10    0.04      0.30
B02                      3.87    3.10    1.23   20.44   14.18   13.60    0.05    0.04    0.03      0.21
B03                      4.21    2.84    0.62   19.40   23.40   21.69    0.14    0.09    0.02      0.24
B04                      4.66    2.75    0.25   19.03   31.08   28.04    0.13    0.08    0.02      0.19
B05                     12.19   10.72    5.55   39.10   13.45   13.66    0.20    0.22    0.08      0.36
B06                     14.88   10.79    3.26   39.22   30.15   27.13    0.24    0.20    0.08      0.29
B07                     17.32   10.27    1.52   38.32   47.98   40.90    0.39    0.22    0.03      0.29
B08                     19.30    9.37    0.45   36.69   65.38   54.68    0.39    0.21    0.01      0.15
B09                     39.87   38.50   25.39   68.39    8.75   10.50    0.62    0.63    0.41      0.36
B10                     42.75   37.97   20.41   68.00   19.18   19.29    0.49    0.46    0.12      0.36
B11                     46.16   37.77   16.26   67.85   29.71   28.21    0.42    0.42    0.26      0.40
B12                     47.31   36.02   12.56   66.53   38.60   35.52    0.52    0.57    0.17      0.41
B13                     61.22   71.01   67.09   87.49  -16.34   -8.22    0.30    0.33    0.15      0.11
B14                     70.71   66.14   64.35   85.07   15.25   -9.82    0.15    0.09    0.05      0.12
B15                     76.38   81.04   43.13   92.15   -3.52   25.37    0.39    0.43    0.04      0.36
B16                     69.63   72.68   59.20   88.29   -0.96    0.79    0.29    0.34    0.10      0.14
B17                     64.78   61.18   39.82   82.47   13.46   12.93    0.42    0.48    0.15      0.25
B18                     55.82   66.88   42.02   85.44  -20.53   15.21    0.45    0.50    0.26      0.36
B19                     51.87   53.94   62.96   78.43   -0.38  -19.94    0.12    0.06    0.14      0.13
B20                      8.20   13.19   22.97   43.04  -34.64  -28.78    0.09    0.15    0.13      0.48
B21                     13.79    6.47   15.92   30.56   60.78  -35.28    0.21    0.10    0.16      0.30
B22                     28.46   28.42    1.37   60.26    4.18   80.42    1.03    1.29    0.07      0.55
C01                      4.72    4.79    2.53   26.13    1.24   10.08    0.11    0.11    0.03      0.36
C02                      4.94    4.75    1.47   26.01    4.56   20.24    0.12    0.15    0.04      0.35
C03                      5.19    4.71    0.68   25.90    8.11   31.87    0.15    0.19    0.03      0.36
C04                      6.28    5.36    0.49   27.74   12.58   38.59    0.19    0.21    0.03      0.36
C05                     21.83   21.47   10.56   53.45    5.35   18.97    0.38    0.49    0.21      0.40
C06                     23.19   21.18    5.82   53.14   12.92   36.58    0.32    0.45    0.07      0.35
C07                     25.02   21.25    2.78   53.22   20.57   54.78    0.60    0.67    0.04      0.43
C08                     27.26   21.62    0.94   53.62   28.06   74.97    0.88    0.90    0.05      0.50
C09                     46.00   45.51   24.92   73.22    6.10   19.67    0.41    0.47    0.22      0.35
C10                     48.29   44.89   15.94   72.82   14.22   37.53    0.50    0.63    0.13      0.39
C11                     51.33   45.11   10.29   72.96   21.76   53.48    0.51    0.61    0.17      0.54
C12                     52.35   43.99    5.49   72.22   27.66   71.09    0.62    0.84    0.11      0.41
C13                     55.55   66.96   66.58   85.48  -21.38  -11.21    0.07    0.18    0.29      0.24
C14                     68.04   61.36   62.96   82.57   20.28  -12.79    0.24    0.29    0.27      0.25
C15                     74.73   79.46   35.70   91.44   -3.84   34.00    0.32    0.37    0.31      0.47
C16                     66.13   69.07   56.20   86.54   -1.04    0.84    0.35    0.40    0.24      0.14
C17                     59.69   54.14   31.72   78.55   18.61   17.60    0.54    0.56    0.23      0.29
C18                     48.67   61.53   34.85   82.66  -27.16   20.06    0.42    0.56    0.18      0.43
C19                     43.47   45.01   61.24   72.90    0.23  -27.80    0.10    0.12    0.38      0.23
C20                      5.33    8.25   13.44   34.50  -27.16  -22.14    0.11    0.19    0.09      0.45
C21                      8.43    4.15    9.49   24.17   48.74  -27.98    0.16    0.08    0.13      0.32
C22                     17.46   17.79    1.08   49.24    1.65   65.38    0.74    0.90    0.06      0.43
D01                      4.36    4.74    2.77   25.98   -2.89    7.88    0.07    0.11    0.03      0.32
D02                      4.39    4.85    1.88   26.29   -3.78   16.25    0.07    0.12    0.02      0.36
D03                      4.35    4.90    1.16   26.43   -4.90   24.90    0.11    0.18    0.03      0.41
D04                      4.64    5.24    0.59   27.40   -5.17   36.07    0.11    0.19    0.03      0.43
D05                     24.25   25.84   13.83   57.88   -2.84   17.13    0.18    0.30    0.17      0.32
D06                     24.39   26.25    9.40   58.27   -3.90   31.11    0.21    0.34    0.12      0.36
D07                     24.34   26.36    5.71   58.37   -4.56   46.16    0.47    0.63    0.02      0.52
D08                     24.21   26.58    3.16   58.59   -6.06   61.18    0.63    0.86    0.03      0.59
D09                     50.88   53.58   26.29   78.22   -2.06   25.86    0.48    0.61    0.22      0.40
D10                     50.22   53.19   14.85   77.99   -2.82   49.13    0.72    0.92    0.02      0.30
D11                     50.03   53.38    7.85   78.10   -3.82   70.97    0.76    0.95    0.05      0.54
D12                     49.51   53.65    3.06   78.26   -5.90   95.80    0.79    0.83    0.03      0.37
D13                     50.72   63.45   66.18   83.68  -26.04  -13.95    0.25    0.18    0.15      0.21
D14                     64.77   55.91   61.85   79.56   25.98  -16.90    0.25    0.44    0.22      0.35
D15                     73.29   77.97   29.05   90.76   -3.89   42.87    0.13    0.16    0.30      0.58
D16                     62.11   64.94   52.72   84.45   -1.17    0.95    0.09    0.14    0.14      0.14
D17                     55.05   47.46   24.85   74.49   24.77   21.97    0.16    0.22    0.17      0.34
D18                     41.61   55.68   28.10   79.43  -33.51   24.89    0.13    0.08    0.13      0.44
D19                     36.17   36.92   58.90   67.22    1.89  -35.25    0.30    0.41    0.23      0.32
D20                      3.48    5.05    7.87   26.88  -19.60  -17.44    0.07    0.11    0.07      0.49
D21                      5.02    2.70    5.68   18.81   36.60  -21.92    0.08    0.04    0.07      0.27
D22                      9.73   10.02    0.84   37.87    0.56   49.62    0.33    0.41    0.03      0.42
E01                      4.13    4.86    2.55   26.32   -7.47   10.24    0.05    0.12    0.04      0.37
E02                      3.80    4.95    1.56   26.60  -13.42   20.21    0.12    0.19    0.03      0.37
E03                      3.59    5.12    0.76   27.06  -18.65   32.32    0.08    0.20    0.03      0.53
E04                      3.96    6.02    0.72   29.46  -23.48   37.28    0.10    0.24    0.04      0.50
E05                     11.94   14.34    6.72   44.72  -12.48   18.03    0.19    0.32    0.07      0.33
E06                     10.79   14.69    3.46   45.20  -22.87   36.02    0.25    0.42    0.06      0.41
E07                     10.47   15.85    1.32   46.77  -32.05   57.84    0.43    0.72    0.05      0.56
E08                     10.68   17.76    1.38   49.21  -40.94   61.34    0.33    0.74    0.06      0.55
E09                     34.39   38.61   22.47   68.47   -9.49   16.01    0.16    0.30    0.17      0.28
