IT8.7/1                                                                                      
ORIGINATOR           "X-Rite, Inc."                                                          
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Ektachrome"                           
CREATED              "Wednesday, September 23, 2020"                                         
MANUFACTURER         "X-Rite, Inc."                                                          
PROD_DATE            "2020:09"                                                               
SERIAL               "Batch Average Data"                                                    
MATERIAL             "Kodak Ektachrome Product Family"                                       
NUMBER_OF_FIELDS           11                                                                
BEGIN_DATA_FORMAT                                                                            
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT                                                                              
NUMBER_OF_SETS 288                                                                           
#                                                                                            
BEGIN_DATA                                                                                   
#ID                        X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z     SD_dE
A01                      2.26    2.05    1.60   15.74    6.29    1.06    0.06    0.05    0.03      0.25
A02                      2.49    1.91    1.40   15.02   14.05    2.09    0.05    0.04    0.02      0.27
A03                      2.76    1.78    1.20   14.30   22.42    3.41    0.07    0.04    0.02      0.30
A04                      3.09    1.72    1.07   13.92   29.87    4.61    0.07    0.04    0.02      0.30
A05                     11.48   10.30    7.74   38.38   11.59    2.88    0.22    0.22    0.11      0.47
A06                     13.81   10.37    6.83   38.50   26.68    6.81    0.24    0.20    0.14      0.51
A07                     15.85    9.88    5.84   37.63   42.71    9.74    0.24    0.18    0.11      0.43
A08                     18.18    9.51    4.82   36.94   58.51   13.70    0.21    0.13    0.11      0.42
A09                     39.73   37.48   28.07   67.64   11.56    4.60    0.37    0.39    0.30      0.38
A10                     43.93   37.31   25.82   67.51   24.79    8.21    0.37    0.39    0.30      0.36
A11                     47.76   36.38   23.18   66.81   38.67   11.80    0.31    0.36    0.30      0.37
A12                     45.02   32.33   19.86   63.62   44.71   12.88    0.29    0.35    0.25      0.43
A13                     66.58   74.91   65.53   89.35  -12.15   -3.57    0.27    0.22    0.12      0.11
A14                     72.57   70.19   63.12   87.09   10.46   -5.17    0.19    0.24    0.13      0.13
A15                     77.06   81.27   49.39   92.25   -2.60   18.11    0.12    0.12    0.35      0.20
A16                     77.44   80.56   64.64   91.93   -0.48    1.74    0.15    0.15    0.16      0.07
A17                     69.35   67.61   46.88   85.81    9.14    9.90    0.22    0.28    0.36      0.21
A18                     62.49   71.48   48.21   87.72  -14.37   11.63    0.30    0.24    0.37      0.22
A19                     59.31   61.91   62.89   82.86   -0.92  -12.22    0.38    0.37    0.15      0.18
A20                     11.49   19.17   35.80   50.89  -42.28  -36.07    0.10    0.17    0.34      0.38
A21                     19.93    8.90   24.54   35.78   72.40  -44.21    0.17    0.09    0.19      0.21
A22                     43.39   42.86    1.83   71.46    6.17   94.58    0.34    0.38    0.03      0.19
B01                      3.29    3.06    1.90   20.30    5.73    5.72    0.09    0.08    0.03      0.33
B02                      3.62    2.90    1.23   19.63   13.89   12.21    0.08    0.07    0.02      0.27
B03                      3.99    2.71    0.64   18.83   22.75   20.31    0.10    0.07    0.01      0.28
B04                      4.36    2.58    0.28   18.27   30.39   26.23    0.09    0.06    0.01      0.22
B05                     11.66   10.28    5.59   38.35   13.01   12.19    0.23    0.22    0.06      0.41
B06                     14.32   10.36    3.25   38.47   29.96   25.90    0.26    0.21    0.04      0.39
B07                     16.65    9.81    1.50   37.50   47.83   39.63    0.24    0.17    0.02      0.32
B08                     18.73    9.11    0.48   36.19   64.60   53.27    0.15    0.08    0.01      0.11
B09                     38.93   37.49   25.04   67.64    9.01    9.82    0.38    0.40    0.29      0.41
B10                     41.78   36.92   20.06   67.22   19.65   18.67    0.35    0.39    0.25      0.37
B11                     45.00   36.57   15.98   66.95   30.29   27.31    0.29    0.32    0.31      0.45
B12                     46.01   34.76   12.45   65.56   39.18   34.17    0.23    0.29    0.43      0.64
B13                     60.12   70.02   65.06   87.01  -16.86   -7.16    0.29    0.23    0.12      0.14
B14                     69.36   64.67   62.30   84.31   15.61   -9.15    0.23    0.30    0.10      0.18
B15                     75.92   80.52   42.57   91.92   -3.44   25.67    0.11    0.11    0.37      0.21
B16                     68.82   71.77   57.70   87.86   -0.83    1.56    0.27    0.27    0.18      0.13
B17                     63.88   60.15   39.17   81.92   13.81   12.82    0.27    0.33    0.37      0.20
B18                     55.30   66.37   41.47   85.18  -20.70   15.45    0.32    0.26    0.39      0.25
B19                     50.60   52.59   60.96   77.63   -0.26  -19.36    0.44    0.44    0.15      0.24
B20                      7.99   12.78   22.79   42.43  -33.90  -29.50    0.12    0.21    0.27      0.51
B21                     13.48    6.31   16.00   30.17   60.51  -36.13    0.16    0.08    0.18      0.30
B22                     27.77   27.76    1.42   59.67    4.02   78.80    0.41    0.42    0.03      0.30
C01                      4.47    4.56    2.57   25.45    0.99    8.58    0.12    0.12    0.04      0.35
C02                      4.67    4.51    1.47   25.29    4.30   19.02    0.11    0.11    0.02      0.26
C03                      4.86    4.43    0.70   25.04    7.78   30.05    0.11    0.11    0.02      0.16
C04                      5.89    5.04    0.52   26.83   12.26   36.53    0.14    0.12    0.01      0.27
C05                     21.05   20.56   10.49   52.46    5.96   17.48    0.28    0.29    0.30      0.66
C06                     22.34   20.25    5.75   52.12   13.48   35.14    0.35    0.34    0.07      0.39
C07                     24.30   20.46    2.75   52.35   21.21   53.48    0.34    0.32    0.04      0.30
C08                     26.36   20.77    0.97   52.70   28.41   72.97    0.39    0.37    0.02      0.30
C09                     45.09   44.49   24.53   72.56    6.38   19.21    0.38    0.41    0.27      0.33
C10                     47.47   43.90   15.82   72.16   14.78   36.69    0.31    0.33    0.30      0.39
C11                     50.31   43.96   10.13   72.20   22.36   52.67    0.28    0.34    0.19      0.37
C12                     51.27   42.81    5.41   71.42   28.26   70.11    0.26    0.33    0.08      0.29
C13                     54.50   66.03   64.63   85.01  -21.99  -10.19    0.35    0.29    0.13      0.20
C14                     66.69   59.88   60.99   81.77   20.74  -12.25    0.28    0.35    0.11      0.21
C15                     74.41   79.10   35.43   91.28   -3.77   34.09    0.13    0.13    0.38      0.26
C16                     65.36   68.22   54.84   86.11   -0.92    1.53    0.27    0.29    0.20      0.15
C17                     58.80   53.16   31.40   77.97   18.97   17.10    0.26    0.33    0.32      0.35
C18                     48.24   61.09   34.56   82.43  -27.32   20.07    0.33    0.27    0.40      0.30
C19                     42.21   43.66   59.30   72.00    0.35  -27.42    0.44    0.45    0.15      0.30
C20                      5.15    7.92   13.36   33.81  -26.37  -23.11    0.10    0.16    0.20      0.59
C21                      8.17    4.01    9.54   23.72   48.41  -28.95    0.13    0.07    0.16      0.33
C22                     16.76   17.09    1.11   48.38    1.54   63.40    0.31    0.31    0.02      0.29
D01                      4.15    4.55    2.79   25.42   -3.34    6.72    0.09    0.10    0.04      0.35
D02                      4.17    4.64    1.87   25.67   -4.12   15.21    0.10    0.12    0.03      0.33
D03                      4.11    4.65    1.15   25.72   -5.15   23.74    0.10    0.12    0.02      0.35
D04                      4.34    4.94    0.62   26.56   -5.57   34.13    0.11    0.14    0.02      0.35
D05                     23.52   24.96   13.74   57.04   -2.40   15.91    0.32    0.34    0.30      0.65
D06                     23.67   25.35    9.34   57.41   -3.40   29.84    0.33    0.34    0.16      0.50
D07                     23.64   25.50    5.63   57.56   -4.11   45.10    0.34    0.34    0.07      0.40
D08                     23.47   25.69    3.09   57.74   -5.68   60.23    0.38    0.39    0.04      0.37
D09                     50.07   52.64   25.91   77.66   -1.81   25.55    0.34    0.36    0.28      0.28
D10                     49.50   52.35   14.77   77.49   -2.61   48.48    0.29    0.30    0.39      0.39
D11                     49.41   52.68    7.72   77.68   -3.68   70.74    0.36    0.38    0.13      0.21
D12                     49.04   53.24    3.06   78.02   -6.13   95.40    0.30    0.27    0.04      0.13
D13                     49.69   62.51   64.21   83.19  -26.66  -12.94    0.38    0.32    0.12      0.23
D14                     63.31   54.39   59.86   78.69   26.44  -16.44    0.28    0.34    0.12      0.19
D15                     72.97   77.60   28.80   90.60   -3.82   42.98    0.15    0.15    0.33      0.23
D16                     61.34   64.04   51.53   83.99   -0.97    1.45    0.30    0.31    0.25      0.18
D17                     54.18   46.54   24.63   73.90   25.12   21.34    0.28    0.33    0.30      0.33
D18                     41.21   55.28   27.77   79.20  -33.72   25.03    0.38    0.32    0.34      0.27
D19                     34.95   35.64   57.03   66.24    2.00  -35.02    0.41    0.43    0.17      0.31
D20                      3.39    4.90    7.90   26.46  -19.14  -18.29    0.07    0.12    0.23      0.62
D21                      4.81    2.57    5.77   18.24   36.51  -23.35    0.07    0.04    0.21      0.45
D22                      9.25    9.54    0.86   37.00    0.48   47.73    0.18    0.20    0.02      0.30
E01                      3.94    4.66    2.60   25.74   -7.74    8.77    0.08    0.10    0.04      0.38
E02                      3.62    4.75    1.56   26.02  -13.76   19.20    0.09    0.12    0.03      0.28
E03                      3.38    4.84    0.77   26.27  -18.66   30.87    0.09    0.14    0.02      0.33
E04                      3.72    5.71    0.74   28.67  -23.57   35.40    0.09    0.14    0.02      0.30
E05                     11.34   13.58    6.64   43.63  -12.08   16.46    0.21    0.24    0.08      0.43
E06                     10.29   14.05    3.47   44.30  -22.78   34.44    0.21    0.26    0.05      0.37
E07                     10.10   15.40    1.34   46.17  -32.30   56.49    0.18    0.24    0.03      0.27
E08                     10.32   17.41    1.42   48.77  -41.76   59.99    0.15    0.22    0.03      0.22
E09                     33.57   37.68   22.11   67.78   -9.38   15.53    0.38    0.42    0.27      0.34
E10                     31.08   37.28   15.86   67.48  -17.03   28.53    0.33    0.35    0.31      0.42
E11                     29.57   38.07   11.41   68.07  -25.22   41.55    0.37    0.39    0.19      0.30
E12                     28.12   39.19    7.97   68.89  -34.33   54.61    0.34    0.34    0.11      0.26
E13                     44.62   58.39   63.59   80.95  -31.16  -16.20    0.36    0.31    0.12      0.23
E14                     59.68   49.09   58.22   75.51   31.67  -20.26    0.32    0.39    0.14      0.22
E15                     71.29   75.89   23.37   89.81   -3.96   51.10    0.14    0.16    0.33      0.25
E16                     57.63   60.12   48.27   81.90   -0.81    1.53    0.31    0.31    0.27      0.22
E17                     49.67   40.60   18.66   69.90   30.57   26.27    0.30    0.35    0.24      0.38
E18                     35.36   50.41   22.21   76.32  -40.03   30.04    0.32    0.28    0.27      0.30
E19                     28.81   28.80   54.71   60.61    4.08  -42.31    0.39    0.41    0.19      0.36
E20                      2.01    2.75    3.98   19.00  -13.27  -12.44    0.05    0.07    0.07      0.36
E21                      2.71    1.63    3.12   13.38   25.45  -16.44    0.06    0.04    0.06      0.23
E22                      4.85    5.07    0.67   26.92   -0.47   33.87    0.12    0.13    0.02      0.28
F01                      1.64    2.26    1.48   16.80  -12.90    4.20    0.04    0.05    0.02      0.26
F02                      1.32    2.41    1.29   17.49  -24.78    7.77    0.03    0.06    0.02      0.28
F03                      1.12    2.56    1.03   18.19  -34.16   12.56    0.02    0.06    0.02      0.30
F04                      1.27    2.99    1.07   20.00  -37.11   15.12    0.03    0.08    0.02      0.34
F05                      6.21    8.37    5.75   34.73  -18.28    5.17    0.12    0.17    0.07      0.42
F06                      5.16    9.04    4.64   36.07  -35.96   13.15    0.11    0.18    0.08      0.31
F07                      3.95    9.46    3.76   36.85  -55.52   19.68    0.06    0.14    0.05      0.24
F08                      4.22   11.27    3.40   40.03  -65.37   27.57    0.05    0.11    0.06      0.16
F09                     32.05   38.10   27.40   68.10  -16.12    6.51    0.40    0.44    0.29      0.35
F10                     28.60   38.59   24.85   68.45  -30.56   11.56    0.33    0.35    0.28      0.28
F11                     26.07   39.74   22.07   69.28  -44.30   18.18    0.28    0.30    0.26      0.25
F12                     23.46   39.81   18.91   69.33  -55.66   24.74    0.25    0.25    0.26      0.27
F13                     39.90   54.57   62.56   78.79  -35.98  -18.92    0.29    0.25    0.15      0.20
F14                     56.62   44.09   56.87   72.29   38.16  -24.43    0.33    0.39    0.14      0.26
F15                     70.57   74.74   18.70   89.27   -3.16   59.58    0.15    0.17    0.41      0.39
F16                     38.87   40.67   32.90   69.94   -1.09    0.98    0.43    0.45    0.33      0.35
F17                     46.21   35.85   14.44   66.40   36.11   30.21    0.28    0.32    0.30      0.53
F18                     30.35   46.04   17.65   73.57  -45.98   34.84    0.29    0.26    0.39      0.45
F19                     23.45   22.60   52.16   54.66    7.52  -49.81    0.30    0.34    0.18      0.37
F20                      0.98    1.27    1.59   11.10   -8.47   -6.86    0.02    0.03    0.04      0.28
F21                      1.26    0.89    1.38    8.02   14.34   -9.72    0.02    0.02    0.03      0.31
F22                      2.08    2.16    0.47   16.32   -0.21   19.35    0.05    0.05    0.03      0.49
