IT8.7/1                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Fujicolor, ver2.2"
CREATED              "Friday, October 30, 2020"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2020:12"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      6.30    4.93    1.68   25.91    8.34    1.15    0.14     0.13    0.06      0.32
A02                      7.17    4.89    1.45   24.93   18.27    2.61    0.19     0.14    0.05      0.34
A03                      8.04    4.84    1.22   23.87   28.10    4.26    0.16     0.11    0.04      0.28
A04                      9.26    5.13    1.06   23.96   35.49    6.97    0.20     0.11    0.04      0.33
A05                     23.99   18.47    5.74   48.79   15.34    3.73    0.42     0.37    0.14      0.39
A06                     28.73   19.46    5.19   48.65   29.96    6.74    0.48     0.37    0.15      0.34
A07                     33.21   19.83    4.54   47.69   45.49    9.18    0.45     0.32    0.13      0.26
A08                     37.02   19.15    3.60   45.19   63.63   11.47    0.29     0.18    0.11      0.14
A09                     58.57   47.90   15.61   73.67   13.25    3.09    0.47     0.46    0.22      0.27
A10                     65.12   49.12   14.79   73.45   24.75    5.26    0.41     0.48    0.27      0.19
A11                     70.51   49.03   13.67   72.35   36.84    6.98    0.36     0.44    0.31      0.15
A12                     67.29   44.71   11.94   69.09   42.56    7.68    0.45     0.56    0.35      0.09
A13                     78.47   75.54   29.18   90.37   -7.81   -3.62    0.39     0.34    0.12      0.15
A14                     88.11   74.85   28.38   88.66   11.28   -5.34    0.39     0.29    0.14      0.14
A15                     92.35   83.45   23.77   92.85   -1.26   13.74    0.43     0.38    0.21      0.20
A16                     90.13   80.99   28.79   91.99    1.87   -0.09    0.50     0.44    0.19      0.19
A17                     86.99   73.78   22.88   87.88    9.36    6.90    0.44     0.39    0.25      0.18
A18                     76.49   73.77   23.25   89.27  -10.33    8.94    0.55     0.47    0.27      0.22
A19                     71.98   65.31   27.83   84.89    2.13  -10.56    0.67     0.59    0.18      0.27
A20                      9.34   16.78   16.87   53.14  -43.02  -36.12    0.14     0.29    0.31      0.61
A21                     36.13   17.67   12.39   44.04   77.25  -40.61    0.27     0.14    0.18      0.42
A22                     64.00   54.90    1.69   76.94    2.56   95.93    0.53     0.47    0.03      0.33
B01                      9.03    7.13    2.03   31.32    8.30    6.09    0.28     0.24    0.09      0.48
B02                     10.32    7.32    1.40   30.83   16.79   14.34    0.34     0.26    0.06      0.52
B03                     11.17    7.02    0.74   29.13   26.75   24.75    0.33     0.22    0.03      0.50
B04                     12.34    6.97    0.34   28.06   36.51   35.21    0.35     0.21    0.01      0.63
B05                     25.56   19.33    4.55   49.42   16.43   13.51    0.59     0.51    0.15      0.50
B06                     31.34   20.66    3.11   49.35   32.38   25.55    0.72     0.53    0.12      0.44
B07                     36.49   20.90    1.65   47.88   50.12   39.91    0.73     0.49    0.08      0.29
B08                     40.84   20.01    0.47   44.97   69.98   59.08    0.40     0.22    0.02      0.38
B09                     60.00   49.79   14.91   74.89   10.66    7.88    0.89     0.84    0.34      0.49
B10                     65.48   50.93   12.71   74.70   19.14   15.52    0.91     0.86    0.38      0.39
B11                     70.83   51.83   11.05   74.38   27.93   21.55    0.73     0.73    0.28      0.29
B12                     72.20   50.11    8.93   72.60   35.25   27.97    0.79     0.73    0.32      0.28
B13                     73.68   73.05   29.84   89.57  -11.47   -6.37    0.56     0.54    0.23      0.26
B14                     88.34   72.73   28.84   87.37   16.64   -8.80    0.49     0.49    0.20      0.21
B15                     95.54   86.50   22.28   94.06   -2.45   19.98    0.55     0.50    0.36      0.21
B16                     86.42   77.48   27.27   90.38    1.94    0.61    0.62     0.58    0.32      0.27
B17                     86.90   71.52   21.07   86.41   13.56    9.14    0.57     0.54    0.35      0.23
B18                     72.03   71.77   21.83   88.61  -15.50   11.74    0.66     0.59    0.30      0.25
B19                     65.21   59.28   28.12   81.89    2.97  -16.57    0.97     0.82    0.23      0.37
B20                      9.00   14.35   13.31   49.04  -35.50  -31.29    0.18     0.31    0.33      0.82
B21                     28.36   14.34    9.76   40.34   67.63  -35.65    0.45     0.23    0.19      0.60
B22                     47.75   41.22    1.50   68.57    1.39   83.52    0.82     0.67    0.03      0.71
C01                     10.95    9.24    2.54   35.96    3.43    8.35    0.29     0.27    0.10      0.48
C02                     11.79    9.52    1.65   35.95    6.38   20.16    0.32     0.29    0.06      0.50
C03                     12.33    9.58    0.83   35.55    9.49   35.18    0.36     0.31    0.04      0.62
C04                     14.15   10.55    0.65   36.86   13.73   42.26    0.42     0.35    0.02      0.72
C05                     37.76   31.47    7.48   61.86    7.11   17.09    0.58     0.56    0.20      0.41
C06                     41.23   32.52    4.87   61.90   12.85   33.88    0.66     0.60    0.14      0.36
C07                     45.03   33.89    2.87   62.25   18.63   52.38    0.71     0.66    0.11      0.32
C08                     47.40   34.20    1.07   61.74   24.84   77.81    0.65     0.60    0.04      0.51
C09                     65.33   55.38   14.38   78.24    7.02   15.89    0.41     0.45    0.22      0.23
C10                     70.27   56.80   10.53   78.23   12.52   31.27    0.46     0.52    0.29      0.20
C11                     74.46   57.98    7.46   78.21   17.34   46.60    0.44     0.52    0.22      0.22
C12                     75.02   56.87    4.65   77.07   20.83   63.20    0.38     0.44    0.15      0.44
C13                     64.24   66.30   28.75   86.69  -16.00   -9.01    0.45     0.42    0.18      0.20
C14                     83.48   66.36   27.47   83.93   22.10  -11.96    0.34     0.34    0.11      0.14
C15                     92.33   83.54   18.96   92.65   -3.23   26.96    0.47     0.42    0.21      0.21
C16                     80.63   72.27   25.46   87.94    1.90    0.58    0.49     0.42    0.30      0.20
C17                     80.04   63.44   17.13   81.88   18.24   12.71    0.48     0.46    0.30      0.21
C18                     61.84   64.21   18.27   85.11  -21.37   15.98    0.68     0.55    0.31      0.23
C19                     52.93   48.06   26.06   75.51    4.51  -23.19    0.71     0.67    0.22      0.31
C20                      6.69    9.85    8.62   41.02  -28.29  -25.50    0.21     0.33    0.33      0.83
C21                     19.09    9.97    6.32   34.17   55.65  -28.04    0.32     0.17    0.18      0.67
C22                     31.85   27.53    1.22   57.98    0.94   68.81    0.70     0.63    0.03      0.75
D01                     10.53    9.38    2.85   36.62   -0.87    6.30    0.29     0.30    0.12      0.58
D02                     10.73    9.62    2.13   36.90   -2.25   15.38    0.30     0.30    0.08      0.58
D03                     10.63    9.66    1.39   36.83   -3.87   26.60    0.28     0.30    0.05      0.65
D04                     10.86    9.88    0.81   37.03   -3.97   38.97    0.29     0.30    0.02      0.82
D05                     42.02   37.54    9.92   67.30   -0.86   14.73    0.76     0.74    0.24      0.55
D06                     43.19   38.74    7.39   67.95   -2.81   29.00    0.83     0.76    0.22      0.46
D07                     43.75   39.50    5.25   68.32   -4.58   43.52    0.87     0.82    0.17      0.48
D08                     43.03   39.35    3.25   68.08   -6.64   60.31    0.94     0.89    0.12      0.59
D09                     73.10   65.32   15.77   84.05   -1.02   21.74    0.87     0.85    0.39      0.36
D10                     74.15   66.30   10.48   84.19   -3.14   42.86    0.83     0.80    0.29      0.30
