IT8.7/1                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Fujicolor, ver2.2"
CREATED              "Friday, November 6, 2020"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2020:14"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      6.22    4.82    1.59   25.53    8.79    1.90    0.13     0.10    0.06      0.29
A02                      7.09    4.81    1.37   24.64   18.57    3.40    0.18     0.12    0.05      0.36
A03                      7.95    4.77    1.15   23.63   28.18    5.12    0.17     0.10    0.04      0.34
A04                      9.17    5.07    1.00   23.78   35.47    7.85    0.24     0.14    0.04      0.44
A05                     23.49   17.96    5.48   48.12   15.83    4.27    0.36     0.30    0.16      0.33
A06                     28.34   19.07    4.97   48.15   30.40    7.43    0.62     0.43    0.17      0.49
A07                     32.93   19.59    4.35   47.36   45.72   10.09    0.46     0.30    0.13      0.27
A08                     37.07   19.14    3.47   45.13   63.78   12.55    0.62     0.34    0.11      0.40
A09                     58.29   47.42   15.38   73.30   13.91    3.24    0.60     0.55    0.27      0.33
A10                     65.00   48.71   14.50   73.11   25.58    5.66    0.91     0.79    0.36      0.42
A11                     70.45   48.66   13.35   72.04   37.68    7.61    0.45     0.45    0.24      0.15
A12                     67.45   44.55   11.68   68.89   43.35    8.36    0.60     0.56    0.29      0.15
A13                     78.71   75.88   29.34   90.54   -8.02   -3.66    0.69     0.64    0.27      0.29
A14                     88.38   74.87   28.49   88.64   11.77   -5.63    0.64     0.60    0.25      0.28
A15                     93.10   84.13   23.77   93.13   -1.32   14.25    0.55     0.51    0.39      0.16
A16                     90.91   81.67   29.04   92.29    1.91   -0.11    0.49     0.45    0.18      0.20
A17                     87.31   73.82   22.81   87.86    9.82    7.06    0.56     0.51    0.44      0.22
A18                     76.63   74.00   23.20   89.39  -10.60    9.29    0.62     0.56    0.26      0.24
A19                     72.13   65.36   28.01   84.92    2.35  -10.93    0.58     0.55    0.26      0.29
A20                      9.29   16.61   16.73   52.89  -42.54  -36.12    0.21     0.31    0.22      0.34
A21                     35.64   17.44   12.16   43.77   76.78  -40.16    0.37     0.19    0.30      0.73
A22                     63.30   54.09    1.65   76.43    3.14   95.63    0.58     0.49    0.03      0.40
B01                      8.67    6.79    1.87   30.50    8.74    6.72    0.16     0.12    0.06      0.29
B02                      9.97    7.03    1.30   30.15   17.02   14.78    0.20     0.15    0.05      0.34
B03                     10.84    6.78    0.69   28.58   26.85   25.05    0.20     0.13    0.03      0.38
B04                     12.03    6.77    0.33   27.62   36.38   35.01    0.22     0.13    0.01      0.41
B05                     24.71   18.59    4.28   48.52   16.76   14.00    0.31     0.26    0.13      0.24
B06                     30.43   19.96    2.93   48.56   32.56   25.94    0.42     0.31    0.09      0.31
B07                     35.75   20.41    1.57   47.35   50.11   40.25    0.44     0.27    0.05      0.42
B08                     40.35   19.77    0.45   44.71   69.73   59.20    0.33     0.18    0.02      0.39
B09                     58.52   48.32   14.34   73.93   11.19    8.15    0.58     0.50    0.22      0.31
B10                     63.90   49.39   12.15   73.69   19.82   15.88    0.55     0.52    0.27      0.25
B11                     69.07   50.19   10.44   73.33   28.58   22.26    0.55     0.45    0.24      0.29
B12                     70.70   48.80    8.51   71.75   35.72   28.51    0.56     0.48    0.25      0.35
B13                     72.55   72.03   29.47   89.10  -11.62   -6.42    0.62     0.50    0.22      0.23
B14                     87.10   71.45   28.44   86.73   17.13   -9.04    0.70     0.59    0.24      0.29
B15                     94.49   85.55   21.78   93.64   -2.51   20.59    0.69     0.64    0.23      0.31
B16                     85.13   76.25   26.91   89.81    2.10    0.43    0.61     0.56    0.33      0.27
B17                     85.19   69.83   20.43   85.54   14.04    9.36    0.61     0.51    0.23      0.24
B18                     70.46   70.31   21.22   87.90  -15.67   12.16    0.46     0.45    0.26      0.23
B19                     63.38   57.54   27.53   80.94    3.19  -16.94    0.79     0.64    0.23      0.32
B20                      8.71   13.79   12.77   48.14  -34.59  -30.84    0.16     0.31    0.24      0.69
B21                     27.59   13.96    9.33   39.83   66.71  -34.55    0.28     0.17    0.19      0.68
B22                     46.47   39.87    1.44   67.58    2.19   82.67    0.48     0.42    0.03      0.46
C01                     10.70    8.94    2.38   35.31    4.10    9.00    0.22     0.19    0.09      0.32
C02                     11.58    9.25    1.55   35.39    7.17   20.61    0.30     0.24    0.06      0.44
C03                     12.12    9.33    0.78   35.04   10.22   35.36    0.21     0.17    0.02      0.32
C04                     13.91   10.28    0.62   36.34   14.44   42.15    0.33     0.25    0.02      0.52
C05                     36.96   30.59    7.12   61.06    7.80   17.63    0.62     0.56    0.22      0.37
C06                     40.71   31.86    4.66   61.29   13.70   34.34    0.80     0.67    0.16      0.40
C07                     44.47   33.27    2.76   61.70   19.35   52.60    0.69     0.60    0.10      0.26
C08                     47.31   33.94    1.05   61.48   25.57   77.70    0.76     0.63    0.03      0.48
C09                     64.81   54.71   14.05   77.80    7.53   16.28    0.82     0.80    0.34      0.40
C10                     69.72   56.07   10.19   77.75   13.16   31.92    0.86     0.84    0.29      0.31
C11                     73.93   57.33    7.17   77.79   17.87   47.51    0.58     0.70    0.18      0.27
C12                     74.62   56.33    4.43   76.70   21.44   64.21    0.50     0.70    0.13      0.30
C13                     64.05   66.23   28.80   86.68  -16.25   -9.13    0.53     0.49    0.19      0.23
C14                     83.16   65.78   27.37   83.58   22.90  -12.36    0.60     0.58    0.26      0.26
C15                     92.28   83.46   18.54   92.59   -3.29   28.14    0.69     0.63    0.30      0.24
C16                     80.65   72.18   25.51   87.89    2.15    0.37    0.74     0.65    0.27      0.31
C17                     79.53   62.68   16.75   81.41   18.98   13.08    0.50     0.49    0.27      0.19
C18                     61.51   64.02   18.00   85.02  -21.77   16.66    0.58     0.52    0.26      0.18
C19                     52.28   47.34   25.95   75.05    4.96  -23.75    0.47     0.47    0.24      0.29
C20                      6.55    9.54    8.34   40.37  -27.39  -25.30    0.17     0.21    0.19      0.44
C21                     18.49    9.67    6.06   33.66   54.83  -27.29    0.33     0.17    0.13      0.41
C22                     30.70   26.36    1.17   56.87    1.69   67.76    0.46     0.39    0.02      0.61
D01                     10.05    8.86    2.63   35.56   -0.11    6.74    0.19     0.17    0.08      0.31
D02                     10.28    9.12    1.97   35.90   -1.42   15.68    0.23     0.20    0.06      0.36
D03                     10.18    9.13    1.28   35.79   -2.86   26.49    0.17     0.15    0.04      0.31
D04                     10.46    9.41    0.76   36.12   -3.04   38.49    0.21     0.19    0.02      0.46
D05                     40.36   35.84    9.34   65.96   -0.18   15.02    0.38     0.36    0.21      0.21
D06                     41.71   37.18    6.98   66.74   -2.05   29.18    0.48     0.41    0.18      0.20
D07                     42.28   37.93    4.94   67.12   -3.76   43.57    0.46     0.39    0.11      0.24
D08                     41.66   37.81    3.06   66.91   -5.62   59.99    0.46     0.40    0.07      0.22
D09                     71.56   63.74   15.20   83.20   -0.64   22.15    0.39     0.34    0.20      0.21
D10                     72.18   64.28    9.88   83.11   -2.59   43.63    0.34     0.31    0.20      0.25
D11                     72.34   64.79    6.10   83.13   -4.43   64.78    0.37     0.35    0.13      0.30
D12                     70.29   63.94    2.63   82.48   -6.51   93.89    0.36     0.27    0.05      0.32
D13                     59.39   63.74   29.28   85.81  -20.43  -11.61    0.51     0.34    0.09      0.08
D14                     82.63   63.15   27.38   81.89   28.51  -15.54    0.23     0.22    0.12      0.09
D15                     94.28   85.17   16.68   93.20   -3.90   35.26    0.31     0.28    0.23      0.30
D16                     79.26   70.78   25.00   87.19    2.39    0.43    0.31     0.33    0.36      0.16
D17                     78.58   59.75   14.59   79.37   23.77   16.68    0.21     0.22    0.23      0.10
D18                     55.44   60.15   15.94   83.25  -27.51   20.42    0.39     0.29    0.25      0.21
D19                     43.33   39.42   25.11   69.98    5.97  -30.72    1.20     1.00    0.43      0.58
D20                      5.48    6.87    5.52   33.95  -18.07  -20.41    0.11     0.16    0.17      0.80
D21                     12.54    7.07    3.96   29.25   41.52  -19.47    0.20     0.16    0.09      0.67
