IT8.7/1                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Fujicolor, ver2.2"
CREATED              "Friday, December 11, 2020"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2020:19"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      6.13    4.73    1.97   25.40    9.77   -3.95    0.23     0.20    0.09      0.51
A02                      6.84    4.50    1.62   23.72   20.87   -2.39    0.26     0.19    0.08      0.52
A03                      7.20    3.94    1.24   20.69   34.22   -2.40    0.29     0.17    0.06      0.61
A04                      7.80    3.87    1.03   19.69   41.68   -0.79    0.31     0.16    0.05      0.73
A05                     25.29   19.86    7.16   50.68   14.19   -1.57    0.63     0.58    0.25      0.59
A06                     30.76   20.82    6.39   50.25   31.21    1.62    0.79     0.62    0.24      0.55
A07                     34.21   20.26    5.58   48.19   47.42    2.49    0.73     0.52    0.23      0.44
A08                     36.02   18.09    4.33   43.82   67.05    2.63    0.59     0.35    0.19      0.33
A09                     61.83   51.52   18.14   76.16   11.50   -0.59    0.83     0.83    0.33      0.48
A10                     66.89   51.29   17.16   75.06   23.33    0.19    0.81     0.84    0.33      0.38
A11                     73.37   51.87   16.19   74.36   35.54    1.78    0.60     0.70    0.32      0.16
A12                     69.97   47.28   14.40   71.04   41.38    1.80    0.61     0.69    0.32      0.13
A13                     79.60   76.95   30.33   91.10   -8.28   -4.83    0.53     0.42    0.11      0.16
A14                     90.31   77.48   29.63   90.00    9.89   -5.70    0.49     0.58    0.15      0.24
A15                     94.69   85.93   25.87   94.03   -1.45   10.58    0.33     0.31    0.25      0.11
A16                     91.94   83.51   30.09   93.24    0.30   -0.71    0.40     0.38    0.13      0.17
A17                     89.53   76.85   24.78   89.49    7.90    4.93    0.55     0.64    0.28      0.29
A18                     78.00   75.47   25.09   90.19  -10.39    5.86    0.63     0.50    0.24      0.19
A19                     74.13   68.04   29.20   86.42    0.48  -10.89    0.70     0.64    0.14      0.28
A20                      7.76   15.14   17.67   51.52  -44.00  -41.35    0.20     0.34    0.23      0.43
A21                     31.64   14.40   11.39   39.37   82.68  -45.32    0.50     0.25    0.18      0.46
A22                     66.78   57.23    1.40   78.14    3.20  102.91    0.79     0.68    0.02      0.53
B01                      8.56    6.70    2.28   30.42    9.23    1.11    0.37     0.32    0.11      0.67
B02                     10.12    7.01    1.49   30.06   18.63   11.34    0.42     0.32    0.07      0.65
B03                     11.02    6.65    0.64   28.03   29.74   25.16    0.48     0.31    0.03      0.78
B04                     11.72    6.14    0.16   25.60   41.69   38.04    0.51     0.28    0.01      1.12
