IT8.7/1                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Fujicolor, ver2.2"
CREATED              "Thursday, June 17, 2021"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2021:06"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      4.62    4.10    3.97   23.99    9.23   -3.78    0.03     0.06    0.02      0.13
A02                      5.04    3.73    3.34   22.77   19.78   -1.85    0.07     0.07    0.05      0.36
A03                      5.31    3.17    2.78   20.72   31.90   -1.26    0.06     0.03    0.02      0.38
A04                      5.59    2.89    2.34   19.60   40.05    0.37    0.06     0.03    0.03      0.29
A05                     19.45   17.45   14.63   48.82   13.85   -0.58    0.27     0.38    0.20      0.28
A06                     23.27   17.58   13.29   48.98   31.20    3.23    0.20     0.26    0.16      0.17
A07                     24.57   15.75   11.50   46.64   46.99    4.31    0.24     0.24    0.15      0.22
A08                     25.91   13.45    9.26   43.43   66.49    6.01    0.18     0.14    0.07      0.13
A09                     50.35   47.93   39.53   74.78   11.34    0.03    0.37     0.45    0.31      0.24
A10                     53.82   46.67   37.51   73.98   23.84    1.36    0.20     0.28    0.23      0.10
A11                     57.75   45.34   35.33   73.12   37.33    2.92    0.34     0.40    0.20      0.13
A12                     54.46   40.67   31.30   69.95   42.86    3.42    0.33     0.36    0.22      0.13
A13                     70.50   77.56   70.03   90.58   -8.94   -5.60    0.50     0.53    0.51      0.24
A14                     77.71   75.04   68.88   89.41   10.93   -6.56    0.31     0.38    0.24      0.15
