IT8.7/1                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Fujicolor, ver2.2"
CREATED              "Thursday, July 15, 2021"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2021:06"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      4.36    4.01    3.72   23.69    6.99   -2.76    0.13     0.16    0.16      0.41
A02                      4.47    3.44    3.11   21.71   17.09   -2.02    0.16     0.15    0.14      0.35
A03                      4.64    2.81    2.53   19.24   29.93   -1.77    0.14     0.10    0.13      0.40
A04                      4.77    2.50    2.13   17.91   37.32   -0.63    0.17     0.10    0.14      0.53
A05                     18.54   16.98   13.95   48.23   11.70    0.17    0.42     0.45    0.54      0.50
A06                     21.37   16.54   12.50   47.67   28.16    3.17    0.51     0.53    0.57      0.36
A07                     23.86   15.60   11.21   46.44   44.74    4.87    0.44     0.42    0.50      0.25
A08                     25.02   13.09    8.90   42.90   65.02    6.38    0.39     0.28    0.42      0.18
A09                     49.30   46.91   38.08   74.13   11.34    0.85    0.47     0.64    0.59      0.33
A10                     52.21   45.44   35.69   73.18   23.15    2.52    0.47     0.69    0.66      0.22
A11                     55.74   44.37   33.60   72.47   35.17    4.30    0.39     0.63    0.68      0.15
A12                     52.23   39.32   29.44   68.98   41.28    4.68    0.42     0.58    0.69      0.22
A13                     69.39   75.97   67.61   89.84   -8.15   -4.66    0.32     0.29    0.27      0.13
A14                     75.61   73.53   66.32   88.70    9.79   -5.44    0.37     0.54    0.24      0.20
A15                     78.78   82.37   56.57   92.74   -1.27   11.13    0.20     0.19    0.46      0.08
A16                     78.79   81.40   67.52   92.31    0.59   -0.32    0.29     0.30    0.24      0.13
A17                     73.04   71.89   54.17   87.91    7.89    5.35    0.40     0.57    0.59      0.24
A18                     66.25   73.56   54.40   88.71  -10.14    6.48    0.43     0.30    0.46      0.10
A19                     63.89   65.99   65.15   84.99    0.61  -10.73    0.41     0.50    0.14      0.21
A20                     11.46   19.46   38.63   51.22  -43.93  -39.40    0.22     0.36    0.45      0.33
A21                     25.06   10.87   27.86   39.36   80.46  -43.81    0.37     0.21    0.38      0.22
A22                     48.37   49.39    2.40   75.69    2.03   96.63    0.73     0.68    0.03      0.87
B01                      6.04    5.67    4.30   28.55    6.53    2.14    0.17     0.20    0.18      0.42
