IT8.7/1                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Fujicolor, ver2.2"
CREATED              "Friday, August 20, 2021"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2021:08"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      3.56    3.14    3.06   20.61    8.64   -3.54    0.05     0.04    0.04      0.16
A02                      3.78    2.79    2.53   19.19   18.25   -1.95    0.07     0.05    0.04      0.22
A03                      3.87    2.28    2.04   16.89   29.44   -1.55    0.07     0.04    0.03      0.18
A04                      4.18    2.16    1.76   16.32   36.36    0.26    0.10     0.05    0.05      0.33
A05                     16.29   14.37   11.74   44.76   14.49    0.36    0.16     0.16    0.14      0.19
A06                     18.96   14.12   10.41   44.40   30.40    3.84    0.34     0.25    0.22      0.40
A07                     21.08   13.32    9.17   43.24   45.86    5.98    0.26     0.17    0.16      0.27
A08                     22.23   11.44    7.17   40.31   63.86    8.48    0.21     0.12    0.11      0.21
A09                     45.46   42.42   34.53   71.16   13.49    0.68    0.27     0.31    0.30      0.18
A10                     48.71   41.37   32.37   70.44   25.63    2.63    0.29     0.30    0.31      0.17
A11                     51.83   40.15   30.13   69.58   37.66    4.60    0.25     0.27    0.24      0.10
A12                     48.42   35.51   26.08   66.14   43.37    5.39    0.24     0.23    0.26      0.10
A13                     68.98   75.47   67.92   89.61   -8.03   -5.35    1.08     0.95    0.51      0.38
A14                     74.24   71.16   65.84   87.56   11.90   -6.94    0.56     0.82    0.36      0.30
A15                     78.27   81.87   54.62   92.52   -1.33   12.80    0.45     0.45    0.78      0.16
A16                     78.61   81.04   67.53   92.15    0.93   -0.61    0.57     0.62    0.49      0.27
A17                     71.33   69.41   51.84   86.71    9.51    5.79    0.71     0.92    0.90      0.39
A18                     64.87   72.40   52.51   88.16  -10.85    7.56    0.71     0.60    0.83      0.21
A19                     61.90   63.17   64.49   83.53    2.31  -12.62    0.99     1.07    0.45      0.46
A20                     10.59   17.85   36.52   49.31  -42.11  -39.81    0.32     0.52    0.83      0.57
A21                     23.09    9.87   25.81   37.62   79.37  -43.32    0.21     0.10    0.22      0.30
A22                     41.87   42.75    2.16   71.38    1.99   91.31    0.28     0.25    0.02      0.37
B01                      5.00    4.50    3.55   25.27    8.59    1.08    0.09     0.07    0.06      0.25
B02                      5.52    4.36    2.28   24.84   16.68    9.92    0.09     0.08    0.05      0.23
B03                      5.53    3.71    1.03   22.70   25.97   20.33    0.08     0.05    0.02      0.31
B04                      5.53    3.10    0.38   20.45   35.67   27.99    0.10     0.06    0.02      0.24
B05                     16.51   14.44    8.69   44.85   15.37   10.46    0.12     0.13    0.09      0.15
B06                     19.01   13.91    5.62   44.10   31.97   21.92    0.35     0.27    0.12      0.41
B07                     21.20   12.82    2.94   42.49   49.68   35.02    0.11     0.07    0.04      0.13
B08                     19.45    9.26    0.57   36.47   67.04   52.03    0.64     0.32    0.06      0.66
B09                     44.75   42.80   31.62   71.42   10.32    5.46    0.22     0.24    0.26      0.14
B10                     47.04   41.96   26.26   70.84   19.29   13.19    0.44     0.44    0.31      0.27
B11                     49.43   41.16   22.24   70.28   28.26   19.58    0.21     0.20    0.15      0.12
B12                     48.68   38.13   17.41   68.11   35.56   25.96    0.25     0.26    0.18      0.09
B13                     63.55   71.35   66.58   87.65  -11.68   -7.48    1.26     1.12    0.63      0.43
B14                     70.93   65.26   64.12   84.62   17.66  -10.39    0.18     0.18    0.26      0.09
B15                     76.99   81.16   47.52   92.20   -2.53   20.17    0.45     0.44    0.97      0.09
B16                     71.54   73.71   61.06   88.78    0.97   -0.23    1.10     1.18    1.05      0.55
B17                     66.37   62.31   44.16   83.08   14.41    8.44    0.24     0.24    0.25      0.12
B18                     57.23   66.60   44.37   85.30  -16.46   12.02    0.23     0.22    0.11      0.12
B19                     53.78   54.35   62.25   78.66    3.54  -18.84    0.30     0.28    0.28      0.15
B20                      8.54   13.79   26.82   43.93  -35.43  -34.18    0.09     0.21    0.10      0.27
B21                     17.23    7.64   19.26   33.22   69.46  -38.28    0.18     0.08    0.23      0.39
B22                     30.04   30.90    1.87   62.42    0.93   78.62    0.29     0.28    0.03      0.38
C01                      6.48    6.43    4.54   30.47    2.92    4.07    0.13     0.11    0.05      0.32
C02                      6.73    6.37    2.81   30.33    6.10   15.03    0.10     0.10    0.05      0.26
C03                      6.71    6.11    1.16   29.69    8.69   30.49    0.09     0.09    0.02      0.36
C04                      7.85    6.79    0.87   31.31   12.73   37.68    0.14     0.12    0.03      0.31
C05                     27.55   26.91   15.40   58.89    6.48   14.83    0.24     0.25    0.17      0.23
C06                     28.03   25.78    9.23   57.82   13.00   30.92    0.37     0.33    0.20      0.25
C07                     29.29   25.69    5.01   57.75   18.26   48.56    0.23     0.21    0.06      0.24
C08                     28.87   24.00    1.37   56.09   23.76   73.33    0.14     0.16    0.03      0.29
C09                     51.01   50.45   31.38   76.34    6.35   14.32    0.24     0.29    0.27      0.15
C10                     52.18   49.33   21.57   75.66   12.39   30.16    0.15     0.19    0.15      0.09
C11                     53.55   48.64   14.78   75.23   17.77   44.56    0.08     0.09    0.13      0.10
C12                     52.79   46.83    8.80   74.08   20.73   60.46    0.12     0.14    0.11      0.15
C13                     57.89   67.27   66.01   85.64  -16.32  -10.42    1.00     0.91    0.50      0.32
C14                     69.10   61.32   64.08   82.55   22.66  -13.91    0.23     0.26    0.26      0.11
C15                     75.21   79.56   41.24   91.49   -3.05   26.61    0.19     0.20    0.30      0.08
C16                     68.70   70.76   58.97   87.37    1.03   -0.58    1.35     1.44    1.28      0.70
C17                     61.59   55.80   37.56   79.50   18.98   10.81    0.33     0.36    0.40      0.15
C18                     51.79   62.94   40.07   83.41  -22.06   14.19    0.26     0.24    0.28      0.09
C19                     45.61   45.63   60.06   73.31    4.64  -25.92    0.32     0.29    0.25      0.16
C20                      6.23    9.62   17.94   37.15  -28.49  -28.61    0.05     0.09    0.15      0.10
C21                     11.47    5.31   12.57   27.59   58.03  -31.66    0.20     0.09    0.18      0.39
C22                     19.91   20.60    1.61   52.51    0.22   64.32    0.11     0.11    0.03      0.26
D01                      6.28    6.61    5.07   30.90   -0.98    1.94    0.10     0.10    0.05      0.24
D02                      6.03    6.55    3.45   30.76   -3.06   11.23    0.10     0.12    0.06      0.30
D03                      5.89    6.54    2.09   30.74   -4.61   21.82    0.11     0.12    0.05      0.36
D04                      5.83    6.59    1.03   30.85   -5.73   34.41    0.11     0.14    0.03      0.48
D05                     30.77   32.26   19.95   63.56   -1.25   12.58    0.31     0.35    0.25      0.28
D06                     30.33   32.17   14.08   63.48   -2.57   26.12    0.43     0.43    0.26      0.30
D07                     29.79   32.15    9.26   63.46   -4.52   40.54    0.31     0.29    0.09      0.31
D08                     28.84   31.94    5.37   63.29   -7.41   56.25    0.22     0.25    0.10      0.21
D09                     55.69   58.20   33.00   80.85   -1.05   19.63    0.24     0.26    0.26      0.12
D10                     53.87   57.23   19.99   80.31   -3.33   41.37    0.29     0.31    0.25      0.08
D11                     52.94   57.24   11.55   80.31   -5.72   62.22    0.23     0.24    0.11      0.10
D12                     49.73   54.46    3.93   78.72   -7.34   90.86    1.10     1.18    0.19      0.53
D13                     53.76   64.46   65.96   84.20  -20.41  -12.85    1.06     0.97    0.58      0.31
D14                     66.25   56.07   62.99   79.66   28.88  -17.86    0.24     0.24    0.27      0.11
D15                     74.24   79.01   34.90   91.24   -3.98   34.77    0.13     0.15    0.13      0.14
D16                     65.83   67.75   56.73   85.87    1.14   -0.86    1.36     1.46    1.31      0.73
D17                     57.62   49.94   30.85   76.03   24.47   14.59    0.09     0.10    0.14      0.06
D18                     45.51   58.08   33.74   80.78  -27.87   18.43    0.24     0.21    0.26      0.09
D19                     38.72   37.98   57.57   68.01    6.77  -32.55    0.19     0.15    0.23      0.13
D20                      4.27    6.25   11.16   30.03  -21.45  -23.30    0.05     0.08    0.12      0.12
D21                      7.21    3.60    8.16   22.30   45.54  -26.44    0.11     0.05    0.10      0.28
D22                     12.04   12.51    1.42   42.02   -0.16   48.42    0.09     0.09    0.02      0.25
E01                      5.80    6.62    4.79   30.92   -6.37    3.47    0.08     0.08    0.03      0.17
E02                      5.05    6.48    2.89   30.60  -13.76   14.90    0.08     0.10    0.06      0.23
E03                      4.55    6.46    1.26   30.53  -19.93   30.60    0.07     0.06    0.02      0.23
E04                      4.70    7.28    1.20   32.44  -26.22   34.74    0.07     0.12    0.03      0.47
E05                     15.94   18.88   10.74   50.55  -12.41   13.39    0.19     0.24    0.16      0.30
E06                     14.01   18.77    6.31   50.42  -23.41   29.61    0.23     0.25    0.13      0.22
E07                     12.04   18.17    1.95   49.71  -33.28   55.93    0.17     0.19    0.03      0.33
E08                     11.71   19.41    1.98   51.16  -41.90   58.13    0.12     0.17    0.04      0.33
E09                     40.62   44.82   29.62   72.77   -7.81   10.92    0.28     0.33    0.24      0.23
E10                     37.65   43.94   22.16   72.19  -14.65   23.01    0.36     0.34    0.23      0.18
E11                     35.27   43.86   16.35   72.13  -22.30   35.36    0.18     0.20    0.14      0.16
