IT8.7/1                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Fujicolor, ver2.2"
CREATED              "Tuesday, August 24, 2021"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2021:10"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      3.56    3.15    3.05   20.62    8.65   -3.49    0.04     0.04    0.04      0.14
A02                      3.77    2.78    2.53   19.15   18.24   -1.96    0.07     0.05    0.04      0.20
A03                      3.88    2.29    2.04   16.92   29.45   -1.48    0.06     0.04    0.03      0.17
A04                      4.17    2.16    1.75   16.28   36.32    0.27    0.10     0.05    0.05      0.32
A05                     16.30   14.39   11.73   44.79   14.44    0.43    0.15     0.16    0.13      0.18
A06                     18.89   14.06   10.36   44.32   30.36    3.85    0.34     0.25    0.21      0.40
A07                     21.11   13.34    9.17   43.27   45.88    6.04    0.24     0.16    0.15      0.26
A08                     22.19   11.42    7.16   40.27   63.83    8.49    0.20     0.11    0.11      0.21
A09                     45.49   42.45   34.53   71.18   13.45    0.72    0.25     0.28    0.27      0.17
A10                     48.69   41.37   32.35   70.43   25.60    2.65    0.28     0.28    0.30      0.16
A11                     51.87   40.21   30.17   69.62   37.60    4.60    0.24     0.27    0.24      0.09
A12                     48.42   35.51   26.12   66.15   43.35    5.33    0.21     0.21    0.26      0.09
A13                     68.49   75.04   67.70   89.41   -8.23   -5.49    0.24     0.23    0.23      0.11
A14                     74.06   70.89   65.74   87.43   12.07   -7.07    0.14     0.15    0.19      0.07
A15                     78.17   81.78   54.38   92.48   -1.34   12.98    0.29     0.30    0.28      0.14
A16                     78.37   80.78   67.34   92.03    0.96   -0.63    0.20     0.20    0.20      0.09
A17                     71.10   69.10   51.55   86.56    9.67    5.85    0.14     0.13    0.20      0.07
A18                     64.66   72.22   52.26   88.07  -10.95    7.69    0.27     0.23    0.18      0.10
A19                     61.62   62.86   64.37   83.37    2.36  -12.78    0.32     0.30    0.20      0.14
A20                     10.49   17.71   36.25   49.14  -42.12  -39.73    0.11     0.23    0.19      0.25
A21                     23.07    9.87   25.82   37.60   79.37  -43.36    0.20     0.09    0.20      0.27
A22                     41.89   42.76    2.15   71.39    2.00   91.38    0.26     0.23    0.03      0.35
B01                      5.01    4.51    3.54   25.29    8.61    1.16    0.08     0.07    0.05      0.23
B02                      5.50    4.35    2.27   24.79   16.66    9.93    0.09     0.08    0.05      0.23
B03                      5.54    3.72    1.03   22.72   26.00   20.40    0.07     0.05    0.02      0.30
B04                      5.51    3.09    0.38   20.41   35.65   27.99    0.09     0.06    0.02      0.24
B05                     16.52   14.45    8.69   44.87   15.34   10.50    0.11     0.12    0.08      0.14
B06                     18.94   13.85    5.60   44.01   31.95   21.91    0.35     0.27    0.12      0.40
B07                     21.20   12.82    2.94   42.49   49.68   35.07    0.10     0.06    0.04      0.12
B08                     19.20    9.13    0.55   36.24   66.82   52.05    0.17     0.09    0.02      0.12
B09                     44.74   42.80   31.58   71.42   10.28    5.52    0.20     0.22    0.24      0.13
B10                     46.99   41.91   26.21   70.81   19.30   13.20    0.41     0.41    0.29      0.25
B11                     49.41   41.15   22.22   70.28   28.23   19.60    0.19     0.18    0.14      0.11
B12                     48.66   38.11   17.40   68.10   35.56   25.97    0.23     0.23    0.17      0.08
B13                     62.96   70.84   66.31   87.41  -11.93   -7.66    0.23     0.23    0.24      0.11
B14                     70.93   65.27   64.12   84.62   17.64  -10.38    0.16     0.16    0.24      0.08
B15                     76.85   81.03   47.18   92.15   -2.56   20.46    0.19     0.20    0.21      0.09
B16                     71.05   73.19   60.61   88.54    1.01   -0.21    0.16     0.17    0.21      0.08
B17                     66.38   62.32   44.17   83.08   14.42    8.45    0.23     0.23    0.24      0.11
B18                     57.19   66.58   44.37   85.29  -16.48   12.01    0.24     0.21    0.10      0.11
B19                     53.83   54.39   62.26   78.69    3.55  -18.82    0.29     0.26    0.25      0.14
B20                      8.55   13.81   26.82   43.96  -35.50  -34.14    0.08     0.19    0.09      0.25
B21                     17.22    7.63   19.28   33.21   69.46  -38.33    0.16     0.07    0.21      0.36
B22                     30.03   30.89    1.86   62.42    0.91   78.66    0.27     0.25    0.03      0.35
C01                      6.50    6.45    4.54   30.52    2.96    4.13    0.12     0.11    0.05      0.31
C02                      6.71    6.36    2.81   30.31    6.10   15.02    0.10     0.10    0.05      0.26
C03                      6.71    6.11    1.16   29.68    8.76   30.49    0.09     0.09    0.02      0.34
C04                      7.83    6.77    0.87   31.27   12.72   37.66    0.14     0.13    0.03      0.31
C05                     27.56   26.93   15.39   58.91    6.47   14.89    0.22     0.23    0.17      0.22
C06                     27.96   25.72    9.19   57.77   12.98   30.96    0.37     0.33    0.20      0.24
C07                     29.33   25.72    5.01   57.77   18.32   48.59    0.24     0.21    0.06      0.25
C08                     28.85   23.99    1.36   56.07   23.77   73.36    0.15     0.16    0.03      0.27
C09                     51.04   50.49   31.40   76.37    6.34   14.33    0.25     0.29    0.29      0.15
C10                     52.19   49.36   21.57   75.67   12.35   30.17    0.14     0.18    0.15      0.09
C11                     53.56   48.66   14.80   75.24   17.74   44.51    0.08     0.10    0.15      0.12
C12                     52.79   46.84    8.80   74.09   20.73   60.48    0.11     0.13    0.11      0.14
C13                     57.57   66.99   65.87   85.50  -16.47  -10.52    0.16     0.16    0.16      0.08
C14                     69.13   61.36   64.10   82.57   22.61  -13.89    0.21     0.26    0.24      0.10
C15                     75.23   79.58   41.28   91.50   -3.05   26.58    0.20     0.21    0.33      0.08
C16                     68.12   70.15   58.43   87.07    1.06   -0.56    0.56     0.58    0.48      0.28
C17                     61.62   55.82   37.61   79.51   18.98   10.77    0.36     0.39    0.45      0.16
C18                     51.79   62.94   40.09   83.41  -22.07   14.18    0.28     0.26    0.32      0.09
C19                     45.62   45.64   60.07   73.31    4.65  -25.93    0.31     0.28    0.24      0.15
C20                      6.22    9.62   17.92   37.15  -28.55  -28.58    0.05     0.09    0.14      0.10
C21                     11.45    5.29   12.57   27.56   58.01  -31.73    0.18     0.09    0.16      0.36
C22                     19.90   20.59    1.61   52.50    0.20   64.32    0.11     0.10    0.03      0.24
D01                      6.29    6.61    5.07   30.91   -0.95    1.98    0.09     0.09    0.05      0.22
D02                      6.01    6.53    3.44   30.71   -3.08   11.20    0.11     0.12    0.06      0.31
D03                      5.89    6.54    2.09   30.74   -4.54   21.86    0.11     0.13    0.05      0.40
D04                      5.82    6.58    1.03   30.83   -5.77   34.41    0.12     0.15    0.03      0.53
D05                     30.81   32.30   19.97   63.59   -1.25   12.59    0.31     0.34    0.25      0.27
D06                     30.30   32.15   14.05   63.47   -2.61   26.16    0.39     0.39    0.24      0.28
D07                     29.86   32.21    9.26   63.51   -4.45   40.62    0.33     0.30    0.08      0.34
D08                     28.85   31.96    5.37   63.31   -7.42   56.32    0.20     0.23    0.09      0.22
D09                     55.72   58.23   33.02   80.87   -1.05   19.63    0.23     0.24    0.24      0.11
D10                     53.85   57.22   19.98   80.30   -3.35   41.40    0.26     0.28    0.22      0.08
D11                     52.98   57.27   11.56   80.33   -5.70   62.22    0.24     0.24    0.10      0.11
D12                     49.37   54.09    3.86   78.51   -7.37   90.88    0.31     0.34    0.07      0.28
D13                     53.49   64.23   65.86   84.09  -20.58  -12.96    0.42     0.42    0.34      0.17
D14                     66.29   56.12   63.04   79.68   28.87  -17.87    0.25     0.25    0.30      0.12
D15                     74.26   79.04   34.91   91.25   -3.98   34.78    0.14     0.15    0.11      0.13
D16                     65.20   67.07   56.14   85.54    1.19   -0.83    0.24     0.26    0.18      0.13
D17                     57.64   49.94   30.87   76.03   24.50   14.58    0.10     0.11    0.15      0.05
D18                     45.54   58.12   33.78   80.81  -27.88   18.40    0.24     0.21    0.28      0.10
D19                     38.75   38.01   57.61   68.03    6.78  -32.55    0.18     0.15    0.22      0.12
D20                      4.27    6.25   11.16   30.05  -21.51  -23.28    0.05     0.08    0.11      0.13
D21                      7.19    3.59    8.15   22.27   45.51  -26.48    0.10     0.05    0.09      0.26
D22                     12.02   12.49    1.41   41.98   -0.17   48.40    0.10     0.10    0.03      0.24
E01                      5.81    6.63    4.79   30.95   -6.33    3.51    0.08     0.07    0.03      0.16
E02                      5.03    6.45    2.88   30.53  -13.75   14.89    0.09     0.11    0.07      0.26
E03                      4.52    6.40    1.25   30.39  -19.66   30.52    0.08     0.13    0.03      0.51
E04                      4.68    7.26    1.19   32.40  -26.19   34.75    0.08     0.14    0.03      0.49
E05                     15.93   18.86   10.71   50.53  -12.39   13.43    0.18     0.24    0.16      0.30
E06                     13.96   18.71    6.27   50.34  -23.44   29.66    0.24     0.26    0.14      0.22
E07                     12.06   18.17    1.94   49.70  -33.14   55.97    0.18     0.21    0.03      0.34
E08                     11.70   19.39    1.97   51.14  -41.86   58.19    0.13     0.19    0.04      0.34
E09                     40.61   44.80   29.57   72.76   -7.80   10.97    0.29     0.33    0.26      0.23
E10                     37.59   43.88   22.11   72.15  -14.69   23.05    0.36     0.34    0.25      0.17
E11                     35.28   43.85   16.32   72.13  -22.25   35.43    0.19     0.20    0.15      0.16
E12                     32.48   43.34   11.77   71.78  -30.50   46.85    0.31     0.30    0.15      0.15
E13                     47.11   58.80   63.67   81.18  -25.09  -15.88    0.33     0.36    0.29      0.16
E14                     62.10   50.14   60.54   76.16   34.58  -21.49    0.16     0.16    0.22      0.10
E15                     71.96   76.92   29.68   90.28   -4.59   41.02    0.19     0.20    0.23      0.06
E16                     61.61   63.11   52.98   83.50    1.76   -0.98    0.30     0.29    0.25      0.15
E17                     53.57   44.54   24.65   72.59   29.21   19.04    0.13     0.15    0.11      0.06
E18                     39.14   52.61   27.49   77.64  -33.42   22.81    0.19     0.18    0.21      0.13
E19                     32.40   31.13   54.36   62.61    8.74  -38.48    0.23     0.22    0.19      0.10
E20                      2.66    3.64    6.42   22.44  -14.57  -19.11    0.03     0.05    0.07      0.15
E21                      4.05    2.22    4.82   16.59   33.38  -21.42    0.07     0.04    0.08      0.29
E22                      6.48    6.72    1.12   31.17    0.00   33.59    0.08     0.08    0.02      0.25
F01                      2.23    3.10    2.91   20.45  -14.66   -2.73    0.04     0.04    0.03      0.13
F02                      1.46    2.89    2.43   19.58  -29.69   -0.42    0.04     0.06    0.06      0.31
F03                      1.17    3.00    1.86   20.04  -40.59    5.65    0.02     0.06    0.05      0.44
F04                      1.40    3.63    2.01   22.42  -43.76    8.22    0.03     0.09    0.06      0.49
F05                      9.42   12.36    9.81   41.78  -18.73    1.28    0.12     0.17    0.13      0.30
F06                      7.00   12.00    7.92   41.22  -38.04    7.08    0.18     0.23    0.17      0.25
F07                      4.19   10.51    6.62   38.74  -60.17    8.14    0.08     0.16    0.08      0.23
F08                      4.02   11.33    6.10   40.12  -68.54   12.83    0.05     0.12    0.09      0.24
F09                     38.97   44.92   35.36   72.84  -13.23    2.39    0.28     0.27    0.25      0.17
F10                     34.74   44.35   31.83   72.46  -25.51    6.93    0.28     0.28    0.24      0.15
F11                     30.18   43.18   28.82   71.68  -38.45   10.33    0.32     0.31    0.19      0.13
F12                     26.04   41.18   24.94   70.30  -48.78   14.57    0.25     0.27    0.13      0.16
F13                     42.76   55.43   63.30   79.29  -29.42  -18.79    0.27     0.31    0.20      0.14
F14                     59.73   45.65   59.16   73.32   41.24  -25.00    0.18     0.22    0.28      0.14
F15                     71.33   76.26   24.67   89.98   -4.61   48.99    0.15     0.16    0.18      0.17
F16                     44.48   45.57   39.15   73.27    1.57   -2.08    0.30     0.29    0.18      0.19
F17                     50.74   40.55   20.22   69.86   33.60   22.89    0.10     0.10    0.10      0.10
F18                     33.74   47.93   22.54   74.78  -38.95   26.75    0.27     0.28    0.19      0.15
F19                     26.98   25.20   52.05   57.27   11.21  -45.19    0.18     0.18    0.20      0.09
F20                      1.25    1.69    3.01   13.78  -11.03  -14.98    0.02     0.03    0.02      0.12
F21                      1.75    1.07    2.41    9.56   21.19  -17.55    0.02     0.01    0.02      0.13
F22                      3.00    3.15    0.87   20.62   -0.52   19.35    0.04     0.04    0.01      0.18
G01                      3.90    4.68    5.19   25.80   -8.60   -7.47    0.09     0.10    0.06      0.22
G02                      3.11    4.46    5.36   25.13  -18.13   -9.47    0.05     0.07    0.06      0.24
G03                      2.54    4.43    5.78   25.03  -28.08  -11.71    0.06     0.10    0.11      0.35
G04                      1.91    4.02    5.97   23.75  -35.94  -14.79    0.05     0.10    0.17      0.43
G05                     11.70   14.42   14.00   44.83  -14.65   -5.85    0.16     0.21    0.22      0.34
G06                      9.91   14.63   15.01   45.12  -29.30   -7.94    0.28     0.34    0.31      0.32
G07                      7.50   14.08   15.85   44.34  -46.69  -11.37    0.14     0.23    0.17      0.26
G08                      5.59   12.70   16.39   42.31  -57.79  -16.15    0.07     0.13    0.16      0.23
G09                     38.48   43.92   39.40   72.18  -11.96   -4.29    0.35     0.37    0.31      0.24
