IT8.7/1                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Fujicolor, ver2.2"
CREATED              "Thursday, August 26, 2021"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2021:Lot 11"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      4.09    3.67    3.31   22.53    8.23   -2.03    0.08     0.08    0.06      0.25
A02                      4.31    3.25    2.78   21.01   17.87   -0.81    0.07     0.05    0.05      0.33
A03                      4.40    2.65    2.26   18.59   29.60   -0.66    0.12     0.07    0.06      0.42
A04                      4.67    2.45    1.93   17.70   36.95    0.92    0.07     0.04    0.03      0.31
A05                     18.31   16.55   13.28   47.68   12.92    1.02    0.36     0.40    0.30      0.41
A06                     21.23   16.19   11.73   47.22   29.41    4.63    0.25     0.20    0.17      0.34
A07                     23.92   15.43   10.54   46.21   46.02    6.56    0.42     0.34    0.26      0.29
A08                     24.39   12.69    8.16   42.29   64.96    8.03    0.21     0.14    0.18      0.18
A09                     49.84   47.53   37.94   74.53   11.07    1.72    0.47     0.57    0.47      0.31
A10                     52.62   45.75   35.24   73.38   23.33    3.49    0.25     0.31    0.30      0.13
A11                     57.03   45.16   33.36   73.00   36.11    5.57    0.46     0.56    0.46      0.14
A12                     53.74   40.30   29.22   69.68   42.16    6.24    0.40     0.48    0.42      0.11
A13                     70.09   76.97   68.66   90.31   -8.65   -4.83    0.48     0.51    0.42      0.23
A14                     77.03   74.76   67.65   89.28   10.15   -5.67    0.32     0.40    0.31      0.16
A15                     80.55   84.44   56.97   93.64   -1.69   12.27    0.46     0.50    0.48      0.21
A16                     79.15   82.12   67.96   92.63   -0.05   -0.18    0.44     0.51    0.44      0.22
A17                     74.51   73.15   54.24   88.52    8.32    6.31    0.38     0.45    0.43      0.19
A18                     67.10   75.05   54.79   89.41  -11.29    7.27    0.50     0.50    0.46      0.22
A19                     64.82   66.82   66.66   85.41    0.88  -11.41    0.48     0.54    0.40      0.25
A20                     11.19   19.05   38.34   50.74  -43.79  -39.83    0.13     0.22    0.30      0.21
A21                     24.67   10.65   27.67   38.98   80.42  -44.15    0.24     0.12    0.33      0.30
A22                     49.52   50.02    2.07   76.08    3.53  100.19    0.44     0.50    0.03      0.42
B01                      5.59    5.13    3.79   27.11    7.69    2.68    0.11     0.11    0.08      0.30
B02                      6.12    4.97    2.42   26.65   15.57   11.85    0.10     0.08    0.05      0.36
B03                      6.49    4.46    1.08   25.13   26.10   23.76    0.14     0.11    0.04      0.41
B04                      6.54    3.74    0.31   22.79   36.76   33.36    0.06     0.04    0.01      0.27
B05                     18.55   16.63    9.77   47.79   13.68   11.79    0.32     0.39    0.27      0.33
B06                     21.43   16.03    6.25   47.01   31.28   24.02    0.23     0.21    0.10      0.35
B07                     23.99   14.76    3.21   45.30   50.22   37.95    0.37     0.31    0.12      0.17
B08                     22.28   10.68    0.55   39.04   69.60   56.86    0.11     0.06    0.02      0.18
B09                     48.56   47.41   34.32   74.45    7.94    6.67    0.35     0.48    0.45      0.26
B10                     51.69   47.05   29.32   74.22   17.29   13.90    0.26     0.35    0.36      0.14
B11                     53.28   45.37   24.60   73.13   26.11   20.07    0.50     0.63    0.53      0.19
B12                     53.86   42.96   19.50   71.52   34.53   27.26    0.46     0.58    0.45      0.12
B13                     64.79   73.01   67.57   88.45  -12.28   -7.02    0.42     0.46    0.38      0.22
B14                     73.99   69.45   65.75   86.73   14.97   -8.30    0.37     0.48    0.36      0.18
B15                     78.92   83.33   49.66   93.16   -2.79   19.35    0.36     0.40    0.44      0.16
B16                     72.42   75.26   61.73   89.52   -0.32    0.37    0.38     0.44    0.41      0.20
B17                     70.56   67.23   47.45   85.62   12.57    8.89    0.40     0.49    0.49      0.20
