IT8.7/1                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Fujicolor, ver2.2"
CREATED              "Thursday, September 16, 2021"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2021:Lot 12"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      4.39    3.94    3.76   23.47    8.36   -3.36    0.17     0.16    0.10      0.48
A02                      4.81    3.59    3.24   22.28   19.05   -2.00    0.14     0.11    0.08      0.30
A03                      4.78    2.84    2.58   19.37   31.24   -2.04    0.19     0.12    0.09      0.49
A04                      5.20    2.70    2.25   18.78   38.96   -0.22    0.13     0.07    0.05      0.34
A05                     19.41   17.58   14.80   48.98   12.94   -0.76    0.50     0.51    0.33      0.56
A06                     22.32   17.01   13.07   48.27   29.97    2.60    0.45     0.42    0.29      0.35
A07                     24.65   15.88   11.61   46.81   46.57    4.30    0.69     0.54    0.38      0.44
A08                     25.26   13.12    9.12   42.94   65.88    5.64    0.38     0.25    0.24      0.21
A09                     49.94   47.41   38.82   74.45   11.67    0.40    0.81     0.88    0.70      0.52
A10                     52.86   45.76   36.31   73.39   23.91    2.01    0.69     0.79    0.72      0.35
A11                     56.87   44.96   34.50   72.86   36.29    3.67    0.68     0.86    0.81      0.17
A12                     53.44   40.06   30.38   69.51   42.11    4.10    0.57     0.66    0.64      0.11
A13                     69.64   76.41   67.94   90.05   -8.50   -4.61    0.59     0.49    0.23      0.19
A14                     76.29   73.92   66.85   88.89   10.35   -5.60    0.31     0.39    0.29      0.16
A15                     79.93   83.73   56.95   93.33   -1.58   11.77    0.40     0.38    0.72      0.12
A16                     78.84   81.57   67.60   92.38    0.38   -0.27    0.37     0.39    0.37      0.17
A17                     74.41   73.00   54.67   88.45    8.43    5.73    0.46     0.57    0.68      0.24
A18                     66.77   74.48   54.79   89.15  -10.86    6.81    0.38     0.34    0.47      0.13
A19                     64.11   66.02   65.39   85.01    1.03  -10.92    0.40     0.42    0.21      0.18
A20                     11.25   18.98   38.51   50.66  -43.01  -40.19    0.17     0.25    0.42      0.27
A21                     25.29   10.88   28.11   39.37   81.38  -44.21    0.27     0.14    0.26      0.24
A22                     50.54   51.47    2.16   76.96    2.44  100.86    0.46     0.42    0.02      0.44
B01                      6.21    5.70    4.45   28.65    7.94    1.44    0.22     0.21    0.15      0.53
B02                      6.96    5.62    2.90   28.43   16.63   11.08    0.18     0.17    0.07      0.41
B03                      7.09    4.87    1.27   26.36   26.88   23.24    0.27     0.20    0.06      0.60
B04                      7.47    4.25    0.35   24.48   38.67   35.65    0.19     0.11    0.01      0.57
B05                     19.94   17.98   11.25   49.46   13.52    9.92    0.52     0.53    0.29      0.62
B06                     22.93   17.21    7.26   48.51   31.66   22.29    0.42     0.39    0.17      0.36
B07                     25.46   15.75    3.79   46.64   50.76   36.40    0.73     0.55    0.17      0.50
B08                     23.19   11.10    0.63   39.75   70.63   56.66    0.33     0.18    0.03      0.30
B09                     50.27   48.90   36.82   75.38    8.52    4.73    1.03     1.12    0.89      0.66
B10                     52.54   47.74   30.94   74.66   17.63   12.10    0.85     0.97    0.85      0.45
B11                     55.13   46.94   26.66   74.14   26.42   18.20    0.98     1.14    0.90      0.40
B12                     54.99   44.08   21.20   72.28   34.14   25.07    0.74     0.88    0.65      0.18
B13                     65.59   73.80   68.08   88.83  -12.12   -6.84    1.04     0.94    0.55      0.36
B14                     74.73   69.80   66.39   86.90   15.76   -8.61    0.50     0.65    0.44      0.24
B15                     79.21   83.58   50.31   93.27   -2.69   18.81    0.56     0.54    1.00      0.10
B16                     74.03   76.66   63.48   90.16    0.24   -0.21    0.51     0.56    0.59      0.26
B17                     72.13   68.44   49.22   86.23   13.25    7.90    0.73     0.90    0.90      0.36
B18                     61.74   71.60   49.42   87.77  -16.36   10.34    0.52     0.44    0.61      0.14
B19                     58.15   59.30   65.40   81.45    2.38  -17.05    0.57     0.65    0.35      0.28
B20                      9.87   15.94   30.53   46.89  -37.23  -35.13    0.23     0.34    0.57      0.45
B21                     19.72    8.77   22.29   35.53   72.45  -40.43    0.35     0.18    0.34      0.44
B22                     38.11   39.35    1.94   69.00    0.55   89.30    0.68     0.66    0.03      0.75
C01                      7.85    7.97    5.57   33.91    1.58    4.60    0.24     0.25    0.16      0.54
C02                      8.43    8.18    3.54   34.36    4.86   16.83    0.18     0.19    0.07      0.45
C03                      8.55    8.02    1.23   34.01    7.36   36.97    0.30     0.30    0.04      0.86
C04                     10.55    9.42    0.88   36.78   11.61   46.94    0.20     0.20    0.02      0.54
C05                     32.07   32.00   19.03   63.34    4.40   14.15    0.53     0.58    0.29      0.52
C06                     32.71   30.76   11.50   62.30   11.20   31.30    0.48     0.52    0.20      0.45
C07                     34.49   31.01    6.16   62.51   16.49   51.15    0.79     0.82    0.18      0.75
C08                     36.29   31.05    1.42   62.55   22.42   83.85    0.59     0.59    0.03      0.65
C09                     56.14   56.25   36.40   79.75    4.77   12.85    0.92     1.04    0.80      0.55
C10                     57.24   55.03   25.41   79.06   10.49   28.84    0.64     0.79    0.64      0.27
C11                     59.02   54.60   17.67   78.81   15.87   43.83    0.69     0.95    0.61      0.20
C12                     58.60   52.98   10.50   77.86   18.94   61.24    0.35     0.55    0.27      0.16
C13                     59.54   69.23   67.07   86.62  -16.56   -9.71    0.96     0.80    0.38      0.23
C14                     71.96   65.00   65.34   84.48   20.42  -11.78    0.44     0.63    0.33      0.17
C15                     77.66   82.22   44.49   92.67   -3.21   24.60    0.38     0.35    0.96      0.10
C16                     70.17   72.71   60.35   88.31    0.14   -0.35    0.66     0.70    0.67      0.34
C17                     66.15   60.77   41.63   82.25   17.48   10.19    0.47     0.69    0.71      0.22
C18                     54.82   66.27   43.50   85.13  -21.70   12.81    0.47     0.35    0.51      0.08
C19                     48.94   49.55   62.01   75.79    3.17  -23.56    0.47     0.54    0.17      0.18
C20                      7.26   11.21   20.77   39.93  -30.00  -29.83    0.19     0.28    0.46      0.50
C21                     13.05    6.02   14.86   29.46   60.75  -34.58    0.25     0.13    0.25      0.37
C22                     25.16   26.34    1.62   58.36   -1.01   74.27    0.44     0.45    0.03      0.65
D01                      7.69    8.26    6.32   34.51   -2.53    2.16    0.24     0.26    0.17      0.56
D02                      7.58    8.41    4.30   34.82   -4.84   12.93    0.16     0.18    0.06      0.46
D03                      7.53    8.59    2.58   35.18   -6.92   25.27    0.25     0.28    0.06      0.75
D04                      8.13    9.38    1.07   36.71   -7.96   43.82    0.17     0.19    0.01      0.61
D05                     35.84   38.23   24.58   68.18   -3.37   11.58    0.65     0.71    0.45      0.54
D06                     35.66   38.45   17.55   68.35   -4.69   26.05    0.55     0.59    0.35      0.42
D07                     34.93   38.33   11.55   68.26   -6.75   41.42    0.93     0.98    0.32      0.77
D08                     34.40   38.62    6.63   68.47   -9.49   59.35    0.60     0.64    0.16      0.46
D09                     61.48   64.72   38.55   84.34   -2.14   17.81    0.81     0.88    0.74      0.41
D10                     60.56   64.92   24.33   84.44   -4.75   40.07    0.65     0.71    0.55      0.21
D11                     58.73   63.79   13.84   83.86   -6.59   61.88    0.78     0.84    0.41      0.22
D12                     56.73   62.09    4.46   82.96   -7.60   95.00    0.61     0.56    0.09      0.29
D13                     56.15   67.43   68.20   85.72  -20.94  -12.31    1.02     0.89    0.42      0.23
D14                     71.32   61.75   66.43   82.78   26.41  -15.74    0.45     0.65    0.30      0.11
D15                     78.88   84.03   39.74   93.46   -4.20   31.97    0.32     0.28    0.93      0.23
D16                     69.24   71.77   59.73   87.86    0.08   -0.50    0.52     0.56    0.50      0.27
D17                     64.40   56.82   36.29   80.08   22.93   13.56    0.68     0.90    0.82      0.28
D18                     49.11   62.30   38.12   83.07  -27.76   16.22    0.58     0.50    0.58      0.11
D19                     42.71   42.67   61.18   71.33    4.72  -30.45    0.56     0.63    0.25      0.18
D20                      5.26    7.73   13.72   33.40  -23.28  -24.80    0.17     0.24    0.38      0.54
D21                      8.70    4.34   10.27   24.75   48.62  -29.60    0.26     0.15    0.26      0.46
D22                     15.89   16.85    1.48   48.07   -2.08   58.06    0.45     0.48    0.04      0.83
E01                      7.10    8.26    5.85   34.52   -8.17    4.34    0.24     0.28    0.19      0.58
E02                      6.37    8.30    3.52   34.59  -15.94   17.36    0.14     0.18    0.09      0.42
E03                      6.06    8.67    1.28   35.33  -22.47   38.68    0.24     0.33    0.05      0.89
E04                      6.54   10.15    1.24   38.11  -29.29   43.99    0.14     0.20    0.02      0.53
E05                     18.95   22.81   13.34   54.87  -14.80   13.25    0.54     0.64    0.37      0.70
E06                     16.69   22.64    7.70   54.69  -26.08   31.20    0.38     0.47    0.20      0.45
E07                     15.09   22.45    1.95   54.49  -34.45   64.13    0.61     0.76    0.06      1.02
E08                     14.88   23.98    1.97   56.07  -42.43   66.62    0.35     0.43    0.03      0.46
E09                     45.50   50.46   34.64   76.34   -8.79    9.47    1.08     1.16    0.90      0.69
E10                     42.19   49.36   26.20   75.67  -15.57   21.62    0.86     0.93    0.74      0.45
E11                     39.54   49.23   19.45   75.59  -23.33   34.39    1.20     1.23    0.76      0.45
E12                     35.96   47.78   14.00   74.68  -30.99   45.65    0.70     0.71    0.40      0.17
E13                     48.62   60.62   64.57   82.17  -25.21  -15.03    0.93     0.82    0.42      0.20
E14                     66.30   54.75   63.17   78.90   32.27  -19.33    0.50     0.66    0.42      0.18
E15                     75.68   81.00   33.69   92.13   -4.85   38.08    0.48     0.48    0.95      0.30
E16                     64.76   66.84   55.83   85.42    0.71   -0.70    0.57     0.61    0.69      0.31
E17                     59.49   50.35   29.24   76.28   27.87   17.59    0.75     0.98    0.92      0.21
E18                     42.15   56.27   31.29   79.76  -33.31   20.36    0.57     0.50    0.71      0.14
E19                     35.32   34.60   56.97   65.43    6.73  -36.36    0.68     0.79    0.50      0.23
E20                      3.30    4.55    7.91   25.41  -16.26  -20.12    0.14     0.19    0.33      0.67
E21                      4.95    2.71    5.98   18.83   35.67  -23.34    0.18     0.10    0.22      0.58
E22                      8.66    9.17    1.13   36.31   -1.53   42.28    0.29     0.32    0.05      0.75
F01                      2.84    4.03    3.63   23.78  -17.13   -2.01    0.13     0.16    0.14      0.52
F02                      1.92    3.86    3.07   23.21  -33.40    0.81    0.08     0.13    0.11      0.44
F03                      1.53    4.01    2.33   23.70  -45.49    7.53    0.07     0.16    0.10      0.57
F04                      1.87    4.92    2.57   26.51  -48.93   10.34    0.06     0.13    0.07      0.45
F05                     11.72   15.54   12.54   46.36  -21.20    0.80    0.42     0.54    0.38      0.74
F06                      8.73   14.95   10.10   45.56  -40.85    6.84    0.26     0.37    0.27      0.48
F07                      5.06   12.61    8.21   42.16  -63.54    7.61    0.21     0.41    0.31      0.56
F08                      4.71   13.13    7.46   42.95  -71.37   11.91    0.12     0.24    0.21      0.24
F09                     43.73   50.57   40.96   76.41  -14.19    0.99    1.09     1.17    1.02      0.68
F10                     38.87   49.64   37.13   75.84  -26.54    5.11    0.84     0.89    0.85      0.41
F11                     33.47   47.37   33.56   74.42  -38.39    7.73    1.11     1.13    1.00      0.29
F12                     29.15   45.46   29.62   73.19  -48.90   11.65    0.73     0.78    0.76      0.18
F13                     45.60   59.05   66.55   81.32  -29.93  -18.37    1.11     1.06    0.67      0.23
F14                     65.35   51.18   63.32   76.78   39.27  -23.12    0.59     0.72    0.54      0.24
F15                     77.23   82.67   29.02   92.87   -4.93   46.56    0.58     0.59    1.00      0.34
F16                     50.36   51.98   44.82   77.26    0.64   -2.38    0.82     0.89    0.96      0.54
F17                     57.65   47.01   24.69   74.19   32.45   21.75    0.88     1.06    0.90      0.20
F18                     37.36   52.66   26.54   77.67  -39.26   24.48    0.62     0.59    0.66      0.15
F19                     30.52   29.18   56.46   60.93    9.12  -43.59    0.63     0.72    0.43      0.11
F20                      1.61    2.22    3.78   16.61  -12.73  -15.33    0.08     0.11    0.20      0.62
F21                      2.26    1.39    3.08   11.88   22.83  -18.73    0.12     0.07    0.17      0.72
F22                      4.20    4.49    0.88   25.21   -1.78   27.11    0.16     0.18    0.04      0.67
G01                      4.76    5.81    6.38   28.93  -10.29   -7.75    0.18     0.21    0.20      0.48
G02                      3.93    5.70    6.77   28.65  -20.33   -9.90    0.12     0.15    0.15      0.35
G03                      3.18    5.59    7.26   28.35  -30.85  -12.46    0.14     0.21    0.22      0.45
G04                      2.41    5.06    7.54   26.91  -38.72  -16.08    0.05     0.10    0.10      0.31
G05                     13.98   17.40   17.23   48.76  -16.50   -6.99    0.40     0.50    0.45      0.63
G06                     11.86   17.43   18.34   48.80  -30.67   -9.43    0.32     0.39    0.39      0.39
G07                      8.77   16.30   18.94   47.36  -48.27  -13.20    0.35     0.52    0.59      0.49
G08                      6.44   14.25   19.42   44.59  -58.32  -19.02    0.16     0.26    0.44      0.30
G09                     41.90   48.01   43.33   74.83  -12.80   -4.75    0.83     0.87    0.74      0.51
G10                     36.72   46.49   43.90   73.86  -24.92   -7.12    0.78     0.83    0.83      0.44
G11                     32.09   45.12   44.69   72.97  -37.01   -9.62    0.94     0.95    0.87      0.27
G12                     26.79   41.69   43.66   70.65  -47.25  -12.35    0.64     0.75    0.87      0.32
G13                     38.81   52.32   62.87   77.47  -33.74  -21.52    0.93     0.93    0.62      0.20
G14                     60.05   44.49   58.90   72.55   45.28  -26.06    0.56     0.67    0.51      0.22
G15                     73.95   79.46   22.70   91.44   -5.43   55.18    0.34     0.35    0.75      0.51
G16                     39.31   40.89   35.06   70.10   -0.37   -1.90    0.68     0.73    0.77      0.52
G17                     51.27   39.23   18.24   68.91   39.06   25.50    0.69     0.84    0.67      0.16
G18                     30.92   46.22   20.83   73.69  -44.34   28.24    0.48     0.42    0.44      0.20
