IT8.7/1                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Fujicolor, ver2.2"
CREATED              "Monday, October 11, 2021"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2021:Lot 14"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      4.21    3.76    3.59   22.84    8.65   -3.36    0.12     0.09    0.12      0.44
A02                      4.51    3.37    3.08   21.46   18.68   -2.25    0.07     0.05    0.08      0.33
A03                      4.77    2.82    2.48   19.32   31.34   -1.28    0.12     0.07    0.07      0.46
A04                      4.92    2.55    2.15   18.14   38.30   -0.39    0.09     0.04    0.08      0.41
A05                     19.16   17.25   14.44   48.57   13.43   -0.54    0.35     0.29    0.38      0.41
A06                     21.57   16.39   12.66   47.48   29.87    2.41    0.36     0.26    0.37      0.41
A07                     24.21   15.52   11.30   46.34   46.74    4.41    0.35     0.21    0.32      0.42
A08                     24.62   12.75    8.85   42.39   65.52    5.66    0.26     0.15    0.32      0.26
A09                     49.13   46.44   38.18   73.83   12.15    0.20    0.46     0.43    0.47      0.28
A10                     52.03   44.62   35.54   72.64   24.97    1.81    0.40     0.42    0.47      0.21
A11                     56.30   44.19   33.98   72.35   37.08    3.55    0.21     0.26    0.47      0.09
A12                     52.55   39.05   29.63   68.78   42.97    4.04    0.25     0.31    0.55      0.13
A13                     69.19   75.92   67.20   89.82   -8.50   -4.31    0.26     0.24    0.22      0.11
A14                     75.68   72.99   66.19   88.44   11.02   -5.76    0.18     0.20    0.14      0.09
A15                     79.85   83.49   56.78   93.23   -1.29   11.77    0.15     0.16    0.34      0.08
A16                     78.98   81.53   67.34   92.37    0.72   -0.06    0.19     0.19    0.17      0.09
A17                     74.11   72.34   54.66   88.13    9.15    5.20    0.17     0.16    0.23      0.08
A18                     66.17   73.96   54.52   88.90  -11.16    6.68    0.51     0.41    0.38      0.16
A19                     63.97   65.66   65.55   84.82    1.50  -11.39    0.19     0.18    0.18      0.07
A20                     11.21   18.90   38.36   50.57  -42.94  -40.15    0.12     0.23    0.25      0.25
A21                     24.96   10.70   28.04   39.07   81.29  -44.61    0.14     0.08    0.23      0.21
A22                     49.41   50.10    2.09   76.13    2.99  100.16    0.46     0.48    0.04      0.36
B01                      5.90    5.37    4.20   27.77    8.36    1.37    0.18     0.14    0.16      0.46
B02                      6.64    5.32    2.74   27.63   16.87   10.92    0.12     0.08    0.08      0.24
