IT8.7/1                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Fujicolor, ver2.2"
CREATED              "Monday, November 8, 2021"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2021:Lot15"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      4.06    3.66    3.48   22.52    7.95   -3.21    0.12     0.12    0.14      0.39
A02                      4.38    3.29    2.93   21.17   18.18   -1.62    0.16     0.13    0.11      0.44
A03                      4.55    2.72    2.38   18.90   30.30   -1.18    0.11     0.07    0.08      0.36
A04                      4.92    2.57    2.05   18.24   37.92    0.70    0.18     0.10    0.08      0.59
A05                     18.22   16.40   13.41   47.49   13.23    0.34    0.35     0.34    0.35      0.41
A06                     21.24   16.09   11.91   47.09   29.97    3.88    0.58     0.47    0.39      0.57
A07                     23.78   15.32   10.60   46.07   46.03    6.09    0.38     0.27    0.30      0.38
A08                     24.76   12.89    8.33   42.59   65.25    7.91    0.46     0.27    0.31      0.38
A09                     48.12   45.36   36.81   73.13   12.40    0.86    0.47     0.52    0.45      0.31
A10                     51.41   44.07   34.42   72.27   24.96    2.77    0.64     0.67    0.65      0.34
A11                     55.67   43.53   32.49   71.91   37.41    4.98    0.47     0.56    0.61      0.12
A12                     51.99   38.53   28.24   68.41   43.13    5.65    0.60     0.66    0.70      0.16
A13                     68.33   75.04   66.73   89.41   -8.58   -4.59    0.50     0.44    0.29      0.18
A14                     74.75   72.00   65.64   87.97   11.18   -6.06    0.54     0.61    0.48      0.27
A15                     78.99   82.76   55.50   92.91   -1.59   12.55    0.43     0.43    0.51      0.17
A16                     77.97   80.60   66.92   91.95    0.49   -0.38    0.32     0.33    0.30      0.15
A17                     73.22   71.46   53.17   87.71    9.14    6.06    0.39     0.45    0.41      0.20
A18                     65.49   73.39   53.45   88.63  -11.50    7.36    0.47     0.43    0.43      0.18
A19                     63.16   64.73   65.02   84.35    1.72  -11.71    0.54     0.48    0.30      0.22
A20                     10.82   18.25   37.51   49.79  -42.41  -40.34    0.17     0.29    0.36      0.34
A21                     25.53   11.05   28.13   39.66   81.16  -43.75    0.42     0.20    0.40      0.45
A22                     49.12   49.93    2.14   76.03    2.67   99.48    0.38     0.41    0.04      0.34
B01                      5.76    5.31    4.11   27.59    7.53    1.57    0.18     0.18    0.16      0.45
B02                      6.53    5.28    2.68   27.52   16.18   11.22    0.25     0.22    0.11      0.60
B03                      6.81    4.68    1.24   25.81   26.51   22.76    0.14     0.10    0.03      0.34
B04                      7.17    4.09    0.37   23.96   38.00   34.38    0.27     0.16    0.02      0.86
B05                     19.05   17.02   10.32   48.28   14.13   10.80    0.38     0.37    0.27      0.42
B06                     21.99   16.40    6.67   47.49   31.77   23.03    0.62     0.51    0.25      0.60
B07                     24.78   15.28    3.53   46.01   50.60   37.00    0.30     0.21    0.11      0.35
B08                     23.41   11.22    0.64   39.95   70.76   56.77    0.24     0.13    0.03      0.26
B09                     48.37   46.74   34.55   74.02    9.25    5.60    0.46     0.49    0.44      0.30
B10                     51.77   46.55   29.33   73.90   18.89   13.33    0.71     0.75    0.63      0.39
B11                     54.10   45.54   24.92   73.24   27.70   19.69    0.47     0.56    0.54      0.19
B12                     54.27   42.92   19.89   71.50   35.67   26.41    0.47     0.57    0.55      0.23
B13                     65.40   73.75   68.54   88.80  -12.44   -7.30    0.46     0.41    0.29      0.16
B14                     74.32   68.92   66.41   86.47   16.77   -9.36    0.49     0.56    0.45      0.23
B15                     79.59   84.02   49.54   93.46   -2.78   20.01    0.50     0.53    0.50      0.23
B16                     73.63   76.06   63.29   89.89    0.60   -0.50    0.42     0.44    0.38      0.20
B17                     70.45   66.45   46.95   85.23   14.01    8.81    0.56     0.62    0.61      0.27
B18                     59.88   69.85   47.44   86.92  -17.05   11.15    0.44     0.39    0.38      0.16
B19                     57.45   58.36   65.55   80.94    2.88  -18.09    0.69     0.62    0.34      0.27
B20                      9.31   15.02   29.22   45.66  -36.45  -35.17    0.20     0.33    0.42      0.42
B21                     19.70    8.84   21.96   35.67   71.76  -39.56    0.38     0.19    0.38      0.48
B22                     36.45   37.56    1.90   67.69    0.76   87.37    0.76     0.80    0.07      0.71
C01                      7.26    7.36    5.10   32.61    1.60    4.76    0.20     0.22    0.21      0.47
C02                      7.72    7.48    3.19   32.87    4.79   16.63    0.26     0.25    0.12      0.58
C03                      8.10    7.57    1.21   33.06    7.53   35.68    0.19     0.18    0.03      0.52
C04                      9.81    8.70    0.85   35.40   11.85   45.11    0.28     0.22    0.03      0.60
C05                     30.31   29.98   17.24   61.63    5.31   15.19    0.48     0.51    0.43      0.36
C06                     30.65   28.59   10.33   60.42   11.84   31.70    0.71     0.67    0.37      0.50
C07                     33.07   29.45    5.71   61.18   17.33   50.94    0.42     0.42    0.17      0.27
