IT8.7/1                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Fujicolor, ver2.2"
CREATED              "Tuesday, December 7, 2021"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2021:Lot17"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      4.31    3.89    3.58   23.28    8.01   -2.51    0.23     0.23    0.12      0.60
A02                      4.56    3.45    2.98   21.73   18.13   -1.00    0.22     0.19    0.16      0.55
A03                      4.68    2.81    2.37   19.26   30.36   -0.44    0.32     0.21    0.11      0.75
A04                      5.09    2.67    2.07   18.65   38.13    1.26    0.21     0.12    0.12      0.59
A05                     18.02   16.18   13.17   47.21   13.40    0.50    0.66     0.63    0.52      0.78
A06                     21.51   16.39   11.92   47.47   29.62    4.53    0.47     0.45    0.57      0.39
A07                     23.48   15.19   10.48   45.89   45.43    6.20    0.80     0.63    0.47      0.54
A08                     24.77   12.99    8.41   42.74   64.63    7.88    0.34     0.23    0.39      0.20
A09                     48.11   45.43   36.79   73.17   12.21    0.96    0.81     0.90    0.66      0.53
A10                     51.42   44.42   34.58   72.51   23.96    2.94    0.47     0.47    0.72      0.27
A11                     55.76   43.71   32.36   72.03   37.13    5.39    0.46     0.56    0.58      0.17
A12                     52.45   39.09   28.43   68.81   42.59    6.03    0.30     0.33    0.65      0.10
A13                     67.74   74.66   67.13   89.23   -9.09   -5.26    0.25     0.27    0.31      0.13
A14                     74.87   72.04   65.99   87.99   11.33   -6.34    0.26     0.33    0.24      0.13
A15                     78.76   82.56   55.26   92.82   -1.67   12.65    0.23     0.23    0.40      0.09
A16                     78.43   81.16   67.52   92.20    0.33   -0.50    0.28     0.26    0.26      0.12
A17                     73.22   71.40   53.30   87.68    9.27    5.87    0.28     0.39    0.44      0.16
A18                     65.64   73.63   53.82   88.75  -11.64    7.16    0.38     0.30    0.47      0.11
A19                     62.86   64.63   65.60   84.29    1.25  -12.35    0.53     0.57    0.29      0.25
A20                     10.91   18.35   37.55   49.92  -42.30  -40.18    0.14     0.23    0.44      0.33
A21                     25.06   10.89   27.84   39.40   80.28  -43.71    0.51     0.25    0.63      0.67
A22                     49.35   50.02    2.11   76.08    3.04   99.80    0.23     0.32    0.03      0.28
B01                      5.94    5.47    4.15   28.02    7.68    2.06    0.26     0.26    0.13      0.68
B02                      6.68    5.40    2.69   27.83   16.34   11.70    0.32     0.29    0.14      0.69
B03                      6.88    4.70    1.21   25.84   26.98   23.25    0.35     0.26    0.04      1.00
B04                      7.34    4.18    0.34   24.23   38.43   35.29    0.32     0.21    0.03      0.86
B05                     18.97   16.91   10.08   48.13   14.32   11.35    0.74     0.71    0.40      0.90
B06                     22.22   16.62    6.63   47.77   31.64   23.65    0.59     0.55    0.35      0.35
B07                     24.93   15.40    3.50   46.16   50.57   37.42    0.71     0.56    0.17      0.46
B08                     23.59   11.32    0.62   40.11   70.85   57.42    0.25     0.15    0.04      0.17
B09                     48.33   46.69   34.45   73.99    9.28    5.68    0.83     0.93    0.78      0.56
B10                     51.32   46.48   29.38   73.86   17.90   13.18    0.48     0.51    0.86      0.19
B11                     53.59   45.28   24.57   73.07   27.15   20.04    0.44     0.54    0.60      0.15
B12                     54.25   43.09   19.61   71.61   35.14   27.19    0.32     0.36    0.62      0.20
B13                     64.51   72.91   68.13   88.40  -12.71   -7.61    0.29     0.29    0.31      0.13
B14                     74.88   69.61   67.06   86.80   16.48   -9.39    0.32     0.37    0.36      0.16
B15                     79.54   84.02   49.48   93.46   -2.88   20.07    0.38     0.39    0.55      0.14
B16                     73.18   75.83   63.05   89.78    0.13   -0.46    0.44     0.42    0.50      0.20
B17                     70.88   67.00   47.49   85.50   13.74    8.65    0.36     0.42    0.56      0.16
B18                     59.83   69.73   47.19   86.86  -16.92   11.35    0.37     0.34    0.59      0.13
B19                     56.83   58.03   65.48   80.75    2.15  -18.34    0.73     0.71    0.35      0.29
B20                      9.51   15.33   29.67   46.08  -36.56  -35.17    0.17     0.27    0.59      0.49
B21                     19.40    8.74   21.62   35.48   71.05  -39.19    0.52     0.26    0.72      0.88
B22                     37.17   38.10    1.89   68.09    1.42   88.21    0.28     0.37    0.02      0.47
C01                      7.58    7.68    5.21   33.31    1.61    5.37    0.32     0.34    0.16      0.80
C02                      8.03    7.77    3.27   33.48    5.00   17.17    0.36     0.38    0.16      0.85
C03                      8.26    7.61    1.17   33.15    8.49   36.39    0.42     0.39    0.05      1.17
C04                      9.98    8.70    0.82   35.39   13.20   45.55    0.37     0.38    0.04      0.90
C05                     30.82   30.53   17.28   62.10    5.19   15.91    1.11     1.14    0.75      0.96
C06                     31.30   29.23   10.43   60.98   11.82   32.36    0.57     0.67    0.51      0.33
C07                     33.19   29.61    5.66   61.31   17.17   51.44    0.86     0.86    0.22      0.73
C08                     35.19   29.51    1.34   61.23   24.43   82.56    0.48     0.57    0.04      0.52
C09                     54.26   54.25   34.01   78.60    5.02   14.28    0.75     0.81    0.74      0.45
C10                     55.64   53.28   23.51   78.04   10.93   30.55    0.43     0.52    0.81      0.19
C11                     58.06   53.25   16.25   78.02   16.97   45.76    0.35     0.49    0.48      0.28
C12                     57.76   51.67    9.76   77.08   20.27   62.34    0.37     0.52    0.33      0.33
C13                     58.28   68.11   66.83   86.06  -17.17  -10.45    0.61     0.64    0.54      0.29
C14                     71.47   64.10   65.37   84.02   21.39  -12.61    0.22     0.34    0.22      0.09
C15                     76.64   81.18   42.42   92.21   -3.28   26.37    0.20     0.19    0.55      0.13
C16                     69.23   71.75   60.07   87.85    0.10   -0.87    0.24     0.22    0.34      0.11
C17                     65.36   59.73   40.05   81.69   18.14   11.27    0.35     0.48    0.66      0.16
C18                     53.70   65.32   42.22   84.65  -22.46   13.57    0.26     0.22    0.61      0.16
C19                     47.75   48.36   62.21   75.05    3.13  -25.05    0.77     0.81    0.37      0.30
C20                      6.99   10.82   20.09   39.28  -29.78  -29.56    0.16     0.26    0.61      0.70
C21                     13.18    6.18   14.67   29.85   59.89  -33.40    0.28     0.16    0.37      0.53
C22                     24.73   25.63    1.59   57.68    0.11   73.44    0.30     0.38    0.02      0.62
D01                      7.38    7.93    5.87   33.83   -2.52    3.05    0.38     0.42    0.22      0.93
D02                      7.21    7.98    4.02   33.93   -4.60   13.06    0.36     0.42    0.20      0.97
D03                      7.22    8.14    2.40   34.26   -5.95   25.13    0.42     0.45    0.10      1.19
D04                      7.49    8.45    0.99   34.90   -6.06   41.93    0.33     0.40    0.05      1.06
D05                     34.50   36.56   22.50   66.93   -2.54   13.32    1.19     1.22    0.89      0.89
D06                     34.04   36.43   15.91   66.84   -3.74   27.32    0.73     0.83    0.75      0.43
D07                     33.39   36.35   10.41   66.78   -5.73   42.44    0.88     0.90    0.39      0.63
D08                     32.98   36.72    6.08   67.06   -8.36   59.38    0.50     0.61    0.22      0.40
D09                     59.57   62.56   36.08   83.21   -1.79   19.26    0.65     0.64    0.68      0.32
D10                     58.30   62.25   22.04   83.05   -4.12   41.99    0.45     0.52    0.81      0.33
D11                     57.09   61.89   12.64   82.86   -6.25   63.44    0.43     0.42    0.29      0.31
D12                     55.60   60.72    4.27   82.23   -7.23   94.82    0.23     0.30    0.08      0.21
D13                     56.00   67.50   68.85   85.76  -21.44  -12.84    0.51     0.45    0.35      0.14
D14                     71.40   61.24   67.04   82.51   27.75  -16.78    0.26     0.39    0.24      0.12
D15                     78.57   83.75   37.77   93.34   -4.28   34.40    0.31     0.34    0.65      0.31
D16                     68.28   70.73   59.65   87.35    0.17   -1.30    0.27     0.22    0.39      0.11
D17                     63.28   55.38   34.24   79.26   23.91   15.08    0.45     0.55    0.73      0.17
D18                     48.63   62.02   36.96   82.93  -28.40   17.55    0.24     0.22    0.78      0.16
D19                     41.58   41.37   61.02   70.43    5.18  -31.83    0.84     0.86    0.47      0.30
D20                      5.01    7.40   12.99   32.70  -23.42  -24.01    0.12     0.19    0.48      0.74
D21                      8.55    4.35    9.73   24.78   47.14  -27.74    0.34     0.19    0.43      0.91
D22                     15.42   16.15    1.44   47.16   -0.87   56.98    0.19     0.28    0.02      0.66
E01                      6.73    7.81    5.38   33.57   -7.83    4.97    0.35     0.40    0.21      0.92
E02                      5.98    7.75    3.24   33.43  -15.26   17.30    0.29     0.38    0.16      0.99
