IT8.7/1                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Fujicolor, ver2.2"
CREATED              "Friday, December 17, 2021"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2021:Lot18"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      4.48    4.06    3.70   23.86    7.93   -2.34    0.15     0.15    0.11      0.42
A02                      4.80    3.64    3.10   22.44   18.29   -0.72    0.12     0.12    0.07      0.20
A03                      4.89    2.95    2.49   19.85   30.53   -0.45    0.10     0.07    0.05      0.27
A04                      5.26    2.77    2.16   19.09   38.40    1.15    0.14     0.08    0.07      0.38
A05                     18.86   17.04   13.74   48.31   13.03    0.85    0.39     0.42    0.42      0.44
A06                     22.06   16.85   12.33   48.07   29.64    4.34    0.44     0.42    0.38      0.32
A07                     24.20   15.71   10.81   46.59   45.59    6.35    0.43     0.33    0.29      0.34
A08                     25.31   13.31    8.78   43.22   64.89    7.36    0.27     0.18    0.24      0.17
A09                     49.14   46.47   37.34   73.85   12.11    1.37    0.41     0.46    0.52      0.27
A10                     52.07   45.08   35.01   72.94   23.79    3.07    0.40     0.46    0.50      0.21
A11                     56.38   44.49   33.07   72.55   36.41    5.22    0.30     0.39    0.53      0.09
A12                     52.92   39.66   29.00   69.23   42.01    5.82    0.32     0.30    0.44      0.22
A13                     68.62   75.34   67.11   89.55   -8.56   -4.70    0.36     0.35    0.30      0.15
A14                     75.03   72.32   65.99   88.12   11.10   -6.12    0.49     0.54    0.37      0.23
A15                     78.61   82.41   55.09   92.75   -1.66   12.71    0.26     0.27    0.55      0.10
A16                     78.24   80.95   67.07   92.11    0.37   -0.25    0.27     0.27    0.25      0.12
A17                     73.45   71.77   53.34   87.86    8.98    6.14    0.31     0.41    0.49      0.17
A18                     65.92   73.74   53.48   88.80  -11.24    7.61    0.30     0.30    0.39      0.15
A19                     63.41   65.12   65.47   84.54    1.42  -11.80    0.36     0.36    0.22      0.16
A20                     11.19   18.81   37.73   50.47  -42.65  -39.48    0.17     0.33    0.36      0.37
A21                     25.58   11.19   28.14   39.90   80.31  -43.34    0.28     0.13    0.32      0.37
A22                     50.38   51.08    2.17   76.73    3.02  100.43    0.28     0.28    0.03      0.26
B01                      6.22    5.75    4.29   28.77    7.50    2.55    0.18     0.19    0.11      0.46
B02                      6.96    5.64    2.76   28.49   16.44   12.29    0.18     0.19    0.07      0.38
B03                      7.20    4.96    1.26   26.61   26.86   23.82    0.18     0.14    0.03      0.53
B04                      7.67    4.39    0.36   24.92   38.66   36.11    0.24     0.16    0.02      0.69
B05                     19.68   17.63   10.56   49.04   14.01   11.35    0.39     0.41    0.30      0.40
B06                     22.80   17.11    6.86   48.39   31.62   23.74    0.42     0.41    0.19      0.36
B07                     25.55   15.85    3.62   46.78   50.55   37.71    0.37     0.29    0.10      0.21
B08                     23.95   11.53    0.66   40.45   70.95   57.26    0.25     0.13    0.02      0.30
B09                     49.29   47.68   34.98   74.62    9.16    6.01    0.44     0.46    0.48      0.27
B10                     52.08   47.24   29.99   74.34   17.78   13.05    0.47     0.52    0.50      0.25
B11                     54.33   46.11   25.19   73.62   26.71   19.85    0.35     0.42    0.48      0.12
B12                     54.76   43.77   20.20   72.07   34.44   26.73    0.38     0.42    0.39      0.23
B13                     65.58   73.81   68.35   88.83  -12.16   -7.08    0.30     0.32    0.31      0.15
B14                     75.06   69.92   67.09   86.96   16.18   -9.16    0.36     0.38    0.45      0.18
B15                     79.48   83.93   49.64   93.42   -2.84   19.84    0.42     0.41    0.80      0.12
B16                     73.30   75.90   62.68   89.81    0.26   -0.05    0.54     0.56    0.49      0.26
B17                     70.94   67.28   47.53   85.64   13.27    8.84    0.52     0.65    0.69      0.25
B18                     60.23   69.99   47.06   86.99  -16.51   11.72    0.38     0.43    0.40      0.25
B19                     57.53   58.67   65.44   81.11    2.35  -17.69    0.29     0.45    0.41      0.21
B20                      9.75   15.67   29.87   46.53  -36.62  -34.72    0.14     0.26    0.27      0.29
B21                     20.06    9.10   22.13   36.18   71.35  -39.01    0.29     0.14    0.33      0.43
B22                     38.19   39.17    1.94   68.87    1.35   89.01    0.35     0.38    0.02      0.48
C01                      7.90    8.03    5.40   34.04    1.46    5.69    0.22     0.24    0.16      0.51
C02                      8.32    8.04    3.33   34.07    5.11   17.70    0.11     0.13    0.06      0.32
C03                      8.67    8.06    1.23   34.11    8.04   37.17    0.20     0.19    0.04      0.55
C04                     10.44    9.20    0.86   36.36   12.60   46.61    0.19     0.16    0.02      0.43
C05                     31.33   31.06   17.71   62.55    5.15   15.71    0.60     0.65    0.56      0.46
C06                     32.06   29.98   10.77   61.63   11.75   32.42    0.51     0.57    0.33      0.39
C07                     33.98   30.35    5.82   61.95   17.17   51.79    0.51     0.53    0.18      0.34
C08                     36.38   30.81    1.40   62.34   23.62   83.71    0.52     0.56    0.03      0.59
C09                     55.09   55.08   34.56   79.09    5.03   14.32    0.49     0.53    0.63      0.24
C10                     56.26   53.97   24.05   78.44   10.73   30.24    0.37     0.44    0.52      0.18
C11                     58.21   53.62   16.60   78.24   16.37   45.31    0.32     0.41    0.39      0.20
C12                     57.53   51.72    9.88   77.11   19.58   61.99    0.39     0.51    0.31      0.31
C13                     59.14   68.80   66.75   86.40  -16.57   -9.79    0.44     0.44    0.38      0.19
C14                     71.35   64.14   65.10   84.04   21.07  -12.32    0.34     0.49    0.24      0.12
C15                     76.17   80.69   42.46   91.99   -3.28   25.93    0.53     0.53    0.85      0.10
C16                     69.28   71.73   59.43   87.84    0.24   -0.24    0.41     0.41    0.38      0.20
C17                     65.48   60.06   40.17   81.87   17.63   11.42    0.41     0.59    0.66      0.19
C18                     54.24   65.74   42.20   84.86  -22.01   13.96    0.40     0.39    0.59      0.18
C19                     48.68   49.25   62.56   75.61    3.28  -24.43    0.46     0.53    0.24      0.19
C20                      7.22   11.15   20.38   39.83  -29.88  -29.22    0.11     0.17    0.32      0.30
C21                     13.52    6.38   14.85   30.36   59.92  -32.98    0.28     0.14    0.35      0.59
C22                     25.85   26.84    1.66   58.83   -0.12   74.60    0.34     0.38    0.03      0.58
