IT8.7/1                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Fujicolor, ver2.2"
CREATED              "Tuesday, February 8, 2022"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2022:01"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      4.73    4.26    4.22   24.51    8.32   -4.37    0.19     0.19    0.14      0.48
A02                      5.05    3.80    3.53   23.00   18.94   -2.73    0.12     0.10    0.11      0.32
A03                      5.11    3.07    2.84   20.30   31.37   -2.46    0.17     0.11    0.09      0.40
A04                      5.45    2.84    2.47   19.39   39.30   -1.04    0.13     0.06    0.09      0.46
A05                     19.93   17.99   15.27   49.48   13.37   -1.07    0.54     0.56    0.50      0.59
A06                     22.87   17.52   13.66   48.91   29.70    2.11    0.35     0.32    0.41      0.30
A07                     25.10   16.36   12.09   47.44   45.78    3.95    0.65     0.51    0.39      0.44
A08                     25.68   13.50    9.78   43.50   65.22    4.35    0.36     0.23    0.32      0.24
A09                     50.38   47.71   39.43   74.64   12.03   -0.08    0.77     0.84    0.76      0.49
A10                     53.04   46.15   37.08   73.64   23.30    1.37    0.61     0.69    0.73      0.32
A11                     57.08   45.42   35.11   73.17   35.50    3.32    0.66     0.73    0.80      0.25
A12                     53.69   40.60   31.07   69.89   41.12    3.67    0.53     0.62    0.78      0.16
A13                     68.89   75.28   66.71   89.53   -7.87   -4.37    0.53     0.50    0.43      0.22
A14                     74.99   72.57   65.63   88.24   10.50   -5.58    0.52     0.59    0.48      0.26
A15                     79.07   82.70   56.80   92.88   -1.34   11.15    0.63     0.63    0.79      0.24
A16                     78.03   80.69   66.86   91.99    0.45   -0.26    0.55     0.55    0.53      0.25
A17                     73.69   72.15   54.69   88.04    8.69    5.01    0.68     0.71    0.82      0.32
A18                     66.50   73.94   54.93   88.89  -10.38    6.23    0.60     0.59    0.74      0.25
A19                     64.32   65.92   65.42   84.95    1.73  -11.04    0.65     0.68    0.57      0.33
A20                     11.25   18.74   38.55   50.38  -41.80  -40.75    0.18     0.28    0.49      0.33
A21                     25.93   11.33   28.63   40.13   80.80  -43.74    0.36     0.18    0.47      0.49
A22                     50.18   50.85    2.17   76.59    3.09  100.14    0.49     0.48    0.03      0.51
B01                      6.55    6.03    4.89   29.49    7.86    0.48    0.24     0.24    0.18      0.57
B02                      7.32    5.92    3.17   29.21   16.82   10.49    0.15     0.13    0.10      0.27
B03                      7.47    5.14    1.40   27.14   27.16   22.94    0.20     0.15    0.05      0.48
B04                      7.82    4.47    0.38   25.16   39.03   36.22    0.20     0.12    0.02      0.56
B05                     20.70   18.56   11.86   50.17   14.16    9.33    0.50     0.52    0.40      0.53
B06                     23.55   17.77    7.74   49.21   31.45   21.57    0.43     0.39    0.27      0.25
B07                     26.34   16.45    4.16   47.56   50.46   35.73    0.59     0.45    0.15      0.40
B08                     23.76   11.44    0.73   40.30   70.78   55.69    0.29     0.15    0.03      0.24
B09                     50.87   49.29   37.48   75.63    9.06    4.25    0.81     0.88    0.90      0.50
B10                     53.28   48.53   32.20   75.16   17.36   11.04    0.73     0.78    0.83      0.37
B11                     55.54   47.48   27.60   74.49   25.95   17.21    0.79     0.85    0.84      0.30
B12                     55.79   44.97   22.27   72.87   33.58   24.00    0.69     0.78    0.76      0.13
B13                     66.39   74.29   68.35   89.06  -11.34   -6.69    0.78     0.75    0.60      0.32
B14                     75.58   70.81   67.16   87.39   15.36   -8.46    0.68     0.81    0.61      0.32
B15                     80.08   84.37   51.80   93.61   -2.46   17.74    0.59     0.58    0.80      0.18
B16                     73.67   76.20   63.35   89.95    0.41   -0.46    0.69     0.70    0.65      0.32
B17                     71.53   67.99   49.37   86.00   12.97    7.35    0.73     0.78    0.86      0.34
