IT8.7/1                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Fujicolor, ver2.2"
CREATED              "Wednesday, March 23, 2022"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2022:03"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      3.51    3.16    3.13   20.68    7.66   -3.97    0.11     0.12    0.11      0.35
A02                      3.87    2.89    2.63   19.60   17.72   -2.03    0.14     0.12    0.10      0.34
A03                      3.95    2.34    2.10   17.17   29.32   -1.63    0.12     0.08    0.07      0.46
A04                      4.35    2.26    1.84   16.81   36.51    0.29    0.16     0.09    0.09      0.48
A05                     16.45   14.68   12.35   45.18   13.55   -0.69    0.43     0.46    0.40      0.52
A06                     19.43   14.55   11.01   45.00   30.19    3.01    0.49     0.48    0.40      0.40
A07                     21.64   13.67    9.59   43.76   46.26    5.45    0.44     0.32    0.33      0.52
A08                     22.78   11.76    7.57   40.82   64.18    7.77    0.33     0.22    0.26      0.21
A09                     45.70   42.95   35.32   71.52   12.60    0.18    0.62     0.69    0.62      0.41
A10                     48.88   41.73   32.99   70.68   25.05    2.12    0.53     0.62    0.69      0.27
A11                     53.89   41.54   31.11   70.55   38.81    4.76    0.49     0.59    0.72      0.15
A12                     50.58   37.03   27.12   67.30   44.20    5.61    0.45     0.54    0.72      0.16
A13                     65.84   72.77   65.23   88.34   -9.44   -5.03    0.56     0.51    0.42      0.22
A14                     72.95   69.95   64.10   86.97   11.77   -6.31    0.36     0.41    0.35      0.18
A15                     77.42   81.11   54.22   92.18   -1.56   12.65    0.37     0.38    0.59      0.16
A16                     76.25   78.92   65.33   91.20    0.31   -0.19    0.40     0.43    0.41      0.19
A17                     71.47   69.43   51.78   86.71    9.77    5.87    0.48     0.58    0.68      0.25
A18                     63.10   71.12   52.10   87.54  -12.20    6.95    0.58     0.47    0.70      0.17
A19                     60.81   62.44   63.84   83.15    1.42  -12.65    0.61     0.65    0.39      0.30
A20                     10.21   17.17   36.33   48.47  -41.35  -40.99    0.18     0.29    0.46      0.34
A21                     23.54   10.10   26.51   38.01   79.66  -43.85    0.33     0.17    0.39      0.41
A22                     47.36   48.14    2.02   74.91    2.64   98.70    0.53     0.60    0.04      0.51
B01                      4.93    4.50    3.62   25.26    7.70    0.65    0.19     0.20    0.17      0.53
B02                      5.84    4.66    2.44   25.73   16.52   10.15    0.23     0.22    0.11      0.50
B03                      5.94    4.03    1.08   23.76   26.07   21.49    0.18     0.13    0.05      0.48
B04                      6.33    3.57    0.31   22.18   37.14   32.41    0.25     0.16    0.02      0.76
