IT8.7/1                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Fujicolor, ver2.2"
CREATED              "Thursday, March 24, 2022"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2022:04"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      3.60    3.30    2.95   21.20    6.67   -1.74    0.12     0.10    0.10      0.44
A02                      3.83    2.92    2.45   19.72   16.63   -0.36    0.08     0.06    0.07      0.35
A03                      3.85    2.33    1.94   17.12   28.10   -0.20    0.08     0.04    0.04      0.31
A04                      4.20    2.22    1.68   16.59   35.48    1.61    0.08     0.04    0.05      0.31
A05                     16.40   14.88   11.68   45.47   12.08    1.75    0.23     0.19    0.28      0.29
A06                     19.42   14.80   10.44   45.35   28.65    5.37    0.25     0.21    0.24      0.25
A07                     21.59   13.89    9.16   44.07   44.71    7.46    0.23     0.16    0.27      0.18
A08                     23.08   11.99    7.20   41.19   63.92    9.90    0.20     0.11    0.20      0.19
A09                     45.87   43.26   34.41   71.73   12.16    1.85    0.32     0.32    0.49      0.21
A10                     49.34   42.29   32.21   71.07   24.61    3.96    0.43     0.44    0.42      0.24
A11                     54.08   41.91   30.06   70.81   38.18    6.83    0.28     0.36    0.62      0.07
A12                     50.89   37.42   26.16   67.59   43.76    7.76    0.24     0.30    0.45      0.09
A13                     66.05   72.96   65.41   88.43   -9.36   -5.04    0.17     0.19    0.20      0.09
A14                     73.32   70.42   64.44   87.20   11.52   -6.24    0.27     0.30    0.31      0.14
A15                     77.40   81.14   53.36   92.20   -1.68   13.59    0.22     0.23    0.29      0.13
A16                     76.63   79.30   65.78   91.37    0.33   -0.32    0.19     0.19    0.18      0.09
A17                     71.44   69.60   51.02   86.80    9.33    6.86    0.25     0.29    0.17      0.14
A18                     63.80   71.81   51.62   87.88  -12.05    8.05    0.24     0.19    0.16      0.10
A19                     61.24   62.99   64.25   83.44    1.17  -12.55    0.29     0.21    0.28      0.12
A20                     10.48   17.78   36.11   49.23  -42.52  -39.37    0.14     0.27    0.22      0.27
A21                     23.60   10.25   26.11   38.28   78.80  -42.69    0.29     0.12    0.42      0.53
A22                     47.54   48.13    1.98   74.91    3.17   99.05    0.36     0.30    0.02      0.34
B01                      5.07    4.73    3.43   25.94    6.46    3.01    0.17     0.14    0.09      0.49
B02                      5.64    4.61    2.21   25.59   14.86   11.85    0.08     0.07    0.05      0.26
B03                      5.77    3.98    0.99   23.60   24.93   22.54    0.08     0.05    0.02      0.34
B04                      6.03    3.44    0.29   21.73   35.80   32.03    0.05     0.03    0.01      0.20
B05                     16.90   15.14    8.74   45.82   13.34   11.95    0.23     0.22    0.22      0.27
B06                     19.98   14.90    5.59   45.49   30.82   24.51    0.16     0.15    0.13      0.28
B07                     22.78   13.93    2.84   44.14   49.90   38.65    0.20     0.14    0.09      0.31
B08                     22.55   10.77    0.48   39.18   70.22   58.45    0.12     0.06    0.02      0.26
B09                     45.55   43.96   31.75   72.20    9.25    6.60    0.47     0.46    0.57      0.28
B10                     48.99   44.04   26.89   72.25   18.57   14.53    0.55     0.59    0.38      0.37
B11                     51.71   43.27   22.26   71.74   28.06   22.05    0.41     0.45    0.48      0.19
B12                     52.27   40.87   17.30   70.08   36.63   29.61    0.37     0.37    0.29      0.34
B13                     61.99   70.42   65.86   87.20  -13.30   -7.58    0.47     0.46    0.38      0.20
B14                     72.21   66.70   64.54   85.35   17.20   -9.53    0.41     0.37    0.42      0.20
B15                     77.84   82.23   47.22   92.68   -2.88   21.33    0.38     0.41    0.42      0.24
B16                     70.48   73.02   60.51   88.46    0.14   -0.25    0.31     0.33    0.30      0.16
B17                     68.64   64.65   44.88   84.31   14.11    9.69    0.27     0.32    0.34      0.16
B18                     57.26   67.23   44.57   85.62  -17.74   12.33    0.16     0.16    0.29      0.12
B19                     54.37   55.54   63.35   79.35    2.07  -18.73    0.15     0.14    0.26      0.08
B20                      8.71   14.17   27.23   44.48  -36.35  -33.92    0.13     0.23    0.30      0.27
B21                     17.56    7.92   19.60   33.81   68.71  -37.96    0.24     0.10    0.42      0.65
B22                     34.28   35.32    1.73   66.00    0.77   86.23    0.33     0.34    0.03      0.35
C01                      6.55    6.75    4.38   31.22    0.40    6.28    0.20     0.18    0.15      0.42
C02                      6.93    6.80    2.71   31.34    3.80   17.56    0.13     0.12    0.08      0.27
C03                      7.03    6.62    1.00   30.92    6.60   34.91    0.09     0.08    0.02      0.26
C04                      8.68    7.75    0.73   33.45   10.94   43.89    0.11     0.11    0.02      0.35
C05                     27.76   27.66   15.00   59.57    4.40   17.01    0.47     0.50    0.46      0.33
C06                     28.81   26.88    8.97   58.86   11.56   33.63    0.47     0.47    0.27      0.41
C07                     30.65   27.21    4.70   59.17   17.24   52.66    0.32     0.35    0.16      0.09
C08                     32.99   27.72    1.21   59.63   23.70   81.50    0.36     0.39    0.03      0.38
C09                     51.44   51.22   31.12   76.81    5.47   15.53    0.42     0.47    0.55      0.22
C10                     53.19   50.50   20.94   76.38   11.89   32.67    0.47     0.53    0.53      0.20
C11                     55.65   50.46   14.08   76.35   18.23   48.30    0.44     0.55    0.46      0.20
C12                     55.51   48.88    8.19   75.37   22.10   64.95    0.34     0.43    0.26      0.23
C13                     55.70   65.62   64.64   84.80  -18.07  -10.57    0.43     0.42    0.39      0.19
C14                     68.73   61.07   62.84   82.42   22.44  -12.95    0.49     0.53    0.44      0.22
C15                     74.43   78.86   39.69   91.17   -3.27   28.08    0.44     0.46    0.63      0.21
C16                     66.65   69.03   57.29   86.52    0.18   -0.33    0.43     0.43    0.39      0.21
C17                     62.88   57.10   37.15   80.24   18.78   12.65    0.35     0.40    0.48      0.17
C18                     50.95   62.64   39.28   83.25  -23.59   14.97    0.41     0.43    0.57      0.16
C19                     45.09   45.63   59.92   73.30    3.15  -25.79    0.62     0.56    0.63      0.35
C20                      6.26    9.81   17.94   37.49  -29.66  -28.02    0.12     0.18    0.39      0.33
C21                     11.38    5.35   12.64   27.71   56.86  -31.62    0.28     0.12    0.44      0.89
C22                     22.29   23.35    1.44   55.43   -1.01   71.27    0.31     0.32    0.02      0.47
D01                      6.32    6.91    4.92   31.59   -3.60    3.93    0.15     0.14    0.14      0.27
D02                      6.14    6.92    3.31   31.62   -5.60   13.62    0.10     0.09    0.09      0.31
D03                      6.10    7.03    2.00   31.87   -7.16   24.69    0.07     0.07    0.03      0.24
D04                      6.39    7.45    0.87   32.82   -8.03   40.29    0.07     0.07    0.02      0.29
D05                     31.24   33.38   19.88   64.46   -3.43   14.28    0.35     0.38    0.43      0.24
D06                     31.00   33.42   13.84   64.49   -4.42   28.50    0.36     0.40    0.36      0.26
D07                     30.47   33.42    8.97   64.50   -6.42   43.36    0.47     0.52    0.32      0.22
D08                     30.13   33.74    5.13   64.75   -8.80   60.00    0.47     0.56    0.16      0.42
D09                     57.16   60.21   33.41   81.95   -2.17   20.93    0.51     0.56    0.68      0.19
D10                     55.20   58.90   19.45   81.24   -3.96   44.11    0.57     0.58    0.40      0.29
D11                     54.82   59.35   11.03   81.48   -5.96   65.83    0.37     0.44    0.31      0.27
D12                     51.96   56.76    3.61   80.04   -7.09   95.15    0.66     0.73    0.07      0.63
D13                     52.41   63.95   65.67   83.94  -22.72  -13.03    0.27     0.26    0.33      0.15
D14                     68.94   58.53   64.77   81.03   28.85  -17.19    0.30     0.39    0.23      0.08
D15                     76.01   81.02   34.91   92.14   -4.23   36.31    0.37     0.38    0.65      0.15
D16                     65.17   67.48   56.29   85.75    0.23   -0.63    0.63     0.60    0.44      0.30
D17                     61.12   53.14   31.68   77.95   24.53   16.64    0.56     0.65    0.55      0.25
D18                     45.57   59.01   34.03   81.30  -29.92   18.89    0.33     0.34    0.52      0.11
D19                     39.01   38.86   58.87   68.65    4.93  -32.76    0.27     0.30    0.24      0.14
D20                      4.41    6.63   11.40   30.94  -23.51  -22.43    0.08     0.13    0.25      0.33
D21                      7.26    3.71    8.33   22.68   44.39  -26.43    0.19     0.09    0.32      0.84
D22                     13.39   14.26    1.28   44.60   -2.29   54.59    0.20     0.20    0.03      0.37
E01                      5.80    6.86    4.51   31.48   -8.70    5.95    0.14     0.14    0.11      0.28
