IT8.7/1                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Fujicolor, ver2.2"
CREATED              "Monday, June 6, 2022"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2022:05"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      4.41    4.00    3.71   23.66    7.81   -2.70    0.14     0.15    0.09      0.39
A02                      4.81    3.64    3.19   22.44   18.39   -1.33    0.15     0.13    0.09      0.37
A03                      4.67    2.78    2.45   19.12   30.82   -1.40    0.16     0.10    0.09      0.46
A04                      5.12    2.64    2.14   18.54   39.04    0.34    0.16     0.09    0.07      0.48
A05                     19.12   17.15   14.06   48.44   13.81    0.24    0.45     0.45    0.46      0.51
A06                     22.68   17.28   12.73   48.61   30.18    4.15    0.43     0.41    0.37      0.30
A07                     24.07   15.62   11.05   46.47   45.57    5.39    0.44     0.36    0.38      0.33
A08                     24.85   12.99    8.70   42.74   64.99    6.83    0.39     0.25    0.34      0.30
A09                     49.11   46.48   38.21   73.85   11.99    0.21    0.65     0.68    0.73      0.41
A10                     52.53   45.49   35.98   73.21   23.81    2.17    0.39     0.45    0.45      0.20
A11                     56.09   44.60   34.05   72.62   35.39    3.91    0.42     0.44    0.54      0.20
A12                     52.75   39.91   29.95   69.40   40.82    4.59    0.40     0.42    0.49      0.20
A13                     67.70   74.08   65.60   88.96   -8.02   -4.30    0.33     0.34    0.33      0.16
A14                     74.12   71.78   64.77   87.86   10.34   -5.41    0.42     0.43    0.42      0.20
A15                     77.78   81.28   56.28   92.25   -1.17   10.60    0.55     0.58    0.49      0.25
A16                     77.84   80.41   66.50   91.87    0.62   -0.14    0.56     0.58    0.56      0.26
A17                     73.02   71.61   54.51   87.78    8.41    4.75    0.61     0.61    0.54      0.29
A18                     66.22   73.56   54.79   88.71  -10.21    6.07    0.39     0.45    0.45      0.22
A19                     63.69   65.58   64.79   84.78    1.04  -10.75    0.40     0.45    0.41      0.22
A20                     11.23   18.90   38.48   50.57  -42.77  -40.31    0.14     0.27    0.40      0.30
A21                     25.06   10.81   27.92   39.25   80.93  -44.09    0.29     0.14    0.35      0.38
A22                     49.67   50.19    2.10   76.18    3.46  100.12    0.51     0.53    0.03      0.47
B01                      6.09    5.62    4.29   28.43    7.58    1.99    0.22     0.23    0.14      0.56
B02                      7.05    5.72    2.91   28.69   16.46   11.50    0.22     0.21    0.08      0.50
B03                      6.97    4.78    1.23   26.09   26.81   23.41    0.21     0.17    0.04      0.53
B04                      7.47    4.21    0.32   24.36   39.23   35.90    0.20     0.12    0.01      0.60
B05                     19.71   17.55   10.48   48.94   14.58   11.45    0.48     0.47    0.34      0.51
B06                     23.17   17.35    6.96   48.69   31.99   23.85    0.39     0.37    0.22      0.30
B07                     24.80   15.35    3.58   46.11   50.22   36.82    0.37     0.31    0.14      0.24
B08                     23.10   11.01    0.61   39.59   70.92   56.82    0.23     0.13    0.03      0.41
B09                     49.10   47.45   35.53   74.47    9.31    4.96    0.47     0.52    0.61      0.30
B10                     52.69   47.83   30.90   74.71   17.77   12.25    0.40     0.46    0.54      0.23
B11                     54.74   46.51   26.23   73.87   26.61   18.47    0.33     0.42    0.60      0.17
B12                     54.24   43.62   21.08   71.97   33.56   24.79    0.51     0.55    0.58      0.34
B13                     64.92   72.68   66.75   88.29  -11.32   -6.53    0.55     0.61    0.55      0.29
B14                     73.52   68.72   65.35   86.36   15.57   -8.54    0.58     0.54    0.58      0.28
B15                     79.16   83.32   51.51   93.15   -2.31   17.27    0.42     0.44    0.33      0.20
B16                     73.32   75.70   62.88   89.72    0.68   -0.40    0.61     0.64    0.58      0.30
B17                     70.85   67.39   49.23   85.70   12.82    6.98    0.48     0.52    0.42      0.24
