IT8.7/1                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Fujicolor, ver2.2"
CREATED              "Tuesday, June 21, 2022"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2022:06"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      3.39    3.11    2.81   20.47    6.63   -1.94    0.15     0.12    0.12      0.56
A02                      3.62    2.77    2.39   19.10   16.13   -0.88    0.18     0.13    0.11      0.72
A03                      3.59    2.17    1.86   16.35   27.48   -0.72    0.16     0.09    0.10      0.69
A04                      3.86    2.03    1.59   15.64   34.68    0.91    0.16     0.08    0.09      0.71
A05                     15.67   14.22   11.19   44.54   11.88    1.64    0.34     0.29    0.38      0.44
A06                     18.48   14.04    9.89   44.28   28.42    5.34    0.49     0.40    0.44      0.49
A07                     20.46   13.15    8.60   42.99   43.96    7.61    0.39     0.27    0.37      0.35
A08                     21.99   11.44    6.81   40.32   62.75   10.03    0.34     0.19    0.35      0.25
A09                     44.23   41.79   33.18   70.72   11.79    1.91    0.44     0.42    0.69      0.28
A10                     48.15   41.19   31.12   70.31   24.65    4.32    0.42     0.44    0.69      0.21
A11                     53.40   41.34   29.35   70.41   38.14    7.30    0.27     0.29    0.70      0.06
A12                     50.03   36.69   25.47   67.04   43.85    8.03    0.26     0.28    0.74      0.05
A13                     65.20   72.24   64.96   88.08   -9.78   -5.21    0.25     0.21    0.15      0.09
A14                     72.88   69.87   63.83   86.93   11.78   -6.12    0.20     0.23    0.20      0.10
A15                     76.96   80.64   52.65   91.97   -1.59   13.98    0.14     0.15    0.42      0.09
A16                     76.57   79.06   65.39   91.26    0.70   -0.15    0.15     0.16    0.11      0.07
A17                     71.39   69.42   50.71   86.71    9.62    7.06    0.19     0.22    0.48      0.08
A18                     62.76   70.98   51.02   87.48  -12.70    8.03    0.34     0.29    0.49      0.10
A19                     60.32   62.07   63.73   82.95    1.12  -12.88    0.29     0.31    0.27      0.15
A20                     10.35   17.45   35.44   48.83  -41.83  -39.12    0.14     0.22    0.37      0.26
A21                     23.07    9.96   26.05   37.76   78.67  -43.49    0.18     0.08    0.21      0.27
A22                     46.08   47.10    2.01   74.25    1.88   97.65    0.36     0.37    0.03      0.41
B01                      4.73    4.42    3.27   25.00    6.31    2.55    0.19     0.15    0.16      0.52
B02                      5.32    4.35    2.15   24.80   14.44   11.07    0.21     0.15    0.10      0.55
B03                      5.28    3.65    0.94   22.48   23.98   21.39    0.20     0.14    0.05      0.53
B04                      5.50    3.13    0.27   20.55   34.87   30.28    0.19     0.11    0.02      0.74
B05                     16.09   14.46    8.34   44.88   12.83   11.81    0.35     0.30    0.30      0.35
B06                     18.79   14.00    5.24   44.22   30.28   24.07    0.52     0.44    0.28      0.38
B07                     21.36   13.06    2.65   42.85   48.87   37.94    0.45     0.31    0.15      0.28
B08                     21.91   10.42    0.45   38.59   69.81   58.02    0.25     0.13    0.04      0.29
B09                     43.89   42.46   30.56   71.19    8.82    6.70    0.69     0.71    0.76      0.45
B10                     47.26   42.50   25.75   71.21   18.30   14.72    0.61     0.65    0.76      0.30
B11                     50.74   42.24   21.48   71.03   28.53   22.36    0.43     0.46    0.64      0.19
B12                     51.43   40.14   16.84   69.57   36.68   29.79    0.45     0.48    0.60      0.35
B13                     60.96   69.43   65.15   86.71  -13.60   -7.76    0.46     0.46    0.39      0.21
B14                     71.17   65.58   63.40   84.78   17.47   -9.42    0.35     0.35    0.35      0.17
B15                     77.03   81.40   46.19   92.31   -2.90   21.91    0.39     0.39    0.61      0.17
B16                     69.76   72.14   59.39   88.04    0.43    0.14    0.36     0.38    0.40      0.18
B17                     67.83   63.64   43.98   83.77   14.62    9.88    0.42     0.45    0.65      0.19
B18                     56.49   66.61   43.96   85.30  -18.27   12.54    0.49     0.48    0.64      0.21
B19                     53.54   54.53   62.81   78.77    2.46  -19.21    0.36     0.39    0.38      0.21
