IT8.7/1                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Fujicolor, ver2.2"
CREATED              "Monday, December 19, 2022"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2022:08"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      5.11    4.49    4.05   25.22   10.10   -2.14    0.16     0.15    0.13      0.44
A02                      5.57    4.04    3.39   23.79   21.72   -0.39    0.25     0.17    0.13      0.81
A03                      5.40    3.11    2.64   20.46   34.16   -0.58    0.16     0.09    0.10      0.50
A04                      5.81    2.94    2.27   19.81   41.59    1.42    0.30     0.15    0.12      0.96
A05                     20.44   18.06   14.27   49.56   15.51    1.61    0.41     0.39    0.37      0.44
A06                     24.15   18.12   12.96   49.64   32.22    5.27    0.74     0.55    0.45      0.82
A07                     25.37   16.35   11.51   47.42   46.99    5.65    0.46     0.36    0.45      0.28
A08                     25.89   13.43    9.16   43.41   66.52    6.33    0.46     0.26    0.36      0.44
A09                     49.42   46.49   36.90   73.86   12.80    2.01    0.51     0.54    0.70      0.31
A10                     53.10   45.84   35.05   73.44   24.33    3.86    0.72     0.71    0.67      0.39
A11                     56.35   44.64   33.24   72.65   35.90    5.14    0.46     0.42    0.65      0.24
A12                     53.12   40.11   29.31   69.55   41.14    5.86    0.45     0.45    0.51      0.20
A13                     68.82   75.19   65.83   89.48   -7.83   -3.62    0.46     0.48    0.53      0.23
A14                     74.40   71.83   64.38   87.89   10.81   -5.00    0.58     0.55    0.54      0.27
A15                     78.22   81.86   54.51   92.51   -1.42   12.91    0.42     0.43    0.43      0.19
A16                     78.54   81.04   66.35   92.15    0.79    0.49    0.44     0.45    0.45      0.20
A17                     73.26   71.65   52.92   87.80    8.84    6.50    0.43     0.41    0.39      0.20
A18                     67.20   74.53   53.51   89.17  -10.03    8.21    0.35     0.39    0.34      0.19
A19                     64.11   65.62   64.60   84.80    1.91  -10.52    0.50     0.44    0.44      0.22
A20                     11.41   19.28   38.17   51.01  -43.39  -39.14    0.14     0.24    0.39      0.27
