IT8.7/2                                                                                      
ORIGINATOR           "X-Rite, Inc."                                                          
DESCRIPTOR           "IT8.7/2 Reference Data File, 5x7 Ektacolor, ver2"                      
CREATED              "Wednesday, October 12, 2016"                                           
MANUFACTURER         "X-Rite, Inc."                                                          
PROD_DATE            "2016:10"                                                               
SERIAL               "Batch Average Data"                                                    
MATERIAL             "Kodak Ektacolor Product Family"                                        
NUMBER_OF_FIELDS           11                                                                
BEGIN_DATA_FORMAT                                                                            
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT                                                                              
NUMBER_OF_SETS 288                                                                           
#                                                                                            
BEGIN_DATA                                                                                   
#ID                        X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z     SD_dE
A01                      3.10    2.67    2.08   18.66    9.60    1.13    0.08    0.06    0.05      0.34
A02                      3.94    2.61    1.68   18.41   23.95    4.69    0.07    0.04    0.05      0.44
A03                      5.78    3.30    1.53   21.22   35.25   11.21    0.09    0.05    0.04      0.39
A04                      6.19    3.50    1.53   21.95   36.66   12.52    0.09    0.05    0.04      0.40
A05                     12.49   11.07    7.96   39.70   12.90    4.32    0.19    0.16    0.10      0.24
A06                     14.98   11.12    6.93   39.79   28.30    8.62    0.13    0.08    0.10      0.26
A07                     17.23   11.12    6.05   39.78   41.22   12.48    0.15    0.09    0.08      0.26
A08                     18.88   10.07    4.56   37.98   57.69   16.91    0.12    0.08    0.06      0.23
A09                     39.77   39.53   31.50   69.13    5.23    1.71    0.29    0.29    0.26      0.20
A10                     41.28   38.92   30.10   68.70   11.77    3.14    0.27    0.29    0.31      0.21
A11                     43.65   39.18   28.73   68.88   18.06    5.65    0.17    0.21    0.21      0.27
A12                     43.88   37.18   25.85   67.41   25.08    7.99    0.18    0.21    0.23      0.38
A13                     72.40   76.38   65.01   90.03   -2.59   -1.89    0.23    0.22    0.24      0.12
A14                     72.10   73.26   63.63   88.57    3.09   -3.10    0.15    0.21    0.23      0.16
A15                     73.56   76.78   59.01   90.22   -0.99    4.30    0.14    0.16    0.22      0.16
A16                     75.31   78.54   63.96   91.03   -0.86    0.82    0.24    0.27    0.26      0.12
A17                     70.54   72.28   56.73   88.11    1.79    2.98    0.13    0.17    0.19      0.14
A18                     71.12   75.02   59.06   89.40   -2.54    2.84    0.22    0.22    0.20      0.15
A19                     69.52   71.96   63.56   87.95    0.29   -4.10    0.23    0.24    0.25      0.14
A20                     11.04   16.59   25.63   47.74  -31.96  -25.55    0.24    0.28    0.24      0.27
A21                     17.22    8.45   19.05   34.90   62.14  -34.92    0.08    0.04    0.15      0.17
A22                     31.09   30.46    2.71   62.05    6.45   70.50    0.21    0.15    0.07      0.30
B01                      2.88    2.60    1.61   18.36    7.04    5.39    0.09    0.06    0.04      0.37
B02                      3.19    2.59    1.10   18.33   12.54   11.76    0.08    0.06    0.03      0.39
B03                      3.56    2.56    0.63   18.16   19.25   19.42    0.08    0.05    0.01      0.36
B04                      4.19    2.68    0.51   18.72   26.13   22.71    0.10    0.06    0.01      0.34
B05                     12.51   10.96    5.81   39.52   13.83   13.12    0.19    0.15    0.09      0.24
B06                     14.57   10.97    3.70   39.53   26.93   24.67    0.18    0.12    0.04      0.28
B07                     16.57   10.82    2.25   39.28   39.75   35.14    0.18    0.13    0.05      0.36
B08                     18.01    9.82    0.81   37.52   55.16   49.48    0.13    0.09    0.02      0.30
B09                     38.92   38.73   28.97   68.56    5.04    4.70    0.31    0.29    0.18      0.20
B10                     40.71   38.67   25.72   68.51   10.83   10.10    0.24    0.25    0.22      0.22
B11                     42.68   38.90   23.30   68.67   16.08   14.79    0.22    0.25    0.23      0.30
B12                     43.16   37.27   19.27   67.48   22.65   20.78    0.18    0.19    0.21      0.36
B13                     65.35   71.25   63.27   87.61   -7.38   -4.41    0.26    0.23    0.15      0.15
B14                     66.36   64.44   59.85   84.19    9.57   -6.94    0.15    0.21    0.16      0.23
B15                     69.71   72.73   49.05   88.32   -0.88   11.70    0.07    0.06    0.16      0.22
B16                     60.91   63.55   52.39   83.73   -0.86    0.07    0.25    0.24    0.15      0.12
B17                     61.96   60.73   45.02   82.23    8.05    5.96    0.20    0.25    0.28      0.20
B18                     60.74   65.96   48.20   84.97   -6.62    6.92    0.25    0.17    0.19      0.21
B19                     58.18   58.93   58.85   81.25    3.33  -11.00    0.28    0.31    0.15      0.25
B20                      7.70   11.27   16.59   40.03  -26.25  -20.55    0.19    0.19    0.18      0.23
B21                     12.33    6.31   12.95   30.19   52.79  -28.24    0.12    0.06    0.12      0.18
B22                     20.93   20.53    2.00   52.43    5.52   60.09    0.22    0.14    0.05      0.36
C01                      3.85    3.87    2.20   23.22    1.77    7.92    0.09    0.06    0.04      0.33
C02                      3.98    3.83    1.52   23.09    4.35   14.58    0.10    0.07    0.04      0.40
C03                      4.29    3.85    0.85   23.16    8.43   23.97    0.10    0.07    0.02      0.38
C04                      4.58    3.95    0.62   23.49   10.79   28.84    0.08    0.06    0.01      0.33
C05                     22.74   21.76   10.28   53.77    8.15   20.41    0.25    0.21    0.12      0.20
C06                     24.79   21.91    5.17   53.93   16.52   41.12    0.20    0.16    0.05      0.23
C07                     26.50   21.69    2.18   53.70   24.67   60.65    0.17    0.14    0.05      0.30
C08                     27.29   21.74    1.61   53.74   27.66   66.46    0.16    0.12    0.04      0.24
C09                     44.66   45.12   31.78   72.97    3.36    7.89    0.28    0.30    0.26      0.19
C10                     45.92   45.00   26.05   72.89    7.31   17.10    0.26    0.30    0.26      0.22
C11                     47.68   45.33   21.33   73.11   11.31   26.24    0.26    0.30    0.21      0.34
C12                     47.36   43.62   15.11   71.97   15.31   38.11    0.19    0.23    0.17      0.40
C13                     58.64   65.92   61.00   84.95  -11.54   -6.77    0.38    0.31    0.14      0.23
C14                     60.24   55.62   55.89   79.39   16.26  -11.16    0.17    0.28    0.12      0.34
C15                     66.20   68.89   40.45   86.45   -0.50   18.95    0.16    0.16    0.38      0.37
C16                     46.33   48.15   39.78   74.92   -0.25   -0.06    0.38    0.37    0.31      0.17
C17                     54.45   51.41   35.49   76.92   12.75    9.26    0.26    0.28    0.29      0.28
C18                     50.38   55.98   37.82   79.60   -9.36   10.65    0.33    0.26    0.30      0.26
C19                     47.84   47.63   53.80   74.59    5.36  -17.22    0.40    0.42    0.17      0.31
