IT8.7/2                                                                                      
ORIGINATOR           "X-Rite, Inc."                                                          
DESCRIPTOR           "IT8.7/2 Reference Data File, 5x7 Ektacolor, ver2"                      
CREATED              "Friday, August 24, 2018"                                               
MANUFACTURER         "X-Rite, Inc."                                                          
PROD_DATE            "2018:08"                                                               
SERIAL               "Batch Average Data"                                                    
MATERIAL             "Kodak Ektacolor Product Family"                                        
NUMBER_OF_FIELDS           11                                                                
BEGIN_DATA_FORMAT                                                                            
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT                                                                              
NUMBER_OF_SETS 288                                                                           
#                                                                                            
BEGIN_DATA                                                                                   
#ID                        X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z     SD_dE
A01                      3.18    2.74    2.12   18.97    9.65    1.32    0.01    0.00    0.01      0.29
A02                      3.98    2.65    1.73   18.59   23.70    4.51    0.01    0.01    0.03      0.39
A03                      5.73    3.29    1.58   21.18   34.80   10.65    0.08    0.05    0.02      0.38
A04                      6.13    3.49    1.58   21.91   36.12   11.85    0.03    0.03    0.02      0.33
A05                     12.53   11.13    7.93   39.79   12.77    4.60    0.10    0.08    0.01      0.32
A06                     14.79   11.07    6.90   39.70   27.55    8.60    0.12    0.12    0.05      0.37
A07                     16.92   11.04    6.03   39.64   40.11   12.35    0.02    0.01    0.00      0.32
A08                     18.98   10.20    4.57   38.19   57.26   17.20    0.05    0.03    0.06      0.32
A09                     39.37   39.00   30.86   68.75    5.63    2.03    0.08    0.09    0.15      0.20
A10                     41.15   38.60   29.50   68.46   12.39    3.69    0.03    0.01    0.06      0.22
A11                     44.03   39.14   28.16   68.85   19.28    6.55    0.13    0.04    0.23      0.33
A12                     45.01   37.62   25.39   67.74   26.92    9.37    0.05    0.13    0.10      0.49
A13                     71.24   75.21   64.05   89.49   -2.70   -1.91    0.01    0.00    0.08      0.16
A14                     71.06   71.85   62.72   87.89    3.81   -3.38    0.02    0.01    0.01      0.17
A15                     73.09   76.25   57.96   89.98   -0.90    4.94    0.13    0.18    0.09      0.21
A16                     74.39   77.58   62.90   90.59   -0.84    1.09    0.04    0.08    0.02      0.14
A17                     70.12   71.58   55.76   87.76    2.38    3.41    0.05    0.04    0.02      0.15
A18                     70.38   74.28   58.06   89.05   -2.62    3.25    0.06    0.08    0.07      0.21
A19                     68.21   70.43   62.63   87.21    0.67   -4.48    0.11    0.06    0.03      0.13
A20                     11.28   16.86   25.77   48.08  -31.65  -25.20    0.01    0.06    0.27      0.29
A21                     17.38    8.61   19.28   35.22   61.66  -34.85    0.01    0.02    0.12      0.36
A22                     30.47   29.87    2.77   61.54    6.33   69.17    0.15    0.11    0.02      0.54
B01                      2.94    2.64    1.66   18.56    7.26    5.24    0.02    0.01    0.02      0.30
B02                      3.24    2.63    1.15   18.51   12.63   11.35    0.02    0.03    0.02      0.30
B03                      3.59    2.58    0.68   18.29   19.17   18.72    0.00    0.01    0.01      0.28
B04                      4.19    2.70    0.56   18.79   25.83   21.93    0.01    0.01    0.00      0.29
B05                     12.53   11.00    5.80   39.59   13.63   13.29    0.03    0.04    0.00      0.37
B06                     14.30   10.85    3.72   39.33   26.19   24.24    0.03    0.04    0.02      0.35
B07                     16.18   10.66    2.29   39.00   38.70   34.33    0.09    0.07    0.03      0.35
B08                     17.97    9.83    0.86   37.53   54.83   48.67    0.00    0.01    0.01      0.33
B09                     38.63   38.33   28.44   68.26    5.41    5.07    0.29    0.31    0.14      0.23
B10                     40.72   38.48   25.27   68.37   11.45   10.67    0.26    0.29    0.09      0.28
B11                     43.13   38.97   22.90   68.73   17.19   15.64    0.25    0.29    0.03      0.29
B12                     44.35   37.82   19.12   67.89   24.39   21.80    0.07    0.15    0.06      0.38
B13                     63.92   69.94   62.40   86.97   -7.85   -4.67    0.24    0.23    0.03      0.21
B14                     65.75   63.26   59.39   83.58   10.88   -7.54    0.45    0.52    0.48      0.22
B15                     70.11   72.99   47.99   88.44   -0.56   13.13    0.17    0.23    0.09      0.45
B16                     60.09   62.55   51.57   83.20   -0.51    0.05    0.02    0.13    0.09      0.12
B17                     62.36   60.51   44.22   82.11    9.51    6.72    0.11    0.19    0.02      0.31
B18                     60.22   65.59   47.21   84.79   -7.03    7.75    0.12    0.17    0.11      0.33
B19                     56.99   57.45   58.46   80.43    3.97  -12.02    0.19    0.27    0.17      0.22
B20                      7.89   11.48   16.61   40.38  -25.99  -19.98    0.09    0.13    0.10      0.23
B21                     12.30    6.36   13.01   30.30   52.13  -28.21    0.08    0.09    0.02      0.52
B22                     20.46   20.09    2.06   51.93    5.40   58.65    0.09    0.11    0.01      0.57
C01                      3.92    3.92    2.24   23.39    2.15    7.86    0.01    0.01    0.00      0.26
C02                      4.05    3.87    1.57   23.24    4.67   14.27    0.00    0.00    0.02      0.21
C03                      4.34    3.87    0.91   23.24    8.66   23.17    0.00    0.00    0.01      0.24
C04                      4.58    3.93    0.67   23.45   11.00   27.73    0.04    0.03    0.01      0.29
C05                     22.61   21.68   10.19   53.69    7.94   20.55    0.12    0.14    0.03      0.32
C06                     24.41   21.63    5.15   53.63   16.18   40.72    0.03    0.05    0.03      0.36
C07                     25.97   21.29    2.23   53.26   24.34   59.41    0.07    0.07    0.01      0.38
C08                     26.73   21.30    1.67   53.28   27.43   64.97    0.02    0.04    0.02      0.26
C09                     44.44   44.71   31.11   72.70    3.89    8.45    0.07    0.12    0.01      0.21
