IT8.7/2                                                                                      
ORIGINATOR           "X-Rite, Inc."                                                          
DESCRIPTOR           "IT8.7/2 Reference Data File, 5x7 Ektacolor, ver2"                      
CREATED              "Tuesday, January 15, 2019"                                             
MANUFACTURER         "X-Rite, Inc."                                                          
PROD_DATE            "2019:01"                                                               
SERIAL               "Batch Average Data"                                                    
MATERIAL             "Kodak Ektacolor Product Family"                                        
NUMBER_OF_FIELDS           11                                                                
BEGIN_DATA_FORMAT                                                                            
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT                                                                              
NUMBER_OF_SETS 288                                                                           
#                                                                                            
BEGIN_DATA                                                                                   
#ID                        X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z     SD_dE
A01                      3.14    2.70    2.08   18.80    9.66    1.38    0.11    0.09    0.10      0.26
A02                      3.94    2.62    1.69   18.46   23.72    4.67    0.14    0.09    0.08      0.37
A03                      5.68    3.27    1.56   21.09   34.64   10.71    0.18    0.10    0.07      0.35
A04                      6.10    3.48    1.55   21.87   36.00   12.09    0.16    0.08    0.07      0.32
A05                     12.50   11.08    7.94   39.71   12.92    4.40    0.34    0.29    0.25      0.29
A06                     14.86   11.12    6.93   39.78   27.62    8.59    0.42    0.35    0.23      0.25
A07                     17.05   11.09    6.05   39.72   40.43   12.36    0.35    0.25    0.21      0.24
A08                     19.50   10.45    4.59   38.63   58.03   17.84    0.23    0.15    0.17      0.26
A09                     39.74   39.32   31.23   68.98    5.80    1.86    0.73    0.72    0.57      0.22
A10                     41.58   38.92   29.86   68.69   12.68    3.52    0.65    0.67    0.59      0.23
A11                     44.70   39.64   28.62   69.21   19.67    6.41    0.53    0.56    0.53      0.24
A12                     46.01   38.30   25.83   68.24   27.63    9.45    0.41    0.47    0.46      0.29
A13                     71.85   75.96   65.00   89.84   -2.91   -2.21    0.36    0.32    0.36      0.44
A14                     72.19   73.01   63.95   88.45    3.79   -3.61    0.35    0.36    0.43      0.17
A15                     74.08   77.36   58.39   90.49   -1.05    5.38    0.37    0.40    0.26      0.15
A16                     75.50   78.81   63.84   91.15   -1.00    1.14    0.38    0.38    0.32      0.10
A17                     71.05   72.52   56.24   88.22    2.39    3.69    0.39    0.45    0.35      0.12
A18                     71.25   75.31   58.59   89.54   -2.86    3.54    0.40    0.39    0.31      0.13
A19                     69.08   71.36   63.83   87.66    0.59   -4.86    0.48    0.47    0.40      0.18
A20                     11.23   16.69   25.72   47.86  -31.09  -25.48    0.23    0.31    0.50      0.20
A21                     17.53    8.68   19.27   35.36   61.90  -34.61    0.24    0.14    0.26      0.18
A22                     30.39   29.64    2.75   61.34    6.90   69.03    0.56    0.54    0.10      0.33
B01                      2.92    2.62    1.63   18.47    7.36    5.38    0.11    0.10    0.09      0.31
B02                      3.22    2.62    1.12   18.43   12.67   11.59    0.12    0.10    0.05      0.33
B03                      3.55    2.54    0.65   18.11   19.20   18.88    0.13    0.09    0.03      0.29
B04                      4.15    2.67    0.53   18.69   25.75   22.14    0.15    0.09    0.02      0.31
B05                     12.50   10.97    5.87   39.53   13.69   12.89    0.34    0.29    0.21      0.29
B06                     14.33   10.85    3.72   39.33   26.35   24.20    0.35    0.27    0.15      0.32
B07                     16.23   10.67    2.27   39.01   38.96   34.49    0.36    0.27    0.11      0.32
B08                     18.44   10.06    0.84   37.94   55.56   49.68    0.22    0.16    0.04      0.14
B09                     39.10   38.74   28.93   68.56    5.58    4.78    0.73    0.73    0.60      0.26
B10                     41.14   38.80   25.61   68.61   11.73   10.48    0.65    0.67    0.57      0.24
B11                     43.77   39.43   23.24   69.06   17.64   15.57    0.61    0.63    0.49      0.30
B12                     45.26   38.38   19.35   68.30   25.24   22.02    0.41    0.48    0.39      0.32
B13                     64.60   70.81   63.43   87.39   -8.14   -4.94    0.52    0.48    0.47      0.18
B14                     66.85   64.29   60.46   84.12   11.00   -7.68    0.44    0.50    0.45      0.23
B15                     71.25   74.21   48.55   89.02   -0.65   13.50    0.40    0.42    0.46      0.24
B16                     60.83   63.39   52.06   83.64   -0.66    0.28    0.59    0.59    0.39      0.18
B17                     63.47   61.52   44.74   82.66    9.70    7.02    0.44    0.55    0.57      0.22
B18                     60.92   66.43   47.67   85.22   -7.25    7.95    0.58    0.54    0.48      0.18
B19                     57.68   58.14   59.49   80.82    4.00  -12.40    0.62    0.63    0.48      0.27
B20                      7.83   11.31   16.54   40.10  -25.30  -20.32    0.18    0.25    0.34      0.36
B21                     12.37    6.39   12.97   30.38   52.26  -27.96    0.23    0.13    0.26      0.26
B22                     20.29   19.80    2.03   51.61    5.98   58.44    0.42    0.41    0.08      0.29
C01                      3.91    3.89    2.24   23.30    2.36    7.66    0.12    0.11    0.10      0.34
C02                      4.02    3.83    1.54   23.10    4.87   14.40    0.13    0.12    0.07      0.36
C03                      4.28    3.81    0.88   23.03    8.75   23.19    0.16    0.14    0.04      0.35
C04                      4.52    3.88    0.65   23.27   11.06   27.78    0.16    0.13    0.02      0.30
C05                     22.66   21.63   10.29   53.63    8.43   20.13    0.46    0.44    0.32      0.28
C06                     24.42   21.56    5.22   53.56   16.51   40.28    0.50    0.45    0.19      0.30
C07                     25.97   21.18    2.20   53.14   24.88   59.43    0.50    0.44    0.10      0.25
C08                     26.75   21.19    1.64   53.15   28.05   65.09    0.44    0.39    0.07      0.23
C09                     45.01   45.24   31.65   73.05    4.03    8.23    0.68    0.71    0.49      0.17
C10                     46.78   45.45   25.94   73.19    8.45   17.79    0.60    0.62    0.52      0.25
C11                     49.30   46.19   21.33   73.67   13.31   27.21    0.46    0.50    0.37      0.19
C12                     49.61   44.75   15.16   72.72   18.21   39.28    0.42    0.50    0.37      0.31
C13                     57.91   65.51   61.16   84.74  -12.37   -7.30    0.66    0.60    0.41      0.20
C14                     61.15   55.73   56.92   79.46   18.13  -12.12    0.42    0.48    0.41      0.26
C15                     68.72   71.18   40.04   87.57    0.19   21.42    0.38    0.43    0.53      0.28
C16                     46.30   48.01   39.59   74.83    0.04    0.04    0.77    0.76    0.58      0.19
C17                     56.31   52.33   35.26   77.47   15.01   10.53    0.48    0.58    0.55      0.24
C18                     50.73   56.58   37.48   79.94   -9.90   11.69    0.67    0.66    0.52      0.22
C19                     47.52   47.02   54.78   74.20    6.16  -18.94    0.69    0.69    0.45      0.33
C20                      4.88    6.98   10.07   31.75  -20.93  -16.88    0.11    0.16    0.26      0.28
C21                      8.03    4.37    8.45   24.86   42.20  -23.11    0.21    0.13    0.21      0.32
C22                     12.44   12.27    1.46   41.63    4.26   47.27    0.31    0.31    0.05      0.33
D01                      3.46    3.77    2.18   22.89   -2.69    7.51    0.13    0.14    0.11      0.37
D02                      3.50    3.77    1.53   22.90   -2.10   14.17    0.12    0.12    0.07      0.31
D03                      3.52    3.80    0.94   22.99   -2.26   22.27    0.13    0.13    0.04      0.36
D04                      3.68    3.94    0.73   23.46   -1.75   26.63    0.14    0.13    0.03      0.36
D05                     25.18   25.90   13.24   57.94    0.88   18.82    0.52    0.53    0.37      0.27
D06                     24.90   25.72    7.14   57.77    0.40   38.74    0.51    0.52    0.25      0.29
D07                     24.72   25.91    3.48   57.95   -1.13   57.88    0.49    0.50    0.13      0.27
D08                     24.89   26.07    2.23   58.10   -1.04   67.75    0.49    0.49    0.08      0.24
D09                     51.62   53.65   36.41   78.26   -0.28   10.27    0.66    0.65    0.46      0.20
D10                     51.85   53.75   29.16   78.32    0.06   21.24    0.66    0.69    0.58      0.33
D11                     52.53   54.59   24.21   78.80   -0.28   30.57    0.58    0.58    0.44      0.33
D12                     53.38   56.96   13.81   80.16   -3.91   55.58    0.54    0.53    0.31      0.31
D13                     51.41   59.79   59.09   81.72  -15.76  -10.43    0.65    0.62    0.44      0.22
D14                     56.53   49.24   53.54   75.60   23.66  -15.21    0.41    0.50    0.43      0.28
D15                     66.45   68.70   33.59   86.35    0.47   28.26    0.42    0.48    0.54      0.35
D16                     35.48   36.59   30.62   66.97    0.68   -0.65    0.68    0.66    0.57      0.25
D17                     50.55   45.04   27.12   72.92   19.92   15.29    0.52    0.62    0.53      0.27
D18                     42.92   48.58   29.71   75.19  -11.28   14.95    0.71    0.71    0.60      0.24
D19                     39.74   38.52   49.96   68.40    8.27  -23.66    0.69    0.68    0.46      0.36
D20                      2.60    3.83    5.37   23.10  -18.55  -13.02    0.07    0.10    0.16      0.30
D21                      4.76    2.78    4.98   19.16   31.85  -17.81    0.16    0.09    0.14      0.30
D22                      7.18    7.16    1.11   32.18    2.71   35.47    0.20    0.19    0.05      0.32
E01                      3.24    3.81    2.27   23.05   -6.98    6.92    0.11    0.13    0.10      0.37
E02                      2.94    3.74    1.58   22.79  -11.05   13.36    0.09    0.11    0.07      0.37
E03                      2.73    3.70    0.93   22.63  -14.09   21.70    0.09    0.11    0.04      0.33
E04                      2.66    3.88    0.77   23.26  -18.18   25.51    0.08    0.11    0.02      0.33
E05                     11.72   13.35    7.33   43.29   -7.87   13.00    0.29    0.31    0.21      0.35
E06                     10.48   13.13    4.37   42.95  -15.49   26.57    0.29    0.32    0.15      0.33
E07                      9.26   12.82    2.50   42.49  -23.18   38.51    0.26    0.30    0.11      0.35
E08                      8.58   12.83    1.38   42.51  -29.01   49.77    0.21    0.28    0.04      0.28
E09                     36.36   38.74   27.22   68.56   -3.27    7.62    0.71    0.72    0.54      0.25
E10                     35.09   38.75   23.01   68.57   -7.55   15.16    0.66    0.66    0.52      0.24
E11                     34.15   39.27   19.46   68.95  -12.38   22.91    0.59    0.61    0.40      0.26
E12                     33.14   41.18   14.19   70.30  -21.74   37.59    0.49    0.48    0.31      0.28
E13                     46.30   54.90   56.96   78.98  -17.86  -12.99    0.44    0.43    0.37      0.14
E14                     52.16   43.23   50.47   71.71   29.33  -18.53    0.40    0.48    0.31      0.35
E15                     63.81   65.45   27.02   84.72    1.61   35.80    0.42    0.49    0.46      0.36
E16                     26.18   26.98   22.59   58.95    0.68   -0.62    0.51    0.53    0.44      0.30
E17                     45.20   38.31   20.84   68.25   25.25   18.86    0.49    0.57    0.53      0.31
E18                     35.90   41.42   22.91   70.47  -13.01   18.62    0.68    0.69    0.51      0.26
E19                     32.66   30.95   45.19   62.46   10.36  -28.35    0.55    0.57    0.40      0.35
E20                      1.61    2.24    3.04   16.72  -13.15  -10.13    0.05    0.07    0.12      0.31
E21                      2.53    1.67    2.68   13.63   20.83  -12.73    0.09    0.05    0.10      0.36
E22                      3.46    3.54    0.77   22.07    0.72   23.47    0.11    0.11    0.03      0.32
F01                      3.07    3.83    3.08   23.10  -10.11    0.62    0.10    0.12    0.14      0.40
F02                      2.70    3.69    2.79   22.61  -14.70    1.93    0.10    0.13    0.13      0.38
F03                      2.43    3.72    2.58   22.71  -20.23    3.78    0.08    0.13    0.13      0.36
F04                      2.08    3.54    2.25   22.10  -24.97    5.46    0.07    0.10    0.11      0.31
F05                     11.03   13.46   10.04   43.44  -13.52    3.39    0.27    0.32    0.33      0.42
F06                      9.24   13.30    8.94   43.21  -26.44    6.76    0.25    0.31    0.28      0.33
F07                      7.39   12.63    7.42   42.19  -38.48   10.75    0.19    0.28    0.23      0.31
F08                      7.49   13.46    7.24   43.45  -42.94   13.64    0.19    0.28    0.26      0.33
F09                     36.44   39.28   31.24   68.95   -4.66    1.79    0.67    0.67    0.58      0.22
F10                     34.97   39.30   30.08   68.97   -9.68    3.64    0.62    0.67    0.59      0.25
F11                     33.80   39.85   29.27   69.36  -15.39    5.62    0.59    0.62    0.62      0.26
F12                     32.41   42.20   27.77   71.00  -27.38   10.90    0.50    0.50    0.52      0.23
F13                     41.23   50.13   54.11   76.15  -20.51  -14.87    0.47    0.46    0.36      0.23
F14                     48.33   37.92   47.23   67.96   35.28  -21.28    0.41    0.49    0.37      0.35
F15                     62.11   63.36   22.10   83.63    2.37   42.87    0.36    0.40    0.38      0.34
F16                     18.90   19.47   16.42   51.24    0.63   -0.83    0.42    0.44    0.39      0.30
F17                     39.83   31.92   15.56   63.28   30.66   22.00    0.41    0.47    0.36      0.31
F18                     30.12   35.93   17.83   66.47  -16.21   22.18    0.50    0.53    0.40      0.27
F19                     26.42   24.34   41.80   56.43   12.55  -34.54    0.48    0.51    0.42      0.39
F20                      0.79    1.05    1.44    9.40   -8.69   -8.13    0.03    0.04    0.08      0.28
F21                      1.22    0.98    1.31    8.80    9.75   -7.46    0.06    0.05    0.07      0.33
F22                      1.56    1.63    0.60   13.39   -0.13   11.81    0.10    0.10    0.05      0.38
G01                      3.00    3.82    3.69   23.08  -11.24   -3.62    0.09    0.11    0.15      0.31
G02                      2.59    3.61    3.73   22.35  -15.53   -5.14    0.09    0.12    0.16      0.32
G03                      2.27    3.46    3.65   21.80  -19.55   -5.57    0.08    0.12    0.16      0.35
G04                      2.21    3.51    3.76   22.00  -21.84   -5.93    0.07    0.10    0.17      0.34
G05                     11.17   13.56   12.58   43.60  -13.15   -4.09    0.28    0.33    0.42      0.40
G06                     10.25   13.71   13.28   43.82  -20.94   -5.64    0.28    0.36    0.49      0.42
G07                      8.83   13.06   13.60   42.85  -28.28   -8.17    0.23    0.29    0.41      0.32
G08                      8.15   12.97   14.08   42.72  -33.68   -9.68    0.18    0.26    0.38      0.25
G09                     36.51   39.28   33.49   68.95   -4.45   -1.60    0.71    0.69    0.58      0.26
G10                     34.75   39.56   34.29   69.16  -11.24   -2.41    0.64    0.66    0.56      0.22
G11                     33.48   40.11   35.71   69.55  -17.32   -3.77    0.59    0.60    0.54      0.21
G12                     31.31   42.09   38.64   70.93  -31.04   -5.41    0.50    0.51    0.49      0.22
G13                     35.55   44.79   51.52   72.76  -24.05  -17.91    0.49    0.52    0.39      0.17
G14                     43.06   31.73   42.28   63.12   41.16  -23.62    0.36    0.39    0.33      0.28
G15                     59.41   59.88   17.35   81.77    4.04   49.65    0.35    0.39    0.35      0.36
G16                     12.97   13.38   11.30   43.32    0.48   -0.80    0.34    0.32    0.33      0.31
G17                     34.73   26.28   10.88   58.30   35.51   26.31    0.36    0.38    0.28      0.27
G18                     24.07   29.69   12.95   61.39  -18.76   25.55    0.44    0.48    0.33      0.25
G19                     20.84   18.72   37.04   50.35   14.04  -38.72    0.41    0.46    0.48      0.44
G20                     11.99    6.22    0.65   29.96   51.44   39.32    0.20    0.11    0.03      0.24
G21                      4.50    7.41    1.03   32.72  -29.94   37.55    0.12    0.19    0.02      0.36
G22                      2.77    1.69   13.23   13.75   24.86  -57.35    0.06    0.05    0.28      0.29
H01                      3.23    3.82    4.57   23.07   -7.27   -8.87    0.11    0.12    0.16      0.34
H02                      2.96    3.68    5.14   22.60   -9.83  -12.74    0.10    0.12    0.18      0.32
H03                      2.83    3.68    5.85   22.58  -12.14  -16.24    0.09    0.11    0.21      0.34
H04                      2.74    3.70    6.52   22.66  -14.02  -19.15    0.08    0.11    0.22      0.39
H05                     12.04   13.65   15.04   43.72   -7.51  -10.41    0.31    0.35    0.42      0.37
H06                     10.85   13.62   19.35   43.68  -15.84  -20.44    0.30    0.36    0.52      0.39
H07                      9.78   13.07   24.26   42.87  -20.54  -31.48    0.24    0.32    0.47      0.36
H08                     10.04   13.52   26.10   43.53  -21.38  -33.62    0.20    0.27    0.45      0.27
H09                     36.77   39.14   35.86   68.85   -3.17   -5.18    0.70    0.71    0.54      0.26
H10                     36.40   39.95   40.19   69.43   -6.87  -10.05    0.60    0.66    0.50      0.22
H11                     35.69   40.86   45.60   70.08  -12.02  -15.71    0.51    0.56    0.42      0.20
H12                     33.35   40.57   56.65   69.87  -19.18  -28.37    0.49    0.50    0.50      0.28
H13                     30.45   39.76   48.50   69.29  -27.15  -20.47    0.48    0.51    0.47      0.21
H14                     39.13   26.80   39.97   58.79   47.80  -28.11    0.35    0.33    0.29      0.21
H15                     56.88   57.02   13.32   80.19    4.73   56.97    0.41    0.44    0.27      0.27
H16                      8.03    8.43    7.34   34.85   -0.90   -1.58    0.25    0.23    0.22      0.33
H17                     30.27   21.50    7.49   53.49   40.28   29.93    0.33    0.32    0.22      0.30
H18                     19.25   24.70    9.17   56.78  -21.47   29.33    0.47    0.52    0.30      0.19
H19                     15.86   13.60   33.21   43.65   16.81  -44.80    0.33    0.34    0.42      0.35
H20                      8.70    4.69    0.56   25.83   43.98   33.89    0.18    0.10    0.02      0.25
H21                      3.32    5.30    0.90   27.58  -25.15   30.84    0.10    0.14    0.02      0.37
H22                      2.03    1.31    9.11   11.35   20.15  -48.78    0.03    0.03    0.18      0.43
I01                      3.74    3.89    5.80   23.30   -0.20  -14.76    0.13    0.14    0.20      0.31
I02                      3.81    3.89    8.54   23.29    0.98  -26.14    0.11    0.12    0.28      0.31
I03                      3.94    3.85   12.05   23.16    3.45  -37.79    0.12    0.14    0.33      0.26
I04                      3.93    3.75   13.14   22.83    4.65  -41.44    0.10    0.12    0.37      0.30
I05                     13.39   13.74   14.80   43.85    0.94   -9.60    0.36    0.37    0.40      0.33
I06                     13.58   13.89   19.17   44.08    1.18  -19.36    0.36    0.36    0.44      0.32
I07                     13.79   13.96   24.32   44.18    2.06  -29.33    0.37    0.39    0.48      0.33
I08                     14.13   13.56   39.34   43.60    6.71  -53.47    0.28    0.32    0.39      0.56
I09                     38.28   39.45   35.70   69.07    0.77   -4.58    0.64    0.65    0.53      0.23
I10                     38.99   39.97   39.70   69.45    1.43   -9.39    0.64    0.67    0.51      0.26
I11                     39.55   40.46   44.18   69.79    1.69  -14.47    0.60    0.61    0.43      0.26
I12                     39.28   39.50   54.61   69.11    3.79  -27.53    0.61    0.62    0.47      0.42
I13                     24.73   33.90   44.99   64.88  -30.95  -23.93    0.44    0.49    0.41      0.22
I14                     34.76   22.02   35.72   54.04   53.94  -30.53    0.36    0.34    0.33      0.21
I15                     54.00   53.48    9.77   78.16    6.28   64.14    0.39    0.40    0.24      0.36
I16                      4.80    5.06    4.43   26.89   -0.94   -1.47    0.16    0.16    0.18      0.32
I17                     25.83   17.00    4.60   48.26   45.37   34.40    0.31    0.27    0.18      0.25
I18                     14.82   20.02    6.07   51.86  -24.69   33.18    0.41    0.48    0.21      0.28
I19                     11.31    9.11   28.74   36.19   19.78  -50.73    0.29    0.27    0.42      0.36
I20                      5.80    3.31    0.53   21.25   35.32   26.64    0.16    0.09    0.01      0.26
I21                      2.37    3.68    0.78   22.58  -21.05   24.29    0.09    0.11    0.02      0.33
I22                      1.56    1.09    6.10    9.72   15.57  -39.59    0.03    0.03    0.13      0.30
J01                      1.79    1.59    3.02   13.18    6.49  -16.07    0.05    0.05    0.12      0.31
J02                      2.13    1.61    4.94   13.31   13.94  -27.70    0.07    0.05    0.15      0.37
J03                      2.61    1.68    8.21   13.74   21.93  -41.39    0.06    0.04    0.19      0.34
J04                      3.73    1.89   16.93   14.92   35.91  -64.65    0.04    0.04    0.18      0.29
J05                     10.85   10.58   12.10   38.87    4.90  -10.86    0.30    0.27    0.32      0.31
J06                     11.86   10.87   15.83   39.36   10.03  -19.87    0.34    0.31    0.42      0.29
J07                     12.76   10.89   20.23   39.39   16.05  -29.66    0.36    0.31    0.38      0.30
J08                     15.21   11.12   35.11   39.78   29.73  -54.24    0.33    0.29    0.31      0.41
J09                     38.98   39.44   35.64   69.07    3.05   -4.50    0.69    0.69    0.58      0.27
J10                     40.05   39.80   39.43   69.33    5.27   -9.24    0.67    0.67    0.52      0.26
J11                     41.37   40.13   44.07   69.56    8.33  -14.74    0.61    0.63    0.47      0.30
J12                     42.42   39.63   52.43   69.20   13.01  -25.03    0.65    0.67    0.37      0.38
J13                     20.30   29.05   41.66   60.83  -33.71  -26.79    0.33    0.37    0.44      0.20
J14                     30.85   17.79   33.56   49.24   60.76  -35.68    0.30    0.27    0.25      0.29
J15                     49.75   49.22    6.80   75.59    6.24   70.88    0.51    0.53    0.23      0.35
J16                      2.59    2.76    2.58   19.06   -1.34   -2.50    0.08    0.09    0.12      0.30
J17                     21.48   13.15    2.78   42.99   48.82   37.12    0.28    0.22    0.12      0.24
J18                     10.77   15.68    3.86   46.55  -28.88   35.78    0.33    0.40    0.16      0.33
J19                      8.18    6.06   25.70   29.55   23.30  -57.02    0.22    0.20    0.36      0.36
J20                      3.55    2.19    0.51   16.45   26.45   18.74    0.14    0.08    0.01      0.38
J21                      1.74    2.61    0.69   18.42  -17.34   18.77    0.06    0.07    0.02      0.30
J22                      1.10    0.85    3.69    7.69   10.58  -30.14    0.03    0.03    0.11      0.37
K01                      4.77    4.09    5.10   23.97   11.27  -10.14    0.18    0.14    0.17      0.31
K02                      6.20    4.22    7.34   24.37   26.35  -19.68    0.19    0.13    0.23      0.29
K03                      7.68    4.31    9.93   24.68   39.75  -28.59    0.22    0.14    0.23      0.35
K04                      9.22    4.71   12.98   25.90   48.06  -35.71    0.23    0.13    0.22      0.34
K05                     15.37   14.00   14.52   44.23   11.51   -8.23    0.38    0.32    0.34      0.32
K06                     17.67   14.33   17.76   44.70   22.34  -15.18    0.42    0.35    0.43      0.34
K07                     19.67   14.40   21.32   44.79   32.31  -22.55    0.47    0.37    0.41      0.28
K08                     24.56   14.03   33.23   44.28   57.11  -43.76    0.42    0.33    0.37      0.34
K09                     39.60   38.91   34.83   68.68    6.64   -4.01    0.65    0.65    0.48      0.27
K10                     41.95   39.36   38.76   69.01   12.45   -8.90    0.67    0.69    0.52      0.31
K11                     44.84   40.17   42.72   69.59   18.46  -13.02    0.59    0.63    0.47      0.31
K12                     50.17   40.41   51.33   69.76   32.51  -22.86    0.38    0.49    0.34      0.49
K13                     16.31   24.60   37.94   56.69  -36.77  -29.03    0.27    0.35    0.46      0.19
K14                     26.74   13.92   30.04   44.12   66.89  -39.14    0.29    0.23    0.25      0.19
K15                     49.40   48.66    5.06   75.24    6.80   78.46    0.46    0.47    0.16      0.32
K16                      1.05    1.12    1.18    9.99   -1.25   -3.75    0.03    0.04    0.05      0.24
K17                     18.67   10.23    1.47   38.25   55.40   41.34    0.19    0.13    0.07      0.25
K18                      7.60   12.01    2.18   41.23  -32.25   39.12    0.21    0.27    0.09      0.33
K19                      5.72    3.72   22.72   22.71   28.14  -63.36    0.10    0.10    0.26      0.33
K20                      2.00    1.38    0.49   11.81   17.49   11.14    0.08    0.05    0.01      0.37
K21                      1.12    1.64    0.60   13.47  -13.80   11.92    0.04    0.06    0.02      0.34
K22                      0.74    0.67    2.15    6.01    4.09  -21.37    0.02    0.02    0.08      0.36
L01                      3.18    2.65    2.67   18.59   11.29   -4.11    0.12    0.09    0.11      0.30
L02                      4.13    2.67    2.90   18.65   25.52   -5.72    0.15    0.10    0.11      0.41
