IT8.7/2                                                                                      
ORIGINATOR           "X-Rite, Inc."                                                          
DESCRIPTOR           "IT8.7/2 Reference Data File, 5x7 Ektacolor, ver2"                      
CREATED              "Wednesday, March 13, 2019"                                             
MANUFACTURER         "X-Rite, Inc."                                                          
PROD_DATE            "2019:03"                                                               
SERIAL               "Batch Average Data"                                                    
MATERIAL             "Kodak Ektacolor Product Family"                                        
NUMBER_OF_FIELDS           11                                                                
BEGIN_DATA_FORMAT                                                                            
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT                                                                              
NUMBER_OF_SETS 288                                                                           
#                                                                                            
BEGIN_DATA                                                                                   
#ID                        X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z     SD_dE
A01                      3.14    2.70    2.14   18.81    9.68    0.87    0.11    0.08    0.11      0.39
A02                      3.91    2.60    1.74   18.38   23.60    4.03    0.10    0.05    0.09      0.38
A03                      5.59    3.21    1.60   20.86   34.62    9.86    0.17    0.09    0.09      0.35
A04                      5.97    3.40    1.60   21.56   35.95   11.09    0.14    0.07    0.08      0.40
A05                     12.59   11.24    8.21   39.98   12.40    3.85    0.30    0.25    0.14      0.30
A06                     14.78   11.15    7.16   39.83   26.97    7.71    0.28    0.24    0.09      0.22
A07                     16.83   11.07    6.26   39.70   39.33   11.37    0.27    0.19    0.08      0.30
A08                     18.71   10.08    4.69   37.99   56.72   16.17    0.07    0.07    0.09      0.43
A09                     40.05   39.67   31.75   69.23    5.69    1.49    0.65    0.61    0.43      0.26
A10                     41.75   39.18   30.36   68.88   12.39    3.05    0.68    0.72    0.46      0.26
A11                     44.65   39.77   29.07   69.30   19.14    5.83    0.43    0.50    0.31      0.27
A12                     45.63   38.23   26.11   68.19   26.76    8.86    0.41    0.49    0.35      0.29
A13                     71.88   75.93   64.53   89.83   -2.79   -1.79    0.33    0.35    0.32      0.19
A14                     72.09   72.95   63.38   88.42    3.71   -3.11    0.32    0.39    0.31      0.20
A15                     74.11   77.28   58.49   90.45   -0.83    5.22    0.18    0.21    0.17      0.18
A16                     75.34   78.54   63.32   91.03   -0.79    1.44    0.17    0.21    0.23      0.16
A17                     71.17   72.65   56.37   88.28    2.38    3.65    0.29    0.32    0.19      0.13
A18                     71.24   75.21   58.59   89.49   -2.69    3.46    0.14    0.15    0.15      0.14
A19                     69.06   71.36   63.27   87.66    0.55   -4.31    0.28    0.27    0.19      0.20
A20                     11.45   16.92   26.06   48.15  -30.79  -25.59    0.31    0.40    0.40      0.39
A21                     17.05    8.46   19.07   34.92   61.11  -34.92    0.16    0.07    0.17      0.26
A22                     30.00   29.31    2.81   61.06    6.67   68.05    0.61    0.60    0.16      0.38
B01                      2.93    2.63    1.67   18.49    7.29    5.01    0.14    0.12    0.10      0.41
B02                      3.20    2.60    1.14   18.35   12.56   11.25    0.08    0.06    0.06      0.42
B03                      3.50    2.52    0.65   18.00   18.94   18.70    0.12    0.09    0.04      0.33
B04                      4.06    2.62    0.53   18.44   25.48   21.87    0.14    0.09    0.03      0.32
B05                     12.51   11.04    6.06   39.65   13.26   12.20    0.34    0.29    0.11      0.28
B06                     14.18   10.82    3.85   39.28   25.63   23.31    0.29    0.24    0.17      0.25
B07                     15.91   10.55    2.35   38.81   37.95   33.46    0.29    0.23    0.13      0.31
B08                     17.56    9.64    0.84   37.18   54.17   48.42    0.14    0.10    0.05      0.34
B09                     39.31   38.99   29.38   68.75    5.47    4.38    0.66    0.62    0.43      0.26
B10                     41.26   39.00   26.05   68.75   11.47    9.95    0.57    0.60    0.51      0.23
B11                     43.60   39.40   23.64   69.04   17.23   14.78    0.49    0.57    0.40      0.31
B12                     44.80   38.19   19.76   68.16   24.50   20.92    0.40    0.50    0.36      0.30
B13                     64.68   70.81   62.98   87.39   -7.98   -4.50    0.29    0.25    0.18      0.21
B14                     66.75   64.30   60.00   84.12   10.74   -7.21    0.29    0.42    0.36      0.25
B15                     71.42   74.30   48.99   89.06   -0.47   13.06    0.19    0.23    0.27      0.21
B16                     61.04   63.59   52.36   83.75   -0.64    0.13    0.36    0.39    0.34      0.14
B17                     63.60   61.73   45.24   82.77    9.51    6.61    0.42    0.52    0.41      0.18
B18                     61.21   66.68   48.22   85.34   -7.11    7.52    0.37    0.31    0.28      0.13
B19                     57.86   58.42   59.10   80.97    3.76  -11.74    0.47    0.47    0.20      0.24
B20                      7.94   11.40   16.78   40.24  -24.95  -20.63    0.25    0.30    0.31      0.35
B21                     12.08    6.26   12.90   30.05   51.71  -28.35    0.21    0.10    0.22      0.28
B22                     19.94   19.47    2.05   51.23    5.87   57.58    0.39    0.39    0.12      0.33
C01                      3.90    3.89    2.27   23.31    2.22    7.42    0.16    0.14    0.11      0.42
C02                      4.01    3.83    1.57   23.10    4.73   14.00    0.16    0.15    0.09      0.38
C03                      4.23    3.78    0.88   22.91    8.55   23.00    0.11    0.09    0.05      0.37
C04                      4.44    3.82    0.64   23.06   10.91   27.64    0.15    0.13    0.02      0.36
C05                     22.57   21.60   10.59   53.60    8.16   19.11    0.47    0.44    0.23      0.29
C06                     24.17   21.39    5.38   53.37   16.24   39.11    0.53    0.47    0.20      0.25
C07                     25.41   20.78    2.25   52.71   24.40   58.32    0.47    0.44    0.14      0.31
C08                     26.08   20.71    1.65   52.63   27.54   64.05    0.41    0.40    0.11      0.28
C09                     45.26   45.54   32.17   73.25    3.89    7.77    0.68    0.68    0.47      0.23
C10                     46.86   45.60   26.39   73.28    8.26   17.17    0.68    0.70    0.43      0.23
C11                     49.18   46.18   21.81   73.66   13.03   26.24    0.46    0.50    0.37      0.26
C12                     49.28   44.60   15.57   72.63   17.74   38.10    0.37    0.46    0.29      0.27
C13                     58.09   65.60   60.87   84.79  -12.17   -6.92    0.46    0.40    0.37      0.22
C14                     60.92   55.67   56.47   79.42   17.74  -11.71    0.42    0.55    0.37      0.26
C15                     68.84   71.30   40.61   87.63    0.21   20.78    0.27    0.29    0.48      0.25
C16                     46.62   48.35   40.09   75.04    0.00   -0.24    0.86    0.85    0.54      0.26
C17                     56.32   52.49   35.84   77.57   14.62    9.88    0.50    0.58    0.43      0.21
C18                     51.12   56.98   38.11   80.17   -9.85   11.23    0.58    0.50    0.57      0.21
C19                     47.68   47.26   54.55   74.36    5.92  -18.43    0.61    0.69    0.49      0.28
C20                      4.94    7.03   10.29   31.87  -20.61  -17.36    0.17    0.20    0.20      0.34
C21                      7.93    4.33    8.50   24.72   41.91  -23.52    0.18    0.10    0.12      0.26
C22                     12.24   12.06    1.46   41.30    4.31   46.65    0.34    0.33    0.09      0.38
D01                      3.49    3.79    2.25   22.98   -2.68    7.00    0.14    0.14    0.11      0.36
D02                      3.51    3.77    1.55   22.91   -2.08   13.90    0.13    0.12    0.10      0.38
D03                      3.49    3.77    0.94   22.88   -2.22   22.05    0.13    0.12    0.06      0.40
D04                      3.65    3.89    0.72   23.30   -1.58   26.56    0.14    0.13    0.03      0.34
D05                     25.19   25.94   13.62   57.98    0.77   17.84    0.54    0.55    0.31      0.28
D06                     24.77   25.62    7.42   57.67    0.30   37.42    0.40    0.38    0.15      0.26
D07                     24.47   25.67    3.59   57.72   -1.21   56.80    0.48    0.48    0.20      0.37
D08                     24.54   25.71    2.26   57.76   -1.07   66.86    0.46    0.48    0.13      0.43
D09                     52.00   54.08   37.03   78.51   -0.37    9.83    0.66    0.69    0.68      0.23
D10                     52.18   54.14   29.70   78.54   -0.05   20.76    0.65    0.66    0.39      0.22
D11                     52.74   54.88   24.79   78.97   -0.46   29.81    0.37    0.36    0.24      0.22
D12                     53.53   57.21   14.36   80.29   -4.12   54.37    0.38    0.36    0.22      0.20
D13                     51.75   60.11   58.95   81.90  -15.63   -9.99    0.51    0.43    0.17      0.22
D14                     56.21   49.19   53.17   75.57   23.00  -14.86    0.41    0.52    0.23      0.27
D15                     66.58   68.88   34.22   86.45    0.35   27.49    0.25    0.32    0.32      0.24
D16                     35.66   36.80   31.06   67.12    0.60   -1.08    0.66    0.63    0.47      0.27
D17                     50.34   45.05   27.59   72.93   19.30   14.52    0.36    0.47    0.36      0.26
D18                     43.35   49.08   30.32   75.50  -11.35   14.52    0.66    0.66    0.44      0.23
D19                     39.83   38.75   49.84   68.57    7.85  -23.25    0.57    0.60    0.32      0.26
D20                      2.64    3.88    5.56   23.25  -18.43  -13.70    0.10    0.10    0.14      0.35
D21                      4.72    2.76    5.09   19.04   31.84  -18.58    0.12    0.06    0.10      0.27
D22                      7.07    7.06    1.11   31.94    2.60   35.05    0.20    0.18    0.06      0.37
E01                      3.27    3.85    2.35   23.15   -6.94    6.48    0.14    0.13    0.11      0.39
E02                      2.94    3.73    1.62   22.76  -10.83   12.88    0.14    0.14    0.10      0.44
E03                      2.72    3.66    0.94   22.51  -13.73   21.46    0.11    0.11    0.05      0.42
E04                      2.64    3.82    0.76   23.05  -17.63   25.35    0.11    0.12    0.03      0.34
E05                     11.76   13.37    7.54   43.31   -7.67   12.19    0.33    0.35    0.14      0.32
E06                     10.49   13.08    4.51   42.88  -15.12   25.62    0.29    0.30    0.15      0.28
E07                      9.21   12.69    2.56   42.30  -22.70   37.68    0.23    0.28    0.15      0.43
E08                      8.52   12.65    1.37   42.24  -28.34   49.43    0.18    0.24    0.05      0.36
E09                     36.61   39.00   27.65   68.75   -3.24    7.22    0.72    0.71    0.50      0.22
E10                     35.31   38.98   23.48   68.74   -7.54   14.56    0.62    0.61    0.35      0.24
E11                     34.41   39.57   20.00   69.16  -12.40   22.13    0.49    0.46    0.22      0.24
