IT8.7/2                                                                                      
ORIGINATOR           "X-Rite, Inc."                                                          
DESCRIPTOR           "IT8.7/2 Reference Data File, 5x7 Ektacolor, ver2"                      
CREATED              "Thursday, January 16, 2020"                                            
MANUFACTURER         "X-Rite, Inc."                                                          
PROD_DATE            "2020:01"                                                               
SERIAL               "Batch Average Data"                                                    
MATERIAL             "Kodak Ektacolor Product Family"                                        
NUMBER_OF_FIELDS           11                                                                
BEGIN_DATA_FORMAT                                                                            
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT                                                                              
NUMBER_OF_SETS 288                                                                           
#                                                                                            
BEGIN_DATA                                                                                   
#ID                        X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z     SD_dE
A01                      3.20    2.76    2.13   19.03    9.62    1.33    0.08    0.07    0.07      0.26
A02                      4.02    2.70    1.75   18.78   23.40    4.63    0.10    0.08    0.07      0.28
A03                      5.71    3.31    1.59   21.25   34.37   10.59    0.14    0.10    0.06      0.29
A04                      6.13    3.52    1.60   22.00   35.75   11.83    0.13    0.09    0.06      0.28
A05                     12.59   11.21    8.05   39.93   12.55    4.38    0.20    0.17    0.17      0.27
A06                     14.92   11.21    7.04   39.93   27.36    8.41    0.21    0.16    0.14      0.28
A07                     17.17   11.23    6.16   39.96   40.10   12.28    0.24    0.14    0.13      0.34
A08                     20.14   10.77    4.65   39.18   58.74   18.50    0.87    0.38    0.10      0.81
A09                     39.68   39.26   31.16   68.94    5.78    1.90    0.40    0.41    0.41      0.20
A10                     41.52   38.88   29.85   68.67   12.62    3.47    0.42    0.42    0.42      0.19
A11                     44.69   39.62   28.49   69.20   19.70    6.59    0.50    0.44    0.41      0.20
A12                     46.40   38.49   25.78   68.38   28.09    9.78    0.89    0.64    0.43      0.41
A13                     72.20   76.28   65.83   89.99   -2.81   -2.74    0.33    0.38    0.55      0.20
A14                     72.47   73.11   64.54   88.50    4.17   -4.09    0.37    0.38    0.54      0.16
A15                     74.42   77.58   58.50   90.59   -0.79    5.45    0.38    0.43    0.33      0.15
A16                     75.88   79.08   64.22   91.27   -0.76    1.00    0.46    0.53    0.42      0.15
A17                     71.30   72.64   56.26   88.27    2.68    3.76    0.33    0.35    0.34      0.11
