IT8.7/2                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/2 Reference Data File, 5x7 Fujicolor, ver2.2"
CREATED              "Monday, October 05, 2020"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2020:10"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      2.97    1.98    0.53   14.10   14.17    3.45    0.07     0.05    0.01      0.33
A02                      4.16    2.46    0.46   15.65   22.51    7.96    0.09     0.05    0.01      0.32
A03                      6.07    3.40    0.54   18.87   29.10   10.84    0.10     0.05    0.01      0.28
A04                      8.08    4.39    0.66   21.71   34.33   12.19    0.13     0.07    0.01      0.35
A05                     11.02    8.19    2.69   33.21   14.53    0.81    0.23     0.18    0.06      0.35
A06                     13.46    8.33    2.12   32.04   30.52    4.85    0.22     0.15    0.04      0.30
A07                     17.10    9.11    1.64   32.05   45.96   10.86    0.20     0.11    0.03      0.28
A08                     22.19   11.02    1.53   34.42   56.29   16.32    0.20     0.11    0.04      0.16
A09                     40.22   33.38   11.10   63.65    9.86    2.11    0.33     0.28    0.10      0.22
A10                     42.06   33.00   10.29   62.77   16.49    3.94    0.35     0.28    0.10      0.22
A11                     45.05   33.35    9.64   62.41   23.73    6.06    0.34     0.29    0.10      0.20
A12                     47.35   33.10    8.99   61.58   31.00    7.48    0.28     0.26    0.10      0.13
A13                     80.04   74.38   29.27   89.48   -2.23   -5.64    0.23     0.26    0.16      0.14
A14                     84.45   73.82   28.64   88.53    7.02   -6.13    0.45     0.39    0.18      0.19
A15                     86.97   78.45   26.43   90.82    0.63    3.32    0.36     0.35    0.21      0.16
A16                     76.52   68.84   25.62   86.38    1.89   -2.71    0.31     0.29    0.18      0.15
A17                     83.58   72.95   25.77   87.97    6.11   -0.31    0.27     0.24    0.17      0.11
A18                     79.39   73.80   26.30   89.07   -3.50    0.60    0.41     0.40    0.19      0.20
A19                     76.83   69.25   28.44   86.75    2.83   -8.79    0.32     0.32    0.17      0.17
A20                      5.98   11.35   13.22   45.17  -37.20  -38.26    0.08     0.12    0.14      0.23
A21                     22.70   11.13    7.76   35.48   65.53  -34.59    0.24     0.12    0.09      0.36
A22                     45.03   36.80    1.37   64.94    8.27   78.35    0.50     0.41    0.02      0.35
B01                      2.48    1.76    0.39   13.19    9.79    6.85    0.05     0.03    0.01      0.23
B02                      3.54    2.18    0.32   14.57   18.75   12.08    0.06     0.04    0.01      0.27
B03                      4.82    2.77    0.29   16.59   25.16   16.80    0.08     0.05    0.01      0.27
B04                      6.55    3.60    0.34   19.31   30.76   19.20    0.13     0.07    0.01      0.36
B05                     11.27    8.18    1.95   32.85   15.55    9.28    0.20     0.14    0.04      0.31
B06                     12.77    8.13    0.97   31.56   26.34   23.33    0.18     0.12    0.02      0.31
B07                     17.64    9.48    0.53   32.48   44.56   35.61    0.15     0.08    0.01      0.28
B08                     23.10   11.38    0.32   34.60   56.77   46.82    0.13     0.06    0.01      0.25
B09                     40.35   33.79   10.09   63.95    8.02    7.22    0.35     0.31    0.14      0.23
B10                     43.07   33.72    8.64   63.14   15.74   12.57    0.38     0.32    0.12      0.23
B11                     44.97   33.34    7.13   62.19   22.00   18.85    0.33     0.29    0.12      0.16
B12                     47.12   33.49    6.50   61.81   27.36   21.79    0.37     0.31    0.11      0.18
B13                     70.18   67.92   28.81   86.87   -7.34   -9.15    0.62     0.59    0.28      0.31
B14                     80.68   67.97   27.60   85.36   12.97   -9.60    0.53     0.51    0.26      0.26
B15                     86.06   77.58   22.88   90.24   -0.56   11.30    0.54     0.53    0.25      0.24
B16                     63.90   57.74   21.39   80.61    0.89   -2.05    0.58     0.55    0.25      0.32
B17                     79.09   66.52   21.70   84.33   10.67    3.59    0.46     0.48    0.25      0.23
B18                     69.03   66.89   22.67   86.04  -10.14    4.55    0.60     0.56    0.24      0.29
B19                     64.63   58.60   27.20   81.44    3.23  -15.46    0.58     0.58    0.28      0.32
B20                      4.72    8.81    9.58   40.03  -34.94  -32.27    0.05     0.10    0.09      0.29
B21                     16.34    8.33    5.84   31.11   55.53  -30.74    0.27     0.14    0.09      0.46
B22                     30.73   25.52    1.20   55.84    5.15   64.74    0.45     0.35    0.01      0.70
C01                      3.80    3.05    0.67   19.63    4.28    9.79    0.08     0.07    0.02      0.26
C02                      4.37    3.31    0.48   20.17    7.91   16.54    0.08     0.05    0.01      0.24
C03                      5.37    3.82    0.43   21.60   12.27   20.67    0.09     0.06    0.01      0.32
C04                      7.58    5.26    0.48   25.60   15.75   26.42    0.14     0.10    0.01      0.37
C05                     21.99   17.32    3.42   47.29   10.78   19.17    0.23     0.18    0.04      0.27
