IT8.7/2                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/2 Reference Data File, 5x7 Fujicolor, ver2.2"
CREATED              "Friday, October 16, 2020"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2020:10"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      2.80    1.87    0.51   13.62   13.50    3.12    0.03     0.02    0.01      0.15
A02                      4.00    2.37    0.45   15.26   22.18    7.72    0.06     0.04    0.01      0.23
A03                      5.84    3.27    0.53   18.40   28.84   10.57    0.06     0.04    0.01      0.24
A04                      7.75    4.20    0.62   21.16   33.93   12.33    0.11     0.06    0.01      0.33
A05                     10.67    7.98    2.68   32.84   13.94    0.27    0.15     0.13    0.05      0.21
A06                     13.06    8.10    2.11   31.63   30.03    4.21    0.18     0.12    0.04      0.21
A07                     16.56    8.84    1.62   31.60   45.29   10.33    0.09     0.06    0.03      0.09
A08                     21.51   10.68    1.49   33.88   55.75   15.93    0.22     0.13    0.04      0.19
A09                     38.62   32.34   11.14   62.94    8.83    0.70    0.44     0.43    0.12      0.33
A10                     40.79   32.25   10.33   62.27   15.52    2.84    0.43     0.41    0.10      0.29
A11                     43.92   32.72    9.69   62.00   22.82    5.13    0.51     0.43    0.09      0.31
A12                     46.37   32.53    9.01   61.18   30.42    6.71    0.44     0.34    0.08      0.25
A13                     80.07   74.38   29.15   89.47   -2.24   -5.38    0.23     0.25    0.13      0.13
A14                     84.60   74.02   28.60   88.63    6.82   -5.85    0.58     0.67    0.16      0.29
A15                     87.13   78.57   26.74   90.88    0.78    2.69    0.48     0.46    0.18      0.21
A16                     76.81   69.19   25.94   86.58    1.81   -3.15    0.36     0.51    0.22      0.27
A17                     84.11   73.51   26.12   88.26    5.99   -0.65    0.58     0.66    0.19      0.31
A18                     79.64   74.03   26.60   89.19   -3.38    0.09    0.34     0.34    0.18      0.17
A19                     77.09   69.59   28.39   86.92    2.53   -8.35    0.35     0.50    0.18      0.25
A20                      5.87   11.21   12.98   44.92  -37.48  -37.77    0.08     0.12    0.18      0.31
A21                     21.81   10.70    7.64   34.85   64.78  -35.02    0.29     0.14    0.10      0.42
A22                     43.27   35.53    1.30   64.04    7.54   77.87    0.54     0.46    0.03      0.44
B01                      2.38    1.70    0.37   12.88    9.28    6.99    0.05     0.03    0.01      0.30
B02                      3.35    2.07    0.30   14.05   18.29   12.09    0.07     0.04    0.01      0.31
B03                      4.65    2.66    0.27   16.12   25.14   16.90    0.07     0.04    0.01      0.34
B04                      6.28    3.44    0.32   18.74   30.55   19.18    0.11     0.06    0.00      0.40
B05                     10.93    7.98    1.91   32.50   14.88    9.15    0.21     0.17    0.04      0.37
B06                     12.32    7.86    0.92   31.04   25.80   23.38    0.20     0.13    0.02      0.48
B07                     17.12    9.22    0.52   32.06   43.88   35.24    0.13     0.08    0.01      0.30
B08                     22.45   11.05    0.30   34.11   56.27   46.60    0.21     0.10    0.01      0.39
B09                     38.73   32.72   10.10   63.22    7.01    5.85    0.49     0.47    0.12      0.39
B10                     41.77   32.91    8.57   62.59   14.83   11.93    0.48     0.44    0.12      0.33
B11                     43.74   32.65    7.05   61.71   20.97   18.49    0.56     0.46    0.15      0.33
B12                     46.00   32.85    6.44   61.36   26.56   21.39    0.53     0.41    0.11      0.29
B13                     68.56   66.80   28.59   86.38   -8.16   -9.51    0.61     0.54    0.18      0.25
B14                     79.85   66.88   27.31   84.76   13.84  -10.02    0.65     0.66    0.18      0.27
B15                     85.92   77.41   22.67   90.15   -0.53   11.69    0.72     0.66    0.21      0.31
B16                     62.06   56.16   21.09   79.75    0.80   -2.75    0.65     0.64    0.22      0.36
B17                     78.48   65.58   21.39   83.79   11.62    3.42    0.56     0.60    0.19      0.29
B18                     67.38   65.77   22.42   85.55  -11.10    4.35    0.56     0.47    0.20      0.22
B19                     62.70   56.97   26.87   80.57    3.11  -16.24    0.64     0.65    0.19      0.30
B20                      4.63    8.65    9.47   39.72  -34.66  -32.34    0.07     0.11    0.13      0.34
B21                     15.56    7.93    5.78   30.39   54.91  -31.60    0.23     0.11    0.06      0.36
B22                     29.20   24.41    1.14   54.84    4.34   63.99    0.42     0.34    0.01      0.59
C01                      3.64    2.95    0.65   19.25    3.69    9.67    0.05     0.04    0.02      0.32
C02                      4.15    3.16    0.46   19.70    7.15   16.38    0.08     0.06    0.01      0.43
C03                      5.17    3.69    0.41   21.17   11.95   20.87    0.10     0.07    0.01      0.44
C04                      7.31    5.07    0.44   25.08   15.58   26.66    0.11     0.08    0.01      0.41
C05                     21.42   16.93    3.39   46.85   10.37   18.60    0.30     0.26    0.05      0.40
C06                     25.83   18.57    1.69   47.70   20.02   40.23    0.30     0.25    0.03      0.36
C07                     29.47   19.86    0.77   48.33   28.16   59.30    0.37     0.29    0.01      0.54
C08                     41.41   26.92    0.81   54.80   35.78   70.17    0.39     0.30    0.02      0.33
C09                     45.77   39.66   11.44   68.62    3.81    9.83    0.47     0.45    0.12      0.35
C10                     48.19   39.87    8.56   68.09    8.35   22.15    0.48     0.44    0.13      0.30
C11                     50.52   40.24    6.75   67.81   12.62   31.61    0.60     0.48    0.10      0.35
C12                     53.01   40.76    5.54   67.69   17.05   39.15    0.53     0.47    0.12      0.36
C13                     61.12   62.04   28.71   84.42  -12.77  -13.16    0.48     0.36    0.05      0.10
C14                     77.00   61.96   26.63   81.86   20.14  -13.78    0.36     0.40    0.06      0.10
C15                     86.37   77.67   19.94   90.10   -1.27   19.24    0.26     0.20    0.15      0.13
C16                     52.04   47.20   17.82   74.40    0.28   -2.67    0.52     0.45    0.17      0.28
C17                     74.78   59.99   18.14   80.34   16.71    6.64    0.33     0.35    0.16      0.17
C18                     59.09   60.10   19.49   82.88  -17.10    7.96    0.47     0.34    0.20      0.10
C19                     53.25   48.42   25.84   75.69    4.42  -22.56    0.48     0.41    0.09      0.16
C20                      3.27    5.87    5.81   32.72  -30.96  -24.82    0.10     0.14    0.16      0.36
C21                      9.54    5.15    3.73   24.66   42.16  -25.96    0.30     0.16    0.10      0.71
C22                     16.81   14.42    0.93   43.70    0.85   47.87    0.45     0.35    0.03      0.77
D01                      3.22    2.87    0.63   19.31   -1.74   10.46    0.05     0.04    0.01      0.29
D02                      3.49    3.21    0.50   20.68   -3.91   17.21    0.07     0.07    0.01      0.50
D03                      4.20    3.84    0.51   22.88   -3.83   21.09    0.09     0.09    0.01      0.51
D04                      5.02    4.71    0.55   25.67   -5.64   24.81    0.09     0.09    0.01      0.56
D05                     22.77   20.48    4.65   52.02   -2.37   17.64    0.31     0.29    0.06      0.40
D06                     23.12   20.60    2.33   51.72   -2.82   39.65    0.25     0.26    0.04      0.40
D07                     24.11   21.98    1.19   53.08   -5.23   60.20    0.29     0.29    0.02      0.57
D08                     29.39   27.29    1.17   58.30   -7.27   70.30    0.30     0.29    0.02      0.56
D09                     52.42   47.18   14.07   74.05   -0.71    9.41    0.47     0.44    0.11      0.31
D10                     51.86   46.38   10.11   73.19   -1.75   24.13    0.49     0.44    0.11      0.30
D11                     52.45   46.25    7.78   72.77   -0.78   35.10    0.51     0.47    0.14      0.30
D12                     53.10   46.50    6.50   72.75   -0.31   42.53    0.54     0.49    0.09      0.40
D13                     50.12   54.02   27.94   80.62  -18.59  -18.06    0.28     0.22    0.05      0.07
D14                     71.13   53.80   24.81   76.78   29.27  -18.72    0.43     0.43    0.07      0.10
D15                     85.11   76.15   16.04   89.14   -1.67   29.75    0.39     0.32    0.11      0.23
D16                     38.81   35.20   13.46   66.01    0.11   -2.88    0.39     0.38    0.12      0.30
D17                     67.98   51.25   13.83   74.63   24.16   10.71    0.38     0.42    0.15      0.20
D18                     47.35   51.19   15.54   78.19  -24.88   12.28    0.38     0.29    0.15      0.13
D19                     40.53   36.71   23.59   67.89    7.08  -31.02    0.45     0.42    0.11      0.15
D20                      2.34    3.92    3.70   26.36  -25.44  -20.41    0.08     0.12    0.12      0.44
D21                      6.27    3.60    2.53   20.45   32.42  -21.25    0.21     0.11    0.06      0.55
D22                     10.23    8.84    0.78   34.83   -0.07   35.24    0.26     0.21    0.02      0.57
E01                      2.84    2.90    0.66   20.00   -9.25   11.01    0.05     0.05    0.01      0.38
E02                      2.73    3.07    0.55   20.89  -14.52   16.40    0.06     0.06    0.01      0.30
E03                      2.79    3.64    0.59   23.47  -22.87   20.15    0.06     0.07    0.01      0.40
E04                      3.23    4.42    0.66   26.22  -26.77   23.37    0.08     0.10    0.01      0.46
E05                     10.67   10.32    2.63   38.63   -7.97   12.15    0.22     0.21    0.05      0.41
E06                      9.48   10.18    1.48   38.63  -17.28   28.28    0.17     0.16    0.03      0.35
E07                      9.53   11.47    1.04   41.21  -26.79   41.91    0.16     0.19    0.02      0.43
