IT8.7/2                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/2 Reference Data File, 5x7 Fujicolor, ver2.2"
CREATED              "Sunday, November 01, 2020"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2020:11"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      2.74    1.85    0.50   13.48   13.20    3.20    0.10     0.07    0.02      0.37
A02                      3.98    2.36    0.45   15.22   22.04    7.88    0.13     0.08    0.02      0.36
A03                      5.76    3.23    0.51   18.28   28.52   10.80    0.16     0.09    0.02      0.43
A04                      7.90    4.28    0.63   21.39   34.16   12.64    0.21     0.11    0.02      0.41
A05                     10.71    7.95    2.66   32.74   14.50    0.27    0.31     0.25    0.11      0.48
A06                     13.08    8.06    2.09   31.49   30.59    4.24    0.33     0.22    0.09      0.41
A07                     16.80    8.94    1.63   31.74   45.79   10.54    0.33     0.19    0.06      0.37
A08                     21.98   10.88    1.49   34.16   56.38   16.44    0.30     0.15    0.06      0.26
A09                     39.53   32.78   10.90   63.17    9.88    2.12    0.70     0.65    0.28      0.51
A10                     41.82   32.73   10.14   62.52   16.71    4.16    0.55     0.52    0.23      0.37
A11                     44.75   32.93    9.44   62.01   24.35    6.29    0.62     0.57    0.26      0.34
A12                     47.25   32.63    8.77   61.08   32.40    7.67    0.48     0.47    0.24      0.18
A13                     81.89   75.52   29.05   89.89   -1.31   -4.41    0.36     0.37    0.20      0.19
A14                     84.05   73.01   28.29   88.08    7.94   -6.16    0.28     0.24    0.17      0.12
A15                     87.00   78.40   26.21   90.77    0.71    3.76    0.38     0.35    0.12      0.16
A16                     77.76   69.08   25.35   86.35    3.67   -2.15    0.32     0.33    0.14      0.16
