IT8.7/2                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/2 Reference Data File, 5x7 Fujicolor, ver2.2"
CREATED              "Monday, November 02, 2020"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2020:11"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      2.71    1.82    0.47   13.28   13.35    3.72    0.16     0.10    0.03      0.80
A02                      3.89    2.30    0.42   14.92   22.04    8.31    0.24     0.14    0.03      0.84
A03                      5.66    3.17    0.49   18.06   28.35   11.23    0.28     0.15    0.03      0.78
A04                      7.75    4.20    0.60   21.14   33.89   13.06    0.42     0.22    0.04      0.93
A05                     10.29    7.57    2.47   31.87   14.91    0.91    0.38     0.28    0.12      0.65
A06                     12.77    7.85    1.96   31.03   30.46    5.12    0.59     0.35    0.12      0.88
A07                     16.26    8.67    1.51   31.25   45.10   11.44    0.61     0.32    0.10      0.74
A08                     21.38   10.61    1.37   33.73   55.64   17.73    0.40     0.20    0.07      0.31
A09                     38.09   31.31   10.40   61.88   10.81    1.98    0.97     0.80    0.43      0.69
A10                     40.45   31.50    9.69   61.47   17.12    4.33    0.92     0.80    0.40      0.61
A11                     43.65   31.98    9.01   61.19   24.64    6.92    0.91     0.84    0.42      0.49
A12                     46.33   31.85    8.35   60.37   32.74    8.53    0.89     0.80    0.39      0.37
A13                     80.64   74.66   28.94   89.54   -1.82   -4.78    0.54     0.42    0.10      0.17
A14                     83.99   73.01   28.22   88.08    7.82   -6.00    0.55     0.72    0.14      0.29
A15                     86.80   78.18   26.07   90.66    0.77    3.92    0.27     0.27    0.52      0.13
A16                     76.55   68.35   25.15   86.04    2.92   -2.19    0.80     0.86    0.59      0.47
A17                     83.04   72.09   25.30   87.49    6.87   -0.03    0.53     0.71    0.60      0.37
A18                     79.72   73.84   25.92   89.03   -3.08    1.44    0.46     0.33    0.55      0.15
A19                     76.74   68.61   27.89   86.32    3.95   -8.31    0.76     0.81    0.24      0.36
A20                      5.64   10.76   12.42   44.08  -36.99  -37.12    0.19     0.29    0.47      0.67
A21                     21.59   10.58    7.25   34.59   64.38  -33.36    0.41     0.20    0.26      1.02
A22                     42.63   34.48    1.24   63.09    9.45   77.30    0.80     0.74    0.04      0.67
B01                      2.29    1.63    0.36   12.44    9.39    6.74    0.13     0.09    0.02      0.62
B02                      3.23    2.00    0.29   13.66   18.07   11.59    0.21     0.13    0.02      0.85
B03                      4.50    2.57    0.26   15.78   24.75   16.62    0.28     0.16    0.02      0.87
B04                      6.11    3.35    0.30   18.44   30.18   19.32    0.34     0.18    0.02      1.03
B05                     10.68    7.66    1.76   31.68   16.14    9.80    0.51     0.36    0.10      0.78
B06                     11.99    7.56    0.86   30.34   26.52   23.54    0.57     0.36    0.05      0.82
B07                     16.59    8.89    0.47   31.41   43.91   35.61    0.64     0.35    0.02      0.91
B08                     22.40   11.01    0.29   34.03   56.39   47.03    0.44     0.23    0.02      0.35
B09                     38.16   31.66    9.35   62.15    8.88    7.44    1.04     0.89    0.39      0.69
B10                     41.14   31.89    7.99   61.57   16.60   13.10    0.94     0.82    0.35      0.54
B11                     43.30   31.76    6.53   60.79   22.94   19.89    0.97     0.88    0.32      0.42
B12                     45.96   32.13    5.94   60.53   29.09   23.00    0.81     0.77    0.27      0.23
B13                     69.61   67.43   28.39   86.61   -7.52   -8.65    0.68     0.49    0.11      0.17
B14                     79.40   66.14   26.95   84.32   14.64   -9.99    0.53     0.67    0.16      0.23
B15                     85.47   76.89   21.85   89.86   -0.55   13.41    0.22     0.20    0.60      0.13
B16                     62.33   55.86   20.32   79.44    1.87   -1.14    1.00     0.97    0.72      0.61
B17                     77.40   64.25   20.38   83.00   12.29    4.85    0.44     0.54    0.63      0.25
B18                     67.85   65.84   21.56   85.47  -10.62    6.54    0.59     0.41    0.59      0.09
B19                     63.22   56.78   26.52   80.32    4.65  -15.88    0.93     0.91    0.17      0.38
B20                      4.38    8.16    8.88   38.62  -34.11  -31.44    0.19     0.31    0.39      0.82
B21                     15.09    7.69    5.38   29.86   54.08  -29.82    0.65     0.32    0.28      1.44
B22                     28.17   23.22    1.07   53.54    5.86   62.97    1.18     1.04    0.05      1.37
C01                      3.44    2.76    0.60   18.41    4.27    9.66    0.23     0.18    0.04      0.72
C02                      3.95    2.98    0.44   18.90    7.80   15.66    0.26     0.19    0.03      0.78
C03                      4.98    3.51    0.39   20.46   12.67   20.20    0.32     0.23    0.03      0.91
C04                      7.02    4.81    0.43   24.31   16.16   25.75    0.40     0.28    0.03      0.86
C05                     21.01   16.40    3.19   46.05   11.51   19.13    0.94     0.76    0.22      0.78
C06                     25.19   17.95    1.60   46.87   20.86   40.18    1.01     0.75    0.10      0.78
C07                     29.28   19.47    0.74   47.76   29.60   58.96    1.05     0.78    0.04      0.90
C08                     41.33   26.40    0.77   54.14   37.94   69.75    0.97     0.82    0.05      0.55
C09                     45.41   38.74   10.71   67.77    5.57   11.45    1.21     1.15    0.57      0.72
C10                     47.70   38.87    7.99   67.19   10.13   23.57    1.16     1.14    0.48      0.49
C11                     50.33   39.40    6.24   67.00   14.77   33.33    1.13     1.12    0.35      0.42
C12                     53.07   40.01    5.11   66.93   19.59   40.82    1.15     1.11    0.30      0.30
C13                     61.55   62.32   28.56   84.52  -12.53  -12.66    1.02     0.77    0.10      0.23
C14                     75.82   60.28   26.09   80.84   21.93  -14.37    0.63     0.79    0.18      0.20
C15                     86.03   77.24   19.08   89.84   -1.28   21.33    0.34     0.33    0.69      0.27
C16                     51.44   46.01   16.88   73.47    1.87   -1.40    1.10     1.02    0.71      0.73
C17                     73.35   58.16   17.22   79.20   18.15    7.46    0.72     0.87    0.72      0.35
C18                     58.95   59.80   18.71   82.64  -17.04    9.89    1.04     0.81    0.71      0.19
C19                     52.86   47.33   25.37   74.85    6.56  -23.01    1.18     1.15    0.27      0.46
C20                      3.07    5.46    5.43   31.52  -29.77  -24.43    0.19     0.32    0.34      1.03
C21                      9.30    5.03    3.50   24.26   41.60  -24.60    0.51     0.26    0.21      1.35
C22                     16.31   13.68    0.87   42.48    2.99   47.03    0.93     0.83    0.06      1.46
D01                      3.07    2.68    0.59   18.46   -0.81   10.21    0.18     0.15    0.03      0.72
D02                      3.31    2.99    0.48   19.73   -2.85   16.28    0.20     0.18    0.02      0.87
D03                      3.97    3.57    0.49   21.85   -2.69   19.95    0.24     0.21    0.03      0.91
D04                      4.79    4.43    0.54   24.74   -4.57   23.52    0.29     0.27    0.03      0.94
D05                     22.03   19.61    4.33   50.93   -1.30   18.18    0.92     0.85    0.23      0.90
D06                     22.47   19.81    2.18   50.73   -1.69   39.69    0.97     0.87    0.12      0.98
D07                     23.53   21.26    1.15   52.24   -4.20   59.32    0.99     0.91    0.05      1.26
D08                     28.82   26.62    1.15   57.64   -6.60   69.51    1.09     0.96    0.04      1.22
D09                     51.72   45.94   13.10   73.08    0.76   11.32    1.01     0.97    0.61      0.54
D10                     51.44   45.40    9.49   72.39   -0.13   25.60    1.01     0.97    0.44      0.41
D11                     52.06   45.28    7.28   71.99    0.93   36.46    1.05     1.02    0.37      0.34
D12                     53.10   45.92    6.14   72.22    1.34   43.87    1.08     1.07    0.30      0.32
D13                     49.81   53.77   27.78   80.48  -18.78  -17.93    1.28     0.99    0.13      0.21
D14                     69.86   52.17   24.21   75.69   31.01  -19.24    0.90     1.08    0.27      0.14
D15                     84.78   75.65   15.01   88.82   -1.54   32.76    0.33     0.36    0.61      0.42
D16                     37.62   33.76   12.43   64.74    1.04   -1.16    1.39     1.29    0.70      1.08
